province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
云南省,临沧市,2013-01-01,25.49,27.55,8.95,2.1,0.29,62.85,2.49,3.04,284.21,82.65,83911.43,37,一级
云南省,临沧市,2013-01-02,22.48,24.83,6.81,2.36,0.28,68.32,2.95,2.86,284.74,74.09,83948.31,35,一级
云南省,临沧市,2013-01-03,24.28,26.89,7.48,2.58,0.28,67.49,0.06,3.95,284.69,83.16,84121.58,35,一级
云南省,临沧市,2013-01-04,22.36,24.45,5.99,2.02,0.28,70.27,3.87,2.72,285.28,78.22,84018.92,36,一级
云南省,临沧市,2013-01-05,18.32,20.37,4.59,2.23,0.26,75.46,4.36,1.83,285.19,67.48,83886.33,38,一级
云南省,临沧市,2013-01-06,17.0,18.89,4.09,2.21,0.26,78.23,4.11,2.29,285.17,63.33,83929.79,40,一级
云南省,临沧市,2013-01-07,17.68,19.37,3.78,1.9,0.26,76.45,5.55,3.37,284.76,67.86,83874.96,39,一级
云南省,临沧市,2013-01-08,22.41,24.62,5.32,1.84,0.28,75.56,5.95,2.13,283.64,71.39,83819.12,38,一级
云南省,临沧市,2013-01-09,27.04,29.93,6.91,2.15,0.31,78.51,2.98,2.29,283.12,63.07,83823.5,40,一级
云南省,临沧市,2013-01-10,24.6,26.74,5.62,2.04,0.3,69.47,1.88,4.57,282.71,78.63,83746.66,36,一级
云南省,临沧市,2013-01-11,31.76,34.31,6.93,2.15,0.34,67.42,0.02,4.53,282.0,76.99,83807.09,46,一级
云南省,临沧市,2013-01-12,43.58,46.63,8.46,2.31,0.41,65.98,-0.88,2.56,281.97,78.55,83957.61,61,二级
云南省,临沧市,2013-01-13,31.8,34.68,6.6,2.54,0.35,73.0,0.94,1.93,282.48,63.78,83907.22,46,一级
云南省,临沧市,2013-01-14,28.25,30.99,5.79,2.25,0.33,74.26,3.05,3.09,283.31,73.01,83871.98,41,一级
云南省,临沧市,2013-01-15,16.22,17.97,3.42,2.31,0.24,75.9,3.21,1.74,283.81,65.81,84086.32,38,一级
云南省,临沧市,2013-01-16,16.44,18.3,3.53,2.32,0.25,78.72,3.83,2.13,285.11,60.07,84230.2,40,一级
云南省,临沧市,2013-01-17,19.04,21.24,4.28,2.44,0.27,79.38,0.34,1.94,285.25,61.82,84389.27,40,一级
云南省,临沧市,2013-01-18,37.6,40.76,8.45,2.31,0.4,69.85,0.34,3.63,284.88,82.63,84491.03,54,二级
云南省,临沧市,2013-01-19,29.75,32.44,6.81,2.16,0.34,74.67,4.36,1.62,285.72,71.2,84233.25,43,一级
云南省,临沧市,2013-01-20,18.26,20.18,3.84,2.24,0.26,78.25,4.38,0.94,285.61,62.48,84158.87,40,一级
云南省,临沧市,2013-01-21,16.96,18.75,3.3,2.2,0.24,78.41,4.01,1.82,285.66,62.21,84234.76,40,一级
云南省,临沧市,2013-01-22,18.33,20.37,3.81,2.26,0.25,79.98,3.25,0.99,285.79,59.58,84233.91,40,一级
云南省,临沧市,2013-01-23,16.68,18.54,3.67,2.19,0.24,80.89,4.09,1.74,285.7,59.87,84114.05,41,一级
云南省,临沧市,2013-01-24,13.36,15.16,3.43,2.31,0.22,80.71,2.88,0.59,285.35,54.26,84064.8,41,一级
云南省,临沧市,2013-01-25,12.36,13.87,3.15,2.17,0.22,81.86,3.53,1.98,285.49,54.46,84013.44,41,一级
云南省,临沧市,2013-01-26,11.77,13.35,3.07,2.33,0.22,82.9,2.68,0.79,284.95,46.5,83988.34,42,一级
云南省,临沧市,2013-01-27,18.13,20.11,4.53,2.25,0.26,81.3,-0.24,2.82,284.63,50.94,84138.28,41,一级
云南省,临沧市,2013-01-28,33.91,36.81,7.66,2.14,0.37,73.69,1.2,2.98,284.71,63.64,84136.16,49,一级
云南省,临沧市,2013-01-29,28.36,31.44,6.55,2.47,0.33,79.18,1.61,2.36,284.65,54.85,84146.28,41,一级
云南省,临沧市,2013-01-30,29.46,32.39,6.32,2.41,0.35,77.26,1.83,2.32,285.08,76.76,84186.38,43,一级
云南省,临沧市,2013-01-31,17.14,18.92,3.47,2.26,0.26,78.8,3.41,0.55,284.9,70.79,84266.24,40,一级
云南省,临沧市,2013-02-01,12.44,13.97,2.89,2.41,0.22,82.92,2.69,1.16,285.7,51.82,84294.9,42,一级
云南省,临沧市,2013-02-02,17.76,19.9,3.19,2.64,0.24,89.29,1.21,1.85,285.51,59.13,84312.34,45,一级
云南省,临沧市,2013-02-03,26.4,29.67,4.07,2.67,0.28,93.57,1.81,2.0,285.23,62.03,84241.78,47,一级
云南省,临沧市,2013-02-04,21.62,24.24,3.06,2.43,0.25,88.06,3.83,1.42,286.25,56.21,84260.98,45,一级
云南省,临沧市,2013-02-05,14.34,16.26,2.29,2.54,0.21,80.2,3.49,-0.5,287.05,41.85,84366.74,41,一级
云南省,临沧市,2013-02-06,12.53,14.28,2.06,2.48,0.19,75.27,4.87,-0.35,288.34,38.17,84161.62,38,一级
云南省,临沧市,2013-02-07,13.37,15.17,2.41,2.31,0.18,76.75,5.67,-1.35,289.11,41.12,83921.84,39,一级
云南省,临沧市,2013-02-08,18.09,20.69,3.44,2.46,0.22,85.95,3.58,0.47,289.01,41.89,83992.32,43,一级
云南省,临沧市,2013-02-09,23.32,26.37,3.43,2.45,0.25,92.52,3.42,2.83,288.86,51.93,84093.02,47,一级
云南省,临沧市,2013-02-10,26.15,29.5,3.73,2.37,0.27,91.01,4.77,1.99,288.85,57.29,84085.81,46,一级
云南省,临沧市,2013-02-11,21.37,24.07,3.48,2.33,0.24,85.11,4.91,0.8,288.73,57.38,84055.24,43,一级
云南省,临沧市,2013-02-12,20.26,22.96,3.19,2.5,0.24,87.2,2.95,1.46,289.41,51.79,84144.94,44,一级
云南省,临沧市,2013-02-13,28.52,31.57,4.39,2.43,0.3,90.1,3.73,3.15,289.51,62.95,84046.37,46,一级
云南省,临沧市,2013-02-14,25.79,28.68,3.15,2.31,0.27,88.86,5.11,2.11,289.22,65.21,84007.5,45,一级
云南省,临沧市,2013-02-15,19.83,22.4,3.42,2.33,0.23,88.35,4.04,0.88,289.68,51.94,84054.55,45,一级
云南省,临沧市,2013-02-16,20.64,23.32,3.54,2.43,0.23,89.24,3.94,1.44,290.34,50.61,83997.7,45,一级
云南省,临沧市,2013-02-17,23.29,26.19,3.24,2.39,0.25,92.24,4.69,1.8,290.66,53.73,83877.7,47,一级
云南省,临沧市,2013-02-18,22.15,24.4,2.25,2.04,0.24,78.54,5.58,1.7,288.23,70.85,83789.48,40,一级
云南省,临沧市,2013-02-19,17.2,19.07,2.77,2.27,0.22,77.2,3.86,0.85,287.81,63.31,83871.06,39,一级
云南省,临沧市,2013-02-20,17.12,19.16,2.73,2.4,0.22,82.56,3.86,2.3,288.83,51.22,83966.36,42,一级
云南省,临沧市,2013-02-21,18.18,20.26,2.94,2.36,0.23,84.21,3.08,2.65,289.09,43.83,84059.06,43,一级
云南省,临沧市,2013-02-22,28.17,30.98,4.5,2.49,0.31,83.41,-0.3,2.85,288.68,57.6,84286.68,42,一级
云南省,临沧市,2013-02-23,35.47,38.86,5.52,2.17,0.35,85.83,-0.35,3.53,287.89,76.79,84378.64,51,二级
云南省,临沧市,2013-02-24,30.26,33.67,4.37,2.49,0.31,94.57,3.19,1.9,289.83,60.3,84255.98,48,一级
云南省,临沧市,2013-02-25,18.52,20.81,2.33,2.32,0.23,90.08,4.39,0.15,290.63,44.29,84152.38,46,一级
云南省,临沧市,2013-02-26,15.3,17.25,2.52,2.26,0.2,84.12,4.72,-1.64,290.44,42.09,84128.7,43,一级
云南省,临沧市,2013-02-27,14.59,16.47,2.98,2.25,0.2,82.43,5.23,-1.23,290.38,35.86,83999.99,42,一级
云南省,临沧市,2013-02-28,13.73,15.42,2.62,2.12,0.19,81.34,6.5,-0.81,290.6,33.53,83835.79,41,一级
云南省,临沧市,2013-03-01,17.76,20.21,2.51,2.56,0.22,92.12,5.46,-0.12,291.0,33.16,83932.64,47,一级
云南省,临沧市,2013-03-02,32.27,37.73,3.07,3.32,0.31,110.56,2.32,0.99,291.76,26.13,84204.44,59,二级
云南省,临沧市,2013-03-03,52.58,58.85,7.45,3.04,0.47,110.57,-2.74,3.73,289.31,56.58,84342.04,72,二级
云南省,临沧市,2013-03-04,57.31,62.52,9.23,2.5,0.49,98.98,-2.73,4.26,286.72,84.57,84408.47,78,二级
云南省,临沧市,2013-03-05,59.75,67.05,7.91,2.77,0.51,109.79,0.6,2.47,288.31,70.08,84392.03,81,二级
云南省,临沧市,2013-03-06,76.28,88.73,6.46,3.43,0.64,132.6,3.35,1.81,290.28,54.55,84298.7,102,三级
云南省,临沧市,2013-03-07,56.69,66.39,5.43,3.1,0.49,123.6,0.09,-0.31,290.82,37.88,84333.27,78,二级
云南省,临沧市,2013-03-08,84.61,99.11,6.76,3.34,0.68,135.24,2.31,1.74,290.37,51.24,84178.09,113,三级
云南省,临沧市,2013-03-09,72.06,83.12,5.08,3.19,0.58,123.66,5.24,0.61,289.85,50.45,83916.59,97,二级
云南省,临沧市,2013-03-10,53.61,63.16,4.37,2.71,0.43,117.85,3.29,-0.47,290.32,37.54,83945.0,74,二级
云南省,临沧市,2013-03-11,66.6,78.98,5.08,3.13,0.53,134.85,4.04,1.17,290.72,38.06,83971.87,90,二级
云南省,临沧市,2013-03-12,67.33,78.84,5.88,2.67,0.53,125.77,4.54,-0.37,289.15,49.54,83892.39,91,二级
云南省,临沧市,2013-03-13,43.4,50.13,5.96,2.36,0.37,104.91,4.11,-1.62,289.19,46.1,84007.66,61,二级
云南省,临沧市,2013-03-14,42.94,50.25,5.54,2.74,0.37,113.84,3.51,0.29,290.91,38.39,84152.34,62,二级
云南省,临沧市,2013-03-15,51.33,60.1,5.04,2.91,0.43,124.05,4.64,0.15,291.9,36.33,84226.16,71,二级
云南省,临沧市,2013-03-16,56.47,65.04,4.76,2.61,0.45,126.04,6.65,-0.62,292.24,39.5,84218.11,77,二级
云南省,临沧市,2013-03-17,47.72,54.95,5.02,2.24,0.4,112.69,7.03,-1.95,291.91,42.53,83996.9,66,二级
云南省,临沧市,2013-03-18,41.23,46.76,5.09,2.63,0.36,112.6,5.67,0.57,291.18,40.09,83680.27,61,二级
云南省,临沧市,2013-03-19,33.35,37.53,4.52,2.18,0.3,102.14,6.23,-0.95,289.37,47.59,83650.58,52,二级
云南省,临沧市,2013-03-20,26.27,29.81,4.01,2.34,0.26,95.55,3.22,-1.53,289.28,39.85,83881.1,48,一级
云南省,临沧市,2013-03-21,33.8,39.0,4.18,2.66,0.31,109.93,4.36,0.46,290.59,37.06,83798.22,59,二级
云南省,临沧市,2013-03-22,40.7,46.92,4.05,2.81,0.36,118.66,5.33,0.92,291.23,36.13,83709.27,66,二级
云南省,临沧市,2013-03-23,36.99,42.07,5.2,2.24,0.34,110.39,5.42,-1.64,290.51,42.38,83851.28,59,二级
云南省,临沧市,2013-03-24,27.68,31.27,4.02,2.17,0.27,98.09,5.22,-2.17,290.93,42.43,83835.41,50,一级
云南省,临沧市,2013-03-25,35.06,40.08,4.44,2.36,0.32,108.14,6.73,-0.78,291.42,42.5,83630.48,57,二级
云南省,临沧市,2013-03-26,36.62,42.05,5.67,2.53,0.33,112.26,5.44,-0.31,292.1,41.39,83717.84,61,二级
云南省,临沧市,2013-03-27,33.3,37.7,4.89,2.62,0.32,110.6,5.82,0.68,292.62,35.03,83727.9,59,二级
云南省,临沧市,2013-03-28,28.97,32.88,3.66,2.29,0.3,103.65,5.89,-0.99,292.37,41.25,83747.22,54,二级
云南省,临沧市,2013-03-29,32.78,37.37,4.64,2.43,0.31,107.62,6.37,-0.27,292.31,40.96,83740.49,57,二级
云南省,临沧市,2013-03-30,33.91,38.49,5.48,2.2,0.31,107.1,7.28,-0.86,293.12,37.46,83726.93,56,二级
云南省,临沧市,2013-03-31,31.8,36.25,5.34,2.37,0.3,105.66,4.96,-0.73,293.01,38.33,83827.75,55,二级
云南省,临沧市,2013-04-01,31.39,36.11,5.21,2.29,0.3,104.14,4.59,-0.68,292.65,41.71,83906.82,54,二级
云南省,临沧市,2013-04-02,29.24,33.03,4.77,2.28,0.28,101.7,4.9,0.07,292.74,42.85,83918.01,52,二级
云南省,临沧市,2013-04-03,23.66,26.08,4.47,2.04,0.25,96.5,6.85,-1.45,292.15,38.78,83715.14,49,一级
云南省,临沧市,2013-04-04,25.03,27.28,5.64,1.8,0.25,99.12,8.43,-1.22,292.5,41.99,83444.92,50,一级
云南省,临沧市,2013-04-05,23.85,25.65,4.43,1.71,0.24,96.24,7.74,-0.9,292.64,46.11,83438.0,49,一级
云南省,临沧市,2013-04-06,25.3,27.24,5.08,2.51,0.25,97.82,1.22,0.21,291.31,45.89,83599.44,49,一级
云南省,临沧市,2013-04-07,26.79,28.68,4.48,2.21,0.25,96.98,4.52,1.02,291.75,33.81,83521.42,49,一级
云南省,临沧市,2013-04-08,19.64,21.36,3.31,2.12,0.21,96.14,5.16,-1.11,292.83,27.58,83631.49,49,一级
