province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
云南省,昆明市,2013-01-01,38.36,60.95,20.39,18.88,1.22,47.58,6.77,3.08,279.32,84.64,79093.11,56,二级
云南省,昆明市,2013-01-02,29.74,56.09,18.42,22.13,1.17,50.94,8.37,4.24,281.67,71.49,79103.44,54,二级
云南省,昆明市,2013-01-03,76.49,95.9,22.27,27.41,1.59,27.34,-2.2,4.26,275.19,93.4,79468.62,102,三级
云南省,昆明市,2013-01-04,39.31,69.51,15.67,21.56,1.47,50.61,8.99,6.6,280.7,78.75,79110.12,60,二级
云南省,昆明市,2013-01-05,22.95,47.84,14.15,19.99,1.12,60.5,11.26,4.39,282.71,55.36,78979.27,48,一级
云南省,昆明市,2013-01-06,26.96,55.7,14.12,20.02,1.19,60.96,9.07,5.33,281.97,60.66,79055.63,53,二级
云南省,昆明市,2013-01-07,28.93,61.52,14.54,20.39,1.17,61.96,10.16,6.37,281.63,68.98,78984.15,56,二级
云南省,昆明市,2013-01-08,30.68,51.44,13.32,18.93,1.05,64.63,10.67,5.82,281.52,65.12,78942.45,51,二级
云南省,昆明市,2013-01-09,76.52,101.09,27.43,28.54,1.53,32.26,1.33,5.24,276.04,84.27,79084.63,102,三级
云南省,昆明市,2013-01-10,63.13,87.08,18.69,25.93,1.62,35.71,2.36,7.02,276.4,93.1,79004.15,86,二级
云南省,昆明市,2013-01-11,60.17,79.69,20.25,24.71,1.78,39.46,-0.4,3.95,275.88,92.85,79145.09,82,二级
云南省,昆明市,2013-01-12,55.52,70.95,31.75,30.03,1.98,38.96,-0.18,1.59,273.71,89.74,79203.02,76,二级
云南省,昆明市,2013-01-13,45.42,73.81,17.0,23.2,1.53,51.42,5.9,2.09,278.59,67.63,79060.44,64,二级
云南省,昆明市,2013-01-14,41.06,74.48,16.79,28.34,1.72,46.15,5.89,5.34,278.38,84.93,79038.57,63,二级
云南省,昆明市,2013-01-15,35.16,64.87,16.24,25.23,1.43,52.34,6.87,4.9,280.23,75.83,79244.72,58,二级
云南省,昆明市,2013-01-16,34.59,68.19,15.86,25.11,1.49,54.62,8.47,4.86,281.45,69.66,79356.65,60,二级
云南省,昆明市,2013-01-17,61.92,82.54,24.93,25.71,1.61,31.94,-0.55,2.64,277.72,88.0,79708.04,84,二级
云南省,昆明市,2013-01-18,50.76,78.3,21.0,23.73,1.62,42.35,5.09,5.07,279.67,87.94,79647.5,70,二级
云南省,昆明市,2013-01-19,28.49,53.64,15.35,22.65,1.38,57.0,10.34,2.95,283.43,58.57,79259.2,52,二级
云南省,昆明市,2013-01-20,22.88,42.89,16.67,20.27,1.12,59.33,9.59,2.45,283.55,46.52,79266.29,43,一级
云南省,昆明市,2013-01-21,39.65,79.13,20.05,31.19,1.28,58.63,6.67,4.71,282.83,54.47,79411.38,65,二级
云南省,昆明市,2013-01-22,33.62,60.95,17.17,24.8,1.03,59.78,7.29,3.75,282.7,55.56,79432.75,56,二级
云南省,昆明市,2013-01-23,39.23,69.74,19.33,24.03,1.14,58.24,7.79,5.1,282.31,66.15,79278.96,60,二级
云南省,昆明市,2013-01-24,44.09,66.72,21.42,21.35,0.78,62.11,1.78,1.55,280.58,56.65,79326.58,62,二级
云南省,昆明市,2013-01-25,51.58,85.25,22.93,24.2,1.02,53.6,3.76,5.96,280.02,76.29,79215.29,71,二级
云南省,昆明市,2013-01-26,41.01,68.48,19.74,23.0,0.94,58.68,3.68,3.09,280.36,61.63,79236.8,60,二级
云南省,昆明市,2013-01-27,80.3,93.2,22.65,21.12,1.24,57.21,-1.39,5.34,278.59,84.36,79466.61,107,三级
云南省,昆明市,2013-01-28,46.29,69.93,18.0,20.04,1.16,58.73,6.15,5.04,280.59,72.52,79328.45,65,二级
云南省,昆明市,2013-01-29,42.9,84.22,21.33,26.42,1.15,56.13,6.64,4.59,280.54,73.4,79347.17,68,二级
云南省,昆明市,2013-01-30,35.62,63.59,18.59,23.04,1.07,54.61,6.97,4.64,281.89,76.93,79400.14,57,二级
云南省,昆明市,2013-01-31,18.5,31.06,12.88,13.67,0.79,64.08,8.32,3.34,282.82,64.96,79402.72,33,一级
云南省,昆明市,2013-02-01,27.07,48.72,17.56,21.39,0.93,59.27,6.79,2.7,282.94,43.48,79460.17,49,一级
云南省,昆明市,2013-02-02,24.9,49.59,18.05,22.66,0.97,55.81,4.71,3.77,282.47,53.55,79549.76,50,一级
云南省,昆明市,2013-02-03,23.98,39.62,16.63,17.56,0.87,58.31,8.05,4.33,281.91,64.86,79424.07,40,一级
云南省,昆明市,2013-02-04,25.91,41.96,20.46,18.35,0.86,57.29,9.85,3.09,282.76,51.36,79384.62,42,一级
云南省,昆明市,2013-02-05,17.32,27.58,14.42,16.76,0.65,59.12,9.15,1.03,285.05,34.25,79468.92,30,一级
云南省,昆明市,2013-02-06,21.54,38.1,13.68,17.68,0.83,57.23,9.89,2.09,287.01,31.0,79210.68,39,一级
云南省,昆明市,2013-02-07,11.24,16.67,8.46,7.96,0.45,67.83,10.29,-0.35,289.24,26.79,79020.44,34,一级
云南省,昆明市,2013-02-08,32.15,44.61,19.42,15.42,1.01,58.66,2.11,5.35,284.12,59.43,79268.09,46,一级
云南省,昆明市,2013-02-09,28.03,40.45,18.06,9.7,0.93,66.47,6.79,7.43,283.5,77.3,79322.87,41,一级
云南省,昆明市,2013-02-10,26.6,34.26,17.41,6.09,0.68,77.68,10.93,4.37,284.93,67.95,79251.83,39,一级
云南省,昆明市,2013-02-11,18.26,24.27,17.74,8.04,0.73,76.12,11.07,3.33,285.76,49.11,79217.09,39,一级
云南省,昆明市,2013-02-12,21.31,29.94,13.39,9.52,0.75,70.35,5.3,4.93,283.83,62.74,79409.71,36,一级
云南省,昆明市,2013-02-13,24.55,34.64,18.59,10.44,0.94,75.1,10.04,6.11,285.34,73.68,79243.51,38,一级
云南省,昆明市,2013-02-14,21.29,27.86,18.5,10.08,0.92,72.05,11.15,3.97,286.32,65.3,79195.44,37,一级
云南省,昆明市,2013-02-15,20.42,26.44,14.14,10.15,0.81,69.45,7.63,3.56,285.87,55.5,79294.72,35,一级
云南省,昆明市,2013-02-16,22.83,30.11,23.38,13.71,0.98,69.5,10.42,4.44,286.67,59.22,79200.07,35,一级
云南省,昆明市,2013-02-17,22.71,28.41,17.35,11.33,0.76,70.32,11.13,2.89,287.83,47.77,79087.04,36,一级
云南省,昆明市,2013-02-18,24.66,34.09,10.22,9.12,0.76,72.34,11.77,5.3,286.59,64.08,78956.18,37,一级
云南省,昆明市,2013-02-19,14.68,23.84,11.6,9.79,0.53,69.94,8.02,4.07,284.85,59.25,79115.88,35,一级
云南省,昆明市,2013-02-20,28.84,48.96,22.24,20.94,0.92,61.36,6.7,6.53,285.05,65.04,79242.18,49,一级
云南省,昆明市,2013-02-21,31.74,55.38,18.82,20.05,0.91,62.76,6.28,6.27,284.63,72.94,79350.56,53,二级
云南省,昆明市,2013-02-22,49.78,68.19,17.71,18.94,0.99,58.07,2.08,3.24,282.67,76.52,79654.94,69,二级
云南省,昆明市,2013-02-23,42.1,60.6,15.44,15.38,0.92,69.86,4.74,4.57,283.84,76.7,79632.1,59,二级
云南省,昆明市,2013-02-24,28.84,42.22,14.12,12.41,0.83,76.34,9.67,3.2,286.35,59.8,79436.49,43,一级
云南省,昆明市,2013-02-25,28.93,48.35,16.23,14.62,0.93,73.2,9.95,3.35,287.48,45.15,79349.17,49,一级
云南省,昆明市,2013-02-26,16.93,30.16,9.37,11.04,0.48,82.27,9.59,1.47,287.57,39.15,79285.19,42,一级
云南省,昆明市,2013-02-27,24.24,48.98,16.99,19.87,0.71,77.72,8.67,2.76,287.71,33.92,79144.1,49,一级
云南省,昆明市,2013-02-28,25.47,56.82,17.79,17.41,0.74,71.33,13.03,2.55,288.98,27.96,78880.82,54,二级
云南省,昆明市,2013-03-01,19.95,41.23,11.56,14.0,0.58,76.66,9.32,2.13,288.42,27.84,79128.08,42,一级
云南省,昆明市,2013-03-02,45.13,83.04,21.3,24.66,1.01,72.28,-0.15,3.39,283.92,52.73,79612.23,67,二级
云南省,昆明市,2013-03-03,69.48,96.62,27.6,20.71,1.35,58.99,-2.33,2.56,280.28,73.59,79795.19,94,二级
云南省,昆明市,2013-03-04,63.59,105.09,26.81,17.54,1.2,84.17,1.21,4.53,281.56,74.63,79720.47,86,二级
云南省,昆明市,2013-03-05,63.51,88.54,17.46,16.83,1.13,82.42,4.44,3.24,284.32,69.1,79635.81,86,二级
