province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
云南省,昭通市,2013-01-01,58.42,67.46,31.09,9.48,0.52,51.32,0.51,1.24,276.91,55.61,83947.05,80,二级
云南省,昭通市,2013-01-02,98.98,113.18,47.7,11.33,0.77,49.08,0.16,-1.99,275.92,40.99,84086.01,130,三级
云南省,昭通市,2013-01-03,90.85,100.46,31.42,10.97,0.72,44.51,-1.4,-1.84,270.23,75.1,84672.18,120,三级
云南省,昭通市,2013-01-04,86.85,96.36,28.51,10.94,0.75,49.65,0.8,0.57,273.37,79.35,83965.17,115,三级
云南省,昭通市,2013-01-05,106.71,118.34,33.13,9.0,0.85,54.38,0.27,0.01,273.83,63.55,83873.11,140,三级
云南省,昭通市,2013-01-06,98.18,109.86,35.02,8.3,0.8,56.67,0.65,0.49,274.62,59.76,83939.88,129,三级
云南省,昭通市,2013-01-07,105.16,117.25,38.57,7.8,0.82,60.47,0.81,-0.01,274.13,66.63,83914.46,138,三级
云南省,昭通市,2013-01-08,131.34,145.61,42.79,7.07,0.95,59.08,-1.34,-2.61,271.5,79.74,84121.86,174,四级
云南省,昭通市,2013-01-09,128.39,142.46,36.9,8.19,0.95,59.17,-1.58,-1.0,271.34,77.8,84246.05,170,四级
云南省,昭通市,2013-01-10,136.59,151.29,45.7,8.94,1.01,59.26,-1.01,-0.73,272.77,83.93,84050.85,181,四级
云南省,昭通市,2013-01-11,187.37,204.82,49.97,8.59,1.25,51.64,-1.48,-2.25,271.77,86.98,84380.21,238,五级
云南省,昭通市,2013-01-12,143.91,158.1,40.0,7.39,1.02,61.18,1.12,0.9,275.62,63.8,84123.39,192,四级
云南省,昭通市,2013-01-13,118.54,131.68,34.51,7.34,0.93,60.46,1.6,1.35,279.18,48.26,83806.79,156,四级
云南省,昭通市,2013-01-14,148.95,164.21,48.2,8.2,1.07,56.95,0.42,0.23,277.11,68.31,83900.33,199,四级
云南省,昭通市,2013-01-15,158.94,174.5,44.17,6.79,1.11,58.12,-0.63,-1.49,275.43,78.73,84255.96,209,五级
云南省,昭通市,2013-01-16,148.75,163.59,43.22,7.89,1.08,54.81,-0.83,-1.66,275.67,80.38,84352.33,199,四级
云南省,昭通市,2013-01-17,153.72,169.85,44.56,7.11,1.12,57.65,-1.23,-0.71,275.39,78.59,84820.09,204,五级
云南省,昭通市,2013-01-18,135.08,150.24,44.25,9.0,1.03,53.99,0.17,0.83,278.61,77.0,84453.53,179,四级
云南省,昭通市,2013-01-19,101.83,113.27,34.44,7.21,0.84,58.69,3.25,2.24,282.77,52.22,83728.41,134,三级
云南省,昭通市,2013-01-20,90.11,100.36,27.63,6.33,0.75,63.59,3.98,1.03,282.2,42.97,83873.98,119,三级
云南省,昭通市,2013-01-21,93.57,103.35,25.38,7.31,0.78,58.61,0.81,0.22,277.36,62.85,84293.06,124,三级
云南省,昭通市,2013-01-22,85.07,94.56,27.03,7.24,0.72,62.55,0.4,0.09,278.28,55.79,84318.94,113,三级
云南省,昭通市,2013-01-23,115.4,128.24,41.23,7.94,0.92,61.47,0.86,0.31,279.19,60.2,84092.01,151,四级
云南省,昭通市,2013-01-24,115.17,127.62,34.55,6.52,0.88,61.6,-0.63,-2.99,275.92,70.64,84478.52,151,四级
云南省,昭通市,2013-01-25,92.73,104.45,38.5,9.54,0.78,58.35,-0.01,0.74,278.41,59.75,84093.43,123,三级
云南省,昭通市,2013-01-26,101.09,113.36,33.96,6.84,0.79,62.15,-0.76,-1.77,277.3,59.74,84298.77,133,三级
云南省,昭通市,2013-01-27,106.9,120.57,48.89,8.87,0.86,61.84,-1.08,1.34,278.81,62.65,84434.05,140,三级
云南省,昭通市,2013-01-28,73.08,82.14,29.0,6.44,0.63,64.74,2.06,1.21,281.53,52.42,84052.61,98,二级
云南省,昭通市,2013-01-29,81.62,92.04,33.51,7.31,0.71,67.84,1.6,1.85,282.16,50.02,84002.22,109,三级
云南省,昭通市,2013-01-30,78.52,87.34,26.28,5.74,0.69,66.82,3.92,1.83,282.33,52.48,84002.88,105,三级
云南省,昭通市,2013-01-31,51.9,58.23,19.75,5.07,0.5,72.29,6.27,2.64,285.27,41.51,83929.47,72,二级
云南省,昭通市,2013-02-01,88.82,99.33,31.96,6.45,0.74,70.66,1.45,1.1,283.58,49.25,84152.79,118,三级
云南省,昭通市,2013-02-02,97.17,107.8,31.72,6.39,0.75,67.13,0.59,1.26,281.78,66.83,84359.41,128,三级
云南省,昭通市,2013-02-03,24.52,27.34,8.9,4.04,0.29,73.65,10.28,6.69,286.81,35.7,83799.0,37,一级
云南省,昭通市,2013-02-04,36.07,40.28,12.23,4.47,0.35,67.21,7.53,3.37,285.89,41.13,83844.98,52,二级
云南省,昭通市,2013-02-05,50.21,56.16,16.7,5.68,0.44,62.38,1.65,-0.23,285.67,45.37,84128.79,70,二级
云南省,昭通市,2013-02-06,72.81,81.13,30.58,7.29,0.57,61.58,0.94,0.01,284.9,59.89,83818.89,98,二级
云南省,昭通市,2013-02-07,102.67,113.12,33.75,10.52,0.76,42.9,-1.49,-2.15,280.97,82.02,83913.82,135,三级
云南省,昭通市,2013-02-08,101.18,109.21,28.76,11.33,0.74,37.94,-1.77,-3.74,274.33,84.88,84428.97,133,三级
云南省,昭通市,2013-02-09,81.08,88.72,25.23,9.14,0.62,48.39,-0.53,-0.67,276.09,74.79,84257.23,108,三级
云南省,昭通市,2013-02-10,65.94,72.32,26.28,6.98,0.51,61.3,3.66,0.56,282.14,51.1,83866.69,89,二级
云南省,昭通市,2013-02-11,83.2,91.41,32.17,7.14,0.6,62.17,1.87,-0.68,280.04,53.05,83993.98,111,三级
云南省,昭通市,2013-02-12,89.85,98.26,25.7,6.95,0.62,58.06,-0.85,-1.54,276.03,77.24,84424.72,119,三级
云南省,昭通市,2013-02-13,74.54,81.5,22.61,5.9,0.54,63.75,3.71,0.88,280.2,59.07,83833.75,100,二级
云南省,昭通市,2013-02-14,82.34,90.54,26.03,6.26,0.59,66.43,3.26,-0.39,281.27,53.92,83875.86,110,三级
云南省,昭通市,2013-02-15,88.72,97.52,27.09,6.27,0.62,62.31,-0.08,0.21,279.01,61.97,84192.38,118,三级
云南省,昭通市,2013-02-16,48.21,53.2,16.76,4.75,0.39,69.38,8.1,3.23,286.8,34.27,83573.68,67,二级
云南省,昭通市,2013-02-17,59.3,65.57,18.54,5.4,0.47,68.34,6.94,1.73,287.0,38.36,83459.9,81,二级
云南省,昭通市,2013-02-18,58.37,63.8,17.6,4.96,0.46,68.7,5.03,1.15,283.19,60.14,83603.3,80,二级
云南省,昭通市,2013-02-19,81.98,89.12,23.11,6.37,0.59,58.02,-0.86,-1.4,276.13,73.98,84144.48,109,三级
云南省,昭通市,2013-02-20,92.64,101.06,28.76,7.46,0.66,59.86,-0.43,-0.79,278.61,68.09,84177.69,123,三级
云南省,昭通市,2013-02-21,107.04,116.62,34.15,7.02,0.7,59.59,-0.74,-1.8,277.34,80.07,84381.07,141,三级
云南省,昭通市,2013-02-22,104.84,114.51,29.11,5.72,0.69,67.08,-1.19,-1.1,279.2,67.89,84674.54,138,三级
云南省,昭通市,2013-02-23,76.59,85.01,26.91,6.68,0.58,69.9,1.42,1.16,283.88,55.68,84317.96,102,三级
云南省,昭通市,2013-02-24,66.25,73.17,24.21,5.28,0.5,71.91,3.3,0.79,285.76,44.44,83978.96,90,二级
