province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
云南省,曲靖市,2013-01-01,42.78,56.53,26.83,15.42,0.72,48.85,5.01,1.78,278.0,77.51,79871.05,60,二级
云南省,曲靖市,2013-01-02,33.98,46.48,21.18,14.04,0.68,54.15,5.9,3.02,281.88,63.55,79857.35,49,一级
云南省,曲靖市,2013-01-03,105.84,122.11,51.42,19.74,1.25,35.62,-3.16,1.52,272.38,87.25,80342.6,139,三级
云南省,曲靖市,2013-01-04,45.34,58.47,17.08,11.43,0.9,58.82,7.53,6.11,278.64,78.52,79856.62,63,二级
云南省,曲靖市,2013-01-05,22.89,34.71,12.09,12.12,0.59,64.04,11.0,4.48,283.05,51.08,79673.86,35,一级
云南省,曲靖市,2013-01-06,28.88,43.85,14.03,12.9,0.68,61.91,8.01,4.99,281.46,58.52,79805.07,44,一级
云南省,曲靖市,2013-01-07,26.69,41.06,12.31,11.54,0.66,66.51,9.67,5.73,281.85,61.56,79708.84,42,一级
云南省,曲靖市,2013-01-08,45.72,56.66,21.03,11.9,0.66,62.09,6.41,3.77,279.31,68.31,79749.65,64,二级
云南省,曲靖市,2013-01-09,128.59,151.37,55.32,16.71,1.37,48.6,-1.49,2.0,272.1,84.28,79963.27,170,四级
云南省,曲靖市,2013-01-10,84.24,98.15,24.68,11.83,0.98,59.68,1.36,5.87,274.45,89.21,79839.54,112,三级
云南省,曲靖市,2013-01-11,109.31,129.37,39.28,15.87,1.4,49.8,-1.42,1.11,273.08,94.16,80035.5,143,三级
云南省,曲靖市,2013-01-12,71.08,92.51,47.81,22.23,1.72,46.04,1.47,0.74,273.48,83.97,80005.12,96,二级
云南省,曲靖市,2013-01-13,47.65,67.79,18.13,18.22,1.05,53.81,6.69,2.14,279.85,56.6,79790.65,66,二级
云南省,曲靖市,2013-01-14,43.49,65.44,19.23,18.72,1.09,47.48,4.91,4.95,278.0,79.13,79810.46,61,二级
云南省,曲靖市,2013-01-15,55.57,73.13,21.86,15.02,0.94,53.13,4.15,3.49,278.95,80.5,80035.28,76,二级
云南省,曲靖市,2013-01-16,42.92,60.14,17.95,14.5,0.85,58.26,7.11,3.85,281.52,67.03,80109.15,60,二级
云南省,曲靖市,2013-01-17,111.5,137.69,55.83,18.66,1.59,36.77,-1.71,0.72,275.71,88.75,80565.39,146,三级
云南省,曲靖市,2013-01-18,74.84,96.7,28.97,14.09,1.2,47.56,4.47,4.71,278.63,85.21,80403.66,100,二级
云南省,曲靖市,2013-01-19,29.15,43.28,13.81,14.51,0.81,61.49,10.65,3.1,284.51,50.59,79916.72,44,一级
云南省,曲靖市,2013-01-20,18.19,26.77,12.2,12.18,0.66,67.35,11.57,2.41,285.5,35.16,79939.13,34,一级
