province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
云南省,红河哈尼族彝族自治州,2013-01-01,28.54,35.0,11.23,5.7,0.52,56.82,1.21,2.87,280.33,88.61,85271.42,41,一级
云南省,红河哈尼族彝族自治州,2013-01-02,25.29,32.21,9.52,5.51,0.48,61.76,3.24,3.33,284.3,85.75,85233.89,37,一级
云南省,红河哈尼族彝族自治州,2013-01-03,49.95,55.01,14.51,6.08,0.59,47.98,-4.87,1.51,279.42,91.85,85606.38,69,二级
云南省,红河哈尼族彝族自治州,2013-01-04,46.11,56.47,13.03,7.18,0.75,47.51,-0.09,4.19,280.12,94.8,85347.46,64,二级
云南省,红河哈尼族彝族自治州,2013-01-05,32.58,39.98,9.52,5.52,0.55,59.76,3.65,3.83,283.94,89.01,85131.78,47,一级
云南省,红河哈尼族彝族自治州,2013-01-06,32.14,40.51,9.11,5.17,0.52,59.93,1.42,4.25,282.38,90.79,85246.93,46,一级
云南省,红河哈尼族彝族自治州,2013-01-07,29.98,38.97,8.28,5.12,0.51,65.41,2.89,4.75,283.17,89.67,85160.5,43,一级
云南省,红河哈尼族彝族自治州,2013-01-08,27.98,33.05,7.61,4.57,0.42,63.6,2.55,5.04,283.56,87.95,85105.56,40,一级
云南省,红河哈尼族彝族自治州,2013-01-09,52.16,59.33,13.96,5.73,0.61,54.87,-2.75,2.72,278.87,89.48,85265.01,72,二级
云南省,红河哈尼族彝族自治州,2013-01-10,56.48,64.04,12.62,5.41,0.68,54.43,-2.57,3.51,277.78,91.2,85232.76,77,二级
云南省,红河哈尼族彝族自治州,2013-01-11,59.83,67.9,12.72,5.08,0.76,53.35,-3.12,2.95,278.16,92.17,85309.58,82,二级
云南省,红河哈尼族彝族自治州,2013-01-12,60.96,70.61,16.22,6.26,0.82,54.93,-2.19,1.19,277.74,91.84,85347.74,83,二级
云南省,红河哈尼族彝族自治州,2013-01-13,48.48,58.48,12.25,7.53,0.75,65.78,2.53,1.18,281.77,75.81,85180.48,67,二级
云南省,红河哈尼族彝族自治州,2013-01-14,42.0,52.37,9.98,6.59,0.76,63.89,0.74,3.12,281.88,87.39,85187.9,59,二级
云南省,红河哈尼族彝族自治州,2013-01-15,47.12,55.23,10.43,5.18,0.69,65.45,0.89,4.41,283.25,87.66,85386.32,66,二级
云南省,红河哈尼族彝族自治州,2013-01-16,44.98,54.91,9.68,5.66,0.75,66.16,1.88,4.3,283.84,87.63,85507.8,63,二级
云南省,红河哈尼族彝族自治州,2013-01-17,56.86,65.63,16.72,6.65,0.76,53.13,-3.21,1.6,281.76,91.01,85798.85,78,二级
云南省,红河哈尼族彝族自治州,2013-01-18,65.07,78.87,17.79,6.17,0.83,54.82,-1.05,2.64,280.39,91.43,85854.26,88,二级
云南省,红河哈尼族彝族自治州,2013-01-19,51.1,61.09,12.63,6.02,0.76,66.36,3.62,3.15,283.21,84.88,85449.2,71,二级
云南省,红河哈尼族彝族自治州,2013-01-20,36.66,43.28,9.77,5.55,0.57,69.89,4.33,2.59,286.0,75.2,85369.77,53,二级
云南省,红河哈尼族彝族自治州,2013-01-21,36.04,43.86,9.1,5.95,0.52,73.24,1.81,3.18,286.8,73.0,85487.82,52,二级
云南省,红河哈尼族彝族自治州,2013-01-22,35.47,42.05,9.3,4.91,0.48,72.24,0.9,4.03,286.52,77.98,85500.84,51,二级
云南省,红河哈尼族彝族自治州,2013-01-23,38.63,45.5,9.92,4.97,0.49,66.57,0.23,5.08,285.3,88.56,85385.35,55,二级
云南省,红河哈尼族彝族自治州,2013-01-24,37.03,44.48,11.54,5.21,0.43,68.91,-0.29,2.53,285.28,75.57,85368.32,53,二级
云南省,红河哈尼族彝族自治州,2013-01-25,55.58,67.66,18.04,4.88,0.58,59.89,-2.2,4.4,282.47,89.26,85363.3,76,二级
云南省,红河哈尼族彝族自治州,2013-01-26,45.51,53.21,11.65,4.58,0.48,64.23,-0.48,3.39,283.88,85.16,85308.14,64,二级
云南省,红河哈尼族彝族自治州,2013-01-27,55.14,59.01,12.0,3.91,0.53,63.46,-3.97,3.4,282.55,84.09,85558.57,76,二级
云南省,红河哈尼族彝族自治州,2013-01-28,46.02,54.43,12.1,4.76,0.52,66.13,0.03,3.82,282.46,80.55,85482.77,64,二级
云南省,红河哈尼族彝族自治州,2013-01-29,44.32,55.26,11.06,5.62,0.53,68.12,1.27,3.62,284.3,85.1,85455.19,62,二级
云南省,红河哈尼族彝族自治州,2013-01-30,44.36,54.09,10.11,5.14,0.55,64.08,0.15,4.56,285.21,92.35,85479.95,62,二级
云南省,红河哈尼族彝族自治州,2013-01-31,23.9,28.79,6.86,4.15,0.4,69.46,3.29,2.9,286.95,77.36,85480.14,35,一级
云南省,红河哈尼族彝族自治州,2013-02-01,21.33,27.89,6.44,5.93,0.41,76.05,2.79,2.21,286.64,58.61,85537.85,39,一级
云南省,红河哈尼族彝族自治州,2013-02-02,26.36,35.68,6.33,6.76,0.42,81.65,-0.24,2.97,286.09,64.59,85606.28,41,一级
