province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
内蒙古自治区,包头市,2013-01-01,5.51,7.76,7.55,3.57,0.63,42.79,5.7,-3.62,246.92,67.94,85883.01,22,一级
内蒙古自治区,包头市,2013-01-02,7.92,10.44,10.14,4.9,0.71,47.1,3.49,-2.65,243.16,64.99,87003.23,24,一级
内蒙古自治区,包头市,2013-01-03,21.5,27.64,31.65,10.44,0.83,54.41,2.33,0.62,248.59,53.5,87097.79,32,一级
内蒙古自治区,包头市,2013-01-04,61.72,80.11,80.03,27.14,1.67,38.86,3.67,1.14,251.83,44.45,86331.02,84,二级
内蒙古自治区,包头市,2013-01-05,47.44,64.51,43.44,13.67,1.03,52.64,3.41,-0.34,252.73,34.91,86177.28,66,二级
内蒙古自治区,包头市,2013-01-06,59.12,79.56,70.64,18.56,1.22,40.45,5.36,1.45,255.17,38.9,85962.83,81,二级
内蒙古自治区,包头市,2013-01-07,46.87,67.97,54.61,12.86,1.08,39.24,5.86,-0.99,253.92,64.84,85950.69,65,二级
内蒙古自治区,包头市,2013-01-08,13.57,21.12,13.38,6.03,0.82,51.42,4.61,-2.42,249.68,67.55,86389.52,26,一级
内蒙古自治区,包头市,2013-01-09,35.69,47.83,56.85,17.15,1.19,43.06,4.47,1.95,253.97,59.69,86149.32,54,二级
内蒙古自治区,包头市,2013-01-10,80.07,110.92,124.65,36.64,1.84,20.39,5.57,3.43,258.37,56.51,85757.15,107,三级
内蒙古自治区,包头市,2013-01-11,23.03,34.49,27.91,10.4,0.9,42.19,7.58,0.36,257.6,70.9,85939.97,35,一级
内蒙古自治区,包头市,2013-01-12,57.94,88.97,101.47,26.65,1.45,30.57,5.39,2.35,260.82,57.54,85681.17,79,二级
内蒙古自治区,包头市,2013-01-13,58.91,87.71,66.1,20.35,1.5,39.45,4.43,1.51,261.48,51.38,85799.37,80,二级
内蒙古自治区,包头市,2013-01-14,84.57,117.51,94.78,37.06,1.92,23.36,4.77,3.67,263.01,43.2,85875.93,112,三级
内蒙古自治区,包头市,2013-01-15,26.33,48.76,34.96,10.04,0.98,40.43,5.47,-1.94,258.61,77.67,86095.93,49,一级
内蒙古自治区,包头市,2013-01-16,14.33,23.14,14.24,6.6,0.91,48.44,1.54,-1.72,255.12,75.99,86712.69,25,一级
内蒙古自治区,包头市,2013-01-17,45.54,59.23,60.48,26.17,1.58,36.55,3.53,4.25,260.42,53.96,86883.62,64,二级
内蒙古自治区,包头市,2013-01-18,78.34,108.77,90.42,38.08,2.47,20.4,4.11,2.13,262.32,54.25,86366.15,105,三级
内蒙古自治区,包头市,2013-01-19,62.68,95.58,79.24,30.74,1.96,32.45,0.1,2.56,262.78,52.15,85976.02,85,二级
内蒙古自治区,包头市,2013-01-20,55.74,77.13,44.08,21.74,1.43,32.12,1.93,-0.92,261.93,84.6,86112.53,76,二级
内蒙古自治区,包头市,2013-01-21,24.45,32.28,23.11,9.46,0.93,52.2,0.65,-0.17,258.61,64.61,86472.89,35,一级
内蒙古自治区,包头市,2013-01-22,74.78,96.64,78.41,29.65,2.06,29.79,4.77,3.83,261.9,59.87,86036.35,100,二级
内蒙古自治区,包头市,2013-01-23,32.6,44.83,28.79,11.74,1.49,39.12,6.27,-2.23,259.23,78.81,85745.69,47,一级
内蒙古自治区,包头市,2013-01-24,11.97,17.76,20.07,6.4,0.73,46.79,6.96,-1.68,258.32,66.33,86022.05,24,一级
内蒙古自治区,包头市,2013-01-25,16.15,23.56,16.38,7.23,0.93,45.5,6.88,-2.07,261.91,54.73,85783.99,24,一级
内蒙古自治区,包头市,2013-01-26,25.54,34.9,26.9,8.29,1.16,40.91,5.1,-1.38,262.37,67.75,86187.77,37,一级
