province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
内蒙古自治区,巴彦淖尔市,2013-01-01,2.85,3.4,2.85,1.67,0.2,44.97,1.36,-3.37,250.2,65.85,87618.02,23,一级
内蒙古自治区,巴彦淖尔市,2013-01-02,3.88,4.74,3.55,2.27,0.23,51.18,0.32,-2.54,246.54,59.62,88739.64,26,一级
内蒙古自治区,巴彦淖尔市,2013-01-03,11.94,14.41,12.81,6.16,0.31,59.71,-0.15,1.02,250.43,48.93,88666.49,30,一级
内蒙古自治区,巴彦淖尔市,2013-01-04,30.89,36.71,33.77,16.02,0.47,48.22,0.86,0.68,253.46,42.66,87907.31,45,一级
内蒙古自治区,巴彦淖尔市,2013-01-05,18.92,21.54,15.7,7.31,0.31,54.46,2.21,0.26,255.07,32.64,87757.9,28,一级
内蒙古自治区,巴彦淖尔市,2013-01-06,23.94,27.19,19.28,7.76,0.32,44.14,4.29,1.61,256.97,39.7,87542.41,35,一级
内蒙古自治区,巴彦淖尔市,2013-01-07,9.07,10.41,6.98,3.23,0.22,44.95,4.52,-1.31,255.88,61.05,87594.52,23,一级
内蒙古自治区,巴彦淖尔市,2013-01-08,5.31,6.47,4.42,2.39,0.22,54.98,1.97,-1.45,253.26,62.02,88046.67,28,一级
内蒙古自治区,巴彦淖尔市,2013-01-09,13.7,16.47,16.28,7.07,0.29,51.43,2.28,2.01,256.43,58.64,87678.63,26,一级
内蒙古自治区,巴彦淖尔市,2013-01-10,31.34,37.83,39.71,15.18,0.45,37.39,5.31,2.49,259.1,58.45,87317.18,45,一级
内蒙古自治区,巴彦淖尔市,2013-01-11,6.72,7.8,5.49,3.04,0.2,47.55,5.91,1.38,259.95,69.36,87562.07,24,一级
内蒙古自治区,巴彦淖尔市,2013-01-12,17.32,21.45,24.03,9.57,0.33,44.87,4.5,1.91,262.41,52.93,87183.59,25,一级
内蒙古自治区,巴彦淖尔市,2013-01-13,23.77,28.19,25.63,11.71,0.37,46.99,1.63,1.9,263.21,45.62,87288.24,34,一级
内蒙古自治区,巴彦淖尔市,2013-01-14,33.21,39.8,40.85,15.92,0.47,37.62,5.05,2.81,262.57,51.37,87429.63,48,一级
内蒙古自治区,巴彦淖尔市,2013-01-15,4.61,5.46,4.23,2.25,0.22,45.89,4.86,-1.05,261.77,70.67,87698.53,23,一级
内蒙古自治区,巴彦淖尔市,2013-01-16,4.18,5.08,4.11,2.41,0.23,49.94,-0.28,-1.9,259.44,68.92,88291.98,25,一级
内蒙古自治区,巴彦淖尔市,2013-01-17,26.38,31.99,32.13,15.8,0.44,42.61,-0.08,4.1,262.68,53.1,88342.26,38,一级
内蒙古自治区,巴彦淖尔市,2013-01-18,48.69,57.64,47.19,21.78,0.61,29.21,1.36,1.77,263.95,49.85,87862.67,68,二级
内蒙古自治区,巴彦淖尔市,2013-01-19,56.97,66.17,50.56,22.76,0.61,29.68,-1.8,0.92,263.41,49.82,87413.84,78,二级
内蒙古自治区,巴彦淖尔市,2013-01-20,25.25,29.17,18.47,8.54,0.36,40.05,2.34,-1.53,262.5,66.66,87698.73,37,一级
内蒙古自治区,巴彦淖尔市,2013-01-21,7.46,8.78,6.44,3.42,0.22,52.08,0.25,-0.5,262.21,53.66,88003.04,27,一级
内蒙古自治区,巴彦淖尔市,2013-01-22,23.86,28.48,27.69,11.87,0.37,44.02,4.26,3.58,264.02,61.29,87540.55,35,一级
内蒙古自治区,巴彦淖尔市,2013-01-23,6.09,7.1,4.72,2.89,0.19,47.41,5.08,-3.12,262.26,68.95,87414.51,24,一级
内蒙古自治区,巴彦淖尔市,2013-01-24,3.25,3.94,3.54,1.83,0.2,52.31,7.31,0.28,262.63,51.93,87651.57,27,一级
内蒙古自治区,巴彦淖尔市,2013-01-25,3.36,3.96,3.09,1.66,0.18,49.21,6.87,-0.79,265.4,43.07,87396.22,25,一级
内蒙古自治区,巴彦淖尔市,2013-01-26,5.06,5.98,5.11,2.69,0.2,45.98,3.6,0.72,266.31,50.88,87753.36,23,一级
内蒙古自治区,巴彦淖尔市,2013-01-27,9.37,11.23,10.68,5.0,0.24,45.07,5.44,2.21,267.83,44.75,87626.44,23,一级
内蒙古自治区,巴彦淖尔市,2013-01-28,8.14,9.67,8.31,4.14,0.23,45.94,3.54,1.32,268.19,46.96,87411.27,23,一级
内蒙古自治区,巴彦淖尔市,2013-01-29,27.89,34.51,38.62,15.54,0.45,37.26,4.24,4.04,269.03,44.63,87255.76,40,一级
内蒙古自治区,巴彦淖尔市,2013-01-30,23.65,29.0,29.13,14.75,0.4,31.51,1.87,3.68,270.35,46.26,87090.91,34,一级
内蒙古自治区,巴彦淖尔市,2013-01-31,18.93,22.35,16.26,10.08,0.36,48.39,7.67,0.22,268.2,53.89,87125.91,28,一级
内蒙古自治区,巴彦淖尔市,2013-02-01,4.94,6.15,4.59,2.23,0.21,49.55,-0.04,-1.9,261.08,54.74,87975.34,25,一级
内蒙古自治区,巴彦淖尔市,2013-02-02,16.42,20.13,21.29,11.74,0.32,45.65,1.18,3.34,265.19,43.15,87644.27,24,一级
内蒙古自治区,巴彦淖尔市,2013-02-03,26.67,31.42,23.49,12.79,0.39,40.71,1.03,-1.98,266.36,50.64,87067.71,39,一级
内蒙古自治区,巴彦淖尔市,2013-02-04,10.43,13.08,13.49,8.25,0.26,47.9,-1.83,0.03,262.22,48.15,87550.45,24,一级
内蒙古自治区,巴彦淖尔市,2013-02-05,9.71,11.94,11.47,6.75,0.25,47.2,3.27,-2.34,264.79,46.21,87565.26,24,一级
内蒙古自治区,巴彦淖尔市,2013-02-06,2.33,2.95,2.56,1.54,0.18,58.37,-3.16,-4.73,259.79,44.37,87986.65,30,一级
内蒙古自治区,巴彦淖尔市,2013-02-07,5.9,7.34,6.22,3.54,0.23,57.19,-2.42,-1.4,256.53,36.4,88349.42,29,一级
内蒙古自治区,巴彦淖尔市,2013-02-08,18.6,22.99,23.39,9.57,0.37,45.07,4.8,1.81,262.97,50.42,87775.53,27,一级
内蒙古自治区,巴彦淖尔市,2013-02-09,5.21,6.34,4.58,2.25,0.21,45.8,-1.94,-3.1,261.56,57.46,87521.61,23,一级
内蒙古自治区,巴彦淖尔市,2013-02-10,7.32,8.95,6.95,4.03,0.23,53.46,-4.35,-2.69,259.6,49.58,87740.2,27,一级
