province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
北京市,昌平区,2013-01-01,22.39,33.16,18.14,15.32,0.84,43.88,5.85,-5.3,259.28,37.88,99057.29,34,一级
北京市,昌平区,2013-01-02,12.0,16.65,11.12,8.2,0.48,52.04,9.59,-6.78,256.63,36.58,100304.8,27,一级
北京市,昌平区,2013-01-03,21.66,29.82,19.36,16.79,0.55,51.54,8.96,-5.74,259.7,37.68,100679.38,31,一级
北京市,昌平区,2013-01-04,52.7,77.85,63.31,38.9,0.95,40.31,7.73,-3.6,261.95,33.94,99782.75,73,二级
北京市,昌平区,2013-01-05,68.34,94.96,41.77,36.19,1.39,43.18,6.65,-4.42,263.46,33.72,99455.2,92,二级
北京市,昌平区,2013-01-06,77.53,108.99,63.64,53.78,1.54,27.45,4.88,-2.69,263.99,36.76,99409.88,104,三级
北京市,昌平区,2013-01-07,105.33,143.68,68.62,57.63,2.24,19.03,3.95,-2.87,264.99,40.52,99243.2,138,三级
北京市,昌平区,2013-01-08,47.6,62.52,37.36,27.04,1.27,42.05,5.76,-4.54,260.94,43.52,99782.91,66,二级
北京市,昌平区,2013-01-09,25.73,39.87,30.2,29.1,0.67,44.09,7.98,-4.22,262.66,39.32,99628.96,40,一级
北京市,昌平区,2013-01-10,217.93,309.36,129.65,83.07,2.8,15.16,1.56,-0.16,265.07,50.34,99365.56,268,五级
北京市,昌平区,2013-01-11,147.76,215.31,88.45,59.87,2.17,26.58,4.99,-3.56,266.85,53.36,99028.17,197,四级
北京市,昌平区,2013-01-12,383.51,501.18,163.45,93.12,6.72,14.01,0.92,-0.59,268.61,52.33,99031.0,423,六级
北京市,昌平区,2013-01-13,266.49,385.49,213.33,83.89,5.47,9.45,1.27,-0.58,267.33,65.05,99069.28,317,六级
北京市,昌平区,2013-01-14,155.29,217.59,124.42,65.71,3.8,16.72,-0.26,0.16,268.99,50.15,99375.54,206,五级
北京市,昌平区,2013-01-15,85.79,128.33,70.97,47.15,1.69,21.63,0.86,-1.35,265.59,72.31,99233.35,114,三级
北京市,昌平区,2013-01-16,57.86,68.53,31.86,26.55,1.3,41.11,4.74,-4.36,265.55,44.76,99940.48,79,二级
北京市,昌平区,2013-01-17,32.26,42.05,26.77,42.28,0.88,37.78,4.76,-1.94,266.96,45.04,100320.0,53,二级
北京市,昌平区,2013-01-18,88.45,100.19,71.66,78.9,2.12,16.66,4.25,-1.09,270.67,43.12,99441.42,117,三级
北京市,昌平区,2013-01-19,133.97,152.88,61.92,85.03,2.56,17.03,-0.28,-1.11,268.22,53.26,99646.49,178,四级
北京市,昌平区,2013-01-20,95.29,150.92,40.53,69.32,2.04,5.9,-1.35,0.21,266.07,90.24,99687.06,126,三级
北京市,昌平区,2013-01-21,75.64,83.92,33.43,47.05,1.87,31.61,2.61,-3.27,268.34,56.11,99581.21,101,三级
北京市,昌平区,2013-01-22,107.36,113.53,40.32,68.69,1.75,33.02,1.06,-0.83,265.76,57.42,99529.37,141,三级
北京市,昌平区,2013-01-23,193.23,196.71,54.7,92.32,3.66,17.06,3.63,-2.31,267.77,63.88,98506.09,244,五级
北京市,昌平区,2013-01-24,14.2,25.67,12.14,17.38,0.45,52.82,5.78,-5.47,265.58,40.05,99060.57,27,一级
北京市,昌平区,2013-01-25,48.92,60.9,47.24,52.48,1.39,22.98,1.87,-1.05,262.68,55.47,99078.97,68,二级
