province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
台湾省,台东县,2013-01-01,19.19,22.73,4.26,14.43,0.28,51.71,-1.8,-3.68,284.37,87.59,90553.45,28,一级
台湾省,台东县,2013-01-02,15.35,18.12,2.86,15.25,0.27,54.93,-1.65,-3.14,287.27,88.97,90665.27,28,一级
台湾省,台东县,2013-01-03,12.35,17.32,2.72,7.83,0.25,57.59,-5.0,-8.49,287.22,86.28,90795.72,29,一级
台湾省,台东县,2013-01-04,8.12,12.18,2.16,8.52,0.24,56.73,-4.0,-6.68,286.48,82.86,90601.8,29,一级
台湾省,台东县,2013-01-05,9.1,14.15,2.33,12.91,0.24,53.83,-1.67,-4.26,287.51,85.06,90359.06,27,一级
台湾省,台东县,2013-01-06,8.88,14.91,2.34,11.95,0.23,61.13,-0.67,-3.86,288.2,82.49,90444.05,31,一级
台湾省,台东县,2013-01-07,16.76,23.59,2.69,12.63,0.29,60.95,-0.79,-2.73,288.73,88.15,90465.26,31,一级
台湾省,台东县,2013-01-08,26.95,35.5,3.36,11.55,0.34,53.71,-1.8,-3.69,287.82,94.2,90447.19,39,一级
台湾省,台东县,2013-01-09,22.85,29.41,3.58,9.53,0.31,56.17,-2.9,-4.97,285.84,94.78,90426.53,33,一级
台湾省,台东县,2013-01-10,21.6,26.77,3.5,7.71,0.31,54.45,-4.11,-7.18,284.92,87.52,90546.51,31,一级
台湾省,台东县,2013-01-11,9.24,11.78,2.15,8.71,0.24,59.63,-3.97,-6.97,286.53,82.36,90638.74,30,一级
台湾省,台东县,2013-01-12,8.5,10.48,1.83,11.35,0.23,59.95,-4.01,-6.68,288.36,84.98,90458.79,30,一级
台湾省,台东县,2013-01-13,7.93,12.17,1.99,11.9,0.2,56.74,-0.31,-3.22,289.34,83.33,89995.78,29,一级
台湾省,台东县,2013-01-14,14.33,21.04,3.04,9.04,0.25,65.64,-3.96,-7.52,284.14,69.69,90358.96,33,一级
台湾省,台东县,2013-01-15,12.01,15.0,2.69,12.31,0.22,58.55,-2.87,-5.54,283.12,74.0,90701.74,30,一级
台湾省,台东县,2013-01-16,16.33,19.41,3.67,16.43,0.22,55.77,-1.53,-3.16,284.53,76.43,90694.79,28,一级
台湾省,台东县,2013-01-17,39.35,46.23,6.11,12.1,0.39,56.08,-2.36,-6.4,283.56,82.29,90832.43,56,二级
台湾省,台东县,2013-01-18,11.32,15.64,2.62,6.85,0.25,63.96,-4.7,-8.14,280.4,86.91,91007.36,32,一级
台湾省,台东县,2013-01-19,6.88,8.55,1.71,10.3,0.21,65.82,-4.16,-6.55,283.02,80.69,90927.57,33,一级
台湾省,台东县,2013-01-20,5.31,6.74,1.2,11.08,0.2,66.09,-3.15,-3.69,285.74,81.94,90940.79,34,一级
台湾省,台东县,2013-01-21,7.74,9.96,1.73,16.52,0.21,59.92,-2.16,-2.0,287.16,90.57,90833.44,30,一级
台湾省,台东县,2013-01-22,28.96,34.4,4.32,21.08,0.33,56.23,-1.36,-2.0,287.61,86.7,90720.82,42,一级
台湾省,台东县,2013-01-23,54.17,63.38,6.89,15.33,0.48,48.95,-1.17,-4.1,286.23,89.56,90597.22,74,二级
台湾省,台东县,2013-01-24,47.91,54.73,7.37,13.1,0.42,53.85,-0.11,-2.86,286.18,90.98,90486.31,67,二级
台湾省,台东县,2013-01-25,71.84,80.55,11.34,12.18,0.57,54.84,-2.47,-5.11,284.75,91.55,90519.91,97,二级
台湾省,台东县,2013-01-26,36.15,41.36,5.35,11.42,0.37,63.94,-0.16,-3.06,285.45,85.77,90479.83,52,二级
台湾省,台东县,2013-01-27,23.34,27.57,5.09,10.17,0.3,63.28,-2.76,-6.09,284.33,87.15,90667.59,34,一级
台湾省,台东县,2013-01-28,11.39,13.52,2.99,7.78,0.23,63.99,-3.84,-6.57,282.82,82.5,90832.34,32,一级
台湾省,台东县,2013-01-29,10.34,12.4,2.88,15.08,0.23,57.38,-0.77,-2.99,285.08,79.71,90817.34,29,一级
台湾省,台东县,2013-01-30,10.74,13.12,3.22,13.31,0.22,61.9,-3.32,-5.29,285.33,77.8,90965.21,31,一级
台湾省,台东县,2013-01-31,9.98,11.85,2.66,12.33,0.23,67.33,-3.34,-3.98,285.79,78.3,90976.08,34,一级
台湾省,台东县,2013-02-01,7.69,9.65,1.56,14.34,0.21,64.22,-2.48,-2.92,288.63,84.9,90898.77,33,一级
台湾省,台东县,2013-02-02,7.63,9.52,1.26,11.65,0.19,58.06,-4.03,-4.14,289.89,94.69,90932.91,30,一级
台湾省,台东县,2013-02-03,7.68,9.79,1.3,9.85,0.18,57.64,-3.9,-2.55,289.29,96.43,90900.39,29,一级
台湾省,台东县,2013-02-04,6.72,9.22,1.54,12.59,0.17,64.81,-2.29,0.14,290.36,92.38,90862.96,33,一级
台湾省,台东县,2013-02-05,7.84,10.02,1.92,11.82,0.17,65.7,-1.05,0.08,290.11,86.19,90740.25,33,一级
台湾省,台东县,2013-02-06,27.31,31.6,4.52,14.96,0.28,56.91,-1.95,-2.6,288.76,86.61,90589.11,40,一级
台湾省,台东县,2013-02-07,30.92,35.6,4.47,12.37,0.33,61.22,-0.56,-1.26,288.75,84.16,90350.42,45,一级
台湾省,台东县,2013-02-08,13.3,20.64,2.53,9.39,0.25,61.49,-3.2,-7.07,286.78,88.28,90548.27,31,一级
台湾省,台东县,2013-02-09,7.98,13.42,1.79,9.13,0.21,64.89,-2.42,-5.33,286.0,90.38,90724.62,33,一级
台湾省,台东县,2013-02-10,11.92,16.4,2.58,12.62,0.22,60.27,-1.97,-4.37,286.89,86.5,90656.15,31,一级
台湾省,台东县,2013-02-11,14.03,18.33,2.8,12.7,0.24,60.74,-2.45,-4.02,288.07,87.38,90661.44,31,一级
台湾省,台东县,2013-02-12,16.52,22.17,2.64,11.72,0.25,69.28,-1.98,-2.4,288.75,89.03,90706.89,35,一级
台湾省,台东县,2013-02-13,19.31,25.82,2.8,7.82,0.27,68.53,-3.6,-4.94,287.14,90.68,90707.57,35,一级
台湾省,台东县,2013-02-14,19.55,23.95,2.52,12.93,0.27,65.79,-2.16,-1.6,289.44,89.46,90600.6,33,一级
台湾省,台东县,2013-02-15,24.48,30.76,3.4,14.04,0.28,68.47,-1.22,-2.03,288.97,89.91,90542.28,35,一级
台湾省,台东县,2013-02-16,27.02,32.95,3.71,7.5,0.31,69.23,-4.11,-6.17,285.92,91.97,90636.84,39,一级
台湾省,台东县,2013-02-17,21.16,25.45,2.69,9.29,0.26,72.68,-3.57,-1.34,287.51,96.2,90499.25,37,一级
台湾省,台东县,2013-02-18,17.62,21.54,2.59,12.38,0.23,74.13,-0.39,0.86,289.51,89.42,90386.88,38,一级
台湾省,台东县,2013-02-19,16.29,21.83,3.35,13.28,0.21,72.25,-0.93,-1.38,290.16,83.48,90393.97,37,一级
台湾省,台东县,2013-02-20,12.6,18.52,2.5,8.07,0.24,67.95,-3.87,-6.74,286.43,86.82,90667.56,34,一级
台湾省,台东县,2013-02-21,10.78,13.8,2.37,10.31,0.22,65.82,-4.14,-6.94,287.7,81.94,90714.44,33,一级
台湾省,台东县,2013-02-22,11.85,15.77,2.41,11.0,0.22,69.36,-2.71,-3.85,288.15,87.5,90743.13,35,一级
台湾省,台东县,2013-02-23,17.5,22.74,3.01,5.77,0.25,69.58,-5.08,-8.46,286.67,87.01,90895.76,35,一级
台湾省,台东县,2013-02-24,16.7,19.62,2.42,7.03,0.24,70.49,-5.39,-5.63,286.31,95.12,90898.67,36,一级
台湾省,台东县,2013-02-25,15.44,18.26,2.32,12.75,0.22,66.27,-2.5,-2.68,287.66,92.05,90811.03,34,一级
台湾省,台东县,2013-02-26,15.6,18.46,2.9,14.21,0.2,66.4,-0.73,0.39,288.73,92.28,90588.81,34,一级
台湾省,台东县,2013-02-27,16.72,20.16,3.67,13.65,0.19,67.59,1.51,-1.75,290.34,84.16,90292.68,34,一级
台湾省,台东县,2013-02-28,21.84,26.46,3.8,12.25,0.25,69.95,-1.2,-3.2,288.96,88.53,90250.5,35,一级
台湾省,台东县,2013-03-01,19.49,22.66,4.21,14.82,0.22,73.24,2.47,-1.52,290.69,75.1,90311.37,37,一级
台湾省,台东县,2013-03-02,15.76,24.08,2.8,9.17,0.25,65.21,-3.13,-6.03,286.71,93.14,90656.24,33,一级
台湾省,台东县,2013-03-03,11.8,17.08,2.5,9.09,0.22,64.82,-2.34,-4.79,284.15,94.62,90693.78,33,一级
台湾省,台东县,2013-03-04,12.53,15.08,3.49,7.91,0.22,76.59,-3.68,-6.26,282.93,82.43,90808.09,39,一级
台湾省,台东县,2013-03-05,15.89,17.63,4.43,9.05,0.23,70.34,-4.45,-6.59,283.63,72.97,90950.18,36,一级
台湾省,台东县,2013-03-06,17.93,20.36,3.35,10.15,0.25,72.45,-2.94,-3.6,285.26,85.97,90815.6,37,一级
台湾省,台东县,2013-03-07,18.36,21.1,3.23,12.42,0.25,81.84,-0.53,-1.73,286.96,71.87,90655.2,41,一级
台湾省,台东县,2013-03-08,18.35,20.89,3.21,15.53,0.24,77.73,-1.61,-1.28,287.85,76.44,90575.02,39,一级
台湾省,台东县,2013-03-09,15.44,17.43,2.7,12.52,0.22,84.44,-2.43,-0.93,288.68,67.95,90515.13,43,一级
台湾省,台东县,2013-03-10,14.4,16.66,2.72,12.58,0.2,85.56,-0.53,0.09,290.03,70.83,90481.88,43,一级
台湾省,台东县,2013-03-11,24.47,32.33,3.21,8.51,0.26,81.31,-2.72,-4.07,288.64,89.03,90580.64,41,一级
台湾省,台东县,2013-03-12,20.09,24.51,2.48,10.43,0.23,76.63,-1.92,-1.44,289.69,86.34,90471.05,39,一级
台湾省,台东县,2013-03-13,11.84,14.09,2.03,12.73,0.17,59.0,0.65,-0.13,291.48,87.29,90380.91,30,一级
台湾省,台东县,2013-03-14,22.1,31.88,3.84,7.46,0.27,72.59,-3.62,-6.37,287.31,92.44,90676.35,37,一级
台湾省,台东县,2013-03-15,15.09,19.95,2.41,9.48,0.23,75.12,-2.44,-4.38,286.9,91.19,90799.86,38,一级
台湾省,台东县,2013-03-16,15.18,18.08,2.6,12.27,0.23,74.03,-3.01,-3.77,288.33,85.64,90764.64,38,一级
台湾省,台东县,2013-03-17,14.06,16.55,2.03,10.5,0.21,77.29,-1.09,0.63,289.49,82.98,90401.57,39,一级
台湾省,台东县,2013-03-18,15.61,19.11,2.3,10.43,0.19,68.22,5.95,-0.38,291.63,81.91,90009.87,35,一级
台湾省,台东县,2013-03-19,33.64,39.19,5.36,11.36,0.29,86.18,0.31,-0.06,291.0,87.52,90244.38,49,一级
