province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
台湾省,新北市,2013-01-01,21.16,25.31,7.98,11.25,0.28,58.94,-5.43,-0.32,284.74,86.26,98107.25,31,一级
台湾省,新北市,2013-01-02,19.59,25.44,8.28,13.79,0.26,63.88,-2.45,-1.78,288.8,91.39,98167.6,32,一级
台湾省,新北市,2013-01-03,15.4,26.38,5.27,7.46,0.27,60.3,-4.36,-8.93,286.16,95.36,98536.73,31,一级
台湾省,新北市,2013-01-04,7.93,15.03,4.25,7.38,0.23,66.37,-4.8,-6.06,286.01,95.14,98231.61,34,一级
台湾省,新北市,2013-01-05,8.53,16.63,4.66,8.56,0.24,65.12,-3.04,-6.58,287.0,96.95,97904.69,33,一级
台湾省,新北市,2013-01-06,14.75,24.07,5.27,8.43,0.28,66.56,-3.13,-6.13,287.84,97.07,97955.27,34,一级
台湾省,新北市,2013-01-07,38.68,50.75,7.43,10.35,0.41,56.5,-2.77,-5.43,288.39,98.04,97923.84,55,二级
台湾省,新北市,2013-01-08,39.25,49.59,9.07,11.8,0.4,54.73,-2.74,-6.08,286.75,95.74,97968.54,56,二级
台湾省,新北市,2013-01-09,28.21,35.87,7.74,8.6,0.33,63.35,-2.51,-7.08,285.07,92.22,98061.22,41,一级
台湾省,新北市,2013-01-10,17.56,25.06,5.09,6.2,0.28,64.62,-5.69,-7.14,285.0,92.78,98217.69,33,一级
台湾省,新北市,2013-01-11,9.15,14.47,3.7,5.97,0.23,73.86,-7.3,-1.75,287.22,93.47,98186.91,37,一级
台湾省,新北市,2013-01-12,7.94,15.17,4.14,8.24,0.22,71.51,-5.08,-4.53,288.81,99.05,97975.29,36,一级
台湾省,新北市,2013-01-13,12.06,22.23,5.3,10.54,0.24,68.59,0.87,-6.31,288.38,97.89,97501.96,35,一级
台湾省,新北市,2013-01-14,27.08,35.06,8.08,10.54,0.34,66.02,-0.69,-6.97,284.26,80.51,98039.16,39,一级
台湾省,新北市,2013-01-15,13.49,17.49,4.95,8.51,0.25,69.64,-6.52,-0.12,285.7,78.61,98251.01,35,一级
台湾省,新北市,2013-01-16,28.32,34.5,10.14,15.22,0.32,65.89,-2.13,-3.77,286.03,86.84,98269.28,41,一级
台湾省,新北市,2013-01-17,51.41,61.21,10.37,9.08,0.47,58.78,-1.5,-8.9,283.14,87.87,98658.95,71,二级
台湾省,新北市,2013-01-18,7.93,12.88,4.14,6.82,0.24,69.45,-4.95,-5.93,281.49,80.96,98847.17,35,一级
台湾省,新北市,2013-01-19,5.57,8.67,2.66,5.61,0.22,77.6,-8.27,0.9,285.79,85.43,98490.35,39,一级
台湾省,新北市,2013-01-20,4.91,7.44,3.06,7.86,0.19,71.88,-5.8,4.93,289.32,80.65,98356.45,36,一级
台湾省,新北市,2013-01-21,9.34,13.22,7.26,17.27,0.2,65.88,-2.06,3.34,291.15,78.91,98206.19,33,一级
台湾省,新北市,2013-01-22,93.49,112.1,17.61,34.43,0.72,25.06,-1.4,-5.14,287.46,95.94,98228.98,124,三级
台湾省,新北市,2013-01-23,83.21,97.05,18.08,22.17,0.66,35.16,-1.91,-5.15,285.16,94.27,98161.58,111,三级
台湾省,新北市,2013-01-24,71.84,82.11,17.76,15.22,0.57,52.39,-3.04,-2.17,286.58,86.53,97982.97,97,二级
台湾省,新北市,2013-01-25,80.54,91.98,17.04,13.35,0.64,56.33,-3.61,-5.46,285.0,84.95,98141.77,107,三级
台湾省,新北市,2013-01-26,13.28,16.94,5.48,8.81,0.25,78.35,-3.67,-3.84,286.12,87.02,98023.06,40,一级
台湾省,新北市,2013-01-27,33.02,39.19,10.68,10.03,0.37,65.65,-3.59,-6.4,284.92,78.97,98383.09,48,一级
台湾省,新北市,2013-01-28,4.69,6.94,3.33,5.66,0.21,72.83,-7.82,-1.39,285.07,78.2,98466.22,37,一级
台湾省,新北市,2013-01-29,9.0,12.12,6.64,13.16,0.22,66.02,-0.59,0.12,287.65,80.06,98337.0,34,一级
台湾省,新北市,2013-01-30,9.62,12.61,6.71,11.63,0.22,72.32,-4.35,-2.58,287.21,75.78,98527.55,37,一级
台湾省,新北市,2013-01-31,9.68,12.28,5.45,10.72,0.22,72.53,-5.05,3.43,289.4,73.54,98371.86,37,一级
台湾省,新北市,2013-02-01,15.31,20.01,11.28,22.03,0.22,64.69,-1.28,1.92,291.55,65.11,98290.83,33,一级
台湾省,新北市,2013-02-02,40.45,53.1,6.08,11.39,0.38,61.21,-6.05,-2.68,290.78,96.67,98365.62,57,二级
台湾省,新北市,2013-02-03,24.97,33.9,4.23,7.38,0.29,63.99,-6.42,2.32,292.35,91.32,98174.74,36,一级
台湾省,新北市,2013-02-04,26.83,35.28,16.38,28.4,0.25,51.09,-0.35,-0.03,292.74,85.31,98175.1,39,一级
台湾省,新北市,2013-02-05,30.31,37.79,9.22,19.23,0.31,45.63,1.78,0.76,291.7,86.86,98039.19,44,一级
台湾省,新北市,2013-02-06,50.37,60.28,13.45,20.92,0.44,39.1,-1.75,-2.89,288.63,94.44,98004.83,70,二级
台湾省,新北市,2013-02-07,31.72,40.09,6.97,7.66,0.34,66.79,-4.28,-3.16,289.54,92.85,97763.83,46,一级
台湾省,新北市,2013-02-08,6.54,16.85,3.49,6.07,0.22,74.13,-4.63,-8.24,285.32,94.42,98248.05,38,一级
台湾省,新北市,2013-02-09,6.57,13.4,4.26,7.92,0.21,75.06,-3.23,-6.24,285.25,94.76,98341.32,38,一级
台湾省,新北市,2013-02-10,12.35,18.31,5.68,9.13,0.23,72.57,-3.69,-4.69,286.49,95.67,98194.73,37,一级
台湾省,新北市,2013-02-11,14.19,21.92,5.6,8.41,0.24,73.71,-3.46,-5.53,288.3,97.33,98164.78,37,一级
台湾省,新北市,2013-02-12,22.14,32.07,7.52,11.95,0.28,69.57,-0.06,-5.83,288.23,97.18,98205.65,35,一级
台湾省,新北市,2013-02-13,24.19,31.86,6.4,7.2,0.29,74.54,-5.61,-3.65,286.76,93.57,98222.68,38,一级
台湾省,新北市,2013-02-14,20.12,25.88,6.04,11.63,0.25,70.58,-3.19,1.98,291.76,86.94,97921.94,36,一级
台湾省,新北市,2013-02-15,35.98,46.24,10.35,16.84,0.34,65.55,-0.4,-5.01,288.17,93.61,98039.54,52,二级
台湾省,新北市,2013-02-16,27.49,34.5,5.5,5.0,0.32,81.09,-7.91,-2.66,286.92,89.44,98154.87,41,一级
台湾省,新北市,2013-02-17,12.87,18.1,3.71,6.05,0.22,84.28,-6.2,4.74,291.04,88.31,97804.29,43,一级
