province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
台湾省,高雄市,2013-01-01,17.0,20.92,7.84,26.49,0.24,42.74,1.64,-2.03,286.62,72.06,93485.45,34,一级
台湾省,高雄市,2013-01-02,14.61,18.12,6.46,25.59,0.24,42.57,1.39,-2.74,289.33,73.84,93577.1,32,一级
台湾省,高雄市,2013-01-03,14.57,22.34,5.45,18.3,0.28,44.69,-0.13,-3.38,289.95,75.02,93652.89,23,一级
台湾省,高雄市,2013-01-04,11.09,18.24,5.48,20.3,0.26,44.24,0.49,-3.32,288.64,73.94,93503.73,26,一级
台湾省,高雄市,2013-01-05,11.54,17.74,6.19,24.81,0.22,42.21,1.52,-3.42,288.92,75.61,93284.84,32,一级
台湾省,高雄市,2013-01-06,11.28,16.98,6.14,24.28,0.22,48.81,1.68,-3.03,289.8,70.77,93363.21,31,一级
台湾省,高雄市,2013-01-07,17.32,23.68,6.76,26.78,0.26,46.79,1.37,-2.23,290.14,78.11,93377.04,34,一级
台湾省,高雄市,2013-01-08,25.24,31.48,7.62,29.99,0.3,32.26,1.5,-1.8,289.49,87.2,93345.96,38,一级
台湾省,高雄市,2013-01-09,26.25,32.99,7.57,24.69,0.31,32.47,2.02,-2.42,287.51,88.87,93346.57,38,一级
台湾省,高雄市,2013-01-10,23.07,30.18,6.58,21.11,0.31,41.35,0.63,-1.67,287.56,77.69,93423.92,33,一级
台湾省,高雄市,2013-01-11,12.62,17.7,5.43,20.94,0.27,47.45,-1.08,-3.1,288.69,71.1,93507.26,27,一级
台湾省,高雄市,2013-01-12,11.02,17.11,5.02,22.25,0.26,47.44,-0.5,-3.0,290.28,75.86,93330.21,28,一级
台湾省,高雄市,2013-01-13,10.58,16.6,5.08,22.29,0.23,41.17,1.75,-5.08,289.55,79.68,92954.12,28,一级
台湾省,高雄市,2013-01-14,14.76,19.35,6.14,22.73,0.25,42.94,1.89,-5.18,286.65,46.75,93298.57,29,一级
台湾省,高雄市,2013-01-15,17.55,22.29,7.69,27.07,0.23,46.03,1.22,-1.94,285.9,57.59,93659.14,34,一级
台湾省,高雄市,2013-01-16,22.01,26.74,9.31,29.85,0.23,42.55,0.9,-3.09,286.23,56.18,93678.98,38,一级
