province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
吉林省,延边朝鲜族自治州,2013-01-01,33.33,37.54,15.42,18.83,0.42,26.33,4.1,0.58,252.24,70.3,93478.28,48,一级
吉林省,延边朝鲜族自治州,2013-01-02,31.33,34.09,12.67,15.44,0.41,32.55,8.7,-0.05,245.97,62.46,94104.73,45,一级
吉林省,延边朝鲜族自治州,2013-01-03,16.99,18.41,8.07,10.5,0.32,41.5,10.26,-0.57,249.07,62.88,94785.37,25,一级
吉林省,延边朝鲜族自治州,2013-01-04,18.29,19.91,9.16,11.27,0.33,42.38,7.69,1.75,254.91,59.71,94632.26,27,一级
吉林省,延边朝鲜族自治州,2013-01-05,29.67,31.68,11.54,12.65,0.38,41.5,9.37,1.36,256.07,66.24,94025.3,43,一级
吉林省,延边朝鲜族自治州,2013-01-06,24.98,27.55,9.46,12.38,0.34,35.9,6.8,-0.56,252.37,66.81,94401.08,36,一级
吉林省,延边朝鲜族自治州,2013-01-07,32.72,36.63,11.48,14.02,0.39,34.69,3.63,-1.4,253.68,70.26,94360.04,47,一级
吉林省,延边朝鲜族自治州,2013-01-08,46.4,51.13,13.7,15.36,0.45,35.65,5.4,-1.27,250.8,70.12,94386.79,65,二级
吉林省,延边朝鲜族自治州,2013-01-09,43.02,46.9,14.35,17.54,0.46,33.73,6.77,-0.7,248.46,65.26,94247.43,61,二级
吉林省,延边朝鲜族自治州,2013-01-10,35.06,38.46,14.43,17.37,0.43,31.91,7.31,-0.44,249.36,65.45,94481.22,51,二级
吉林省,延边朝鲜族自治州,2013-01-11,40.4,44.59,15.37,16.3,0.45,32.8,3.43,1.58,256.07,73.19,94500.61,57,二级
吉林省,延边朝鲜族自治州,2013-01-12,66.43,72.39,18.71,18.66,0.57,28.91,5.47,-0.09,257.15,78.57,94081.76,90,二级
吉林省,延边朝鲜族自治州,2013-01-13,52.33,57.54,14.1,15.29,0.48,37.1,2.96,0.52,255.76,71.88,94527.18,72,二级
吉林省,延边朝鲜族自治州,2013-01-14,62.14,67.42,17.34,16.99,0.53,31.86,4.41,-1.52,255.73,77.31,94308.86,84,二级
吉林省,延边朝鲜族自治州,2013-01-15,47.56,51.99,10.07,11.59,0.45,42.41,2.38,-1.46,253.58,64.03,94656.77,66,二级
吉林省,延边朝鲜族自治州,2013-01-16,35.34,38.68,8.42,9.32,0.39,47.17,3.1,-2.69,253.3,68.97,94592.72,51,二级
吉林省,延边朝鲜族自治州,2013-01-17,49.58,53.42,13.53,14.53,0.47,40.12,7.02,-2.15,251.9,63.77,94887.35,69,二级
吉林省,延边朝鲜族自治州,2013-01-18,34.76,38.24,11.67,12.51,0.39,40.45,4.97,-0.45,257.43,61.08,94628.69,50,一级
吉林省,延边朝鲜族自治州,2013-01-19,69.64,76.69,19.52,19.75,0.61,28.98,4.89,-1.04,258.64,76.54,94711.77,94,二级
吉林省,延边朝鲜族自治州,2013-01-20,58.23,63.92,13.05,15.13,0.51,37.88,2.11,-0.94,260.11,61.09,95329.69,80,二级
吉林省,延边朝鲜族自治州,2013-01-21,35.51,40.12,9.75,11.24,0.42,41.54,1.0,0.84,262.93,70.28,94901.27,51,二级
吉林省,延边朝鲜族自治州,2013-01-22,46.82,51.57,11.21,10.72,0.44,42.09,2.97,-2.4,260.29,71.9,94607.75,65,二级
吉林省,延边朝鲜族自治州,2013-01-23,33.19,37.05,8.85,9.2,0.4,49.65,0.73,2.54,262.6,66.16,93844.28,48,一级
吉林省,延边朝鲜族自治州,2013-01-24,44.78,48.08,14.36,13.67,0.45,34.54,8.84,0.91,254.63,71.11,92977.94,63,二级
吉林省,延边朝鲜族自治州,2013-01-25,11.17,12.13,5.65,7.12,0.29,50.32,12.75,-1.61,245.69,60.46,93062.71,26,一级
吉林省,延边朝鲜族自治州,2013-01-26,19.69,21.54,7.12,9.26,0.33,48.4,8.71,-2.78,250.04,68.94,93882.61,29,一级
吉林省,延边朝鲜族自治州,2013-01-27,29.37,32.59,8.99,11.4,0.38,45.01,5.22,-1.82,252.91,70.76,94319.02,42,一级
吉林省,延边朝鲜族自治州,2013-01-28,32.66,36.28,11.69,11.83,0.39,39.84,4.63,0.12,257.69,74.56,94261.42,47,一级
吉林省,延边朝鲜族自治州,2013-01-29,54.94,60.54,18.31,15.1,0.51,31.45,4.63,0.24,263.33,84.96,94551.9,75,二级
吉林省,延边朝鲜族自治州,2013-01-30,48.33,53.23,13.51,12.86,0.48,37.13,-0.51,1.61,264.44,82.52,95024.3,67,二级
吉林省,延边朝鲜族自治州,2013-01-31,60.64,66.59,18.28,10.07,0.55,41.89,1.1,3.93,269.92,89.61,95003.77,83,二级
吉林省,延边朝鲜族自治州,2013-02-01,45.15,48.3,12.63,8.58,0.43,44.21,3.44,1.89,268.11,83.19,94116.34,63,二级
吉林省,延边朝鲜族自治州,2013-02-02,17.47,18.9,7.14,8.72,0.3,48.0,10.1,-0.66,254.32,61.72,94402.62,25,一级
吉林省,延边朝鲜族自治州,2013-02-03,20.65,22.56,9.83,10.93,0.31,48.07,6.29,1.94,258.91,64.35,94423.36,30,一级
吉林省,延边朝鲜族自治州,2013-02-04,30.37,33.11,10.21,11.73,0.36,42.81,5.77,-0.75,259.21,76.12,93967.69,44,一级
吉林省,延边朝鲜族自治州,2013-02-05,26.13,29.06,8.85,11.95,0.34,46.33,3.38,1.41,257.76,60.97,94457.08,38,一级
吉林省,延边朝鲜族自治州,2013-02-06,42.25,46.97,14.4,15.84,0.42,38.38,4.1,-1.0,257.37,79.94,93753.62,60,二级
吉林省,延边朝鲜族自治州,2013-02-07,27.94,30.2,9.52,12.02,0.35,38.04,9.66,-4.51,247.32,66.95,93776.55,40,一级
