province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
吉林省,通化市,2013-01-01,44.27,55.08,23.62,23.64,0.64,25.38,2.34,-0.16,250.87,73.65,95343.9,62,二级
吉林省,通化市,2013-01-02,31.83,39.39,20.24,20.13,0.57,27.53,4.14,0.84,245.31,71.18,96344.17,46,一级
吉林省,通化市,2013-01-03,33.46,41.35,18.65,19.96,0.57,30.27,3.73,0.63,249.44,74.95,97059.04,48,一级
吉林省,通化市,2013-01-04,36.43,48.1,25.42,22.99,0.64,31.54,1.22,3.98,254.87,68.81,96643.57,52,二级
吉林省,通化市,2013-01-05,55.59,63.02,21.27,21.43,0.69,34.48,2.97,1.21,256.06,82.33,96109.14,76,二级
吉林省,通化市,2013-01-06,45.34,51.33,15.87,20.37,0.57,32.16,0.71,0.22,253.27,75.7,96333.38,63,二级
吉林省,通化市,2013-01-07,71.57,82.72,25.05,25.96,0.81,31.81,0.38,-0.01,255.29,74.67,96140.75,96,二级
吉林省,通化市,2013-01-08,100.27,118.8,25.99,32.31,0.96,30.37,1.82,-2.11,249.99,74.69,96361.53,132,三级
吉林省,通化市,2013-01-09,66.89,77.1,27.34,29.57,0.75,25.14,2.5,0.08,248.51,73.01,96268.29,90,二级
吉林省,通化市,2013-01-10,63.84,80.71,33.77,32.57,0.82,23.81,1.61,1.57,250.92,74.56,96482.91,87,二级
吉林省,通化市,2013-01-11,68.17,77.15,22.06,21.5,0.73,33.0,1.51,5.41,260.91,82.13,96149.27,92,二级
吉林省,通化市,2013-01-12,135.62,153.7,31.92,36.78,1.02,23.89,2.34,-0.82,255.17,81.15,96052.52,180,四级
吉林省,通化市,2013-01-13,88.99,107.01,22.26,28.32,0.86,36.02,-0.05,2.57,258.57,73.92,96216.81,118,三级
吉林省,通化市,2013-01-14,166.68,185.1,39.07,39.54,1.22,27.45,1.89,-2.46,253.97,79.98,96295.48,217,五级
吉林省,通化市,2013-01-15,104.6,118.36,20.02,27.97,0.84,36.65,-1.93,-0.4,255.33,63.88,96312.4,138,三级
吉林省,通化市,2013-01-16,95.55,107.86,20.76,25.93,0.8,37.37,0.2,-3.56,252.57,77.21,96462.56,126,三级
吉林省,通化市,2013-01-17,99.72,119.43,23.54,27.93,0.88,36.8,0.47,-2.04,251.13,73.2,96954.89,131,三级
吉林省,通化市,2013-01-18,61.16,72.46,23.18,23.41,0.74,35.55,0.51,4.4,258.77,68.66,96401.52,83,二级
吉林省,通化市,2013-01-19,144.27,164.45,32.1,37.66,1.19,28.64,1.61,-1.21,255.24,80.8,96606.9,192,四级
吉林省,通化市,2013-01-20,77.13,104.08,21.08,25.64,0.86,38.9,-2.21,0.56,262.33,54.66,96916.0,103,三级
吉林省,通化市,2013-01-21,79.82,103.82,21.0,23.66,0.9,36.18,-0.56,-0.5,263.72,82.02,96508.95,107,三级
吉林省,通化市,2013-01-22,87.36,114.51,21.33,25.19,0.83,38.44,-1.55,-2.96,257.92,73.69,96368.28,116,三级
吉林省,通化市,2013-01-23,72.73,91.93,19.3,21.09,0.86,41.19,1.31,5.26,264.15,83.81,95445.6,98,二级
吉林省,通化市,2013-01-24,52.09,64.85,19.01,16.92,0.58,35.95,6.75,-1.51,251.84,74.95,95253.28,72,二级
吉林省,通化市,2013-01-25,21.93,27.86,11.31,11.49,0.41,46.32,6.18,-1.37,247.68,72.03,95592.86,32,一级
吉林省,通化市,2013-01-26,50.26,58.4,14.13,17.0,0.59,40.69,1.86,-2.5,249.09,74.36,96138.14,70,二级
吉林省,通化市,2013-01-27,50.61,60.26,13.91,17.16,0.57,44.1,0.11,-1.01,251.95,73.52,96266.53,70,二级
吉林省,通化市,2013-01-28,46.52,55.29,19.08,16.67,0.56,36.04,-0.22,4.76,259.69,79.62,96019.62,65,二级
吉林省,通化市,2013-01-29,80.47,93.04,28.64,21.0,0.72,30.74,-0.37,2.3,264.72,90.95,96266.72,107,三级
吉林省,通化市,2013-01-30,73.3,83.71,21.93,17.07,0.72,45.2,0.09,5.71,268.8,87.1,96518.52,98,二级
吉林省,通化市,2013-01-31,96.68,109.26,25.19,16.09,0.84,43.99,0.76,7.94,273.06,91.6,96516.91,128,三级
吉林省,通化市,2013-02-01,40.85,47.3,12.7,11.99,0.47,42.58,2.77,0.71,267.08,86.16,95945.05,58,二级
吉林省,通化市,2013-02-02,26.96,34.84,13.48,14.67,0.46,38.08,3.74,-0.8,254.85,70.85,96598.86,39,一级
吉林省,通化市,2013-02-03,30.67,38.91,17.12,15.69,0.51,40.27,0.71,5.71,260.8,75.74,96217.36,44,一级
吉林省,通化市,2013-02-04,47.17,53.75,15.31,17.17,0.58,41.01,3.52,-0.86,258.85,81.36,96017.65,66,二级
吉林省,通化市,2013-02-05,44.73,52.71,16.07,19.42,0.53,42.08,0.28,2.67,259.23,61.55,96165.99,63,二级
吉林省,通化市,2013-02-06,89.72,105.15,25.09,25.59,0.84,33.38,2.67,-2.95,253.93,81.2,95720.39,119,三级
吉林省,通化市,2013-02-07,19.99,27.42,9.6,10.73,0.4,43.95,5.2,-4.5,245.75,71.03,96274.97,29,一级
吉林省,通化市,2013-02-08,35.6,39.51,10.91,12.72,0.48,48.39,0.59,-1.46,248.19,72.59,96848.04,51,二级
吉林省,通化市,2013-02-09,42.15,49.54,16.44,16.39,0.53,49.32,-0.05,2.43,253.37,73.11,96198.52,59,二级
吉林省,通化市,2013-02-10,78.22,91.83,23.4,20.6,0.74,32.91,3.88,-1.79,249.34,76.77,96395.48,105,三级
吉林省,通化市,2013-02-11,34.35,39.86,14.28,13.01,0.48,47.46,0.42,1.53,252.42,72.57,96855.95,50,一级
吉林省,通化市,2013-02-12,41.11,48.36,17.69,14.27,0.55,48.18,0.73,4.93,258.49,84.52,96138.37,58,二级
吉林省,通化市,2013-02-13,70.61,82.13,25.67,20.98,0.78,37.49,2.62,5.15,261.7,85.02,95907.39,95,二级
吉林省,通化市,2013-02-14,46.77,54.7,18.84,18.48,0.62,36.63,2.96,-1.39,257.81,79.87,96234.8,65,二级
吉林省,通化市,2013-02-15,34.47,39.88,15.48,14.92,0.53,39.81,2.7,-1.42,254.09,77.14,96279.13,50,一级
吉林省,通化市,2013-02-16,24.9,30.51,11.04,11.25,0.47,52.68,-1.16,4.11,257.31,64.36,96321.47,36,一级
吉林省,通化市,2013-02-17,29.62,34.12,10.28,10.91,0.45,56.84,3.72,6.37,263.93,84.21,95579.46,43,一级
吉林省,通化市,2013-02-18,29.34,36.33,13.13,13.54,0.48,44.11,2.94,-1.29,254.86,76.55,96111.87,42,一级
吉林省,通化市,2013-02-19,27.04,35.3,16.1,14.64,0.5,42.42,4.61,-0.28,252.64,75.07,96294.69,39,一级
吉林省,通化市,2013-02-20,31.39,38.08,16.29,14.83,0.51,44.23,3.04,1.08,252.88,73.0,96511.63,45,一级
吉林省,通化市,2013-02-21,36.29,45.17,18.36,16.05,0.55,49.01,2.1,2.81,255.69,72.73,96410.52,52,二级
吉林省,通化市,2013-02-22,34.3,42.29,17.84,15.73,0.54,41.51,4.5,-0.76,256.91,82.13,96245.92,50,一级
吉林省,通化市,2013-02-23,23.18,29.83,13.26,12.06,0.44,48.52,5.13,-0.05,258.05,72.5,96437.77,34,一级
吉林省,通化市,2013-02-24,24.81,31.52,9.14,10.36,0.44,53.24,-0.06,-2.0,256.53,69.88,96958.6,36,一级
吉林省,通化市,2013-02-25,29.48,33.74,12.39,12.14,0.42,59.72,-2.17,-0.06,259.74,59.33,96837.55,43,一级
吉林省,通化市,2013-02-26,42.28,47.79,14.42,13.43,0.5,56.31,2.78,4.51,266.78,85.49,95685.42,60,二级
吉林省,通化市,2013-02-27,65.25,75.34,21.06,20.12,0.68,41.47,3.71,1.99,264.35,84.93,95583.33,88,二级
吉林省,通化市,2013-02-28,36.61,45.53,13.82,14.07,0.51,46.54,1.67,6.37,267.08,80.7,94993.03,53,二级
吉林省,通化市,2013-03-01,20.56,25.13,9.56,8.57,0.34,47.99,7.79,-3.8,260.06,81.66,95474.6,30,一级
吉林省,通化市,2013-03-02,27.75,32.92,11.61,11.77,0.43,51.18,2.52,-2.65,258.78,83.52,96591.95,40,一级
吉林省,通化市,2013-03-03,36.76,44.06,16.07,14.76,0.52,53.4,-0.08,4.09,263.22,70.83,95850.57,53,二级
吉林省,通化市,2013-03-04,67.25,82.1,24.47,22.51,0.72,44.77,2.75,0.6,262.98,88.33,95807.71,91,二级
吉林省,通化市,2013-03-05,50.97,62.4,24.71,23.2,0.61,33.9,4.0,7.76,269.73,73.28,95649.24,70,二级
吉林省,通化市,2013-03-06,60.02,68.7,21.56,23.61,0.64,33.36,0.13,2.52,270.88,85.58,95589.61,82,二级
吉林省,通化市,2013-03-07,54.04,63.65,16.71,17.18,0.61,45.14,2.43,-1.51,270.04,78.46,95179.61,74,二级
吉林省,通化市,2013-03-08,25.2,30.72,10.76,11.08,0.4,54.94,0.19,-1.96,265.4,70.33,95005.16,36,一级
吉林省,通化市,2013-03-09,26.77,34.29,11.46,11.99,0.41,53.2,2.8,2.54,268.49,65.85,94674.37,39,一级
吉林省,通化市,2013-03-10,17.77,20.77,7.76,8.14,0.33,60.91,4.53,-4.28,259.01,69.7,96225.46,31,一级
吉林省,通化市,2013-03-11,23.27,30.68,12.42,10.18,0.39,55.82,2.3,7.86,267.88,62.54,96115.24,34,一级
吉林省,通化市,2013-03-12,31.68,37.27,13.61,12.64,0.46,52.02,2.57,2.69,269.45,80.24,95545.01,46,一级
吉林省,通化市,2013-03-13,28.77,36.08,11.82,13.99,0.49,53.31,2.34,-5.89,259.72,84.4,96272.02,42,一级
吉林省,通化市,2013-03-14,25.58,32.51,11.68,11.06,0.43,59.23,2.1,5.57,264.41,68.94,96470.57,37,一级
吉林省,通化市,2013-03-15,53.22,61.05,22.91,17.03,0.56,45.09,2.58,6.05,270.14,81.17,96074.51,73,二级
吉林省,通化市,2013-03-16,40.76,47.77,15.61,14.62,0.5,49.94,-0.36,0.98,268.76,75.93,96344.37,58,二级
吉林省,通化市,2013-03-17,59.47,66.55,18.71,11.11,0.6,61.01,3.24,7.27,273.47,81.13,95116.42,81,二级
吉林省,通化市,2013-03-18,23.97,28.24,8.64,9.1,0.39,66.36,1.96,-4.11,265.53,82.57,94672.91,35,一级
吉林省,通化市,2013-03-19,18.12,23.9,9.63,9.51,0.37,62.81,1.34,-1.03,262.66,69.99,95443.48,32,一级
吉林省,通化市,2013-03-20,15.44,20.41,7.81,7.91,0.37,70.25,1.62,-3.45,259.17,65.14,95722.14,36,一级
吉林省,通化市,2013-03-21,22.12,32.25,11.85,9.18,0.39,63.72,4.02,8.5,265.92,71.57,95018.21,33,一级
吉林省,通化市,2013-03-22,12.72,23.39,6.89,7.12,0.31,66.71,3.76,-2.7,262.72,70.41,95436.29,34,一级
吉林省,通化市,2013-03-23,19.77,26.45,11.34,10.46,0.38,56.09,0.3,1.4,264.66,74.41,95607.35,29,一级
吉林省,通化市,2013-03-24,36.69,45.52,14.22,13.73,0.51,56.18,1.26,-4.33,263.7,83.9,95596.32,53,二级
吉林省,通化市,2013-03-25,28.03,34.68,13.34,11.14,0.47,59.58,3.49,-0.73,264.25,83.72,95829.07,41,一级
吉林省,通化市,2013-03-26,34.69,43.2,17.82,11.36,0.47,61.83,2.86,9.74,269.86,71.64,95444.32,50,一级
吉林省,通化市,2013-03-27,27.58,32.36,11.17,10.18,0.39,64.75,4.85,3.59,271.01,89.78,95151.02,40,一级
吉林省,通化市,2013-03-28,14.58,19.64,9.82,9.16,0.33,59.78,5.81,-0.18,267.06,69.88,95602.56,30,一级
吉林省,通化市,2013-03-29,13.17,16.74,8.12,7.94,0.31,66.23,5.2,-1.0,266.96,64.15,96028.05,34,一级
