province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
四川省,内江市,2013-01-01,133.07,208.01,34.44,46.25,2.32,36.26,-2.04,-0.5,278.94,24.32,97072.11,176,四级
四川省,内江市,2013-01-02,133.02,179.18,30.39,39.3,1.91,29.26,-0.68,-6.32,279.07,35.14,97292.81,176,四级
四川省,内江市,2013-01-03,66.24,93.55,20.13,27.1,1.55,25.92,0.89,-4.73,274.65,77.07,98178.74,90,二级
四川省,内江市,2013-01-04,81.93,72.33,22.71,23.0,1.56,23.92,-0.74,-1.49,275.07,77.93,97471.25,109,三级
四川省,内江市,2013-01-05,66.2,66.26,22.35,18.64,1.54,28.95,-1.97,-2.81,276.88,50.26,97292.98,90,二级
四川省,内江市,2013-01-06,82.71,86.81,29.54,28.26,1.65,29.95,-1.93,-0.94,277.43,48.14,97337.74,110,三级
四川省,内江市,2013-01-07,85.57,116.35,17.88,21.36,1.42,39.53,-1.56,-1.98,277.74,51.91,97293.16,114,三级
四川省,内江市,2013-01-08,167.9,204.55,18.7,28.17,2.09,42.08,-0.68,-2.17,278.22,55.26,97508.89,218,五级
四川省,内江市,2013-01-09,201.07,227.32,20.44,37.28,2.0,37.2,-0.99,0.35,278.57,51.6,97599.07,252,五级
四川省,内江市,2013-01-10,167.8,199.73,37.69,35.22,1.65,30.52,-2.85,0.22,278.16,57.93,97417.84,218,五级
四川省,内江市,2013-01-11,136.15,182.09,30.11,23.77,1.74,42.04,-0.34,-1.27,278.8,66.53,97701.87,181,四级
四川省,内江市,2013-01-12,185.79,216.76,33.17,33.61,2.03,40.65,-1.77,0.43,280.37,49.55,97261.37,236,五级
四川省,内江市,2013-01-13,287.62,306.26,35.38,35.81,2.44,37.63,-2.13,-2.35,281.32,48.74,96829.49,338,六级
四川省,内江市,2013-01-14,189.23,232.99,33.0,29.07,1.72,33.92,-1.64,-3.33,281.52,52.25,97021.25,240,五级
四川省,内江市,2013-01-15,187.72,228.64,25.91,26.98,1.76,40.4,-0.15,-2.1,281.74,61.82,97400.55,238,五级
四川省,内江市,2013-01-16,147.47,191.31,30.35,36.2,1.82,41.46,-1.0,-1.11,281.4,59.66,97564.92,197,四级
