province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
四川省,巴中市,2013-01-01,95.46,107.02,34.25,9.89,0.76,58.43,-0.67,0.12,274.95,35.42,92739.55,126,三级
四川省,巴中市,2013-01-02,61.33,66.96,24.46,11.12,0.55,42.47,-9.27,-5.71,273.79,47.07,93098.65,83,二级
四川省,巴中市,2013-01-03,54.42,59.84,21.71,10.26,0.49,39.11,-6.48,-2.35,270.29,53.62,93875.0,75,二级
四川省,巴中市,2013-01-04,78.02,86.51,27.3,10.63,0.66,40.99,-4.01,0.14,270.99,57.52,93146.57,104,三级
四川省,巴中市,2013-01-05,89.54,99.05,26.37,8.71,0.73,45.87,-3.52,-1.78,272.91,48.36,92916.87,119,三级
四川省,巴中市,2013-01-06,99.6,110.15,30.43,7.86,0.79,48.35,-3.73,-0.7,273.62,47.54,92963.87,131,三级
四川省,巴中市,2013-01-07,106.27,116.82,29.4,6.57,0.8,53.61,-1.68,-1.51,274.31,44.98,92864.18,140,三级
四川省,巴中市,2013-01-08,76.73,84.34,23.81,7.3,0.64,45.77,-5.13,-3.24,274.74,35.59,93090.17,103,三级
四川省,巴中市,2013-01-09,102.76,113.44,36.65,9.89,0.79,45.6,-3.28,1.0,274.55,45.24,93225.29,135,三级
四川省,巴中市,2013-01-10,182.95,200.24,49.34,11.64,1.23,48.19,-1.71,1.77,274.89,62.1,93073.36,233,五级
四川省,巴中市,2013-01-11,186.49,203.66,43.47,8.17,1.25,56.12,-0.15,-0.6,276.67,54.96,93227.14,237,五级
四川省,巴中市,2013-01-12,178.47,195.71,46.49,8.05,1.24,60.24,-1.46,0.87,276.73,52.78,92925.84,229,五级
四川省,巴中市,2013-01-13,186.73,203.74,52.05,6.63,1.25,66.82,-1.61,-1.02,277.96,51.95,92545.29,237,五级
四川省,巴中市,2013-01-14,140.03,153.84,42.08,8.03,1.03,53.51,-3.56,0.48,279.1,51.96,92765.78,186,四级
四川省,巴中市,2013-01-15,133.56,146.58,36.12,7.16,0.98,56.3,-2.02,-1.45,278.98,55.01,93035.85,177,四级
四川省,巴中市,2013-01-16,86.91,96.06,24.22,6.4,0.74,54.28,-4.38,-2.27,278.54,47.85,93230.37,115,三级
四川省,巴中市,2013-01-17,108.72,120.49,36.25,9.12,0.87,42.9,-4.28,0.09,277.54,55.47,93744.26,143,三级
四川省,巴中市,2013-01-18,131.02,144.25,37.59,12.4,1.01,42.53,-2.15,2.46,277.43,56.71,93398.34,173,四级
四川省,巴中市,2013-01-19,122.38,134.96,34.95,8.83,0.96,53.64,-4.1,1.81,278.85,51.7,92456.23,161,四级
四川省,巴中市,2013-01-20,97.43,106.05,29.75,7.97,0.77,47.0,-6.73,-4.84,277.15,65.6,92614.28,129,三级
四川省,巴中市,2013-01-21,70.03,76.37,19.83,6.0,0.59,53.34,-4.18,-2.68,276.74,46.7,93094.15,94,二级
四川省,巴中市,2013-01-22,79.62,87.76,23.02,6.49,0.67,59.13,-2.67,-1.55,277.55,55.0,93150.23,106,三级
四川省,巴中市,2013-01-23,101.05,111.54,26.14,6.68,0.82,66.79,-0.32,-1.07,279.11,55.03,92855.65,133,三级
四川省,巴中市,2013-01-24,22.59,24.87,5.83,3.66,0.29,63.54,-3.91,-5.55,279.7,18.51,93142.29,33,一级
四川省,巴中市,2013-01-25,62.08,69.88,22.5,7.7,0.62,60.86,-1.83,-0.58,279.96,34.76,92917.82,84,二级
四川省,巴中市,2013-01-26,40.7,45.87,12.53,5.72,0.46,58.54,-3.49,-2.18,281.96,21.42,92950.32,58,二级
四川省,巴中市,2013-01-27,66.34,74.46,23.57,7.59,0.62,59.27,-3.06,0.43,282.05,24.5,93145.9,90,二级
四川省,巴中市,2013-01-28,118.83,132.26,39.22,9.95,0.99,48.45,-3.73,1.37,279.87,65.73,92805.54,156,四级
四川省,巴中市,2013-01-29,99.54,110.22,31.75,6.42,0.83,62.38,-2.71,0.1,281.62,58.43,92691.7,131,三级
四川省,巴中市,2013-01-30,94.35,104.18,29.11,7.45,0.81,52.83,-3.45,0.15,282.69,68.03,92581.12,125,三级
四川省,巴中市,2013-01-31,105.15,116.37,33.99,7.9,0.89,50.82,-3.16,-1.96,283.04,72.13,92402.89,138,三级
四川省,巴中市,2013-02-01,82.33,90.67,25.49,6.02,0.71,55.42,-4.94,-1.7,283.13,63.95,92769.58,110,三级
四川省,巴中市,2013-02-02,130.27,139.74,34.38,11.12,0.9,38.93,-6.07,-1.52,280.71,81.43,92986.24,172,四级
四川省,巴中市,2013-02-03,107.42,115.81,25.05,8.06,0.78,44.97,-4.24,-0.57,282.98,79.27,92152.32,141,三级
四川省,巴中市,2013-02-04,76.54,82.23,20.71,6.82,0.61,51.79,-6.91,-2.38,282.94,70.08,92301.7,102,三级
四川省,巴中市,2013-02-05,79.68,85.15,20.1,9.7,0.61,48.47,-4.53,-3.5,283.24,59.48,92630.18,106,三级
四川省,巴中市,2013-02-06,62.96,68.47,19.06,7.15,0.54,46.17,-5.87,-1.53,282.98,59.82,92447.76,85,二级
四川省,巴中市,2013-02-07,99.26,104.63,28.51,12.98,0.71,39.69,-8.95,-5.88,276.92,74.23,92753.41,131,三级
四川省,巴中市,2013-02-08,47.63,51.36,14.65,6.75,0.42,54.79,-5.77,-3.36,272.33,70.64,93495.11,66,二级
四川省,巴中市,2013-02-09,68.24,74.42,19.44,6.94,0.55,56.89,-0.55,0.82,275.25,67.16,93170.06,92,二级
四川省,巴中市,2013-02-10,91.07,98.79,25.81,7.15,0.65,63.65,-3.46,-1.23,276.38,66.29,92644.44,121,三级
四川省,巴中市,2013-02-11,98.98,105.57,25.35,8.94,0.69,61.5,-7.18,-4.59,276.15,64.02,92866.45,130,三级
四川省,巴中市,2013-02-12,90.23,97.17,24.52,7.28,0.64,55.96,-5.0,-1.8,277.15,44.51,93315.72,120,三级
四川省,巴中市,2013-02-13,104.44,113.69,26.0,6.92,0.72,56.51,-3.57,0.24,277.69,64.29,92703.49,137,三级
四川省,巴中市,2013-02-14,87.5,94.52,25.75,5.57,0.62,54.19,-5.98,-4.31,278.7,54.76,92659.91,116,三级
四川省,巴中市,2013-02-15,84.02,91.51,31.45,7.75,0.61,53.19,-3.82,1.54,279.36,47.34,92972.95,112,三级
四川省,巴中市,2013-02-16,103.72,112.91,28.67,7.25,0.71,58.28,-4.15,1.31,280.76,48.5,92212.73,136,三级
四川省,巴中市,2013-02-17,88.26,94.69,24.52,4.88,0.64,62.93,-6.93,-3.43,282.5,44.52,91963.24,117,三级
四川省,巴中市,2013-02-18,117.41,123.99,34.03,11.87,0.8,44.0,-9.66,-7.06,276.99,64.96,92317.04,154,四级
四川省,巴中市,2013-02-19,86.56,92.83,22.67,8.85,0.64,51.74,-5.22,-1.0,274.84,68.16,93046.35,115,三级
四川省,巴中市,2013-02-20,83.25,90.0,21.32,6.04,0.61,62.58,-2.6,-0.57,277.92,65.75,93086.14,111,三级
