province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
四川省,广安市,2013-01-01,63.7,86.09,30.88,19.24,1.15,54.96,-2.9,-0.69,278.53,32.97,97137.73,86,二级
四川省,广安市,2013-01-02,60.66,100.35,28.1,23.41,1.12,35.64,-4.17,-1.72,280.11,42.66,97294.85,83,二级
四川省,广安市,2013-01-03,45.81,83.82,18.93,23.89,1.22,22.87,-3.75,0.8,275.62,62.82,98278.2,67,二级
四川省,广安市,2013-01-04,43.67,52.51,16.87,15.28,1.13,29.36,-2.9,2.67,275.63,46.3,97560.95,61,二级
四川省,广安市,2013-01-05,68.48,70.74,23.31,16.87,1.46,28.87,-1.59,0.4,276.64,47.07,97338.55,92,二级
四川省,广安市,2013-01-06,72.89,71.75,35.33,23.36,1.3,30.66,-1.88,0.51,277.24,50.69,97390.04,98,二级
四川省,广安市,2013-01-07,75.33,69.8,35.67,10.49,1.17,46.77,-1.64,-0.57,277.18,55.64,97317.72,101,三级
四川省,广安市,2013-01-08,77.29,85.67,41.76,14.05,1.65,42.28,-1.18,-1.51,277.64,58.34,97508.68,103,三级
四川省,广安市,2013-01-09,95.87,110.62,38.9,20.72,1.6,25.92,-1.76,1.95,277.7,67.16,97661.29,127,三级
四川省,广安市,2013-01-10,125.66,140.22,31.95,27.81,1.34,29.04,-2.1,1.95,278.0,50.08,97500.56,166,四级
四川省,广安市,2013-01-11,106.05,116.26,41.19,12.45,1.69,50.53,0.66,-1.15,279.04,62.78,97700.25,139,三级
四川省,广安市,2013-01-12,132.69,98.37,47.69,17.54,1.37,47.07,-1.21,0.57,280.17,52.81,97321.37,176,四级
四川省,广安市,2013-01-13,219.43,180.92,49.18,24.85,1.62,39.33,-2.76,-1.37,281.6,47.39,96866.47,270,五级
四川省,广安市,2013-01-14,168.22,168.0,40.5,22.61,1.27,32.55,-1.74,-0.29,282.09,50.61,97063.55,219,五级
四川省,广安市,2013-01-15,108.4,132.93,28.74,12.73,1.12,41.15,-0.21,-0.49,281.67,60.1,97416.3,142,三级
四川省,广安市,2013-01-16,59.8,96.1,33.99,12.78,1.25,46.32,-1.71,-0.8,281.56,64.78,97575.38,82,二级
四川省,广安市,2013-01-17,110.68,164.29,36.58,34.28,1.57,19.58,-1.62,2.91,281.73,69.79,98115.09,145,三级
四川省,广安市,2013-01-18,70.13,121.75,22.77,40.57,1.56,32.29,-3.16,3.69,281.71,38.92,97753.81,94,二级
四川省,广安市,2013-01-19,76.99,131.56,28.73,36.38,1.39,28.89,-3.75,3.14,282.43,55.71,96706.0,103,三级
四川省,广安市,2013-01-20,98.31,152.34,29.05,15.72,1.18,33.41,-2.79,-2.31,281.93,65.6,96852.08,130,三级
四川省,广安市,2013-01-21,44.57,66.2,32.65,14.36,1.35,33.47,-1.59,-2.51,280.13,67.4,97469.58,62,二级
四川省,广安市,2013-01-22,62.8,86.71,39.31,15.97,1.22,45.13,-1.46,-0.82,281.49,60.14,97515.17,85,二级
四川省,广安市,2013-01-23,47.31,75.17,28.85,21.96,1.21,42.67,-1.45,-0.81,282.81,55.83,97191.43,66,二级
四川省,广安市,2013-01-24,66.71,88.03,15.9,14.04,0.8,50.72,-1.34,-3.87,283.74,28.11,97491.31,90,二级
四川省,广安市,2013-01-25,87.9,131.6,25.49,31.42,1.23,37.34,-1.68,1.23,283.59,42.28,97236.81,117,三级
四川省,广安市,2013-01-26,47.81,84.26,31.75,9.78,0.7,68.26,-0.11,-1.24,284.49,47.24,97283.04,68,二级
四川省,广安市,2013-01-27,56.78,103.3,33.5,34.95,0.82,48.5,-0.95,1.82,285.46,45.53,97469.51,78,二级
四川省,广安市,2013-01-28,63.09,112.17,25.83,29.26,1.06,34.11,-4.72,2.07,284.94,46.09,97040.2,86,二级
四川省,广安市,2013-01-29,61.24,89.28,20.79,11.29,0.79,53.24,-4.41,-0.21,285.36,55.33,96910.8,83,二级
四川省,广安市,2013-01-30,110.5,146.01,26.19,24.37,1.22,33.51,-2.36,1.06,286.73,67.92,96788.53,145,三级
四川省,广安市,2013-01-31,114.12,159.75,31.14,16.25,1.23,39.8,-1.93,-2.84,286.39,66.44,96626.69,149,三级
四川省,广安市,2013-02-01,56.78,95.73,33.48,10.65,1.27,54.1,-1.0,-1.47,286.79,60.57,97006.04,78,二级
四川省,广安市,2013-02-02,157.89,166.97,41.34,29.02,1.19,25.78,-1.72,1.81,285.93,78.57,97237.36,208,五级
四川省,广安市,2013-02-03,115.97,147.03,21.26,15.21,1.04,35.18,-0.33,0.92,288.67,64.36,96296.99,152,四级
四川省,广安市,2013-02-04,60.53,112.33,21.12,9.27,1.06,49.92,-0.84,-1.38,287.56,67.38,96464.56,82,二级
四川省,广安市,2013-02-05,73.6,102.47,21.69,12.27,1.07,53.0,-2.5,-2.68,287.64,65.07,96829.59,99,二级
四川省,广安市,2013-02-06,111.75,143.31,27.79,23.34,1.15,33.72,-3.43,0.07,286.75,70.23,96615.36,146,三级
四川省,广安市,2013-02-07,67.05,93.37,24.25,16.83,1.08,22.47,-4.12,-1.25,283.5,78.19,96883.34,91,二级
四川省,广安市,2013-02-08,22.39,23.78,17.02,10.45,0.97,41.04,-3.56,-1.75,276.32,84.08,97880.29,32,一级
四川省,广安市,2013-02-09,34.32,32.61,16.26,6.88,1.02,38.7,-0.94,1.36,279.1,61.3,97617.06,50,一级
四川省,广安市,2013-02-10,67.31,88.2,17.67,6.82,1.01,49.32,-3.52,-1.42,282.11,52.52,96918.69,91,二级
四川省,广安市,2013-02-11,61.27,77.29,16.75,8.14,0.93,50.78,-3.11,-1.56,282.47,56.58,97090.58,83,二级
四川省,广安市,2013-02-12,61.72,79.83,21.32,9.0,0.91,43.85,-2.79,-0.55,281.01,60.08,97660.5,84,二级
四川省,广安市,2013-02-13,55.05,61.27,16.97,9.06,0.89,48.31,-3.26,2.0,281.75,51.89,97001.85,76,二级
四川省,广安市,2013-02-14,58.57,74.99,19.72,8.26,0.91,50.02,-2.09,-1.74,282.74,54.08,96917.49,80,二级
四川省,广安市,2013-02-15,77.06,87.44,22.6,10.5,0.89,51.29,-1.87,1.5,283.5,48.6,97291.81,103,三级
四川省,广安市,2013-02-16,70.42,87.31,19.62,10.27,0.92,64.98,-4.45,1.63,285.71,38.82,96367.3,95,二级
四川省,广安市,2013-02-17,70.1,96.36,23.05,11.01,0.92,87.69,-3.2,-1.95,286.49,47.54,96114.37,94,二级
四川省,广安市,2013-02-18,74.14,102.97,21.85,13.27,0.98,48.14,-3.03,-3.42,282.54,75.46,96442.36,99,二级
四川省,广安市,2013-02-19,21.51,34.07,18.71,8.68,0.92,54.61,-2.65,-0.96,279.45,75.87,97367.27,35,一级
四川省,广安市,2013-02-20,43.5,44.55,13.36,9.05,1.0,43.92,-2.59,0.52,281.93,58.26,97422.82,61,二级
四川省,广安市,2013-02-21,52.03,54.86,15.2,12.21,0.9,43.29,-1.41,-1.62,282.92,59.75,97544.36,72,二级
四川省,广安市,2013-02-22,42.57,60.39,12.78,8.6,0.89,50.46,-0.84,-1.32,283.87,55.64,97750.23,60,二级
四川省,广安市,2013-02-23,52.06,71.64,15.18,11.52,0.93,51.22,-3.58,2.34,286.64,43.74,97321.8,72,二级
