province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
四川省,自贡市,2013-01-01,138.14,205.19,56.29,48.68,2.2,32.25,-2.0,-0.44,279.46,23.04,96985.77,184,四级
四川省,自贡市,2013-01-02,152.44,206.34,42.79,42.25,1.91,27.81,0.28,-6.03,279.51,32.61,97231.91,203,五级
四川省,自贡市,2013-01-03,74.88,94.63,25.08,22.4,1.17,29.4,1.58,-5.13,274.89,70.16,98132.84,100,二级
四川省,自贡市,2013-01-04,102.4,99.88,31.02,23.93,1.49,25.22,-0.25,-2.01,275.01,77.21,97392.18,135,三级
四川省,自贡市,2013-01-05,89.09,92.57,31.66,20.38,1.5,30.42,-1.18,-2.88,277.08,52.07,97211.75,118,三级
四川省,自贡市,2013-01-06,112.84,125.18,45.25,28.53,1.68,30.96,-1.96,-0.99,277.48,47.18,97256.71,148,三级
四川省,自贡市,2013-01-07,113.53,149.58,31.68,24.64,1.53,38.89,-1.14,-1.9,277.85,51.45,97219.88,149,三级
四川省,自贡市,2013-01-08,192.74,230.57,34.46,30.6,2.03,40.95,-0.7,-2.36,278.34,55.22,97438.54,243,五级
四川省,自贡市,2013-01-09,186.43,220.39,27.75,33.89,1.75,41.17,-0.45,-0.07,278.63,54.46,97523.6,237,五级
四川省,自贡市,2013-01-10,182.74,211.81,51.96,31.57,1.68,34.93,-2.58,-0.8,278.06,62.14,97331.26,233,五级
四川省,自贡市,2013-01-11,161.61,199.51,43.84,23.12,1.69,43.33,-0.56,-0.96,278.97,68.73,97627.36,212,五级
四川省,自贡市,2013-01-12,204.61,238.85,48.8,27.87,2.0,46.16,-1.99,-0.21,280.61,48.74,97175.41,255,五级
四川省,自贡市,2013-01-13,272.3,308.46,52.16,37.46,2.37,38.17,-1.85,-2.04,281.55,47.28,96746.97,323,六级
四川省,自贡市,2013-01-14,201.13,254.8,45.01,28.97,1.82,36.29,-1.71,-3.39,281.77,51.94,96938.78,252,五级
四川省,自贡市,2013-01-15,221.49,263.15,36.71,26.9,1.89,42.18,0.08,-2.23,281.97,59.7,97333.71,272,五级
四川省,自贡市,2013-01-16,193.71,234.26,44.25,33.42,1.9,43.15,-0.68,-1.19,281.55,58.21,97491.49,244,五级
四川省,自贡市,2013-01-17,244.99,315.94,41.48,42.19,2.11,35.68,-0.64,-0.32,281.99,62.23,97967.82,295,五级
四川省,自贡市,2013-01-18,170.91,207.89,46.64,31.2,1.62,30.2,-3.15,-0.7,282.83,53.61,97522.26,221,五级
四川省,自贡市,2013-01-19,187.55,234.93,50.03,38.54,2.06,26.94,-0.77,-3.31,282.34,50.92,96542.78,238,五级
四川省,自贡市,2013-01-20,156.15,176.64,36.42,27.96,1.78,34.68,0.18,-4.3,281.89,49.8,96791.03,207,五级
四川省,自贡市,2013-01-21,86.94,112.4,20.88,22.4,1.31,38.32,-0.95,-3.71,281.1,37.62,97420.38,115,三级
四川省,自贡市,2013-01-22,133.72,197.28,32.52,33.97,1.51,49.87,-1.62,-1.95,282.0,40.52,97407.21,177,四级
四川省,自贡市,2013-01-23,126.5,159.65,42.32,36.18,1.44,50.81,-1.5,-1.88,283.26,45.25,97062.62,167,四级
四川省,自贡市,2013-01-24,122.58,162.2,18.14,28.42,1.33,47.29,0.01,-4.0,283.71,34.23,97489.5,161,四级
四川省,自贡市,2013-01-25,155.46,225.99,45.55,43.56,1.97,46.66,-1.32,-1.82,283.76,35.4,97073.68,206,五级
四川省,自贡市,2013-01-26,150.02,207.2,25.05,35.69,1.49,53.04,-0.8,-2.02,284.63,43.01,97217.36,201,五级
四川省,自贡市,2013-01-27,168.11,253.79,46.39,49.9,1.65,57.74,-1.11,-0.31,285.59,43.12,97334.79,219,五级
四川省,自贡市,2013-01-28,160.48,226.13,54.53,46.87,1.79,40.98,-1.4,-3.25,286.58,40.81,96795.35,211,五级
四川省,自贡市,2013-01-29,156.69,199.9,44.64,38.78,1.8,35.09,-2.19,-2.41,286.12,52.87,96752.4,207,五级
四川省,自贡市,2013-01-30,143.42,161.34,31.22,26.56,1.52,54.8,0.72,-2.76,286.18,46.44,96740.5,191,四级
四川省,自贡市,2013-01-31,181.48,223.94,39.99,32.24,1.85,50.66,-0.67,-2.77,286.84,51.11,96550.6,232,五级
四川省,自贡市,2013-02-01,244.2,291.22,36.92,38.04,2.34,45.5,-0.93,-2.69,287.27,56.28,96906.84,295,五级
四川省,自贡市,2013-02-02,239.83,266.28,31.91,37.44,2.15,53.18,-0.45,-2.4,287.04,58.79,97109.35,290,五级
四川省,自贡市,2013-02-03,169.0,191.55,39.8,29.96,1.75,36.41,0.06,-3.97,286.34,69.99,96224.64,220,五级
四川省,自贡市,2013-02-04,171.72,216.16,24.82,32.17,1.86,51.77,-0.01,-3.95,288.02,62.07,96390.68,222,五级
四川省,自贡市,2013-02-05,177.55,213.03,24.81,33.43,2.03,45.42,-1.38,-3.31,288.6,55.35,96761.93,228,五级
四川省,自贡市,2013-02-06,159.38,172.47,31.18,26.98,1.52,48.12,-1.77,-3.23,289.15,58.33,96448.12,210,五级
四川省,自贡市,2013-02-07,115.11,113.71,27.9,21.37,1.47,30.19,-0.88,-5.41,284.19,78.86,96774.15,151,四级
四川省,自贡市,2013-02-08,45.6,48.15,21.95,11.73,0.97,36.29,0.33,-5.9,277.17,84.48,97726.63,64,二级
四川省,自贡市,2013-02-09,72.1,64.05,23.34,11.7,1.13,43.35,-0.99,-0.55,279.24,68.32,97505.23,97,二级
四川省,自贡市,2013-02-10,98.61,120.54,39.81,14.67,1.19,51.71,-2.04,-1.7,283.16,47.65,96760.84,130,三级
四川省,自贡市,2013-02-11,80.97,81.16,22.33,10.69,1.13,50.45,-1.38,-5.22,283.4,48.54,96965.18,108,三级
四川省,自贡市,2013-02-12,80.8,89.23,23.22,9.71,0.91,55.85,-0.36,-4.19,281.72,47.9,97581.57,108,三级
四川省,自贡市,2013-02-13,84.35,99.57,30.74,14.9,1.01,51.35,-1.52,-2.76,282.19,48.48,96819.44,112,三级
四川省,自贡市,2013-02-14,80.21,85.89,23.92,10.52,1.0,51.02,-1.65,-4.74,283.2,51.96,96827.16,107,三级
四川省,自贡市,2013-02-15,76.28,82.37,24.93,15.1,0.97,51.36,-0.25,-1.71,283.68,48.04,97181.09,102,三级
四川省,自贡市,2013-02-16,92.48,110.92,35.81,19.17,1.14,51.48,-1.78,-4.09,285.74,40.64,96181.79,122,三级
四川省,自贡市,2013-02-17,101.87,109.65,25.01,14.42,1.1,61.99,-0.1,-4.43,285.97,42.64,96072.12,134,三级
四川省,自贡市,2013-02-18,76.85,89.09,29.39,14.5,1.14,55.43,-0.66,-6.73,283.39,52.81,96427.73,103,三级
四川省,自贡市,2013-02-19,58.66,61.86,26.23,12.97,0.98,54.2,-0.77,-3.07,281.09,53.01,97274.34,80,二级
四川省,自贡市,2013-02-20,80.55,84.66,29.15,17.6,1.3,34.5,-2.27,-3.3,282.81,60.72,97255.03,107,三级
四川省,自贡市,2013-02-21,94.73,105.46,28.4,19.39,1.3,42.76,-0.21,-3.69,283.18,60.98,97463.4,125,三级
四川省,自贡市,2013-02-22,94.47,103.97,22.38,17.65,1.15,58.04,-0.73,-1.6,284.9,54.39,97659.75,125,三级
四川省,自贡市,2013-02-23,89.31,107.68,42.29,25.62,1.23,43.17,-2.36,-2.58,287.1,43.42,97127.68,118,三级
四川省,自贡市,2013-02-24,110.44,123.8,32.95,22.07,1.28,58.07,0.17,-3.72,287.94,44.02,96626.49,145,三级
四川省,自贡市,2013-02-25,123.71,146.96,28.01,20.72,1.25,62.23,-0.94,-4.69,288.64,50.14,96640.93,163,四级
四川省,自贡市,2013-02-26,123.31,145.0,26.5,26.16,1.2,67.84,-0.78,-1.59,288.87,48.97,96711.8,162,四级
四川省,自贡市,2013-02-27,137.65,180.71,39.25,29.45,1.42,67.27,-1.94,-2.81,290.21,46.78,96387.87,183,四级
四川省,自贡市,2013-02-28,160.72,200.44,37.44,31.34,1.63,45.87,-0.78,-5.78,290.96,51.79,95733.21,211,五级
四川省,自贡市,2013-03-01,95.49,143.45,18.46,15.98,0.74,45.92,-1.25,-6.15,287.89,30.92,96866.6,126,三级
四川省,自贡市,2013-03-02,79.66,133.77,21.68,11.82,0.7,44.46,-1.51,-3.6,283.01,62.23,97938.52,106,三级
四川省,自贡市,2013-03-03,77.14,115.46,22.91,15.05,0.69,56.85,-0.82,-0.5,285.81,44.66,97879.42,103,三级
四川省,自贡市,2013-03-04,96.44,146.34,37.42,31.04,0.93,53.36,-2.06,-1.0,288.75,34.53,97401.2,127,三级
四川省,自贡市,2013-03-05,104.71,157.52,31.44,30.08,1.06,62.8,-2.34,-1.64,291.16,32.44,96916.48,138,三级
四川省,自贡市,2013-03-06,110.15,168.32,25.17,26.94,1.07,56.4,0.75,-7.19,292.13,30.39,96880.09,144,三级
四川省,自贡市,2013-03-07,101.02,169.7,18.97,43.84,1.02,58.13,-1.71,-0.3,292.65,26.11,97007.35,133,三级
四川省,自贡市,2013-03-08,97.66,149.19,29.88,32.02,1.09,77.08,-1.93,-0.9,295.17,28.8,96314.83,129,三级
四川省,自贡市,2013-03-09,136.65,197.31,36.82,38.23,1.29,74.89,0.08,-6.45,296.02,29.31,95743.41,181,四级
四川省,自贡市,2013-03-10,142.49,226.75,17.06,20.92,0.68,48.01,1.01,-5.27,294.12,22.78,96378.52,190,四级
四川省,自贡市,2013-03-11,139.94,274.67,27.72,20.77,0.79,54.31,1.52,-4.47,292.68,41.76,95887.49,186,四级
四川省,自贡市,2013-03-12,72.32,132.91,15.69,13.06,0.56,53.56,1.85,-5.47,289.77,50.99,96176.05,97,二级
四川省,自贡市,2013-03-13,100.27,201.92,19.36,22.09,0.62,51.89,-2.19,-1.43,291.3,43.53,96741.49,132,三级
四川省,自贡市,2013-03-14,92.53,173.07,36.05,18.27,0.73,62.78,-4.07,-1.71,292.12,44.86,96621.02,122,三级
四川省,自贡市,2013-03-15,108.46,189.19,35.26,28.74,0.95,58.24,-0.44,-4.03,292.86,43.72,96361.76,142,三级
四川省,自贡市,2013-03-16,106.46,167.0,28.72,19.52,0.89,68.05,-0.1,-5.35,293.6,49.35,96181.96,140,三级
四川省,自贡市,2013-03-17,95.84,134.82,27.2,15.82,0.79,68.54,-1.11,-4.54,292.73,51.39,96423.68,127,三级
四川省,自贡市,2013-03-18,71.06,89.27,21.54,18.2,0.7,61.2,-1.89,-3.09,290.25,58.34,96363.22,96,二级
四川省,自贡市,2013-03-19,60.19,74.25,22.48,15.29,0.61,60.5,0.22,-4.03,289.7,71.41,95889.74,82,二级
