province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
天津市,东丽区,2013-01-01,82.66,111.54,67.32,44.24,2.6,38.48,2.98,-7.38,261.99,43.28,102561.12,110,三级
天津市,东丽区,2013-01-02,11.84,40.5,36.42,23.02,1.66,50.24,4.43,-6.47,259.14,39.54,103908.51,42,一级
天津市,东丽区,2013-01-03,27.66,59.73,54.28,35.18,1.98,41.16,4.29,-5.55,260.91,42.35,104304.64,55,二级
天津市,东丽区,2013-01-04,140.16,209.45,180.25,76.8,4.43,15.53,4.62,0.64,261.37,55.82,103452.1,186,四级
天津市,东丽区,2013-01-05,104.6,156.41,127.07,66.67,3.28,22.68,2.76,-3.51,263.71,43.88,102991.19,138,三级
天津市,东丽区,2013-01-06,139.91,196.39,142.17,82.94,3.52,15.29,-0.27,-2.09,263.74,53.9,102984.48,186,四级
天津市,东丽区,2013-01-07,269.94,381.92,217.66,114.04,5.1,15.64,0.19,-2.28,264.63,55.13,102768.92,320,六级
天津市,东丽区,2013-01-08,90.21,102.06,84.3,61.26,3.04,17.22,-1.86,-5.34,261.83,53.92,103316.72,120,三级
天津市,东丽区,2013-01-09,60.01,92.4,76.98,56.3,2.04,25.93,3.54,-3.16,263.93,39.24,103253.7,82,二级
天津市,东丽区,2013-01-10,202.02,290.54,163.98,82.1,2.99,9.45,1.0,2.12,266.55,72.87,102933.62,253,五级
天津市,东丽区,2013-01-11,312.25,414.7,187.18,99.03,4.8,8.92,2.84,-1.65,268.2,78.66,102516.85,363,六级
天津市,东丽区,2013-01-12,367.92,482.3,182.52,119.5,5.85,13.2,-2.27,-0.16,268.04,68.33,102545.56,412,六级
天津市,东丽区,2013-01-13,120.7,118.37,103.45,62.2,3.58,12.86,-4.74,-3.99,268.7,80.59,102463.1,159,四级
天津市,东丽区,2013-01-14,135.84,163.56,117.87,66.8,3.72,17.03,-4.03,-1.18,268.46,73.98,102884.08,180,四级
天津市,东丽区,2013-01-15,74.36,88.89,74.01,49.2,2.65,20.94,-1.33,-1.94,268.17,86.46,102700.12,100,二级
天津市,东丽区,2013-01-16,124.62,161.78,89.06,57.34,2.66,11.72,-2.48,-3.38,265.36,55.32,103447.49,164,四级
天津市,东丽区,2013-01-17,80.11,122.7,104.52,65.12,2.87,16.76,1.01,-1.58,266.98,42.36,103913.89,107,三级
天津市,东丽区,2013-01-18,233.74,319.41,150.35,83.05,3.34,14.94,3.5,3.54,269.86,65.04,103003.0,284,五级
天津市,东丽区,2013-01-19,193.22,255.68,108.49,75.36,3.74,25.06,-6.38,-1.84,269.41,79.4,103067.03,244,五级
天津市,东丽区,2013-01-20,94.98,112.1,108.96,51.44,3.14,21.46,-5.27,-3.49,268.12,91.31,103112.77,125,三级
天津市,东丽区,2013-01-21,197.66,258.53,164.75,75.94,5.7,7.1,-1.88,-3.25,268.52,81.82,103024.53,248,五级
