province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
天津市,宁河区,2013-01-01,74.49,101.68,38.29,57.85,1.82,39.0,3.01,-6.62,261.59,42.34,102526.52,100,二级
天津市,宁河区,2013-01-02,11.42,33.66,19.46,15.53,0.93,46.17,5.57,-6.33,259.09,40.58,103845.68,34,一级
天津市,宁河区,2013-01-03,25.19,52.44,26.15,25.85,1.05,43.3,4.75,-4.81,261.02,43.15,104252.19,52,二级
天津市,宁河区,2013-01-04,137.15,226.41,124.33,74.49,3.48,20.08,4.89,0.52,261.17,54.13,103401.54,182,四级
天津市,宁河区,2013-01-05,130.55,192.2,82.82,84.49,3.14,30.92,2.39,-2.92,263.46,42.57,102957.12,173,四级
天津市,宁河区,2013-01-06,184.74,241.66,129.46,83.16,4.04,19.28,-0.77,-1.36,262.99,54.78,102966.11,235,五级
天津市,宁河区,2013-01-07,315.15,424.58,156.84,121.71,5.19,19.23,-0.51,-1.7,263.66,56.39,102759.85,366,六级
天津市,宁河区,2013-01-08,89.66,106.78,84.8,68.06,2.68,22.11,-2.05,-4.41,261.19,53.29,103311.56,119,三级
天津市,宁河区,2013-01-09,48.57,70.06,39.42,51.89,1.21,29.48,3.4,-2.46,263.46,39.24,103214.58,67,二级
天津市,宁河区,2013-01-10,249.65,349.43,135.34,106.07,2.48,11.86,-0.02,0.76,265.82,70.15,102922.91,300,五级
天津市,宁河区,2013-01-11,378.8,490.71,150.28,119.56,5.14,14.71,1.79,-1.94,267.48,79.59,102488.13,420,六级
天津市,宁河区,2013-01-12,381.91,478.69,148.28,139.3,5.57,13.86,-2.8,-0.09,266.98,63.69,102545.22,422,六级
天津市,宁河区,2013-01-13,148.38,167.47,113.02,72.65,3.76,12.48,-4.54,-3.14,267.17,73.68,102493.81,198,四级
天津市,宁河区,2013-01-14,162.9,194.45,87.04,66.0,3.6,20.17,-3.4,-0.97,267.68,67.18,102890.68,213,五级
天津市,宁河区,2013-01-15,106.55,130.52,85.67,60.14,3.39,22.81,-2.81,-1.79,266.11,82.51,102708.43,140,三级
天津市,宁河区,2013-01-16,138.53,174.38,85.0,60.84,2.53,15.86,-2.62,-2.32,264.75,53.34,103441.51,184,四级
天津市,宁河区,2013-01-17,71.07,106.05,73.14,61.07,2.12,22.35,0.28,-0.29,266.42,42.87,103887.44,96,二级
天津市,宁河区,2013-01-18,241.67,319.32,129.74,87.39,3.34,17.91,3.78,2.89,269.17,67.68,102974.63,292,五级
天津市,宁河区,2013-01-19,218.06,292.5,107.14,73.35,4.03,27.97,-6.01,-1.69,268.19,69.2,103095.57,269,五级
天津市,宁河区,2013-01-20,144.08,183.13,157.75,61.69,4.78,19.69,-4.8,-2.64,266.88,87.51,103146.11,192,四级
天津市,宁河区,2013-01-21,253.35,318.21,180.6,85.7,6.74,10.47,-2.02,-2.7,268.16,79.14,103018.62,304,六级
