province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
天津市,蓟州区,2013-01-01,43.79,56.89,19.96,29.91,0.99,41.93,3.0,-6.91,260.77,37.96,101612.88,61,二级
天津市,蓟州区,2013-01-02,13.24,23.75,10.79,8.68,0.57,52.96,5.07,-6.98,258.68,39.55,102890.12,27,一级
天津市,蓟州区,2013-01-03,21.15,36.03,13.96,17.26,0.54,50.75,3.28,-5.34,261.55,40.2,103281.77,37,一级
天津市,蓟州区,2013-01-04,126.76,183.09,90.18,73.68,1.83,24.98,3.62,-0.03,261.88,50.9,102421.01,167,四级
天津市,蓟州区,2013-01-05,96.3,135.31,40.79,64.71,1.8,37.0,0.81,-2.22,264.71,34.8,102024.89,127,三级
天津市,蓟州区,2013-01-06,177.13,242.24,89.0,91.54,3.49,17.81,0.02,0.29,263.42,53.48,102037.37,228,五级
天津市,蓟州区,2013-01-07,242.27,331.35,91.5,112.86,3.83,22.02,-1.21,-0.67,264.52,50.09,101841.51,293,五级
天津市,蓟州区,2013-01-08,67.16,90.53,45.48,46.64,1.75,34.58,-0.89,-3.04,261.94,45.44,102392.6,91,二级
天津市,蓟州区,2013-01-09,50.6,66.35,26.6,41.4,0.89,40.18,2.56,-2.3,263.48,38.19,102265.7,70,二级
天津市,蓟州区,2013-01-10,262.56,361.99,98.67,108.18,3.26,11.4,-1.96,0.75,265.08,58.02,102011.15,313,六级
天津市,蓟州区,2013-01-11,276.57,372.35,106.71,90.88,4.2,19.4,-0.03,-2.74,267.15,71.84,101588.5,327,六级
天津市,蓟州区,2013-01-12,313.7,432.14,100.04,128.03,5.22,14.61,-3.3,0.11,266.5,61.26,101652.76,364,六级
天津市,蓟州区,2013-01-13,193.04,273.4,83.38,73.0,4.27,13.14,-3.88,-2.06,267.06,73.8,101642.27,244,五级
天津市,蓟州区,2013-01-14,187.47,245.38,66.53,73.7,3.8,19.26,-3.24,-0.07,268.26,57.55,101990.82,238,五级
