province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
宁夏回族自治区,吴忠市,2013-01-01,12.67,23.57,35.53,8.75,0.41,51.81,4.68,-3.34,262.87,57.43,85175.72,36,一级
宁夏回族自治区,吴忠市,2013-01-02,18.43,24.27,44.27,11.29,0.59,40.51,-2.66,-2.75,258.75,52.88,86084.04,45,一级
宁夏回族自治区,吴忠市,2013-01-03,31.88,42.59,58.79,12.31,0.62,34.37,-3.17,3.17,259.74,39.31,86098.67,55,二级
宁夏回族自治区,吴忠市,2013-01-04,58.05,87.5,74.29,22.09,1.26,24.45,-0.28,2.47,262.0,50.41,85397.21,79,二级
宁夏回族自治区,吴忠市,2013-01-05,73.62,104.49,107.68,36.35,1.26,20.11,1.5,-0.71,261.63,35.32,85436.81,99,二级
宁夏回族自治区,吴忠市,2013-01-06,62.35,86.75,73.6,25.45,1.39,36.93,3.9,-0.15,264.83,28.54,85393.88,85,二级
宁夏回族自治区,吴忠市,2013-01-07,38.68,55.07,61.64,18.83,1.04,38.94,4.11,-2.1,265.63,36.7,85386.9,56,二级
宁夏回族自治区,吴忠市,2013-01-08,21.18,33.14,49.98,17.69,0.75,39.47,3.37,-1.95,263.6,44.38,85729.67,50,一级
宁夏回族自治区,吴忠市,2013-01-09,42.69,59.68,46.1,20.12,0.87,40.86,0.6,2.01,266.06,39.87,85389.65,60,二级
宁夏回族自治区,吴忠市,2013-01-10,82.53,120.35,77.6,27.76,1.82,38.63,5.11,0.2,267.96,32.86,85324.12,110,三级
宁夏回族自治区,吴忠市,2013-01-11,20.84,39.99,32.49,14.39,0.92,48.3,5.05,-0.56,266.89,34.72,85593.78,40,一级
宁夏回族自治区,吴忠市,2013-01-12,48.17,73.37,41.08,17.52,1.38,44.02,4.5,2.47,270.3,26.21,85101.77,67,二级
宁夏回族自治区,吴忠市,2013-01-13,50.65,71.35,47.27,17.82,1.3,47.68,-1.02,2.77,270.99,16.75,85009.58,70,二级
宁夏回族自治区,吴忠市,2013-01-14,52.45,110.94,50.16,18.93,1.52,37.05,6.73,-0.92,267.15,34.03,85423.53,81,二级
宁夏回族自治区,吴忠市,2013-01-15,36.11,77.14,45.45,17.64,0.94,42.43,5.59,-2.24,267.72,45.14,85603.06,64,二级
宁夏回族自治区,吴忠市,2013-01-16,36.24,61.11,76.87,20.63,1.08,43.62,2.21,-2.11,267.82,39.5,85925.47,64,二级
宁夏回族自治区,吴忠市,2013-01-17,40.76,58.56,46.09,15.83,0.97,36.36,-2.75,6.07,268.21,44.89,86010.66,58,二级
宁夏回族自治区,吴忠市,2013-01-18,87.4,125.75,48.69,20.01,1.38,35.38,0.61,2.77,270.75,52.33,85543.6,116,三级
宁夏回族自治区,吴忠市,2013-01-19,124.35,179.3,80.43,28.25,1.72,31.63,0.04,2.16,269.91,73.4,84920.2,164,四级
宁夏回族自治区,吴忠市,2013-01-20,40.0,51.75,34.86,19.06,0.68,37.73,6.55,-3.81,265.23,53.48,85483.43,57,二级
宁夏回族自治区,吴忠市,2013-01-21,31.42,40.12,31.39,17.24,0.79,44.01,1.99,-0.86,266.32,53.95,85722.49,45,一级
宁夏回族自治区,吴忠市,2013-01-22,57.89,68.58,43.67,21.25,1.25,48.1,3.54,2.04,266.98,57.77,85558.65,79,二级
宁夏回族自治区,吴忠市,2013-01-23,22.25,44.38,22.67,14.84,1.2,53.17,7.43,-1.87,268.93,44.17,85327.23,45,一级
宁夏回族自治区,吴忠市,2013-01-24,18.31,26.08,37.34,16.99,0.69,47.33,4.5,-0.08,266.12,51.36,85691.45,38,一级
宁夏回族自治区,吴忠市,2013-01-25,30.34,39.71,58.78,25.22,0.8,47.81,8.32,-2.65,269.37,32.68,85464.34,55,二级
宁夏回族自治区,吴忠市,2013-01-26,18.68,26.85,29.19,16.19,0.46,46.32,5.49,-2.25,269.89,33.18,85626.6,30,一级
宁夏回族自治区,吴忠市,2013-01-27,47.86,66.35,82.47,34.63,1.01,46.02,3.91,0.4,272.51,24.81,85625.77,67,二级
宁夏回族自治区,吴忠市,2013-01-28,56.63,74.5,66.79,30.25,1.36,46.27,3.32,-0.07,272.67,24.91,85329.58,78,二级
宁夏回族自治区,吴忠市,2013-01-29,77.2,96.91,79.29,33.21,1.57,41.83,3.73,0.93,273.48,25.62,85290.11,103,三级
宁夏回族自治区,吴忠市,2013-01-30,40.14,51.67,29.54,16.25,0.86,45.82,1.5,4.88,275.2,32.27,84993.18,57,二级
宁夏回族自治区,吴忠市,2013-01-31,33.65,52.76,67.95,18.52,0.66,49.93,5.37,-1.87,274.32,36.13,85131.03,59,二级
宁夏回族自治区,吴忠市,2013-02-01,20.37,32.68,44.29,19.51,0.63,40.96,-0.71,-0.92,271.61,43.12,85594.57,45,一级
宁夏回族自治区,吴忠市,2013-02-02,38.5,56.04,47.55,21.55,1.19,37.23,-0.52,5.93,272.59,42.67,85429.8,55,二级
宁夏回族自治区,吴忠市,2013-02-03,39.41,57.35,29.4,14.98,0.84,41.7,5.75,0.16,275.1,41.38,84827.94,56,二级
宁夏回族自治区,吴忠市,2013-02-04,22.06,38.49,24.44,13.28,0.61,40.98,-2.16,2.8,272.81,45.72,85045.93,39,一级
宁夏回族自治区,吴忠市,2013-02-05,20.24,32.43,29.44,19.45,0.71,33.88,5.93,-3.06,271.68,35.69,85403.36,33,一级
宁夏回族自治区,吴忠市,2013-02-06,19.86,33.11,24.11,13.47,0.73,40.78,-3.04,-1.1,271.48,32.69,85338.48,34,一级
宁夏回族自治区,吴忠市,2013-02-07,19.88,27.26,20.9,11.98,0.66,44.06,-4.47,-0.18,267.65,44.19,85732.55,29,一级
宁夏回族自治区,吴忠市,2013-02-08,32.07,47.97,65.77,29.19,0.96,35.15,4.24,0.25,267.85,52.43,85768.05,58,二级
宁夏回族自治区,吴忠市,2013-02-09,46.61,75.55,46.33,22.44,1.33,48.05,3.36,3.51,274.02,36.42,85103.52,65,二级
宁夏回族自治区,吴忠市,2013-02-10,36.31,64.02,59.96,18.67,0.72,44.22,1.5,-1.58,271.2,50.78,85128.31,58,二级
宁夏回族自治区,吴忠市,2013-02-11,24.95,37.12,34.67,16.83,0.62,35.32,3.53,-3.45,267.0,47.93,85731.92,38,一级
宁夏回族自治区,吴忠市,2013-02-12,13.64,20.06,28.41,13.94,0.61,49.35,5.48,-1.16,267.46,32.32,85741.22,29,一级
宁夏回族自治区,吴忠市,2013-02-13,19.65,29.4,39.81,15.21,0.74,49.98,3.17,-1.78,270.33,21.09,85288.05,40,一级
宁夏回族自治区,吴忠市,2013-02-14,13.9,27.25,30.3,13.86,0.57,48.31,2.86,-3.61,267.98,38.44,85578.98,31,一级
宁夏回族自治区,吴忠市,2013-02-15,25.12,42.9,18.01,10.57,0.66,48.35,2.64,4.51,273.21,32.08,85079.82,43,一级
宁夏回族自治区,吴忠市,2013-02-16,30.91,51.04,48.59,21.84,0.79,43.48,3.1,-2.42,273.35,32.05,84862.62,51,二级
宁夏回族自治区,吴忠市,2013-02-17,26.55,103.17,38.26,14.84,0.45,47.43,-1.69,-3.02,267.92,31.52,85175.2,77,二级
宁夏回族自治区,吴忠市,2013-02-18,17.47,36.38,45.68,18.52,0.51,52.49,-0.48,-2.61,264.99,50.36,85498.02,46,一级
宁夏回族自治区,吴忠市,2013-02-19,40.48,65.7,75.72,31.65,0.97,43.27,1.73,1.16,269.4,41.18,85363.56,63,二级
宁夏回族自治区,吴忠市,2013-02-20,18.96,30.61,27.7,14.98,0.48,48.25,2.28,0.11,269.78,31.98,85617.89,31,一级
宁夏回族自治区,吴忠市,2013-02-21,33.26,50.38,29.29,20.97,0.78,43.56,4.01,-0.08,270.88,38.82,85853.92,51,二级
宁夏回族自治区,吴忠市,2013-02-22,30.71,42.15,29.47,15.76,0.62,46.59,0.38,1.76,272.96,44.37,85729.77,44,一级
宁夏回族自治区,吴忠市,2013-02-23,41.44,60.76,30.67,16.72,0.74,53.65,-2.1,4.92,276.68,46.22,85474.82,59,二级
宁夏回族自治区,吴忠市,2013-02-24,65.32,92.47,36.53,17.43,1.03,51.35,0.64,5.04,277.88,60.09,85069.47,88,二级
宁夏回族自治区,吴忠市,2013-02-25,32.74,88.59,33.74,16.18,0.53,48.18,4.6,-3.34,276.89,25.18,85463.21,70,二级
宁夏回族自治区,吴忠市,2013-02-26,28.2,56.31,20.83,16.07,0.58,44.1,-1.66,1.23,277.83,28.79,85366.53,54,二级
