province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
安徽省,铜陵市,2013-01-01,72.75,91.25,33.45,29.05,1.14,26.36,4.14,2.48,276.62,70.39,102062.59,98,二级
安徽省,铜陵市,2013-01-02,62.73,86.76,22.85,24.82,1.12,30.33,-4.44,-8.38,272.76,69.06,102918.98,85,二级
安徽省,铜陵市,2013-01-03,42.41,46.36,21.97,15.86,0.92,41.33,-1.14,-7.61,269.38,61.62,103590.6,60,二级
安徽省,铜陵市,2013-01-04,67.92,72.34,24.52,28.24,1.04,24.83,-2.27,-3.88,270.64,66.93,102942.88,92,二级
安徽省,铜陵市,2013-01-05,86.69,85.49,28.15,32.66,1.17,26.98,-1.79,-3.5,272.42,66.45,102454.29,115,三级
安徽省,铜陵市,2013-01-06,104.59,112.32,41.15,42.45,1.2,27.37,-1.95,-3.13,273.27,70.39,102427.62,137,三级
安徽省,铜陵市,2013-01-07,135.82,146.98,54.71,51.97,1.36,20.44,-1.67,-0.88,274.34,65.95,102230.16,180,四级
安徽省,铜陵市,2013-01-08,156.72,155.62,57.64,53.64,1.56,27.36,-1.77,-2.45,275.12,61.73,102328.07,207,五级
安徽省,铜陵市,2013-01-09,246.44,247.75,75.75,62.06,2.12,19.08,-2.53,-4.89,275.24,60.08,102607.32,297,五级
安徽省,铜陵市,2013-01-10,139.85,141.03,33.51,45.81,1.43,22.61,-5.12,-1.5,275.57,68.04,102624.93,186,四级
安徽省,铜陵市,2013-01-11,133.75,134.57,35.74,52.34,1.46,19.51,-1.14,0.66,277.16,61.71,102383.26,177,四级
安徽省,铜陵市,2013-01-12,213.5,212.95,35.94,55.4,1.82,27.17,-1.11,-1.74,278.28,67.62,102219.27,264,五级
安徽省,铜陵市,2013-01-13,144.57,129.73,29.93,49.25,1.62,21.62,-3.2,-1.13,279.02,81.17,101784.34,193,四级
安徽省,铜陵市,2013-01-14,133.3,130.23,31.12,58.5,2.02,19.45,-2.16,-1.11,277.8,85.97,102184.75,177,四级
安徽省,铜陵市,2013-01-15,122.59,119.99,24.84,32.28,1.38,31.83,-1.32,-0.85,279.24,67.3,102134.42,161,四级
安徽省,铜陵市,2013-01-16,170.4,162.81,33.9,28.75,1.52,37.22,-0.36,-4.07,278.0,67.48,102445.59,221,五级
安徽省,铜陵市,2013-01-17,145.66,155.9,28.84,36.28,1.48,25.33,-3.37,-5.76,275.15,62.92,103253.73,194,四级
安徽省,铜陵市,2013-01-18,72.18,74.73,21.79,44.76,1.09,35.3,-3.0,-1.35,274.19,44.83,103085.64,97,二级
安徽省,铜陵市,2013-01-19,76.44,80.98,26.52,39.2,1.26,38.8,-2.79,0.45,278.21,47.52,102345.14,102,三级
安徽省,铜陵市,2013-01-20,118.21,128.05,22.44,39.75,1.27,30.74,-1.02,0.68,280.55,67.45,101994.0,155,四级
安徽省,铜陵市,2013-01-21,123.04,88.7,34.1,38.18,1.73,14.23,2.56,-4.95,277.27,81.18,102253.18,162,四级
安徽省,铜陵市,2013-01-22,133.24,108.09,31.84,28.94,1.49,19.08,-0.27,-4.47,275.93,79.96,102465.62,177,四级
安徽省,铜陵市,2013-01-23,115.43,110.73,31.39,28.9,1.24,43.12,1.15,1.08,277.22,70.78,102082.04,151,四级
安徽省,铜陵市,2013-01-24,146.0,153.56,34.84,33.07,1.67,34.59,2.76,-2.39,278.55,65.43,101998.54,195,四级
安徽省,铜陵市,2013-01-25,107.96,100.22,26.7,48.1,1.4,33.76,0.53,0.73,278.14,50.55,102143.45,142,三级
安徽省,铜陵市,2013-01-26,145.83,94.17,35.14,45.97,1.49,35.26,1.78,-2.22,279.43,54.73,102025.01,195,四级
