province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
安徽省,黄山市,2013-01-01,64.2,74.42,32.46,18.6,0.81,39.88,2.16,0.14,275.2,60.67,97938.98,87,二级
安徽省,黄山市,2013-01-02,75.54,77.74,25.49,29.08,0.96,28.11,-4.25,-6.3,273.53,76.89,98429.25,101,三级
安徽省,黄山市,2013-01-03,43.33,54.89,18.13,20.62,0.67,40.33,-2.74,-7.06,268.52,62.93,99057.81,61,二级
安徽省,黄山市,2013-01-04,67.08,64.08,21.17,26.21,0.94,27.23,-2.78,-3.68,268.97,86.26,98541.25,91,二级
安徽省,黄山市,2013-01-05,78.22,65.2,24.2,26.16,1.07,30.01,-2.49,-2.57,270.25,86.54,98128.92,105,三级
安徽省,黄山市,2013-01-06,68.36,67.73,29.28,37.65,1.2,25.88,-2.51,-2.41,271.2,89.48,98125.3,92,二级
安徽省,黄山市,2013-01-07,87.32,82.54,31.81,35.59,1.32,22.18,-1.8,-1.3,271.25,89.92,98006.14,116,三级
安徽省,黄山市,2013-01-08,121.1,113.7,40.97,39.4,1.32,26.78,-2.33,-2.52,271.57,74.12,98079.71,159,四级
安徽省,黄山市,2013-01-09,156.51,161.04,50.49,47.29,1.47,32.7,-3.25,-4.5,272.57,67.33,98302.75,207,五级
安徽省,黄山市,2013-01-10,99.12,115.08,26.37,34.83,1.03,31.58,-5.04,-1.27,273.69,71.23,98364.45,131,三级
安徽省,黄山市,2013-01-11,99.47,117.12,21.3,36.89,0.98,31.01,-3.23,1.16,275.17,67.32,98224.08,131,三级
安徽省,黄山市,2013-01-12,115.28,125.29,23.07,24.28,1.08,38.89,-2.46,-1.2,277.82,64.84,98047.28,151,四级
安徽省,黄山市,2013-01-13,88.12,85.1,23.41,27.98,1.12,40.11,-1.99,-1.22,277.26,91.87,97631.58,117,三级
安徽省,黄山市,2013-01-14,67.43,69.72,23.94,20.75,1.1,50.2,-2.6,-2.38,277.08,81.06,97996.81,91,二级
安徽省,黄山市,2013-01-15,114.94,108.65,22.66,22.59,1.01,43.05,-1.38,0.48,278.62,68.35,98010.46,150,三级
安徽省,黄山市,2013-01-16,160.12,130.5,34.43,30.24,1.51,44.11,-0.92,-3.73,277.84,61.98,98211.83,211,五级
安徽省,黄山市,2013-01-17,133.6,159.79,28.91,31.57,1.11,34.4,-3.24,-5.56,273.95,66.64,98872.33,177,四级
安徽省,黄山市,2013-01-18,63.53,76.9,15.52,22.57,0.71,43.14,-2.72,-1.2,273.17,48.14,98804.33,86,二级
安徽省,黄山市,2013-01-19,78.0,86.86,15.69,27.03,0.79,42.09,-3.92,1.68,277.76,47.12,98221.68,104,三级
安徽省,黄山市,2013-01-20,60.25,75.32,10.48,19.08,0.8,48.88,-1.16,2.67,283.13,73.19,97948.51,82,二级
安徽省,黄山市,2013-01-21,102.24,105.56,23.0,37.96,1.43,23.74,0.77,-3.13,278.4,89.57,98025.42,135,三级
安徽省,黄山市,2013-01-22,86.46,53.08,29.45,34.34,1.33,22.72,-0.65,-3.83,275.22,80.13,98199.83,115,三级
安徽省,黄山市,2013-01-23,98.05,83.39,27.21,20.16,1.17,46.35,0.35,-0.46,276.45,71.34,97949.18,129,三级
安徽省,黄山市,2013-01-24,114.72,106.46,31.1,17.37,1.17,47.02,1.6,-2.38,278.15,68.1,97843.62,150,三级
安徽省,黄山市,2013-01-25,115.27,123.96,23.84,21.61,1.14,55.59,-0.39,-0.84,276.89,55.35,98012.37,151,四级
安徽省,黄山市,2013-01-26,108.94,111.3,26.32,21.43,1.03,52.36,0.56,-2.26,278.7,52.45,97888.64,143,三级
安徽省,黄山市,2013-01-27,116.21,129.24,28.59,30.12,0.94,50.56,-2.04,-2.3,278.32,58.78,98303.55,152,四级
安徽省,黄山市,2013-01-28,108.66,123.27,18.43,28.19,0.91,49.81,-2.91,1.93,280.14,54.85,98144.1,143,三级
安徽省,黄山市,2013-01-29,86.33,90.47,14.35,17.44,0.76,55.92,-0.45,0.36,283.28,49.61,98000.58,115,三级
安徽省,黄山市,2013-01-30,74.15,71.63,12.82,15.3,0.6,58.08,-4.64,2.49,284.35,52.29,98089.86,99,二级
