province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
山西省,太原市,2013-01-01,22.42,31.13,20.1,10.17,3.78,44.63,5.65,-4.59,257.01,51.49,87432.46,95,二级
山西省,太原市,2013-01-02,24.64,34.48,29.07,13.52,2.9,40.33,4.04,-6.16,252.76,43.26,88472.63,73,二级
山西省,太原市,2013-01-03,33.82,49.87,46.68,16.31,2.53,37.19,1.34,-3.45,255.72,37.21,88734.41,64,二级
山西省,太原市,2013-01-04,51.47,70.91,62.13,21.96,2.02,32.23,2.04,-1.19,260.14,34.03,87997.93,71,二级
山西省,太原市,2013-01-05,54.0,81.67,68.5,25.07,1.96,28.4,1.98,-3.33,262.24,29.62,87747.64,74,二级
山西省,太原市,2013-01-06,79.77,118.04,81.35,27.93,3.08,26.56,3.12,-1.89,264.18,25.26,87709.58,106,三级
山西省,太原市,2013-01-07,149.39,176.93,111.71,29.28,2.46,27.67,4.33,-2.69,265.66,36.35,87593.87,200,四级
山西省,太原市,2013-01-08,52.9,62.64,33.68,18.97,2.2,38.4,3.78,-4.28,262.55,46.64,87958.02,73,二级
山西省,太原市,2013-01-09,39.81,58.99,39.0,18.01,2.2,35.09,3.31,-1.5,262.6,40.05,87928.97,57,二级
山西省,太原市,2013-01-10,86.95,123.54,114.6,32.28,2.14,26.81,4.11,1.89,267.56,37.95,87656.27,115,三级
山西省,太原市,2013-01-11,90.43,97.1,63.62,22.84,4.46,41.72,7.32,-2.85,266.51,46.05,87734.48,120,三级
山西省,太原市,2013-01-12,71.44,108.71,104.76,26.28,1.97,27.66,4.99,2.56,269.77,33.87,87516.4,96,二级
山西省,太原市,2013-01-13,80.89,117.31,89.08,29.49,2.19,25.27,1.55,-1.63,270.18,33.46,87469.59,108,三级
山西省,太原市,2013-01-14,106.0,153.79,84.74,41.11,3.02,28.55,2.15,0.76,271.54,22.09,87728.75,139,三级
山西省,太原市,2013-01-15,64.52,99.64,35.45,15.43,3.43,37.59,6.21,-2.98,267.78,49.37,87730.9,87,二级
山西省,太原市,2013-01-16,69.13,101.18,43.51,20.93,1.74,31.69,1.99,-3.94,266.79,55.13,88175.99,93,二级
山西省,太原市,2013-01-17,43.01,61.06,39.26,17.0,1.32,35.49,1.05,-1.18,265.8,42.51,88675.76,61,二级
山西省,太原市,2013-01-18,98.16,132.34,88.56,29.26,1.59,24.72,3.1,1.14,270.06,42.84,88084.21,129,三级
山西省,太原市,2013-01-19,123.08,172.75,70.25,34.38,2.19,19.96,-3.39,-0.72,268.37,58.63,87720.74,162,四级
山西省,太原市,2013-01-20,162.55,175.21,48.05,37.83,1.86,20.33,-1.71,-0.52,265.91,88.29,87773.07,213,五级
山西省,太原市,2013-01-21,210.73,206.32,58.47,38.59,2.8,18.08,0.75,-2.82,267.93,72.05,87934.5,261,五级
山西省,太原市,2013-01-22,155.5,169.53,89.61,33.34,1.74,20.66,2.2,-0.37,267.33,59.48,87873.31,206,五级
山西省,太原市,2013-01-23,169.04,210.06,116.38,39.06,2.16,25.65,6.94,-2.0,268.23,56.21,87337.25,220,五级
山西省,太原市,2013-01-24,30.66,26.41,18.91,13.97,1.38,44.58,7.13,-3.89,263.72,50.2,87713.46,44,一级
山西省,太原市,2013-01-25,34.89,52.79,44.56,16.4,0.82,34.81,6.83,-2.27,266.73,44.9,87477.17,52,二级
山西省,太原市,2013-01-26,18.21,40.27,27.62,19.03,0.49,34.29,2.84,-3.59,267.32,50.78,87822.85,41,一级
山西省,太原市,2013-01-27,40.84,68.52,48.98,22.8,0.9,35.03,4.46,-0.31,270.91,37.93,87924.47,60,二级
山西省,太原市,2013-01-28,46.56,84.85,70.03,31.61,1.06,29.8,4.68,-1.65,273.66,34.22,87563.53,68,二级
山西省,太原市,2013-01-29,52.77,86.84,67.65,30.26,0.97,31.17,2.98,-0.39,274.0,32.31,87643.35,73,二级
山西省,太原市,2013-01-30,78.14,117.82,99.85,43.66,1.46,28.72,2.47,4.18,275.77,46.05,87606.29,104,三级
山西省,太原市,2013-01-31,85.65,123.88,62.8,35.57,1.23,32.22,3.12,1.97,274.81,72.63,87404.53,114,三级
山西省,太原市,2013-02-01,29.21,40.3,22.89,17.56,0.96,41.78,2.27,-3.66,270.87,41.31,87926.08,42,一级
山西省,太原市,2013-02-02,27.59,50.04,35.62,15.73,0.65,34.82,1.81,0.87,270.93,37.79,88124.88,51,二级
山西省,太原市,2013-02-03,77.43,94.83,45.75,18.41,1.13,26.53,2.99,2.84,272.68,79.81,87175.27,104,三级
山西省,太原市,2013-02-04,58.13,61.36,32.72,22.23,0.71,28.35,-1.59,-1.65,269.27,51.67,87711.9,79,二级
山西省,太原市,2013-02-05,102.71,143.61,62.71,25.59,1.53,25.43,3.23,-1.29,269.54,73.18,87523.83,135,三级
山西省,太原市,2013-02-06,71.92,66.08,27.41,16.6,1.71,41.51,2.33,-5.06,267.11,46.26,87769.9,97,二级
山西省,太原市,2013-02-07,16.65,26.88,16.58,11.19,0.41,49.95,-0.86,-4.39,260.72,41.92,88299.68,27,一级
山西省,太原市,2013-02-08,46.27,64.77,44.08,14.73,0.76,32.1,2.92,0.53,264.18,44.8,88158.62,65,二级
山西省,太原市,2013-02-09,81.29,107.69,55.26,16.14,1.1,34.79,3.56,0.12,269.9,55.58,87631.88,108,三级
山西省,太原市,2013-02-10,175.28,171.9,53.58,20.85,1.28,36.19,-4.39,-1.05,265.13,80.16,87782.87,226,五级
山西省,太原市,2013-02-11,137.03,138.04,53.31,18.08,1.38,28.83,1.38,0.23,265.82,76.74,88000.5,182,四级
山西省,太原市,2013-02-12,25.43,35.8,18.53,8.4,1.05,54.76,7.55,-2.16,266.72,33.54,87916.39,37,一级
山西省,太原市,2013-02-13,51.67,70.97,54.56,17.05,0.86,38.19,5.11,-0.08,269.87,30.35,87557.05,71,二级
山西省,太原市,2013-02-14,44.0,57.03,31.02,12.72,0.81,42.38,4.13,-3.0,268.76,41.12,87742.09,62,二级
山西省,太原市,2013-02-15,40.58,62.14,32.89,12.84,0.78,40.72,2.42,1.88,267.22,53.16,87733.86,57,二级
山西省,太原市,2013-02-16,115.37,138.49,66.41,20.31,1.25,26.17,2.83,3.87,271.91,66.9,87217.83,151,四级
山西省,太原市,2013-02-17,87.02,107.47,31.08,15.55,0.9,41.02,3.16,-4.75,270.05,43.66,87388.58,116,三级
山西省,太原市,2013-02-18,24.82,47.82,16.78,9.4,0.54,53.06,2.82,-2.8,266.64,51.23,87766.15,48,一级
