province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
山西省,忻州市,2013-01-01,16.27,25.8,17.88,14.77,1.55,36.24,6.16,-5.66,253.05,60.08,85971.39,39,一级
山西省,忻州市,2013-01-02,22.73,30.38,21.56,17.27,1.4,37.84,3.05,-5.49,248.74,53.13,87039.51,36,一级
山西省,忻州市,2013-01-03,24.21,37.23,24.94,18.51,1.25,40.13,0.62,-3.33,252.89,43.57,87309.84,38,一级
山西省,忻州市,2013-01-04,28.64,43.49,20.42,18.22,0.71,41.93,1.94,-1.51,257.34,33.35,86581.85,44,一级
山西省,忻州市,2013-01-05,26.54,56.3,31.8,24.71,0.9,33.28,1.52,-2.77,259.02,32.36,86369.15,54,二级
山西省,忻州市,2013-01-06,45.66,65.09,35.16,24.83,1.19,30.98,2.93,-1.14,261.17,30.17,86310.61,64,二级
山西省,忻州市,2013-01-07,97.21,105.14,46.92,27.02,1.21,27.03,4.07,-1.7,262.13,47.7,86208.3,128,三级
山西省,忻州市,2013-01-08,31.19,38.97,20.75,21.27,0.92,35.95,3.83,-3.42,258.46,57.97,86555.89,45,一级
山西省,忻州市,2013-01-09,28.54,37.64,17.49,16.0,0.86,42.61,2.98,-1.22,259.16,49.91,86508.57,41,一级
山西省,忻州市,2013-01-10,58.67,78.81,41.82,20.29,1.08,34.11,3.9,2.35,264.37,45.68,86239.79,80,二级
山西省,忻州市,2013-01-11,46.53,53.72,25.29,17.7,2.21,38.59,7.2,-2.39,263.24,59.33,86304.55,65,二级
山西省,忻州市,2013-01-12,48.66,65.94,33.02,18.74,1.02,40.14,4.35,1.95,267.23,41.83,86109.29,68,二级
山西省,忻州市,2013-01-13,57.56,91.84,40.6,26.65,1.24,31.92,1.38,-0.45,267.53,40.85,86111.6,79,二级
山西省,忻州市,2013-01-14,48.51,88.71,30.09,26.62,1.2,35.96,2.12,1.97,269.09,30.55,86341.13,70,二级
山西省,忻州市,2013-01-15,42.62,66.25,22.86,19.43,1.8,34.46,4.68,-1.79,264.48,63.34,86343.99,60,二级
山西省,忻州市,2013-01-16,44.55,70.07,29.96,21.75,0.86,32.6,1.39,-2.95,263.35,68.6,86807.25,62,二级
山西省,忻州市,2013-01-17,24.22,33.67,16.67,14.76,0.68,46.86,1.12,-1.29,263.92,43.43,87259.08,35,一级
山西省,忻州市,2013-01-18,65.29,81.13,40.62,19.69,0.87,34.92,3.61,0.58,267.82,43.87,86699.1,88,二级
山西省,忻州市,2013-01-19,97.69,129.75,39.44,25.49,1.44,30.68,-2.81,2.8,267.49,54.56,86337.1,129,三级
山西省,忻州市,2013-01-20,131.83,132.14,32.04,29.72,1.34,25.83,-0.55,2.06,265.41,89.62,86377.1,175,四级
山西省,忻州市,2013-01-21,153.38,132.45,36.71,31.22,1.59,23.54,0.48,-2.86,265.66,69.0,86577.31,204,五级
山西省,忻州市,2013-01-22,85.25,91.27,34.06,23.47,0.83,33.01,2.01,0.63,265.38,55.27,86472.73,113,三级
山西省,忻州市,2013-01-23,83.73,99.01,46.2,25.9,1.06,30.36,6.82,-1.61,265.33,68.47,85938.32,111,三级
山西省,忻州市,2013-01-24,21.88,24.85,16.78,15.34,0.63,42.16,6.0,-3.81,261.41,57.93,86286.3,32,一级
山西省,忻州市,2013-01-25,20.5,32.19,21.11,13.67,0.45,39.5,5.77,-1.17,264.88,52.25,86069.52,33,一级
山西省,忻州市,2013-01-26,16.24,31.69,18.8,17.79,0.33,32.95,2.66,-2.43,264.81,58.54,86439.93,32,一级
山西省,忻州市,2013-01-27,30.72,43.24,24.02,16.65,0.47,35.84,4.45,0.4,268.14,49.55,86520.86,44,一级
山西省,忻州市,2013-01-28,38.83,60.81,35.81,21.26,0.64,32.07,4.21,-0.88,269.73,47.85,86206.53,56,二级
山西省,忻州市,2013-01-29,33.76,52.13,29.63,18.53,0.42,36.67,2.89,1.04,271.02,42.75,86271.91,52,二级
山西省,忻州市,2013-01-30,49.21,72.12,40.56,22.21,0.62,37.23,2.36,3.79,273.85,45.05,86233.92,68,二级
山西省,忻州市,2013-01-31,67.38,95.28,38.67,22.21,0.86,39.48,2.93,2.64,272.81,74.67,86034.36,91,二级
山西省,忻州市,2013-02-01,17.32,24.62,15.86,15.91,0.46,45.15,3.15,-3.88,267.13,50.0,86561.46,25,一级
山西省,忻州市,2013-02-02,23.22,33.34,22.42,17.59,0.33,38.8,1.87,1.32,267.7,48.9,86719.17,34,一级
山西省,忻州市,2013-02-03,77.76,90.2,32.72,19.38,0.79,31.16,2.91,2.64,270.66,83.73,85805.88,104,三级
山西省,忻州市,2013-02-04,35.8,38.12,18.33,16.84,0.45,41.63,-0.56,-0.87,266.99,53.29,86328.34,52,二级
山西省,忻州市,2013-02-05,82.96,100.47,40.29,24.96,0.94,28.44,3.36,-0.95,267.04,79.72,86143.44,110,三级
山西省,忻州市,2013-02-06,47.23,41.56,19.03,17.05,0.91,44.19,2.26,-4.92,262.79,52.44,86410.69,66,二级
山西省,忻州市,2013-02-07,13.33,18.5,11.02,9.52,0.29,58.65,-0.36,-4.14,257.3,42.24,86903.36,30,一级
山西省,忻州市,2013-02-08,29.34,33.13,17.38,11.3,0.32,48.14,3.18,1.01,262.06,48.06,86709.08,42,一级
山西省,忻州市,2013-02-09,43.71,53.58,25.06,14.16,0.46,37.1,3.98,-0.14,267.12,66.31,86235.81,61,二级
山西省,忻州市,2013-02-10,119.28,115.73,34.07,19.34,0.84,40.55,-3.11,1.35,263.94,80.6,86389.47,157,四级
山西省,忻州市,2013-02-11,80.12,78.46,28.92,14.9,0.7,35.09,2.23,0.91,264.0,78.61,86586.39,107,三级
山西省,忻州市,2013-02-12,13.79,19.31,11.28,8.01,0.4,54.86,8.27,-1.8,264.14,45.55,86453.77,28,一级
山西省,忻州市,2013-02-13,20.16,29.45,16.21,10.36,0.31,48.58,6.23,-0.3,267.99,38.06,86138.67,30,一级
山西省,忻州市,2013-02-14,21.99,29.8,14.23,12.48,0.31,46.07,4.68,-2.54,266.16,55.35,86353.84,32,一级
山西省,忻州市,2013-02-15,22.29,31.15,14.8,10.73,0.33,49.62,2.41,2.07,265.56,55.79,86289.53,32,一级
山西省,忻州市,2013-02-16,75.96,89.71,32.84,16.43,0.63,33.44,3.51,2.93,270.95,63.03,85827.25,102,三级
山西省,忻州市,2013-02-17,39.26,50.29,16.92,13.57,0.36,44.81,4.57,-4.04,267.48,46.91,86036.5,56,二级
