province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
广东省,揭阳市,2013-01-01,41.27,51.15,16.64,20.7,0.45,43.16,-1.93,-4.49,284.58,42.85,100547.15,58,二级
广东省,揭阳市,2013-01-02,52.48,63.83,14.62,21.35,0.53,40.82,-1.24,-5.72,287.39,58.23,100572.4,72,二级
广东省,揭阳市,2013-01-03,42.77,52.15,14.46,17.63,0.5,35.6,-2.72,-8.3,287.02,70.1,100877.92,60,二级
广东省,揭阳市,2013-01-04,35.15,42.49,12.55,14.9,0.46,30.83,-0.94,-8.55,283.06,69.3,100728.55,51,二级
广东省,揭阳市,2013-01-05,39.97,50.84,12.47,15.99,0.54,33.23,0.02,-7.16,284.56,69.85,100413.33,57,二级
广东省,揭阳市,2013-01-06,47.98,59.11,12.53,14.81,0.57,35.61,0.59,-7.35,285.3,70.46,100461.19,67,二级
广东省,揭阳市,2013-01-07,49.36,63.2,13.43,17.42,0.62,38.47,-0.59,-5.57,287.2,70.5,100377.8,68,二级
广东省,揭阳市,2013-01-08,57.93,75.97,14.22,18.26,0.67,40.91,-1.02,-5.75,287.31,72.13,100360.26,79,二级
广东省,揭阳市,2013-01-09,56.98,73.17,16.34,12.87,0.68,47.04,-0.52,-7.81,285.09,66.91,100504.94,78,二级
广东省,揭阳市,2013-01-10,52.0,62.02,15.61,15.87,0.59,41.1,-4.46,-5.73,285.36,68.5,100602.28,72,二级
广东省,揭阳市,2013-01-11,31.7,37.26,10.17,13.61,0.43,52.13,-3.78,-5.48,286.93,70.27,100622.33,46,一级
广东省,揭阳市,2013-01-12,39.74,44.66,11.93,17.2,0.49,40.87,-2.63,-5.83,287.39,71.72,100420.79,56,二级
广东省,揭阳市,2013-01-13,49.62,55.78,11.18,14.51,0.56,46.78,0.78,-7.23,288.24,66.5,100075.14,69,二级
广东省,揭阳市,2013-01-14,46.61,52.59,12.95,16.08,0.52,49.88,-4.01,-5.52,285.98,56.92,100461.42,65,二级
广东省,揭阳市,2013-01-15,47.69,54.22,12.78,20.87,0.55,50.6,-4.79,-3.27,286.13,61.23,100727.53,66,二级
广东省,揭阳市,2013-01-16,61.43,70.43,15.53,20.95,0.62,52.19,-2.43,-3.49,287.65,63.33,100722.02,84,二级
广东省,揭阳市,2013-01-17,68.27,87.01,20.15,20.31,0.77,46.32,-3.33,-6.13,286.49,73.49,101030.67,92,二级
