province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
广东省,梅州市,2013-01-01,34.57,42.11,14.26,14.99,0.39,49.47,-1.11,-2.54,281.49,46.99,98501.25,50,一级
广东省,梅州市,2013-01-02,46.81,56.2,13.83,16.6,0.46,44.5,-0.77,-3.43,283.57,60.64,98565.69,65,二级
广东省,梅州市,2013-01-03,42.86,49.36,14.82,13.75,0.48,38.38,0.46,-6.85,282.58,75.34,98913.3,60,二级
广东省,梅州市,2013-01-04,38.48,43.53,11.96,12.29,0.44,33.74,0.93,-5.92,277.51,77.06,98763.69,55,二级
广东省,梅州市,2013-01-05,47.85,55.38,12.68,13.71,0.52,35.39,1.01,-5.04,278.85,79.06,98439.29,67,二级
广东省,梅州市,2013-01-06,50.53,59.36,12.41,11.55,0.52,41.57,1.23,-4.97,279.74,79.82,98494.04,70,二级
广东省,梅州市,2013-01-07,49.43,61.62,12.9,11.86,0.56,46.34,0.83,-3.89,282.41,78.87,98389.91,69,二级
广东省,梅州市,2013-01-08,50.5,67.2,13.47,11.35,0.59,52.89,0.75,-4.6,282.96,77.84,98367.23,70,二级
广东省,梅州市,2013-01-09,59.11,76.91,17.57,10.21,0.68,55.96,0.35,-6.12,281.13,72.97,98508.4,81,二级
广东省,梅州市,2013-01-10,59.52,69.89,17.72,12.89,0.62,48.1,-2.03,-4.02,282.28,72.87,98568.76,81,二级
广东省,梅州市,2013-01-11,33.3,37.49,10.35,10.57,0.4,52.2,-1.5,-3.89,283.95,75.62,98612.42,48,一级
广东省,梅州市,2013-01-12,39.91,43.78,10.69,11.24,0.44,49.81,-0.09,-4.16,284.79,77.01,98405.95,57,二级
广东省,梅州市,2013-01-13,50.61,55.78,11.04,10.56,0.52,50.15,0.86,-5.63,284.24,78.23,98098.14,70,二级
广东省,梅州市,2013-01-14,45.1,50.32,11.99,12.02,0.47,54.34,-1.74,-2.96,283.55,63.89,98406.79,63,二级
广东省,梅州市,2013-01-15,49.04,52.93,12.53,16.15,0.5,55.67,-2.34,-1.24,285.12,54.84,98649.39,68,二级
广东省,梅州市,2013-01-16,61.14,67.41,13.79,12.73,0.56,57.41,-0.32,-3.52,285.59,65.49,98673.97,83,二级
广东省,梅州市,2013-01-17,79.01,96.71,22.34,13.71,0.84,49.94,-0.87,-5.81,283.86,75.54,99006.86,106,三级
广东省,梅州市,2013-01-18,49.85,53.97,15.39,13.32,0.55,52.02,-2.94,-4.1,281.8,58.31,99148.25,69,二级
广东省,梅州市,2013-01-19,29.84,32.04,8.99,14.36,0.39,53.61,-4.42,-0.45,283.48,59.28,98805.16,43,一级
