province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
广东省,深圳市,2013-01-01,47.78,78.5,15.92,49.81,1.14,25.27,-2.32,-5.55,283.87,44.07,101325.3,66,二级
广东省,深圳市,2013-01-02,67.5,104.27,17.1,58.22,1.25,31.49,-3.29,-6.01,286.05,55.26,101327.01,91,二级
广东省,深圳市,2013-01-03,58.52,81.77,17.87,39.34,1.23,27.11,-4.12,-10.3,284.17,66.88,101690.45,80,二级
广东省,深圳市,2013-01-04,32.93,49.06,12.24,30.67,1.19,14.81,-3.72,-9.95,279.98,70.54,101551.79,50,一级
广东省,深圳市,2013-01-05,37.2,53.5,10.88,33.38,1.21,20.47,-3.12,-8.24,281.87,70.44,101230.16,53,二级
广东省,深圳市,2013-01-06,45.41,65.87,15.91,36.85,1.24,20.24,-3.01,-8.58,283.07,70.63,101288.14,64,二级
广东省,深圳市,2013-01-07,52.24,79.7,15.31,48.9,1.34,25.16,-2.39,-7.01,284.9,69.67,101182.4,72,二级
广东省,深圳市,2013-01-08,70.58,104.95,21.38,60.61,1.54,30.36,-2.93,-7.26,285.78,67.45,101150.19,95,二级
广东省,深圳市,2013-01-09,60.25,82.46,19.93,39.53,1.4,30.59,-3.68,-9.44,283.64,63.81,101313.8,82,二级
广东省,深圳市,2013-01-10,74.03,95.78,23.12,38.09,1.38,33.2,-3.76,-7.11,284.21,65.08,101365.03,99,二级
广东省,深圳市,2013-01-11,73.64,102.11,20.69,52.09,1.44,48.62,-3.55,-6.71,286.65,68.46,101390.47,99,二级
广东省,深圳市,2013-01-12,79.79,107.13,20.85,60.59,1.52,37.01,-3.15,-6.98,286.93,67.68,101209.9,106,三级
广东省,深圳市,2013-01-13,76.63,106.12,23.17,61.37,1.68,49.43,-1.95,-6.51,287.73,66.7,100900.75,103,三级
广东省,深圳市,2013-01-14,57.39,78.35,14.07,45.93,1.39,66.52,-5.52,-4.3,286.86,59.19,101205.73,78,二级
广东省,深圳市,2013-01-15,58.73,87.13,12.69,56.86,1.37,56.57,-5.55,-2.24,288.37,65.72,101435.65,80,二级
广东省,深圳市,2013-01-16,79.07,109.11,12.99,74.65,1.55,61.09,-3.53,-4.09,288.93,59.57,101467.42,106,三级
广东省,深圳市,2013-01-17,67.97,94.69,16.17,54.1,1.44,58.97,-4.64,-8.44,287.05,66.64,101782.62,92,二级
广东省,深圳市,2013-01-18,81.26,102.53,17.21,37.28,1.47,66.81,-5.1,-6.61,285.52,60.81,101949.63,108,三级
广东省,深圳市,2013-01-19,72.5,103.21,17.11,55.2,1.45,63.64,-6.25,-2.24,287.06,59.37,101586.8,97,二级
广东省,深圳市,2013-01-20,54.71,83.44,15.05,65.1,1.35,46.65,-7.34,0.15,291.04,85.53,101349.54,82,二级
广东省,深圳市,2013-01-21,48.9,83.61,18.18,63.75,1.48,47.35,-5.15,-0.39,292.49,89.67,101269.23,80,二级
