province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
广东省,珠海市,2013-01-01,51.05,81.93,34.85,65.76,1.25,25.47,-1.03,-6.46,285.78,50.39,101838.56,83,二级
广东省,珠海市,2013-01-02,63.72,98.47,35.41,71.81,1.31,37.94,-2.19,-6.38,288.51,60.27,101818.2,90,二级
广东省,珠海市,2013-01-03,59.1,82.26,31.13,53.16,1.29,27.51,-2.74,-10.63,286.16,69.74,102189.36,81,二级
广东省,珠海市,2013-01-04,39.8,54.96,25.14,37.9,1.23,17.26,-2.39,-10.1,282.66,73.72,102060.3,56,二级
广东省,珠海市,2013-01-05,43.33,60.77,25.4,42.96,1.33,18.0,-1.26,-8.15,283.34,74.39,101754.42,61,二级
广东省,珠海市,2013-01-06,46.92,67.68,30.48,45.63,1.21,18.39,-1.03,-8.85,284.65,73.1,101810.3,65,二级
广东省,珠海市,2013-01-07,62.61,87.8,32.55,56.55,1.31,25.88,-0.86,-7.52,285.72,72.08,101713.43,85,二级
广东省,珠海市,2013-01-08,83.28,110.45,41.73,75.46,1.43,30.06,-0.99,-7.25,287.05,70.26,101670.46,111,三级
广东省,珠海市,2013-01-09,59.43,78.96,28.34,48.61,1.21,28.36,-2.5,-9.08,286.08,64.71,101818.33,81,二级
广东省,珠海市,2013-01-10,80.75,100.79,31.71,50.51,1.19,36.84,-3.05,-7.46,285.75,67.17,101880.26,108,三级
广东省,珠海市,2013-01-11,84.93,106.2,31.25,67.51,1.17,39.19,-2.74,-7.63,288.16,70.37,101888.22,113,三级
广东省,珠海市,2013-01-12,86.01,101.28,29.43,58.48,1.18,39.33,-2.09,-7.32,288.54,67.58,101727.52,114,三级
广东省,珠海市,2013-01-13,66.41,85.29,28.35,50.05,1.25,49.22,-0.04,-6.99,289.09,67.19,101426.73,90,二级
广东省,珠海市,2013-01-14,54.36,67.92,18.67,39.24,1.05,63.72,-5.42,-4.84,288.71,63.15,101705.82,75,二级
广东省,珠海市,2013-01-15,49.43,62.77,14.88,39.85,1.0,64.6,-6.24,-2.3,290.68,73.56,101908.49,69,二级
广东省,珠海市,2013-01-16,80.57,102.85,22.23,67.07,1.28,64.95,-2.97,-4.43,290.52,64.85,101966.11,107,三级
广东省,珠海市,2013-01-17,72.56,99.54,23.44,57.2,1.29,58.69,-4.88,-8.2,289.16,67.14,102268.55,97,二级
广东省,珠海市,2013-01-18,79.47,103.52,22.86,33.97,1.27,70.27,-5.08,-7.44,287.05,65.83,102442.7,106,三级
广东省,珠海市,2013-01-19,45.07,59.19,16.21,27.31,0.85,72.22,-6.59,-2.94,289.42,70.02,102055.57,63,二级
广东省,珠海市,2013-01-20,23.23,34.45,9.76,21.88,0.56,68.07,-7.58,0.11,292.26,88.35,101828.48,35,一级
广东省,珠海市,2013-01-21,39.99,57.3,16.37,41.98,0.92,65.31,-4.83,-2.17,293.23,90.24,101759.93,57,二级
广东省,珠海市,2013-01-22,80.06,102.85,23.04,58.88,1.34,65.87,-2.56,-6.42,291.82,81.53,101811.52,107,三级
广东省,珠海市,2013-01-23,85.2,104.45,24.08,48.09,1.48,58.58,-3.88,-6.52,289.89,73.11,101797.99,113,三级
广东省,珠海市,2013-01-24,84.75,102.82,17.31,36.94,1.34,81.92,-2.09,-4.02,291.68,77.7,101681.78,113,三级
广东省,珠海市,2013-01-25,65.3,81.06,22.49,32.0,1.37,80.75,-3.41,-5.72,289.13,70.51,101804.06,88,二级
广东省,珠海市,2013-01-26,85.57,102.14,13.98,28.67,1.36,82.82,-3.23,-2.59,291.23,81.13,101689.64,114,三级
广东省,珠海市,2013-01-27,73.17,79.81,20.05,33.92,1.41,61.36,-4.14,-6.25,290.16,67.45,101959.76,98,二级
广东省,珠海市,2013-01-28,51.09,63.43,15.21,17.73,0.94,91.46,-7.2,-2.51,290.51,73.34,101977.27,71,二级
广东省,珠海市,2013-01-29,21.98,31.78,10.72,17.37,0.46,78.88,-6.42,-0.27,292.16,83.02,101916.03,40,一级
广东省,珠海市,2013-01-30,22.61,29.75,8.38,11.06,0.48,83.28,-7.49,0.28,292.66,80.84,101983.37,42,一级
广东省,珠海市,2013-01-31,23.72,31.05,6.42,10.6,0.46,88.27,-7.25,1.44,292.69,87.62,101916.06,45,一级
广东省,珠海市,2013-02-01,24.5,35.11,10.84,19.68,0.54,76.71,-4.64,-0.48,293.12,86.24,101834.17,39,一级
广东省,珠海市,2013-02-02,46.52,65.45,16.94,38.1,0.81,74.95,-4.21,-2.4,293.63,79.37,101829.4,65,二级
广东省,珠海市,2013-02-03,33.93,54.24,8.41,16.7,0.83,59.46,-6.79,-0.34,293.45,92.51,101644.77,53,二级
广东省,珠海市,2013-02-04,39.0,55.05,9.12,32.71,0.73,44.33,-3.3,-1.08,293.76,94.71,101708.95,56,二级
广东省,珠海市,2013-02-05,28.21,36.17,8.28,27.53,0.56,48.31,-3.2,0.98,294.18,93.67,101638.18,41,一级
广东省,珠海市,2013-02-06,19.51,27.87,5.2,9.27,0.51,60.97,-4.05,1.11,292.95,97.22,101486.64,31,一级
广东省,珠海市,2013-02-07,28.01,34.79,4.16,6.58,0.81,63.45,-5.3,2.83,293.42,94.56,101205.58,41,一级
广东省,珠海市,2013-02-08,23.71,28.12,10.33,21.21,1.12,30.22,-4.14,-9.4,287.5,84.96,101769.55,34,一级
广东省,珠海市,2013-02-09,22.71,25.39,12.32,16.26,0.98,39.84,-2.99,-8.49,285.29,72.67,102127.82,33,一级
广东省,珠海市,2013-02-10,48.38,53.5,16.24,19.08,0.9,37.27,-2.13,-5.01,288.44,70.16,101881.69,67,二级
广东省,珠海市,2013-02-11,40.69,47.39,10.42,14.98,0.82,55.94,-4.18,-3.07,291.52,73.58,101735.17,58,二级
广东省,珠海市,2013-02-12,31.49,37.21,10.37,14.32,0.82,65.71,-4.08,-6.75,291.78,72.28,101862.14,45,一级
广东省,珠海市,2013-02-13,26.08,33.82,12.5,16.03,0.94,52.27,-3.5,-6.06,289.33,71.78,101793.3,38,一级
广东省,珠海市,2013-02-14,31.77,40.72,6.54,13.07,0.63,71.79,-4.82,-0.79,293.34,89.14,101509.8,46,一级
广东省,珠海市,2013-02-15,42.23,44.6,12.38,24.44,0.87,48.89,-2.72,-4.55,293.48,78.83,101570.48,60,二级
广东省,珠海市,2013-02-16,29.17,40.86,9.87,16.55,0.95,49.23,-6.14,-3.72,291.23,77.8,101610.81,42,一级
广东省,珠海市,2013-02-17,35.19,45.45,5.92,11.06,0.68,76.55,-5.76,1.02,293.39,90.06,101320.66,51,二级
广东省,珠海市,2013-02-18,26.62,33.58,3.79,9.56,0.62,75.58,-2.81,2.71,294.19,93.11,101135.99,39,一级
广东省,珠海市,2013-02-19,29.29,39.02,10.83,24.99,0.92,48.64,-2.52,-4.61,292.19,84.18,101347.18,42,一级
广东省,珠海市,2013-02-20,31.77,41.26,16.06,28.98,1.09,46.71,-4.61,-8.06,289.21,69.78,101803.76,46,一级
广东省,珠海市,2013-02-21,43.11,55.15,17.21,33.23,1.02,60.48,-5.2,-5.59,291.37,70.21,101846.42,61,二级
广东省,珠海市,2013-02-22,39.04,50.93,18.58,35.3,1.05,50.38,-3.69,-7.08,292.28,65.88,101961.32,56,二级
广东省,珠海市,2013-02-23,32.42,41.36,15.6,21.19,0.86,67.86,-5.46,-5.66,290.79,68.67,102022.76,47,一级
广东省,珠海市,2013-02-24,45.35,56.36,13.72,19.03,0.78,80.4,-7.17,-2.92,292.71,80.29,101828.48,63,二级
广东省,珠海市,2013-02-25,31.13,42.49,7.97,11.08,0.64,86.11,-7.01,0.09,294.25,87.82,101648.15,45,一级
广东省,珠海市,2013-02-26,28.6,39.81,5.23,12.34,0.59,76.66,-4.27,1.95,294.66,94.25,101424.19,41,一级
广东省,珠海市,2013-02-27,31.32,42.38,7.41,16.9,0.68,65.63,0.01,0.18,294.63,92.55,101241.07,45,一级
广东省,珠海市,2013-02-28,21.21,26.03,5.07,10.18,0.55,64.05,-3.12,3.77,293.63,95.05,101088.9,33,一级
广东省,珠海市,2013-03-01,17.4,24.06,2.65,9.97,0.5,63.21,-2.3,4.82,294.13,97.18,101177.05,32,一级
广东省,珠海市,2013-03-02,27.77,36.75,14.83,33.4,1.2,27.34,-3.37,-8.63,288.73,83.33,101908.1,42,一级
广东省,珠海市,2013-03-03,36.62,45.42,19.87,31.0,1.08,40.33,-2.82,-8.35,288.03,63.46,102178.87,53,二级
广东省,珠海市,2013-03-04,41.43,59.84,22.98,36.77,0.95,71.45,-4.72,-5.79,289.33,53.61,102124.3,59,二级
