province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
广西壮族自治区,百色市,2013-01-01,34.5,38.2,12.82,6.7,0.37,58.36,-1.73,1.18,280.25,46.85,93399.46,50,一级
广西壮族自治区,百色市,2013-01-02,46.57,52.07,14.25,7.63,0.44,56.53,-2.28,3.07,283.65,65.28,93262.98,65,二级
广西壮族自治区,百色市,2013-01-03,59.48,65.64,21.97,7.51,0.58,48.32,-3.88,-4.42,278.5,72.21,94019.19,81,二级
广西壮族自治区,百色市,2013-01-04,48.51,52.38,13.43,5.31,0.48,50.7,-2.34,-0.21,276.11,73.28,93646.49,67,二级
广西壮族自治区,百色市,2013-01-05,42.62,46.42,10.79,5.0,0.44,51.45,-2.18,1.66,277.81,72.87,93267.25,60,二级
广西壮族自治区,百色市,2013-01-06,51.04,57.43,12.2,4.54,0.5,54.81,-2.27,0.08,278.16,65.41,93456.59,71,二级
广西壮族自治区,百色市,2013-01-07,54.34,60.85,11.88,4.93,0.51,61.15,-1.91,1.54,278.92,66.78,93310.65,75,二级
广西壮族自治区,百色市,2013-01-08,56.54,62.5,12.99,4.94,0.51,59.91,-1.57,-0.1,279.2,67.73,93347.74,77,二级
广西壮族自治区,百色市,2013-01-09,84.17,96.63,29.43,4.69,0.78,62.93,-2.67,-3.76,278.6,60.16,93621.22,112,三级
广西壮族自治区,百色市,2013-01-10,130.61,146.44,29.67,7.13,0.94,56.48,-2.75,-0.66,278.65,54.58,93549.89,173,四级
广西壮族自治区,百色市,2013-01-11,137.45,146.98,24.55,6.39,0.92,54.74,-1.47,-1.76,278.31,62.01,93663.84,183,四级
广西壮族自治区,百色市,2013-01-12,125.62,137.33,32.3,5.0,0.93,57.12,-0.06,-2.03,279.84,68.85,93541.87,166,四级
广西壮族自治区,百色市,2013-01-13,92.85,102.12,19.21,5.87,0.73,63.11,-0.5,1.92,282.76,68.03,93158.19,123,三级
广西壮族自治区,百色市,2013-01-14,89.04,99.49,18.98,7.65,0.75,61.83,-1.66,2.09,282.99,69.33,93282.98,118,三级
广西壮族自治区,百色市,2013-01-15,95.08,109.03,17.97,8.31,0.83,52.34,-1.83,0.83,282.0,82.53,93528.49,126,三级
广西壮族自治区,百色市,2013-01-16,77.28,87.16,15.47,7.4,0.68,46.37,-2.06,1.71,283.19,90.55,93577.81,103,三级
广西壮族自治区,百色市,2013-01-17,97.18,111.75,31.28,6.74,0.96,45.22,-2.66,-3.12,282.11,79.4,94056.65,128,三级
广西壮族自治区,百色市,2013-01-18,116.99,134.69,25.4,7.12,0.94,52.74,-2.58,-0.03,281.09,69.9,94052.95,153,四级
广西壮族自治区,百色市,2013-01-19,105.89,119.03,20.66,7.12,0.82,57.06,-0.67,5.5,282.99,79.77,93396.88,139,三级
广西壮族自治区,百色市,2013-01-20,56.71,62.8,10.84,3.66,0.52,68.77,1.2,6.55,288.47,75.44,93170.12,78,二级
广西壮族自治区,百色市,2013-01-21,47.1,53.82,12.46,4.99,0.51,61.62,-0.76,1.24,286.94,81.09,93462.36,66,二级
广西壮族自治区,百色市,2013-01-22,63.34,71.31,12.24,7.12,0.6,44.14,-3.19,1.21,284.39,92.27,93542.14,86,二级
广西壮族自治区,百色市,2013-01-23,77.71,86.42,13.65,6.31,0.67,47.1,-2.02,0.9,282.63,89.02,93469.68,104,三级
广西壮族自治区,百色市,2013-01-24,87.54,95.93,29.61,7.26,0.76,55.01,-1.03,-1.15,284.08,75.44,93486.97,116,三级
广西壮族自治区,百色市,2013-01-25,77.23,85.59,20.94,5.54,0.69,55.17,-2.07,-0.18,282.46,61.91,93516.45,103,三级
广西壮族自治区,百色市,2013-01-26,65.59,70.16,17.93,5.61,0.58,58.7,-1.16,-0.36,284.1,68.65,93406.69,89,二级
广西壮族自治区,百色市,2013-01-27,65.5,73.12,20.1,5.55,0.6,60.37,-2.63,-1.69,284.41,54.38,93739.05,89,二级
广西壮族自治区,百色市,2013-01-28,75.06,83.07,19.22,7.94,0.64,57.41,-1.8,2.9,284.23,66.04,93513.17,101,三级
