province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
广西壮族自治区,钦州市,2013-01-01,62.07,81.06,16.9,21.26,0.77,40.58,-2.69,-4.9,283.26,40.88,101042.0,84,二级
广西壮族自治区,钦州市,2013-01-02,91.68,111.47,13.57,22.68,0.95,36.63,-3.72,-3.29,287.32,55.32,100896.85,121,三级
广西壮族自治区,钦州市,2013-01-03,47.97,51.06,14.9,15.96,0.91,31.22,-4.19,-9.81,282.01,76.23,101491.71,67,二级
广西壮族自治区,钦州市,2013-01-04,43.52,46.76,13.07,12.85,0.87,30.49,-2.7,-8.28,278.46,73.67,101341.51,61,二级
广西壮族自治区,钦州市,2013-01-05,42.64,48.08,10.58,12.9,0.97,27.27,-2.12,-6.26,279.63,73.03,101000.34,60,二级
广西壮族自治区,钦州市,2013-01-06,44.31,52.25,11.76,10.21,0.85,38.5,-2.17,-7.23,281.8,66.05,101079.35,62,二级
广西壮族自治区,钦州市,2013-01-07,56.92,67.58,11.64,11.64,0.84,41.95,-2.32,-6.17,282.33,63.78,100964.65,78,二级
广西壮族自治区,钦州市,2013-01-08,62.52,71.4,11.37,13.12,0.87,39.41,-2.32,-6.39,283.91,61.45,100915.3,85,二级
广西壮族自治区,钦州市,2013-01-09,71.09,92.75,22.95,15.82,1.25,48.86,-2.63,-8.38,282.49,57.57,101116.11,96,二级
广西壮族自治区,钦州市,2013-01-10,108.64,124.26,25.59,20.41,1.07,52.16,-3.65,-6.69,283.01,54.56,101122.01,143,三级
广西壮族自治区,钦州市,2013-01-11,146.06,141.45,17.14,22.79,1.17,39.34,-2.81,-7.3,282.39,65.6,101183.22,195,四级
广西壮族自治区,钦州市,2013-01-12,98.61,102.85,15.1,17.48,1.05,37.68,-1.54,-7.08,283.31,68.61,101063.81,130,三级
广西壮族自治区,钦州市,2013-01-13,105.41,116.9,14.26,18.52,1.17,38.14,-1.02,-5.68,284.31,65.97,100734.8,139,三级
广西壮族自治区,钦州市,2013-01-14,121.62,151.0,16.06,28.58,1.63,38.51,-3.23,-3.29,287.0,59.58,100826.11,160,四级
广西壮族自治区,钦州市,2013-01-15,125.06,167.68,16.96,29.37,1.8,33.82,-3.55,-3.69,287.55,68.49,101030.98,165,四级
广西壮族自治区,钦州市,2013-01-16,86.89,100.03,15.43,17.71,1.29,38.37,-2.67,-4.35,288.55,69.32,101118.47,115,三级
广西壮族自治区,钦州市,2013-01-17,64.46,75.14,16.1,15.38,1.31,36.49,-4.42,-7.55,286.65,73.62,101496.3,87,二级
广西壮族自治区,钦州市,2013-01-18,94.93,117.37,19.87,18.69,1.15,50.75,-4.13,-6.53,285.06,61.02,101650.49,125,三级
广西壮族自治区,钦州市,2013-01-19,86.26,101.1,15.86,17.16,0.85,59.06,-3.14,-0.05,287.71,64.22,101127.71,115,三级
广西壮族自治区,钦州市,2013-01-20,30.93,40.37,4.83,9.89,0.48,67.92,-2.1,5.3,292.0,81.99,100856.66,45,一级
广西壮族自治区,钦州市,2013-01-21,37.47,55.19,5.9,14.6,0.78,53.53,-2.04,-0.51,291.55,89.61,100928.62,54,二级
广西壮族自治区,钦州市,2013-01-22,89.09,109.01,13.93,17.24,1.2,45.07,-3.72,-6.28,288.84,76.14,101028.13,118,三级
广西壮族自治区,钦州市,2013-01-23,91.97,106.83,16.29,14.01,1.18,54.11,-2.29,-5.04,288.51,67.4,100976.18,122,三级
广西壮族自治区,钦州市,2013-01-24,134.65,145.3,17.39,19.59,1.44,39.45,-1.65,-5.0,287.21,76.78,100928.65,179,四级
广西壮族自治区,钦州市,2013-01-25,101.2,120.57,21.89,16.06,1.45,46.01,-2.63,-6.08,286.81,61.94,101010.18,133,三级
广西壮族自治区,钦州市,2013-01-26,125.89,121.14,17.16,16.12,1.29,37.43,-2.05,-5.35,286.75,81.99,100888.34,166,四级
广西壮族自治区,钦州市,2013-01-27,83.82,95.85,16.14,14.67,0.96,52.87,-4.34,-6.07,288.81,67.7,101139.79,112,三级
广西壮族自治区,钦州市,2013-01-28,98.85,108.16,14.72,23.99,1.08,44.21,-3.48,-2.05,288.76,64.75,101066.12,130,三级
广西壮族自治区,钦州市,2013-01-29,88.97,92.71,8.67,17.51,0.9,52.12,-3.8,-0.82,290.19,82.69,101001.54,118,三级
广西壮族自治区,钦州市,2013-01-30,40.72,42.99,5.28,13.09,0.53,53.86,-4.28,3.87,292.49,84.17,100991.72,58,二级
广西壮族自治区,钦州市,2013-01-31,33.94,36.47,4.73,10.66,0.51,63.85,-3.59,5.51,292.87,83.58,100926.28,49,一级
广西壮族自治区,钦州市,2013-02-01,28.03,35.04,4.68,9.08,0.45,67.57,-2.12,3.69,293.61,81.66,100904.66,41,一级
广西壮族自治区,钦州市,2013-02-02,41.89,50.92,9.22,11.93,0.61,67.99,-2.16,-2.1,292.87,80.76,100982.99,59,二级
广西壮族自治区,钦州市,2013-02-03,40.47,53.36,9.92,13.36,0.68,61.58,-2.13,0.93,293.81,80.83,100763.71,57,二级
广西壮族自治区,钦州市,2013-02-04,48.58,52.99,6.54,14.49,0.87,44.37,-1.92,2.84,293.26,97.04,100776.26,67,二级
广西壮族自治区,钦州市,2013-02-05,31.23,38.87,6.52,12.33,0.65,47.34,-0.04,3.68,293.8,92.78,100750.82,45,一级
广西壮族自治区,钦州市,2013-02-06,28.59,34.64,5.62,8.52,0.56,55.18,-0.59,4.04,293.33,93.13,100506.81,41,一级
广西壮族自治区,钦州市,2013-02-07,14.88,20.74,4.23,6.44,0.41,54.69,-1.74,4.37,293.86,88.64,100196.37,28,一级
广西壮族自治区,钦州市,2013-02-08,41.25,45.82,15.06,13.19,1.3,32.62,-3.97,-10.86,283.53,82.03,101009.08,58,二级
广西壮族自治区,钦州市,2013-02-09,36.65,43.65,11.94,9.73,0.96,41.83,-2.2,-8.24,280.23,78.19,101368.3,53,二级
广西壮族自治区,钦州市,2013-02-10,74.55,80.41,10.31,10.42,0.99,41.94,-1.74,-3.41,283.58,73.6,101052.76,100,二级
广西壮族自治区,钦州市,2013-02-11,41.62,38.9,11.45,14.33,1.11,36.12,-2.29,-2.47,286.63,82.19,100842.71,59,二级
广西壮族自治区,钦州市,2013-02-12,30.26,36.56,12.95,12.56,1.03,36.64,-2.66,-7.71,285.36,82.56,101128.69,44,一级
广西壮族自治区,钦州市,2013-02-13,44.77,53.24,12.98,8.28,0.97,51.36,-1.9,-5.45,284.54,69.7,101009.4,63,二级
