province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
新疆维吾尔自治区,北屯市,2013-01-01,1.71,1.96,1.08,1.36,0.19,57.31,-4.1,4.35,260.89,54.93,96045.87,29,一级
新疆维吾尔自治区,北屯市,2013-01-02,0.99,1.18,0.76,1.16,0.17,53.35,-4.21,4.71,260.19,48.65,97055.93,27,一级
新疆维吾尔自治区,北屯市,2013-01-03,1.29,1.49,0.97,1.23,0.17,54.69,-5.11,3.73,261.71,45.99,96699.15,28,一级
新疆维吾尔自治区,北屯市,2013-01-04,2.4,2.66,1.17,1.32,0.17,51.17,-3.77,4.62,259.41,53.04,96418.53,26,一级
新疆维吾尔自治区,北屯市,2013-01-05,4.18,4.53,1.69,1.69,0.18,50.7,-2.46,4.17,256.68,67.71,96417.22,26,一级
新疆维吾尔自治区,北屯市,2013-01-06,11.39,12.17,4.68,2.49,0.2,48.52,-3.45,3.6,253.17,75.14,96773.62,25,一级
新疆维吾尔自治区,北屯市,2013-01-07,5.13,5.54,2.07,1.52,0.2,52.84,-4.61,4.42,256.84,63.29,96680.65,27,一级
新疆维吾尔自治区,北屯市,2013-01-08,2.15,2.41,1.02,1.23,0.19,55.68,-4.96,5.23,260.33,47.65,96454.3,28,一级
新疆维吾尔自治区,北屯市,2013-01-09,2.33,2.59,1.12,1.46,0.18,53.47,-3.38,4.07,261.38,65.16,96056.02,27,一级
新疆维吾尔自治区,北屯市,2013-01-10,4.59,4.99,1.87,1.72,0.18,55.07,-3.68,3.61,259.64,83.3,96365.79,28,一级
新疆维吾尔自治区,北屯市,2013-01-11,2.56,2.84,1.15,1.29,0.18,58.96,-4.82,4.91,262.86,56.49,95983.26,30,一级
新疆维吾尔自治区,北屯市,2013-01-12,1.84,2.09,1.06,1.33,0.17,61.8,-4.54,4.48,264.96,47.54,95307.14,31,一级
新疆维吾尔自治区,北屯市,2013-01-13,4.53,4.94,1.69,1.79,0.19,54.81,-3.96,4.08,261.77,76.75,96015.96,28,一级
新疆维吾尔自治区,北屯市,2013-01-14,8.23,8.89,3.1,2.61,0.23,46.84,-4.09,4.3,260.5,91.87,96584.31,24,一级
新疆维吾尔自治区,北屯市,2013-01-15,2.3,2.56,1.12,1.42,0.21,55.14,-5.0,4.61,264.22,70.35,96213.36,28,一级
新疆维吾尔自治区,北屯市,2013-01-16,2.12,2.37,1.07,1.42,0.18,56.21,-3.22,4.01,264.08,59.83,96218.43,29,一级
新疆维吾尔自治区,北屯市,2013-01-17,4.98,5.39,1.81,1.85,0.18,50.51,-2.53,3.45,260.97,82.89,96832.35,26,一级
新疆维吾尔自治区,北屯市,2013-01-18,4.84,5.19,1.7,1.5,0.19,53.65,-3.14,4.84,259.42,82.21,96586.61,27,一级
新疆维吾尔自治区,北屯市,2013-01-19,5.78,6.31,2.83,2.35,0.2,55.55,-1.41,1.27,261.14,90.16,96422.09,28,一级
新疆维吾尔自治区,北屯市,2013-01-20,4.34,4.69,1.67,1.47,0.19,57.81,-4.05,4.04,259.63,76.2,96606.08,29,一级
新疆维吾尔自治区,北屯市,2013-01-21,2.48,2.75,1.14,1.33,0.18,55.4,-4.02,4.53,262.58,61.98,96293.4,28,一级
新疆维吾尔自治区,北屯市,2013-01-22,4.94,5.39,1.95,1.68,0.17,53.92,-4.02,3.3,263.46,80.91,96146.65,27,一级
新疆维吾尔自治区,北屯市,2013-01-23,3.93,4.27,1.5,1.35,0.17,56.47,-4.28,4.46,264.02,70.03,96444.26,29,一级
新疆维吾尔自治区,北屯市,2013-01-24,2.41,2.68,1.07,1.28,0.17,56.74,-4.03,4.94,264.11,58.92,96453.21,29,一级
新疆维吾尔自治区,北屯市,2013-01-25,4.73,5.13,1.91,1.56,0.18,59.73,-3.49,4.45,264.97,63.62,96283.94,30,一级
新疆维吾尔自治区,北屯市,2013-01-26,3.49,3.81,1.38,1.48,0.19,59.52,-3.51,4.32,266.65,70.0,96297.86,30,一级
新疆维吾尔自治区,北屯市,2013-01-27,5.0,5.42,1.88,1.51,0.18,59.88,-4.23,3.75,267.55,89.29,96217.05,30,一级
新疆维吾尔自治区,北屯市,2013-01-28,3.75,4.1,2.11,1.44,0.19,56.3,-2.64,3.94,268.96,75.78,95516.41,29,一级
新疆维吾尔自治区,北屯市,2013-01-29,3.87,4.25,5.15,2.46,0.25,56.87,3.24,-6.04,258.21,76.76,96197.96,29,一级
新疆维吾尔自治区,北屯市,2013-01-30,4.73,5.28,4.59,2.67,0.22,61.9,1.76,-3.35,256.45,69.67,96115.8,31,一级
新疆维吾尔自治区,北屯市,2013-01-31,4.11,4.56,3.2,2.35,0.21,62.78,-2.18,1.4,254.16,70.3,96605.89,32,一级
新疆维吾尔自治区,北屯市,2013-02-01,2.49,2.77,1.4,1.59,0.19,63.78,-4.27,3.89,256.91,64.17,96798.66,32,一级
新疆维吾尔自治区,北屯市,2013-02-02,1.14,1.33,0.84,1.34,0.16,61.8,-4.8,3.89,264.93,42.63,95599.89,31,一级
新疆维吾尔自治区,北屯市,2013-02-03,1.77,2.01,0.99,1.47,0.15,59.22,-3.21,4.47,263.48,61.59,95657.19,30,一级
新疆维吾尔自治区,北屯市,2013-02-04,4.6,5.02,1.94,1.77,0.17,56.71,-3.1,3.36,264.23,70.41,95995.04,29,一级
新疆维吾尔自治区,北屯市,2013-02-05,3.79,4.16,1.8,1.74,0.18,57.7,-2.99,2.99,262.87,81.27,96403.4,29,一级
新疆维吾尔自治区,北屯市,2013-02-06,4.81,5.31,2.71,2.66,0.21,62.67,-1.01,1.27,261.93,88.87,96656.36,32,一级
新疆维吾尔自治区,北屯市,2013-02-07,7.33,7.96,5.98,2.59,0.24,55.01,0.34,-0.77,261.27,90.36,97081.02,28,一级
新疆维吾尔自治区,北屯市,2013-02-08,5.02,5.42,2.88,1.81,0.21,60.88,-4.34,2.46,261.0,83.19,96362.7,31,一级
新疆维吾尔自治区,北屯市,2013-02-09,5.52,5.84,6.03,1.68,0.22,57.35,3.77,-6.17,260.87,82.86,96298.42,29,一级
新疆维吾尔自治区,北屯市,2013-02-10,10.32,10.97,9.19,2.79,0.24,51.08,1.98,-2.73,256.42,82.6,97278.46,26,一级
新疆维吾尔自治区,北屯市,2013-02-11,9.6,10.1,7.01,2.05,0.23,52.97,-3.59,3.4,253.48,78.12,97588.9,27,一级
新疆维吾尔自治区,北屯市,2013-02-12,9.61,10.24,5.74,2.24,0.22,55.33,-2.61,2.31,256.25,84.56,96850.61,28,一级
新疆维吾尔自治区,北屯市,2013-02-13,7.97,8.57,5.64,2.59,0.22,57.81,-1.06,-0.09,254.6,81.36,96960.74,29,一级
新疆维吾尔自治区,北屯市,2013-02-14,5.14,5.47,2.59,1.39,0.21,61.9,-4.56,4.84,255.61,69.89,96598.24,31,一级
新疆维吾尔自治区,北屯市,2013-02-15,5.39,5.83,2.83,1.98,0.19,60.88,-2.1,3.13,254.92,79.34,95936.19,31,一级
新疆维吾尔自治区,北屯市,2013-02-16,4.72,5.19,4.75,2.78,0.26,61.87,2.34,-4.79,252.58,73.49,96990.13,31,一级
新疆维吾尔自治区,北屯市,2013-02-17,5.07,5.47,3.79,2.41,0.24,64.03,-3.2,2.8,248.33,71.46,97367.17,33,一级
新疆维吾尔自治区,北屯市,2013-02-18,2.57,2.84,1.55,1.56,0.2,65.93,-3.41,3.74,251.95,62.2,96821.69,33,一级
新疆维吾尔自治区,北屯市,2013-02-19,2.21,2.48,1.35,1.6,0.19,71.24,-2.8,2.96,254.47,67.21,96700.07,36,一级
新疆维吾尔自治区,北屯市,2013-02-20,3.14,3.48,1.56,1.67,0.18,72.92,-3.1,2.91,257.47,67.92,96742.28,37,一级
新疆维吾尔自治区,北屯市,2013-02-21,2.89,3.18,1.23,1.3,0.18,73.57,-4.08,4.42,261.73,60.85,96649.06,37,一级
新疆维吾尔自治区,北屯市,2013-02-22,1.97,2.2,0.99,1.3,0.16,64.08,-3.75,3.93,267.54,51.85,96117.0,33,一级
新疆维吾尔自治区,北屯市,2013-02-23,3.77,4.09,1.43,1.56,0.16,57.46,-2.26,3.55,263.98,74.2,96224.23,29,一级
新疆维吾尔自治区,北屯市,2013-02-24,6.07,6.54,2.11,1.99,0.17,51.84,-2.09,2.96,264.68,78.86,95862.43,26,一级
新疆维吾尔自治区,北屯市,2013-02-25,11.62,12.39,3.87,2.09,0.2,51.18,-2.45,3.45,262.2,91.14,96390.92,26,一级
新疆维吾尔自治区,北屯市,2013-02-26,8.12,8.69,3.34,1.88,0.21,55.74,-2.06,2.22,262.64,93.22,96419.98,28,一级
新疆维吾尔自治区,北屯市,2013-02-27,5.48,5.93,3.18,1.83,0.22,54.78,-0.93,0.98,261.66,88.22,96426.72,28,一级
