province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
新疆维吾尔自治区,双河市,2013-01-01,21.88,24.7,16.44,8.8,0.28,54.2,1.04,-0.05,261.84,48.65,98567.71,32,一级
新疆维吾尔自治区,双河市,2013-01-02,13.33,14.88,8.2,4.57,0.25,54.53,-1.16,0.17,264.05,69.72,99501.87,28,一级
新疆维吾尔自治区,双河市,2013-01-03,19.53,22.15,14.44,8.38,0.29,47.73,1.75,-0.68,259.44,67.55,99276.9,28,一级
新疆维吾尔自治区,双河市,2013-01-04,20.64,23.17,14.42,7.99,0.28,49.93,0.96,-0.12,259.75,70.27,99032.15,30,一级
新疆维吾尔自治区,双河市,2013-01-05,13.25,14.85,8.53,4.86,0.27,50.08,1.14,-2.24,262.19,72.0,99119.36,26,一级
新疆维吾尔自治区,双河市,2013-01-06,9.42,10.8,6.8,4.64,0.26,50.42,-0.06,-1.05,261.05,69.96,99284.06,26,一级
新疆维吾尔自治区,双河市,2013-01-07,19.95,22.39,13.74,7.92,0.3,47.97,1.04,-0.36,258.46,79.86,99222.8,29,一级
新疆维吾尔自治区,双河市,2013-01-08,22.63,25.18,14.97,8.03,0.29,50.01,1.2,-0.14,259.62,74.37,99014.21,33,一级
新疆维吾尔自治区,双河市,2013-01-09,19.48,21.7,12.77,6.71,0.26,55.54,0.34,0.0,262.61,64.96,98577.59,28,一级
新疆维吾尔自治区,双河市,2013-01-10,13.77,15.51,9.18,5.51,0.24,51.23,-0.41,-0.15,263.96,77.08,98817.5,26,一级
新疆维吾尔自治区,双河市,2013-01-11,19.0,21.23,12.73,7.06,0.26,51.69,0.44,-0.16,263.49,83.34,98439.3,28,一级
新疆维吾尔自治区,双河市,2013-01-12,20.7,23.2,14.24,7.74,0.26,53.59,1.39,-0.26,264.25,72.75,97875.76,30,一级
新疆维吾尔自治区,双河市,2013-01-13,4.59,5.4,3.56,3.17,0.24,55.33,0.0,-3.71,272.0,64.21,98620.29,28,一级
新疆维吾尔自治区,双河市,2013-01-14,8.05,9.34,6.08,4.6,0.25,50.12,-0.38,-1.43,267.69,70.98,99008.5,26,一级
新疆维吾尔自治区,双河市,2013-01-15,20.27,22.75,14.07,8.06,0.3,47.0,1.68,-0.3,263.37,87.37,98679.48,29,一级
新疆维吾尔自治区,双河市,2013-01-16,13.02,14.72,8.58,5.31,0.24,55.09,0.41,-0.48,267.51,63.41,98746.77,28,一级
新疆维吾尔自治区,双河市,2013-01-17,12.47,14.05,7.83,4.64,0.24,49.36,-0.6,-0.63,265.5,82.5,99394.91,25,一级
新疆维吾尔自治区,双河市,2013-01-18,14.88,16.75,9.18,5.46,0.25,50.04,0.95,-0.34,263.11,83.65,99155.26,26,一级
新疆维吾尔自治区,双河市,2013-01-19,15.09,16.76,8.66,4.84,0.24,50.9,-0.27,-0.37,263.46,80.79,98965.95,26,一级
新疆维吾尔自治区,双河市,2013-01-20,20.75,23.21,14.05,7.68,0.27,48.56,1.02,-0.54,261.72,85.78,99143.78,30,一级
新疆维吾尔自治区,双河市,2013-01-21,19.84,22.05,12.54,6.55,0.27,54.61,-0.17,-0.28,263.9,82.1,98803.51,29,一级
新疆维吾尔自治区,双河市,2013-01-22,18.19,20.13,11.11,5.85,0.25,52.84,-0.39,0.01,265.17,80.41,98559.77,27,一级
新疆维吾尔自治区,双河市,2013-01-23,19.83,22.02,12.7,6.67,0.26,52.46,0.24,-0.11,265.28,78.14,98949.4,29,一级
新疆维吾尔自治区,双河市,2013-01-24,16.46,18.31,9.77,5.26,0.24,55.19,-0.24,-0.07,265.73,80.67,98933.09,28,一级
新疆维吾尔自治区,双河市,2013-01-25,20.57,22.83,12.64,6.56,0.25,53.31,0.31,-0.12,266.35,71.76,98739.75,30,一级
新疆维吾尔自治区,双河市,2013-01-26,21.61,23.89,13.05,6.27,0.25,54.41,-0.09,0.09,267.94,71.81,98780.19,31,一级
新疆维吾尔自治区,双河市,2013-01-27,18.35,20.34,10.95,5.67,0.25,54.38,-0.17,-0.32,269.0,83.97,98650.56,28,一级
新疆维吾尔自治区,双河市,2013-01-28,16.51,18.3,10.56,5.01,0.25,53.14,-0.43,-2.28,271.12,75.66,97996.37,27,一级
新疆维吾尔自治区,双河市,2013-01-29,4.59,5.21,5.34,2.75,0.23,48.06,-1.42,-4.64,269.6,72.75,98581.63,25,一级
新疆维吾尔自治区,双河市,2013-01-30,5.47,6.29,5.12,2.98,0.22,56.33,0.46,-3.21,266.34,71.05,98657.69,29,一级
新疆维吾尔自治区,双河市,2013-01-31,11.55,13.12,8.64,5.26,0.24,52.57,-0.34,0.11,262.03,77.16,99079.68,27,一级
新疆维吾尔自治区,双河市,2013-02-01,14.42,16.39,10.65,6.83,0.26,53.83,1.21,-0.05,260.26,74.31,99302.02,27,一级
新疆维吾尔自治区,双河市,2013-02-02,16.24,18.37,11.19,7.0,0.26,57.72,1.68,-0.21,263.34,63.09,98096.82,29,一级
新疆维吾尔自治区,双河市,2013-02-03,14.46,16.23,9.04,5.64,0.24,56.12,-0.76,0.2,267.66,71.87,98111.26,29,一级
新疆维吾尔自治区,双河市,2013-02-04,15.67,17.55,9.61,5.63,0.24,53.08,-0.08,-0.26,267.54,86.48,98433.23,27,一级
新疆维吾尔自治区,双河市,2013-02-05,20.59,22.77,12.08,6.24,0.26,54.19,-0.13,-0.32,266.33,86.07,98942.3,30,一级
新疆维吾尔自治区,双河市,2013-02-06,14.89,16.48,9.35,4.26,0.25,54.77,1.05,-1.25,268.85,84.71,99263.45,28,一级
新疆维吾尔自治区,双河市,2013-02-07,7.32,8.2,5.73,2.74,0.23,53.82,-1.41,-3.11,269.99,69.73,99512.98,27,一级
新疆维吾尔自治区,双河市,2013-02-08,14.29,15.9,9.55,5.36,0.25,49.33,-0.5,0.04,264.58,91.13,98838.19,25,一级
新疆维吾尔自治区,双河市,2013-02-09,6.0,6.58,8.01,2.1,0.23,58.05,1.57,-5.22,266.57,61.08,99033.39,30,一级
新疆维吾尔自治区,双河市,2013-02-10,7.7,8.54,6.89,2.77,0.22,55.04,-0.2,-2.23,263.75,67.73,99876.16,28,一级
新疆维吾尔自治区,双河市,2013-02-11,15.59,17.25,10.91,5.14,0.26,50.96,-0.4,-0.03,259.71,86.94,100184.1,26,一级
新疆维吾尔自治区,双河市,2013-02-12,12.9,14.26,7.76,3.88,0.23,63.12,-0.93,-0.37,262.77,73.17,99354.31,32,一级
新疆维吾尔自治区,双河市,2013-02-13,13.63,14.92,8.52,3.84,0.22,52.39,-1.51,-0.11,262.79,77.97,99515.19,27,一级
