province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
新疆维吾尔自治区,和田地区,2013-01-01,5.23,5.7,1.44,0.8,0.18,66.13,5.18,2.4,262.29,50.99,73606.18,34,一级
新疆维吾尔自治区,和田地区,2013-01-02,6.8,7.39,1.65,0.95,0.19,61.5,4.79,0.87,260.14,54.77,74017.94,31,一级
新疆维吾尔自治区,和田地区,2013-01-03,8.44,9.18,1.92,1.03,0.19,59.14,4.73,0.84,257.53,61.59,73975.53,30,一级
新疆维吾尔自治区,和田地区,2013-01-04,10.78,11.68,2.43,0.97,0.22,64.88,5.84,1.44,257.38,59.97,73745.26,33,一级
新疆维吾尔自治区,和田地区,2013-01-05,8.74,9.48,2.0,0.98,0.2,67.66,3.0,0.75,257.95,56.04,73763.61,34,一级
新疆维吾尔自治区,和田地区,2013-01-06,5.95,6.45,1.26,0.79,0.18,66.71,2.09,1.01,257.91,55.16,73836.23,34,一级
新疆维吾尔自治区,和田地区,2013-01-07,6.54,7.12,1.46,0.86,0.18,66.72,2.42,0.6,256.97,58.86,73861.06,34,一级
新疆维吾尔自治区,和田地区,2013-01-08,5.67,6.17,1.28,0.75,0.17,67.95,2.48,0.43,257.84,53.63,73910.27,34,一级
新疆维吾尔自治区,和田地区,2013-01-09,6.07,6.62,1.44,0.86,0.17,62.39,3.66,0.11,258.88,56.96,73866.09,32,一级
新疆维吾尔自治区,和田地区,2013-01-10,4.59,5.01,1.08,0.87,0.15,62.82,2.81,0.05,259.68,53.67,73959.55,32,一级
新疆维吾尔自治区,和田地区,2013-01-11,4.63,5.05,1.14,0.83,0.15,64.06,4.19,-0.34,261.31,46.31,73976.0,33,一级
新疆维吾尔自治区,和田地区,2013-01-12,5.58,6.07,1.21,0.78,0.17,62.88,6.5,1.24,262.94,51.34,73515.24,32,一级
新疆维吾尔自治区,和田地区,2013-01-13,3.85,4.26,1.04,0.9,0.19,68.62,9.85,0.71,263.42,49.21,73813.68,35,一级
新疆维吾尔自治区,和田地区,2013-01-14,3.48,3.87,0.98,0.91,0.17,62.91,4.49,-0.0,261.1,54.42,74021.87,32,一级
新疆维吾尔自治区,和田地区,2013-01-15,4.95,5.46,1.31,0.89,0.17,63.6,3.72,1.13,261.37,51.04,73950.51,32,一级
新疆维吾尔自治区,和田地区,2013-01-16,6.7,7.32,1.54,0.82,0.19,66.03,3.81,2.27,261.71,52.34,74045.66,34,一级
新疆维吾尔自治区,和田地区,2013-01-17,7.25,7.89,1.67,0.69,0.2,68.37,4.42,2.85,262.35,51.07,74113.35,35,一级
