province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
新疆维吾尔自治区,喀什地区,2013-01-01,21.03,23.21,6.54,3.16,0.28,72.44,6.21,3.16,261.43,51.33,75757.26,37,一级
新疆维吾尔自治区,喀什地区,2013-01-02,13.73,15.13,3.66,2.5,0.25,66.45,4.62,0.21,260.67,51.01,76260.0,34,一级
新疆维吾尔自治区,喀什地区,2013-01-03,15.84,17.46,4.68,2.87,0.25,66.38,4.96,1.54,257.69,62.88,76224.0,34,一级
新疆维吾尔自治区,喀什地区,2013-01-04,19.0,20.95,5.7,2.93,0.28,70.72,5.74,1.75,257.12,61.39,75958.6,36,一级
新疆维吾尔自治区,喀什地区,2013-01-05,16.87,18.6,4.66,2.65,0.26,69.34,3.56,0.64,257.7,58.13,76018.41,35,一级
新疆维吾尔自治区,喀什地区,2013-01-06,18.04,19.92,4.96,2.88,0.27,68.53,3.47,1.05,257.66,60.89,76119.04,35,一级
新疆维吾尔自治区,喀什地区,2013-01-07,20.45,22.58,5.66,3.05,0.28,70.4,3.24,0.8,257.32,63.24,76145.51,36,一级
新疆维吾尔自治区,喀什地区,2013-01-08,19.84,21.89,5.45,2.82,0.27,69.38,3.49,0.58,257.67,61.16,76199.55,35,一级
新疆维吾尔自治区,喀什地区,2013-01-09,21.62,23.87,5.86,2.92,0.28,66.5,4.51,0.88,259.05,61.54,76107.9,34,一级
新疆维吾尔自治区,喀什地区,2013-01-10,19.76,21.8,5.45,2.71,0.26,66.75,4.19,0.24,260.05,57.94,76224.77,34,一级
新疆维吾尔自治区,喀什地区,2013-01-11,20.05,22.13,5.52,2.74,0.27,68.82,5.29,1.24,261.03,57.63,76197.2,35,一级
新疆维吾尔自治区,喀什地区,2013-01-12,20.5,22.63,5.45,2.83,0.29,71.52,7.14,3.17,262.51,64.04,75670.35,36,一级
新疆维吾尔自治区,喀什地区,2013-01-13,4.22,4.76,1.37,1.68,0.2,70.33,7.24,-1.39,264.41,38.97,76021.02,36,一级
