province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
新疆维吾尔自治区,昆玉市,2013-01-01,21.54,24.12,7.72,3.83,0.33,53.85,-0.73,-0.15,263.0,75.62,86842.53,31,一级
新疆维吾尔自治区,昆玉市,2013-01-02,12.03,13.4,3.76,2.48,0.25,58.69,3.06,-1.46,266.52,57.94,87541.02,30,一级
新疆维吾尔自治区,昆玉市,2013-01-03,19.01,21.06,5.23,2.89,0.3,56.0,2.22,-1.44,260.79,77.44,87622.15,28,一级
新疆维吾尔自治区,昆玉市,2013-01-04,26.07,28.95,8.32,4.09,0.34,62.89,-0.26,0.85,261.33,72.84,87351.95,38,一级
新疆维吾尔自治区,昆玉市,2013-01-05,25.94,29.07,9.53,4.99,0.34,63.54,-1.77,1.22,264.29,61.98,87290.4,38,一级
新疆维吾尔自治区,昆玉市,2013-01-06,16.62,18.5,5.44,2.84,0.26,61.59,-0.3,-0.58,262.09,75.49,87415.75,31,一级
新疆维吾尔自治区,昆玉市,2013-01-07,26.34,29.48,9.23,4.36,0.33,62.18,-1.15,0.36,261.44,75.3,87463.25,38,一级
新疆维吾尔自治区,昆玉市,2013-01-08,29.45,33.0,10.67,5.09,0.35,60.15,-1.35,0.09,261.7,70.64,87489.9,43,一级
新疆维吾尔自治区,昆玉市,2013-01-09,33.67,37.71,12.11,5.62,0.38,60.67,-1.35,0.87,262.0,70.15,87330.46,49,一级
新疆维吾尔自治区,昆玉市,2013-01-10,20.83,23.46,7.88,4.48,0.29,58.22,-1.21,0.63,264.59,59.06,87390.1,30,一级
新疆维吾尔自治区,昆玉市,2013-01-11,27.17,30.55,10.4,5.11,0.33,58.0,-1.12,-0.27,263.21,68.6,87267.57,39,一级
新疆维吾尔自治区,昆玉市,2013-01-12,20.86,23.19,6.37,3.09,0.27,55.52,1.86,-1.6,261.54,69.83,86750.52,30,一级
新疆维吾尔自治区,昆玉市,2013-01-13,3.01,3.44,1.18,1.31,0.18,66.83,8.25,-1.21,273.51,30.39,87352.53,34,一级
新疆维吾尔自治区,昆玉市,2013-01-14,9.04,10.19,3.06,2.05,0.23,61.03,3.0,-2.25,267.95,49.84,87574.65,31,一级
新疆维吾尔自治区,昆玉市,2013-01-15,18.29,20.36,5.58,2.84,0.3,56.53,0.82,-1.12,265.37,67.92,87438.93,29,一级
新疆维吾尔自治区,昆玉市,2013-01-16,23.13,25.61,6.69,3.01,0.32,54.59,0.57,-0.41,265.83,62.25,87532.16,34,一级
新疆维吾尔自治区,昆玉市,2013-01-17,25.52,28.32,8.16,3.48,0.34,55.79,0.24,-0.67,267.22,59.14,87662.86,37,一级
新疆维吾尔自治区,昆玉市,2013-01-18,23.22,25.46,5.93,1.91,0.31,58.24,1.48,-1.52,267.22,66.65,87419.32,34,一级
新疆维吾尔自治区,昆玉市,2013-01-19,27.98,30.91,7.61,3.27,0.34,54.36,-1.07,1.11,269.54,59.75,87262.2,40,一级
