province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
新疆维吾尔自治区,阿拉尔市,2013-01-01,14.92,16.32,5.4,3.1,0.26,53.6,-0.15,-0.1,263.04,65.58,90459.56,27,一级
新疆维吾尔自治区,阿拉尔市,2013-01-02,18.93,20.64,6.57,3.53,0.28,56.24,0.08,-0.72,262.23,71.15,91210.54,29,一级
新疆维吾尔自治区,阿拉尔市,2013-01-03,18.76,20.53,7.63,3.7,0.27,52.74,-0.86,-1.58,261.34,62.62,91235.43,27,一级
新疆维吾尔自治区,阿拉尔市,2013-01-04,24.09,26.27,9.79,4.77,0.29,53.55,0.6,-0.47,260.16,65.16,90980.6,35,一级
新疆维吾尔自治区,阿拉尔市,2013-01-05,23.51,25.45,7.66,3.57,0.29,54.5,0.62,0.3,261.42,62.11,90984.78,34,一级
新疆维吾尔自治区,阿拉尔市,2013-01-06,20.75,22.4,6.09,2.83,0.27,56.0,-0.73,-0.53,262.42,63.09,91107.97,30,一级
新疆维吾尔自治区,阿拉尔市,2013-01-07,19.91,21.6,5.97,3.27,0.27,56.47,0.68,-0.18,261.25,74.68,91123.54,29,一级
新疆维吾尔自治区,阿拉尔市,2013-01-08,20.3,22.1,6.98,4.1,0.27,57.62,0.17,-0.85,260.04,78.87,91175.86,30,一级
新疆维吾尔自治区,阿拉尔市,2013-01-09,19.33,21.06,5.53,2.89,0.27,56.0,2.22,0.55,260.25,75.9,90927.46,28,一级
新疆维吾尔自治区,阿拉尔市,2013-01-10,22.74,24.8,5.66,2.64,0.28,56.21,1.54,0.12,261.17,79.53,91069.53,33,一级
新疆维吾尔自治区,阿拉尔市,2013-01-11,23.16,25.26,6.87,3.32,0.28,60.86,1.04,-0.2,261.45,74.61,90919.35,34,一级
新疆维吾尔自治区,阿拉尔市,2013-01-12,22.88,24.88,7.8,4.1,0.27,58.93,1.06,-0.96,261.74,73.35,90253.77,33,一级
新疆维吾尔自治区,阿拉尔市,2013-01-13,17.38,19.05,4.21,2.74,0.27,50.13,0.55,0.65,266.39,71.09,90628.35,26,一级
新疆维吾尔自治区,阿拉尔市,2013-01-14,11.55,12.71,4.11,2.57,0.24,52.82,-2.55,-1.66,266.62,65.99,91176.61,27,一级
新疆维吾尔自治区,阿拉尔市,2013-01-15,11.16,12.23,4.68,2.75,0.23,59.68,-1.23,-0.34,266.63,71.39,91045.69,30,一级
新疆维吾尔自治区,阿拉尔市,2013-01-16,11.04,12.02,4.13,2.45,0.23,57.12,-0.49,0.5,267.28,65.62,91109.66,29,一级
新疆维吾尔自治区,阿拉尔市,2013-01-17,11.41,12.42,4.45,2.87,0.22,54.64,-1.13,-0.56,267.88,58.02,91254.95,28,一级
新疆维吾尔自治区,阿拉尔市,2013-01-18,12.85,14.07,5.83,3.42,0.21,57.97,-0.46,-0.68,267.38,63.25,90966.18,29,一级
新疆维吾尔自治区,阿拉尔市,2013-01-19,14.73,16.04,4.52,2.27,0.23,53.71,1.42,1.46,268.42,64.39,90805.49,27,一级
新疆维吾尔自治区,阿拉尔市,2013-01-20,16.81,18.3,5.08,2.44,0.24,47.85,-2.25,-0.45,267.3,68.7,91123.25,25,一级
新疆维吾尔自治区,阿拉尔市,2013-01-21,14.44,15.7,4.73,2.37,0.23,48.66,-2.14,-0.22,267.06,70.24,91085.68,25,一级
新疆维吾尔自治区,阿拉尔市,2013-01-22,10.63,11.53,3.07,1.77,0.21,48.65,-1.57,0.41,267.68,70.76,90959.19,25,一级
新疆维吾尔自治区,阿拉尔市,2013-01-23,9.85,10.71,3.09,2.06,0.2,50.23,-1.15,0.37,268.62,66.24,90955.4,26,一级
新疆维吾尔自治区,阿拉尔市,2013-01-24,10.97,11.94,3.87,2.73,0.2,50.11,-0.37,0.2,268.89,62.75,91235.4,26,一级
新疆维吾尔自治区,阿拉尔市,2013-01-25,8.05,8.78,2.83,2.02,0.19,51.66,-0.52,0.82,269.62,56.8,91110.08,26,一级
新疆维吾尔自治区,阿拉尔市,2013-01-26,9.01,9.87,3.12,2.2,0.2,50.57,-0.57,0.64,269.56,54.97,91094.93,26,一级
新疆维吾尔自治区,阿拉尔市,2013-01-27,11.61,12.63,3.74,2.42,0.21,50.75,-1.96,-0.62,269.47,53.54,91046.59,26,一级
新疆维吾尔自治区,阿拉尔市,2013-01-28,10.35,11.33,3.38,2.19,0.2,50.5,0.41,1.34,271.22,45.63,90660.62,26,一级
新疆维吾尔自治区,阿拉尔市,2013-01-29,11.55,12.67,3.76,2.33,0.21,47.39,-2.19,-0.39,271.19,46.3,90504.56,24,一级
新疆维吾尔自治区,阿拉尔市,2013-01-30,13.42,14.7,4.57,2.45,0.23,47.97,-2.1,0.06,271.38,52.65,90252.44,24,一级
新疆维吾尔自治区,阿拉尔市,2013-01-31,12.43,13.64,3.96,2.14,0.22,44.37,-3.49,-1.19,270.89,50.02,90499.25,23,一级
新疆维吾尔自治区,阿拉尔市,2013-02-01,10.96,12.08,4.26,2.35,0.21,43.39,-3.67,-1.14,271.05,52.6,91022.77,22,一级
新疆维吾尔自治区,阿拉尔市,2013-02-02,10.52,11.6,4.57,2.67,0.2,45.4,-1.38,-0.07,271.05,52.76,90402.26,23,一级
新疆维吾尔自治区,阿拉尔市,2013-02-03,6.57,7.3,2.54,1.71,0.19,40.5,-0.0,1.22,272.89,44.89,90182.78,21,一级
新疆维吾尔自治区,阿拉尔市,2013-02-04,13.16,14.52,5.58,3.11,0.23,43.1,-2.08,-1.17,272.34,51.85,90360.16,22,一级
新疆维吾尔自治区,阿拉尔市,2013-02-05,14.9,16.28,6.48,2.81,0.22,51.85,-1.8,-1.45,273.13,48.94,90595.66,26,一级
新疆维吾尔自治区,阿拉尔市,2013-02-06,13.78,15.17,6.5,3.21,0.21,50.8,-2.24,-2.26,273.2,64.7,90659.5,26,一级
新疆维吾尔自治区,阿拉尔市,2013-02-07,10.21,11.21,4.73,2.52,0.19,51.87,-0.04,0.4,273.53,85.2,91436.54,26,一级
新疆维吾尔自治区,阿拉尔市,2013-02-08,11.85,12.59,2.8,1.01,0.18,48.1,2.32,3.06,274.12,67.51,90902.57,25,一级
新疆维吾尔自治区,阿拉尔市,2013-02-09,10.51,11.15,2.26,1.05,0.18,49.64,-2.24,2.36,273.34,53.34,90137.93,25,一级
新疆维吾尔自治区,阿拉尔市,2013-02-10,7.44,8.01,2.38,1.21,0.18,40.48,-5.97,-0.32,271.28,59.39,90944.01,21,一级
新疆维吾尔自治区,阿拉尔市,2013-02-11,5.05,5.54,2.84,1.58,0.18,54.83,-2.6,-0.4,269.75,57.76,91689.47,28,一级
新疆维吾尔自治区,阿拉尔市,2013-02-12,5.07,5.58,2.94,1.52,0.18,62.62,2.1,2.21,270.59,45.53,91299.99,32,一级
新疆维吾尔自治区,阿拉尔市,2013-02-13,6.12,6.76,2.61,1.2,0.19,53.12,0.93,2.03,272.74,49.99,90773.04,27,一级
新疆维吾尔自治区,阿拉尔市,2013-02-14,8.02,8.83,3.43,1.84,0.2,53.52,-2.05,-0.17,271.54,48.88,90892.12,27,一级
新疆维吾尔自治区,阿拉尔市,2013-02-15,6.02,6.64,2.68,1.58,0.19,50.45,0.02,0.82,272.82,45.33,90361.12,26,一级
新疆维吾尔自治区,阿拉尔市,2013-02-16,7.59,8.16,2.14,1.27,0.18,51.81,-5.14,1.37,272.93,42.54,90343.43,26,一级
新疆维吾尔自治区,阿拉尔市,2013-02-17,3.79,4.2,1.96,1.06,0.17,52.29,-5.45,-0.17,270.32,39.08,90773.89,27,一级
