province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
江苏省,南京市,2013-01-01,60.89,115.81,48.27,51.91,1.81,19.14,4.38,-0.0,274.5,70.15,102231.13,83,二级
江苏省,南京市,2013-01-02,51.24,97.67,28.89,31.95,1.3,37.11,-1.65,-8.71,270.78,61.68,103191.44,74,二级
江苏省,南京市,2013-01-03,39.18,62.55,34.82,25.65,1.15,43.81,1.01,-7.04,268.17,67.27,103783.18,57,二级
江苏省,南京市,2013-01-04,56.49,82.34,34.51,39.1,1.18,28.01,0.1,-4.15,269.92,64.42,103154.46,77,二级
江苏省,南京市,2013-01-05,81.71,109.44,48.4,47.48,1.31,29.7,0.02,-3.97,271.49,66.37,102669.7,109,三级
江苏省,南京市,2013-01-06,125.52,165.28,84.82,62.36,1.52,24.15,0.07,-3.37,272.29,54.1,102631.69,166,四级
江苏省,南京市,2013-01-07,148.42,198.31,89.8,80.23,1.82,14.86,-0.08,-1.83,273.64,56.65,102436.38,198,四级
江苏省,南京市,2013-01-08,163.56,209.24,80.27,79.23,1.91,29.08,-0.72,-3.74,274.37,49.16,102535.85,214,五级
江苏省,南京市,2013-01-09,180.41,222.34,80.07,77.21,2.04,18.17,-1.15,-5.16,274.35,62.4,102818.18,231,五级
江苏省,南京市,2013-01-10,113.6,150.43,56.45,61.49,1.58,20.8,-3.75,-0.96,274.03,56.32,102918.2,149,三级
江苏省,南京市,2013-01-11,112.51,157.99,61.5,70.56,1.63,17.35,-2.41,2.86,276.48,63.89,102614.53,147,三级
江苏省,南京市,2013-01-12,206.53,291.57,69.61,96.28,2.48,17.25,-1.19,-1.25,277.45,66.7,102442.71,257,五级
江苏省,南京市,2013-01-13,172.38,215.61,57.32,84.97,2.2,11.73,-2.71,-0.31,278.06,86.02,102027.13,223,五级
江苏省,南京市,2013-01-14,137.77,181.92,33.63,66.61,1.89,18.08,-1.09,-1.86,277.28,80.63,102389.99,183,四级
江苏省,南京市,2013-01-15,154.66,212.34,39.96,66.84,1.89,22.34,-2.48,0.99,277.34,76.88,102370.02,205,五级
江苏省,南京市,2013-01-16,171.64,235.43,39.16,47.72,1.81,33.66,-0.68,-3.63,276.72,73.4,102645.3,222,五级
江苏省,南京市,2013-01-17,70.62,96.01,26.7,33.89,1.29,40.56,-0.98,-6.2,273.52,60.02,103471.98,95,二级
江苏省,南京市,2013-01-18,74.46,113.78,33.47,66.45,1.28,30.65,-1.01,-0.41,272.93,47.12,103308.57,100,二级
江苏省,南京市,2013-01-19,121.28,166.85,41.87,79.69,1.59,36.76,-4.56,1.95,276.62,54.42,102654.82,159,四级
江苏省,南京市,2013-01-20,93.95,132.13,29.68,69.33,1.46,16.17,-3.25,2.08,280.11,85.28,102242.99,124,三级
江苏省,南京市,2013-01-21,100.17,119.47,33.34,49.95,2.04,7.91,4.8,-3.05,277.94,85.34,102321.09,132,三级
江苏省,南京市,2013-01-22,140.7,189.52,34.71,50.74,2.07,13.75,0.79,-4.62,275.01,75.71,102628.13,187,四级
江苏省,南京市,2013-01-23,114.85,156.95,36.52,49.93,1.88,41.89,2.39,0.75,276.0,65.28,102235.52,150,三级
江苏省,南京市,2013-01-24,160.29,217.4,48.24,59.51,2.25,27.06,3.21,-2.13,277.53,66.15,102116.76,211,五级
江苏省,南京市,2013-01-25,137.22,204.27,43.68,68.73,2.35,27.47,1.4,1.28,276.99,54.19,102312.87,182,四级
江苏省,南京市,2013-01-26,163.58,216.98,49.21,76.43,2.28,28.1,0.7,-2.48,278.18,59.95,102194.08,214,五级
江苏省,南京市,2013-01-27,87.26,120.35,32.09,53.12,1.19,33.27,-2.78,-1.3,276.77,75.93,102746.21,116,三级
江苏省,南京市,2013-01-28,140.11,190.03,47.81,73.12,1.78,40.69,-1.42,4.36,280.13,57.89,102411.98,186,四级
江苏省,南京市,2013-01-29,154.81,216.23,50.39,81.32,2.02,36.38,-0.6,1.94,282.78,51.53,102217.39,205,五级
江苏省,南京市,2013-01-30,155.52,220.13,57.04,77.94,1.95,52.54,-4.66,2.97,283.35,54.11,102385.95,206,五级
江苏省,南京市,2013-01-31,117.82,137.18,31.52,56.96,1.35,37.02,-4.13,4.16,285.13,77.75,101924.72,155,四级
