province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
江苏省,南通市,2013-01-01,85.7,128.13,49.51,59.34,1.58,15.88,6.28,0.2,274.85,70.71,102322.8,114,三级
江苏省,南通市,2013-01-02,46.06,66.5,14.74,20.42,0.85,51.06,2.08,-8.42,274.06,61.6,103162.68,64,二级
江苏省,南通市,2013-01-03,32.31,37.27,14.06,13.56,0.79,55.19,3.26,-7.29,271.8,78.94,103694.1,47,一级
江苏省,南通市,2013-01-04,46.0,47.64,16.15,15.31,0.83,53.45,2.12,-5.51,273.01,77.05,103171.37,64,二级
江苏省,南通市,2013-01-05,55.83,55.63,18.93,18.57,1.0,55.93,2.77,-4.91,273.4,70.51,102711.78,77,二级
江苏省,南通市,2013-01-06,96.16,99.14,35.87,28.78,1.21,50.72,2.16,-4.22,274.3,64.86,102679.23,127,三级
江苏省,南通市,2013-01-07,110.13,106.69,36.29,30.68,1.18,40.44,1.75,-3.7,275.12,63.71,102517.63,144,三级
江苏省,南通市,2013-01-08,108.77,108.77,35.49,25.88,1.23,53.07,1.15,-5.42,275.94,67.63,102572.17,143,三级
江苏省,南通市,2013-01-09,87.95,90.71,31.48,23.19,1.09,45.73,0.87,-6.8,275.58,67.7,102861.2,117,三级
江苏省,南通市,2013-01-10,52.0,65.31,18.81,20.1,0.83,50.77,-0.29,-3.98,274.71,62.63,103064.54,72,二级
江苏省,南通市,2013-01-11,59.0,79.93,26.41,40.27,0.92,38.38,-1.51,1.72,276.96,71.0,102818.56,80,二级
江苏省,南通市,2013-01-12,165.06,203.54,45.54,57.36,1.5,31.02,-0.83,-1.88,277.45,80.21,102613.16,216,五级
江苏省,南通市,2013-01-13,107.94,104.84,17.54,26.65,1.21,43.61,-2.4,-2.85,278.6,84.93,102176.78,142,三级
江苏省,南通市,2013-01-14,98.36,101.65,16.22,19.5,1.11,59.74,0.37,-5.66,277.18,77.58,102485.09,130,三级
江苏省,南通市,2013-01-15,134.79,144.88,28.75,31.55,1.27,50.42,-2.31,-0.28,277.18,83.74,102572.19,179,四级
江苏省,南通市,2013-01-16,148.11,160.54,22.58,21.99,1.25,51.38,-0.16,-4.36,276.46,83.04,102740.4,198,四级
江苏省,南通市,2013-01-17,45.16,51.76,10.88,11.86,0.79,56.52,1.58,-8.49,274.18,66.7,103468.21,63,二级
江苏省,南通市,2013-01-18,100.26,122.73,33.03,39.43,1.22,43.4,2.21,-2.27,273.22,65.9,103423.63,132,三级
江苏省,南通市,2013-01-19,126.46,153.08,43.49,57.35,1.24,34.6,-2.58,1.81,275.91,70.13,102955.54,167,四级
江苏省,南通市,2013-01-20,41.37,62.58,17.63,37.54,1.08,34.13,-4.64,4.16,280.91,90.9,102521.45,58,二级
江苏省,南通市,2013-01-21,93.54,98.8,19.77,39.84,1.51,12.8,4.72,-1.91,279.44,92.13,102298.41,124,三级
江苏省,南通市,2013-01-22,97.5,111.29,19.48,21.46,1.11,36.25,2.97,-5.57,274.91,83.21,102648.07,129,三级
江苏省,南通市,2013-01-23,133.87,156.4,38.69,44.47,1.49,31.71,4.21,-0.85,275.09,69.23,102346.05,177,四级
江苏省,南通市,2013-01-24,190.74,235.46,51.81,54.05,2.02,22.13,3.14,-2.24,276.74,71.49,102190.34,241,五级
江苏省,南通市,2013-01-25,150.25,183.54,40.15,57.73,1.83,29.49,3.48,0.55,276.01,61.38,102443.39,201,五级
江苏省,南通市,2013-01-26,132.33,155.93,37.98,48.05,1.35,38.61,0.54,-2.79,277.17,71.99,102327.67,175,四级
江苏省,南通市,2013-01-27,36.13,48.29,11.24,16.62,0.53,56.14,-1.52,-2.91,276.27,67.15,102901.62,52,二级
江苏省,南通市,2013-01-28,73.37,104.72,36.98,58.5,0.91,38.45,-0.92,6.0,278.56,64.05,102687.43,98,二级
江苏省,南通市,2013-01-29,104.01,146.88,47.52,76.16,1.44,23.56,-1.17,3.93,280.32,76.04,102458.16,137,三级
江苏省,南通市,2013-01-30,165.4,192.94,34.57,59.55,1.7,44.75,-3.13,2.58,281.86,74.01,102676.57,216,五级
江苏省,南通市,2013-01-31,38.2,50.48,18.21,42.22,0.72,38.12,-4.93,6.25,283.84,92.46,102291.1,54,二级
