province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
江苏省,宿迁市,2013-01-01,67.8,117.69,48.53,43.99,1.79,39.53,4.27,-2.44,271.61,63.45,102275.45,92,二级
江苏省,宿迁市,2013-01-02,29.6,65.16,36.9,23.38,1.57,66.22,0.57,-8.44,266.76,52.99,103529.49,58,二级
江苏省,宿迁市,2013-01-03,37.02,60.68,49.25,24.61,1.68,63.24,1.52,-6.79,264.77,57.62,104037.67,56,二级
江苏省,宿迁市,2013-01-04,57.44,79.7,44.91,33.12,1.65,57.59,0.35,-4.31,266.88,57.19,103342.96,79,二级
江苏省,宿迁市,2013-01-05,92.65,119.32,68.68,49.13,1.89,42.19,0.57,-3.95,268.5,46.42,102843.51,123,三级
江苏省,宿迁市,2013-01-06,124.66,173.18,105.07,70.42,2.19,20.65,0.25,-3.25,270.11,48.99,102790.01,164,四级
江苏省,宿迁市,2013-01-07,128.68,186.62,94.45,77.06,2.28,22.78,0.07,-1.83,271.67,49.87,102566.56,170,四级
江苏省,宿迁市,2013-01-08,186.73,247.42,94.3,87.74,2.63,21.86,-0.11,-4.13,272.68,52.97,102709.7,237,五级
江苏省,宿迁市,2013-01-09,114.71,151.48,65.18,56.48,1.91,26.48,-1.0,-5.23,271.55,64.0,103032.04,150,三级
江苏省,宿迁市,2013-01-10,63.75,102.09,38.0,40.31,1.39,37.51,-2.33,1.21,272.66,54.88,103029.15,86,二级
江苏省,宿迁市,2013-01-11,83.17,159.86,46.44,61.32,1.47,30.42,0.24,5.1,275.18,65.85,102672.58,111,三级
江苏省,宿迁市,2013-01-12,157.51,269.41,60.45,76.34,2.15,38.55,-1.59,-1.29,275.11,71.85,102575.89,208,五级
江苏省,宿迁市,2013-01-13,114.26,200.92,34.08,56.21,1.62,38.24,-3.44,0.48,276.01,83.93,102194.79,150,三级
江苏省,宿迁市,2013-01-14,122.25,216.64,25.68,52.91,1.98,37.94,-1.89,-2.45,275.44,79.21,102532.76,161,四级
江苏省,宿迁市,2013-01-15,160.09,242.49,41.08,41.49,2.02,53.19,-2.06,1.04,275.73,78.33,102513.27,211,五级
江苏省,宿迁市,2013-01-16,156.84,260.63,50.99,48.67,2.48,42.63,-1.73,-4.82,273.95,76.69,102872.71,207,五级
江苏省,宿迁市,2013-01-17,83.35,138.34,39.66,39.35,1.6,53.96,-0.13,-6.19,271.22,57.57,103680.42,111,三级
江苏省,宿迁市,2013-01-18,125.96,194.31,45.97,43.96,1.77,46.56,0.79,1.22,272.07,51.16,103355.92,166,四级
江苏省,宿迁市,2013-01-19,115.75,155.64,43.84,49.25,1.54,40.19,-2.86,2.63,275.06,52.01,102786.95,152,四级
江苏省,宿迁市,2013-01-20,87.5,114.76,21.69,32.56,1.5,29.75,-4.44,-0.76,276.65,92.33,102435.97,116,三级
江苏省,宿迁市,2013-01-21,121.8,134.22,32.27,35.01,2.51,18.05,2.73,-5.08,275.51,91.65,102429.78,160,四级
江苏省,宿迁市,2013-01-22,113.96,147.47,35.14,26.32,1.56,39.63,0.1,-5.22,272.65,69.22,102780.3,149,三级
江苏省,宿迁市,2013-01-23,119.53,180.58,42.8,28.58,1.69,41.5,2.67,2.63,274.85,64.94,102206.39,157,四级
江苏省,宿迁市,2013-01-24,118.15,187.37,45.5,34.45,1.56,39.58,3.43,-3.66,275.54,61.76,102223.82,155,四级
江苏省,宿迁市,2013-01-25,105.05,161.74,32.13,39.5,1.44,31.95,3.14,0.23,276.06,51.67,102305.66,138,三级
江苏省,宿迁市,2013-01-26,86.6,131.25,24.15,29.76,1.14,40.72,-3.45,-4.95,275.1,77.82,102417.28,115,三级
江苏省,宿迁市,2013-01-27,59.1,92.56,19.5,29.72,0.99,51.74,-1.47,0.05,274.92,72.27,102865.37,81,二级
江苏省,宿迁市,2013-01-28,119.97,166.15,26.41,49.5,1.5,44.11,0.67,6.1,279.2,63.8,102395.14,158,四级
江苏省,宿迁市,2013-01-29,184.25,255.94,35.15,62.96,2.08,33.68,-0.08,3.24,281.49,57.38,102274.26,235,五级
江苏省,宿迁市,2013-01-30,165.75,216.76,30.44,37.78,1.84,33.55,-2.68,3.9,282.27,59.2,102478.51,216,五级
江苏省,宿迁市,2013-01-31,85.46,115.53,21.29,32.82,1.08,24.11,-4.0,4.03,282.83,86.36,102012.44,114,三级
江苏省,宿迁市,2013-02-01,109.36,134.37,32.23,37.49,2.55,15.78,0.18,-5.0,281.5,83.04,102215.51,143,三级
江苏省,宿迁市,2013-02-02,32.66,63.46,22.92,17.8,0.89,50.4,-5.14,-3.92,275.25,60.06,103167.57,57,二级
江苏省,宿迁市,2013-02-03,25.34,48.63,14.35,23.27,0.74,39.48,-4.96,2.83,277.01,84.18,102140.3,49,一级
江苏省,宿迁市,2013-02-04,56.28,77.17,26.88,22.67,1.03,31.26,-1.98,-4.91,277.08,80.89,102341.44,77,二级
江苏省,宿迁市,2013-02-05,38.63,53.14,11.55,15.69,0.78,48.88,-4.17,-3.53,274.63,87.37,102320.69,55,二级
江苏省,宿迁市,2013-02-06,80.73,102.05,18.01,16.38,1.21,40.93,0.11,-2.15,274.63,83.73,102417.56,108,三级
江苏省,宿迁市,2013-02-07,66.37,90.63,26.29,14.61,1.0,51.89,-2.54,-10.07,269.01,54.31,103253.7,90,二级
江苏省,宿迁市,2013-02-08,32.45,58.22,22.57,12.84,0.81,48.81,-0.49,-5.64,267.35,57.59,103602.64,55,二级
江苏省,宿迁市,2013-02-09,57.1,77.88,16.65,9.16,0.75,56.42,1.41,2.08,270.79,55.42,102970.44,78,二级
江苏省,宿迁市,2013-02-10,115.68,157.6,27.85,11.91,0.97,61.7,-1.58,-0.26,273.54,70.29,102769.55,151,四级
江苏省,宿迁市,2013-02-11,75.75,96.74,12.35,10.73,0.83,62.19,-6.56,-2.04,275.21,81.1,102981.83,101,三级
江苏省,宿迁市,2013-02-12,72.04,103.17,19.79,17.07,1.05,46.18,1.21,-2.52,275.49,67.34,102813.52,97,二级
江苏省,宿迁市,2013-02-13,140.44,182.71,23.88,20.53,1.52,47.43,-0.98,2.46,275.76,58.06,102596.77,187,四级
江苏省,宿迁市,2013-02-14,111.24,150.63,23.31,18.81,1.36,43.27,-2.25,0.15,276.51,78.52,102295.44,146,三级
江苏省,宿迁市,2013-02-15,153.37,198.26,25.97,19.72,1.72,42.92,-2.75,-3.46,275.94,73.12,102705.93,204,五级
江苏省,宿迁市,2013-02-16,108.59,157.05,25.04,21.11,1.33,64.84,-5.39,5.32,277.37,67.2,102415.45,142,三级
江苏省,宿迁市,2013-02-17,46.58,78.2,18.05,16.47,0.96,62.08,-2.91,0.25,279.63,73.18,101720.04,65,二级
江苏省,宿迁市,2013-02-18,59.49,97.06,24.91,17.36,1.31,48.93,-5.29,-7.53,275.71,68.22,102287.77,81,二级
江苏省,宿迁市,2013-02-19,38.57,65.66,20.44,18.08,0.88,51.12,-2.36,-3.64,274.19,50.76,102939.02,58,二级
江苏省,宿迁市,2013-02-20,50.81,83.13,18.29,16.09,0.89,72.92,-0.34,3.48,275.67,57.11,102964.92,70,二级
江苏省,宿迁市,2013-02-21,82.56,130.06,27.45,23.5,1.18,74.11,-0.93,1.89,277.11,68.94,102909.03,110,三级
江苏省,宿迁市,2013-02-22,127.45,197.32,34.55,25.86,1.33,70.48,-0.01,-1.61,278.35,73.72,102884.33,168,四级
江苏省,宿迁市,2013-02-23,219.17,282.56,23.72,25.3,2.01,67.79,-2.54,1.61,279.13,68.88,103004.76,270,五级
江苏省,宿迁市,2013-02-24,145.28,196.12,26.87,26.16,1.59,61.7,-5.03,5.55,281.55,64.15,102551.06,194,四级
江苏省,宿迁市,2013-02-25,72.11,112.18,22.52,23.01,1.19,56.95,-3.65,0.74,283.15,74.86,102213.72,97,二级
江苏省,宿迁市,2013-02-26,110.41,161.17,19.21,19.57,1.32,37.0,-1.39,-2.01,281.16,91.36,101991.55,145,三级
江苏省,宿迁市,2013-02-27,147.74,222.15,20.33,23.04,1.2,53.98,-2.33,0.74,280.37,78.52,101998.32,197,四级
江苏省,宿迁市,2013-02-28,107.31,168.83,20.24,34.28,1.31,24.74,-1.6,2.25,282.74,80.91,101335.04,141,三级
江苏省,宿迁市,2013-03-01,34.81,131.06,22.12,15.31,0.86,56.05,-2.26,-10.72,275.85,33.79,102578.79,91,二级
江苏省,宿迁市,2013-03-02,24.79,58.0,22.38,15.68,0.85,57.56,-1.27,-4.3,274.56,35.66,103288.72,54,二级
江苏省,宿迁市,2013-03-03,45.57,88.01,23.32,28.06,0.92,44.36,3.86,4.22,279.11,36.46,102512.73,70,二级
江苏省,宿迁市,2013-03-04,60.82,138.52,36.83,33.24,1.1,50.44,1.39,-3.2,282.26,31.61,102338.6,95,二级
江苏省,宿迁市,2013-03-05,68.67,138.93,31.56,32.64,1.25,64.43,-1.37,5.54,283.6,46.32,102332.89,95,二级
江苏省,宿迁市,2013-03-06,62.38,151.1,24.91,25.36,1.08,77.32,5.16,7.41,289.73,33.83,101633.78,101,三级
江苏省,宿迁市,2013-03-07,96.55,218.66,49.55,39.7,1.41,65.34,4.02,0.6,289.23,33.99,101462.24,135,三级
江苏省,宿迁市,2013-03-08,62.95,165.14,35.58,30.29,1.03,80.61,4.41,2.67,292.51,31.21,100957.54,108,三级
江苏省,宿迁市,2013-03-09,77.03,192.59,32.57,26.8,1.2,104.83,3.68,4.48,293.0,39.86,100771.02,122,三级
江苏省,宿迁市,2013-03-10,15.82,98.63,11.2,11.5,0.5,75.53,-7.01,-8.35,277.14,41.34,102635.89,75,二级
江苏省,宿迁市,2013-03-11,18.58,40.14,9.72,14.77,0.57,70.16,-5.99,1.44,279.11,56.58,102421.15,41,一级
江苏省,宿迁市,2013-03-12,60.22,93.78,18.77,37.71,1.03,23.56,-1.41,1.78,281.5,84.17,101329.86,82,二级
