province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
江苏省,苏州市,2013-01-01,67.78,100.87,37.74,62.0,1.71,20.68,5.93,-0.3,276.77,66.38,102339.02,91,二级
江苏省,苏州市,2013-01-02,61.64,95.62,26.66,38.99,1.55,35.85,-0.65,-9.36,275.45,65.43,103079.48,84,二级
江苏省,苏州市,2013-01-03,45.01,51.99,27.27,28.57,1.46,39.91,2.49,-8.72,272.56,77.34,103654.0,63,二级
江苏省,苏州市,2013-01-04,57.42,58.96,31.99,38.7,1.34,34.82,0.19,-6.82,273.76,76.26,103127.47,79,二级
江苏省,苏州市,2013-01-05,78.92,74.96,34.32,49.18,1.48,29.28,1.04,-5.83,274.56,73.8,102665.55,105,三级
江苏省,苏州市,2013-01-06,106.87,99.7,45.39,52.64,1.6,28.57,1.06,-4.85,274.94,67.22,102650.85,140,三级
江苏省,苏州市,2013-01-07,142.79,136.86,63.73,68.29,1.79,15.84,0.67,-3.65,275.61,69.89,102493.82,190,四级
江苏省,苏州市,2013-01-08,134.8,126.69,60.93,63.43,1.71,33.05,0.57,-5.91,276.57,64.59,102541.45,179,四级
江苏省,苏州市,2013-01-09,120.02,117.87,62.02,53.05,1.67,32.79,0.03,-7.03,276.2,70.72,102817.32,158,四级
江苏省,苏州市,2013-01-10,70.26,79.64,35.11,54.0,1.38,32.53,-1.97,-4.2,275.53,61.85,103023.18,95,二级
江苏省,苏州市,2013-01-11,67.21,78.59,28.71,67.65,1.33,23.87,-2.77,0.96,277.78,73.53,102775.31,91,二级
江苏省,苏州市,2013-01-12,184.52,208.98,77.63,103.58,2.21,19.98,-0.42,-1.69,278.64,75.38,102561.28,235,五级
江苏省,苏州市,2013-01-13,118.39,102.76,26.09,75.55,1.69,20.07,-2.45,-3.31,278.94,89.23,102112.42,155,四级
江苏省,苏州市,2013-01-14,141.19,135.1,37.9,69.49,1.96,28.67,0.55,-4.73,277.32,81.62,102465.03,188,四级
江苏省,苏州市,2013-01-15,134.92,133.84,35.25,72.34,1.69,31.28,-2.56,0.25,277.99,83.83,102521.31,179,四级
江苏省,苏州市,2013-01-16,186.43,186.8,42.78,58.19,1.97,26.76,-0.01,-3.55,277.04,86.96,102691.08,237,五级
江苏省,苏州市,2013-01-17,66.54,70.61,24.84,33.38,1.43,53.51,0.84,-8.37,274.91,66.92,103434.72,90,二级
江苏省,苏州市,2013-01-18,101.82,107.93,47.73,65.14,1.49,33.59,0.69,-2.89,273.73,64.43,103415.5,134,三级
江苏省,苏州市,2013-01-19,124.32,133.33,48.16,82.34,1.65,26.84,-3.64,2.39,277.17,68.59,102887.46,164,四级
江苏省,苏州市,2013-01-20,64.0,81.13,29.29,69.12,1.71,18.25,-4.42,4.04,282.4,89.2,102444.55,87,二级
江苏省,苏州市,2013-01-21,114.37,110.94,36.01,61.23,2.19,6.99,5.27,-2.07,280.0,91.52,102322.2,150,三级
江苏省,苏州市,2013-01-22,119.35,121.02,37.92,51.78,1.97,16.05,2.82,-5.54,276.02,80.16,102638.29,157,四级
江苏省,苏州市,2013-01-23,134.03,134.22,44.85,59.26,1.85,27.02,3.4,-1.99,276.25,70.77,102360.8,178,四级
江苏省,苏州市,2013-01-24,188.92,202.35,61.63,76.68,2.38,17.89,2.85,-1.74,278.11,72.88,102180.56,239,五级
江苏省,苏州市,2013-01-25,165.96,182.75,49.67,73.58,2.21,26.97,1.6,-0.19,276.52,63.13,102460.78,216,五级
江苏省,苏州市,2013-01-26,160.61,168.35,54.61,84.24,1.95,29.75,1.75,-1.6,278.45,68.53,102286.58,211,五级
江苏省,苏州市,2013-01-27,59.74,61.91,22.3,53.35,0.87,41.4,-2.04,-2.94,277.28,70.49,102857.11,81,二级
江苏省,苏州市,2013-01-28,85.15,100.33,34.25,68.54,1.09,37.07,-2.58,5.49,279.21,65.55,102671.07,113,三级
江苏省,苏州市,2013-01-29,101.38,125.51,40.95,84.61,1.55,28.54,-0.99,3.04,281.41,68.35,102417.41,133,三级
江苏省,苏州市,2013-01-30,180.24,205.21,43.62,95.49,2.27,43.1,-3.42,2.28,282.41,68.33,102625.9,231,五级
江苏省,苏州市,2013-01-31,67.84,71.32,24.48,64.38,1.11,36.48,-4.82,6.23,285.12,79.42,102229.02,92,二级
江苏省,苏州市,2013-02-01,87.77,86.35,18.92,62.15,1.73,10.34,3.34,0.84,285.29,91.84,102139.18,116,三级
江苏省,苏州市,2013-02-02,69.73,78.01,17.94,34.95,1.41,43.96,-3.37,-5.3,278.12,79.84,103022.51,94,二级
江苏省,苏州市,2013-02-03,29.62,46.59,13.69,37.04,0.8,47.87,-5.53,4.17,281.4,83.98,102254.96,47,一级
江苏省,苏州市,2013-02-04,59.17,63.99,17.69,36.43,1.13,28.07,0.7,-3.64,281.44,87.58,102237.17,81,二级
江苏省,苏州市,2013-02-05,36.1,35.02,8.21,32.98,0.94,45.59,-3.63,-3.32,278.71,94.44,102062.85,52,二级
江苏省,苏州市,2013-02-06,53.89,55.36,14.35,29.48,1.02,43.05,0.52,-4.17,276.69,83.64,102351.09,74,二级
江苏省,苏州市,2013-02-07,57.2,63.69,21.36,20.44,0.91,53.42,-2.83,-9.52,274.96,80.22,102788.25,78,二级
