province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
江西省,上饶市,2013-01-01,62.64,79.37,29.57,19.81,0.72,44.06,-0.52,-0.39,276.33,52.61,100186.43,85,二级
江西省,上饶市,2013-01-02,75.24,96.77,25.9,30.35,0.88,32.18,-5.01,-5.36,277.88,63.03,100476.24,101,三级
江西省,上饶市,2013-01-03,35.67,50.32,15.63,17.39,0.63,42.19,-5.02,-6.91,272.71,57.87,101209.36,51,二级
江西省,上饶市,2013-01-04,55.84,59.28,20.5,26.83,0.87,25.84,-3.47,-4.12,271.52,84.94,100748.31,77,二级
江西省,上饶市,2013-01-05,60.64,63.08,22.84,29.1,0.88,27.43,-2.41,-2.97,272.4,85.22,100347.23,83,二级
江西省,上饶市,2013-01-06,64.81,68.85,28.26,38.76,1.07,25.24,-2.37,-2.6,273.31,88.58,100349.57,88,二级
江西省,上饶市,2013-01-07,72.13,78.63,28.83,33.22,1.07,28.46,-1.66,-1.88,274.42,86.35,100230.58,97,二级
江西省,上饶市,2013-01-08,114.09,119.04,38.38,42.3,1.26,26.14,-2.82,-3.12,274.87,74.1,100277.73,149,三级
江西省,上饶市,2013-01-09,136.73,154.79,53.82,56.61,1.39,34.78,-4.16,-4.35,275.11,62.89,100483.59,182,四级
江西省,上饶市,2013-01-10,104.13,115.94,32.19,40.12,1.03,36.07,-5.92,-3.57,276.16,66.88,100500.12,137,三级
江西省,上饶市,2013-01-11,97.86,104.91,24.05,31.27,0.85,30.93,-3.04,-1.09,276.91,74.05,100420.34,129,三级
江西省,上饶市,2013-01-12,91.57,103.2,21.09,21.6,0.9,35.64,-2.57,-1.95,278.96,76.15,100223.04,121,三级
江西省,上饶市,2013-01-13,70.94,79.7,19.06,22.6,0.9,37.28,-1.39,-1.52,279.33,88.58,99814.84,95,二级
江西省,上饶市,2013-01-14,62.03,76.86,20.19,22.85,1.03,43.41,-3.46,-2.17,279.18,77.31,100169.59,84,二级
江西省,上饶市,2013-01-15,86.85,94.12,22.95,23.23,0.87,36.54,-1.15,-0.19,280.59,64.86,100205.86,115,三级
江西省,上饶市,2013-01-16,108.86,120.54,28.2,24.6,1.12,41.8,-0.67,-2.37,280.33,70.96,100387.91,143,三级
江西省,上饶市,2013-01-17,138.92,168.6,34.01,33.51,1.18,37.2,-4.96,-5.16,277.18,60.44,101032.98,185,四级
江西省,上饶市,2013-01-18,67.11,80.37,17.95,22.35,0.7,40.42,-3.52,-2.67,275.53,48.09,101034.73,91,二级
江西省,上饶市,2013-01-19,75.2,85.02,17.1,22.89,0.7,45.1,-3.64,0.36,279.87,46.19,100389.94,101,三级
