province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
江西省,南昌市,2013-01-01,61.02,89.81,30.4,34.85,0.96,36.83,0.26,0.64,276.24,53.21,101997.0,83,二级
江西省,南昌市,2013-01-02,77.49,110.14,31.91,39.31,1.27,27.29,-3.76,-7.79,277.95,69.85,102310.09,104,三级
江西省,南昌市,2013-01-03,35.73,57.6,22.46,21.71,1.03,41.31,-4.78,-9.73,274.0,59.23,103121.18,54,二级
江西省,南昌市,2013-01-04,51.44,55.91,27.73,30.1,1.19,28.35,-3.17,-4.68,273.14,85.18,102626.12,71,二级
江西省,南昌市,2013-01-05,60.8,64.94,30.35,35.33,1.19,21.71,-1.42,-4.01,273.95,85.67,102209.84,83,二级
江西省,南昌市,2013-01-06,80.54,80.65,37.13,43.45,1.28,20.61,-1.44,-4.21,275.24,85.8,102199.29,107,三级
江西省,南昌市,2013-01-07,100.45,104.05,41.1,41.51,1.33,20.53,0.16,-2.89,275.56,86.39,102064.06,132,三级
江西省,南昌市,2013-01-08,126.75,130.93,53.48,52.0,1.57,16.28,-1.31,-4.97,276.8,72.06,102110.72,167,四级
江西省,南昌市,2013-01-09,135.49,156.86,77.94,78.68,1.7,35.2,-4.24,-5.62,277.24,59.2,102323.84,180,四级
江西省,南昌市,2013-01-10,122.56,135.26,44.41,55.33,1.56,44.75,-5.1,-4.29,277.84,66.1,102304.1,161,四级
江西省,南昌市,2013-01-11,113.56,117.59,33.02,47.27,1.2,21.5,-2.06,-1.0,277.55,83.59,102225.7,149,三级
江西省,南昌市,2013-01-12,95.34,103.79,32.42,33.34,1.2,30.33,-1.31,-2.2,279.97,75.46,102019.85,126,三级
江西省,南昌市,2013-01-13,94.78,106.36,29.69,31.1,1.31,38.38,-0.95,-2.08,281.3,80.29,101605.57,125,三级
江西省,南昌市,2013-01-14,76.44,92.02,18.04,32.61,1.44,35.56,-3.05,-3.49,281.08,77.38,101945.02,102,三级
江西省,南昌市,2013-01-15,71.02,83.28,26.04,37.62,1.21,19.76,-1.13,0.1,280.66,75.26,101992.68,96,二级
江西省,南昌市,2013-01-16,102.93,117.48,35.01,38.77,1.41,33.19,-0.03,-3.57,280.66,76.95,102209.76,135,三级
江西省,南昌市,2013-01-17,141.69,172.71,42.0,41.48,1.49,40.78,-4.45,-7.41,279.02,62.28,102871.58,189,四级
江西省,南昌市,2013-01-18,94.34,115.82,32.9,32.45,1.16,44.79,-3.83,-3.06,277.36,55.43,102867.32,125,三级
江西省,南昌市,2013-01-19,107.52,129.81,31.83,39.52,1.14,43.51,-2.64,0.72,280.18,54.92,102136.69,141,三级
江西省,南昌市,2013-01-20,72.04,100.51,22.77,35.89,1.07,36.85,-1.07,2.69,285.05,68.99,101777.88,97,二级
江西省,南昌市,2013-01-21,89.66,104.43,29.72,38.56,1.41,22.34,0.71,-5.72,281.16,86.67,102050.43,119,三级
江西省,南昌市,2013-01-22,106.94,125.89,40.19,31.33,1.47,29.05,-1.18,-5.7,279.56,69.5,102260.88,140,三级
江西省,南昌市,2013-01-23,127.84,148.77,36.24,27.2,1.41,32.48,0.02,-1.75,279.58,70.09,101995.64,169,四级
江西省,南昌市,2013-01-24,127.29,158.93,36.97,32.37,1.34,32.95,0.97,-2.62,280.71,74.9,101893.08,168,四级
江西省,南昌市,2013-01-25,126.68,155.79,30.56,32.3,1.16,54.79,-2.49,-2.2,280.46,61.49,102035.94,167,四级
江西省,南昌市,2013-01-26,107.39,154.4,18.92,26.33,1.38,31.47,-0.85,-2.28,281.65,61.37,101876.67,141,三级
江西省,南昌市,2013-01-27,131.92,183.0,38.59,38.13,1.34,46.8,-2.54,-4.6,282.04,58.16,102284.54,175,四级
江西省,南昌市,2013-01-28,204.69,255.69,38.9,59.17,1.46,51.82,-2.64,0.41,283.23,55.48,102053.87,255,五级
江西省,南昌市,2013-01-29,128.12,187.23,30.96,50.85,1.26,52.31,-1.25,-0.21,286.05,53.59,101882.17,169,四级
