province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河北省,廊坊市,2013-01-01,67.09,100.09,45.28,40.13,2.15,37.51,1.55,-7.91,262.33,40.31,102515.33,91,二级
河北省,廊坊市,2013-01-02,18.63,36.69,29.95,19.34,1.26,44.29,3.07,-7.61,259.83,34.19,103863.47,37,一级
河北省,廊坊市,2013-01-03,52.99,81.09,62.19,33.67,1.61,42.87,2.56,-4.73,261.5,39.01,104247.29,73,二级
河北省,廊坊市,2013-01-04,190.95,256.52,171.31,69.48,3.47,32.34,2.54,1.24,261.48,54.45,103347.96,241,五级
河北省,廊坊市,2013-01-05,208.69,238.37,143.4,72.47,3.43,41.26,1.08,-2.55,263.62,44.91,102921.08,259,五级
河北省,廊坊市,2013-01-06,178.54,228.58,124.67,87.54,3.56,19.62,0.35,-1.23,263.78,53.29,102892.28,229,五级
河北省,廊坊市,2013-01-07,296.7,387.77,171.88,104.63,5.32,30.05,-0.31,-1.31,265.01,53.4,102662.81,347,六级
河北省,廊坊市,2013-01-08,144.43,190.96,99.43,69.05,3.27,22.46,-1.62,-5.38,262.76,49.25,103244.89,193,四级
河北省,廊坊市,2013-01-09,91.39,128.68,82.92,56.39,2.06,27.75,1.43,-1.62,263.97,42.07,103163.96,121,三级
河北省,廊坊市,2013-01-10,288.75,365.71,151.19,79.0,4.0,15.82,-0.24,2.2,265.86,75.44,102802.22,339,六级
河北省,廊坊市,2013-01-11,326.79,418.63,162.55,99.19,4.45,15.07,0.83,-2.58,267.6,75.87,102438.45,377,六级
河北省,廊坊市,2013-01-12,476.83,600.47,157.11,116.96,6.5,19.3,-2.0,0.87,268.13,67.04,102413.76,600,六级
河北省,廊坊市,2013-01-13,202.54,248.75,112.3,72.85,4.32,12.09,-3.39,-3.61,267.58,80.13,102396.25,253,五级
河北省,廊坊市,2013-01-14,187.85,220.83,107.91,63.67,3.74,17.57,-3.05,0.48,268.94,73.0,102758.05,238,五级
河北省,廊坊市,2013-01-15,92.56,119.92,68.2,49.03,1.9,23.03,-1.29,-0.89,267.88,78.08,102614.49,122,三级
河北省,廊坊市,2013-01-16,161.96,204.0,78.05,57.54,3.06,18.51,-2.17,-4.19,266.97,45.86,103355.92,212,五级
河北省,廊坊市,2013-01-17,129.52,158.6,63.77,61.15,2.53,23.26,0.83,-1.77,267.17,45.8,103823.64,171,四级
河北省,廊坊市,2013-01-18,281.32,364.79,125.53,78.4,3.96,19.2,2.23,3.64,269.22,70.72,102873.04,332,六级
河北省,廊坊市,2013-01-19,273.37,366.38,118.35,84.0,4.69,18.34,-4.9,-2.1,269.31,70.6,102958.18,324,六级
河北省,廊坊市,2013-01-20,98.88,120.48,92.29,55.43,2.89,13.04,-3.85,-2.99,267.92,91.21,103022.07,130,三级
河北省,廊坊市,2013-01-21,195.87,230.75,107.37,80.51,4.22,12.95,-1.41,-3.16,268.86,77.97,102938.79,246,五级
河北省,廊坊市,2013-01-22,272.79,323.4,127.24,86.2,5.6,13.91,-1.32,-0.13,267.33,74.84,102949.2,323,六级
河北省,廊坊市,2013-01-23,195.17,294.36,125.0,81.8,4.12,19.26,1.46,-0.48,267.86,87.08,101872.36,246,五级
河北省,廊坊市,2013-01-24,92.63,130.55,69.46,61.88,2.28,30.67,0.67,-6.41,267.98,43.04,102456.73,123,三级
河北省,廊坊市,2013-01-25,74.21,113.46,71.1,52.32,2.32,19.46,-2.42,-1.64,264.6,53.5,102511.67,100,二级
河北省,廊坊市,2013-01-26,104.41,138.99,86.63,58.16,2.8,20.37,-1.49,-0.42,265.42,73.36,102793.31,137,三级
河北省,廊坊市,2013-01-27,211.96,259.38,86.71,64.45,3.32,22.01,-0.6,0.83,266.77,79.08,102804.49,262,五级
河北省,廊坊市,2013-01-28,249.03,352.29,112.65,71.77,3.46,19.72,0.1,0.56,270.25,85.94,102136.79,300,五级
河北省,廊坊市,2013-01-29,257.38,369.93,135.18,90.65,4.88,13.29,-1.57,-0.21,270.47,85.24,102404.82,308,六级
河北省,廊坊市,2013-01-30,177.68,264.55,89.46,75.4,4.35,12.47,-1.13,0.49,269.48,95.45,102490.24,228,五级
河北省,廊坊市,2013-01-31,188.0,274.73,118.33,77.12,5.7,6.72,-1.35,-2.26,270.28,96.35,102205.34,238,五级
河北省,廊坊市,2013-02-01,44.93,56.91,43.99,33.84,1.9,35.15,1.08,-8.06,270.86,49.93,102714.18,63,二级
河北省,廊坊市,2013-02-02,52.88,77.8,47.22,46.09,1.44,28.68,-0.84,-0.25,268.06,52.66,103345.7,73,二级
河北省,廊坊市,2013-02-03,127.38,133.96,73.68,49.04,2.3,10.58,-0.13,3.96,270.77,95.1,102123.04,168,四级
河北省,廊坊市,2013-02-04,60.71,71.99,39.25,29.8,1.33,41.27,-0.62,-4.81,269.55,46.01,102837.24,83,二级
河北省,廊坊市,2013-02-05,51.87,61.42,38.18,24.6,1.13,44.96,0.77,1.97,268.35,74.44,102520.58,72,二级
