province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河北省,石家庄市,2013-01-01,40.83,128.88,49.29,25.85,1.29,39.07,5.45,-5.99,264.87,31.76,99084.91,90,二级
河北省,石家庄市,2013-01-02,35.95,60.47,44.43,23.98,0.98,43.51,4.58,-5.6,261.13,27.69,100360.88,56,二级
河北省,石家庄市,2013-01-03,59.05,116.28,91.03,37.48,1.3,33.3,2.24,-1.37,262.91,29.63,100665.11,84,二级
河北省,石家庄市,2013-01-04,161.3,290.99,175.82,57.28,2.62,24.58,1.44,0.9,264.88,33.74,99755.02,212,五级
河北省,石家庄市,2013-01-05,206.15,421.4,213.51,77.19,3.6,25.94,0.53,-1.4,266.05,32.74,99383.22,302,六级
河北省,石家庄市,2013-01-06,288.27,493.69,223.63,87.88,4.19,22.96,-0.19,0.49,266.04,40.83,99351.42,393,六级
河北省,石家庄市,2013-01-07,334.84,593.45,232.81,96.72,4.65,26.71,-0.54,-1.19,267.4,48.02,99128.97,494,六级
河北省,石家庄市,2013-01-08,339.58,591.83,195.72,110.01,5.08,20.21,-1.09,-1.51,265.3,54.36,99679.59,492,六级
河北省,石家庄市,2013-01-09,178.89,310.44,155.08,74.4,3.19,21.13,0.47,1.25,266.34,45.03,99636.12,229,五级
河北省,石家庄市,2013-01-10,272.7,489.7,170.8,87.76,4.04,18.56,-0.43,0.48,268.91,53.62,99221.13,388,六级
河北省,石家庄市,2013-01-11,398.17,627.43,157.38,96.23,4.86,22.74,3.51,-2.67,270.87,50.74,99012.87,600,六级
河北省,石家庄市,2013-01-12,397.72,642.08,168.48,130.03,7.11,20.85,1.12,1.21,273.52,41.19,98858.39,600,六级
河北省,石家庄市,2013-01-13,352.47,592.18,158.55,121.36,5.89,14.37,-0.35,-2.85,269.52,64.15,98929.99,493,六级
河北省,石家庄市,2013-01-14,220.86,423.72,141.52,87.96,3.87,16.73,-1.09,-0.68,271.12,61.09,99216.33,305,六级
河北省,石家庄市,2013-01-15,176.17,318.07,103.25,77.07,3.11,19.6,0.18,-0.79,270.64,68.7,99115.54,227,五级
河北省,石家庄市,2013-01-16,253.67,568.61,161.5,91.06,4.91,11.68,-1.73,-1.18,269.05,63.67,99824.67,469,六级
河北省,石家庄市,2013-01-17,147.64,316.43,125.72,76.17,2.8,18.99,-0.01,1.69,269.54,50.98,100316.3,197,四级
河北省,石家庄市,2013-01-18,214.79,378.42,158.67,80.64,3.7,17.3,2.03,1.88,274.16,43.18,99387.4,265,五级
河北省,石家庄市,2013-01-19,317.98,516.66,155.17,101.98,4.7,11.15,-1.75,-3.49,270.34,60.43,99398.66,417,六级
河北省,石家庄市,2013-01-20,135.29,201.64,96.23,65.14,2.66,10.31,-1.25,-3.13,268.68,92.65,99468.86,179,四级
河北省,石家庄市,2013-01-21,197.94,297.0,135.47,74.64,3.53,11.33,-1.04,-1.43,269.98,83.79,99469.84,248,五级
河北省,石家庄市,2013-01-22,193.57,473.28,158.16,77.13,4.73,14.56,-0.74,0.12,268.63,76.06,99461.55,367,六级
河北省,石家庄市,2013-01-23,142.02,336.41,205.93,78.07,4.64,17.55,4.22,-1.18,272.36,62.13,98460.22,194,四级
河北省,石家庄市,2013-01-24,150.64,321.96,157.24,83.94,4.68,26.3,4.34,-3.51,270.8,41.55,99019.96,201,五级
河北省,石家庄市,2013-01-25,128.49,210.17,99.7,66.61,2.61,18.75,0.23,-2.07,265.6,68.27,98990.7,170,四级
河北省,石家庄市,2013-01-26,141.51,216.71,90.36,60.27,2.13,20.35,0.11,-0.74,268.29,74.99,99281.96,188,四级
河北省,石家庄市,2013-01-27,239.47,435.65,134.91,69.55,3.38,13.83,-0.27,0.76,270.88,72.92,99291.86,320,六级
河北省,石家庄市,2013-01-28,201.73,440.81,183.28,62.38,3.27,19.18,1.22,-0.7,274.84,62.17,98712.61,327,六级
河北省,石家庄市,2013-01-29,214.92,479.25,139.06,81.41,3.54,19.07,-0.69,-0.47,272.93,73.67,98967.13,375,六级
河北省,石家庄市,2013-01-30,204.84,420.8,151.33,86.95,3.75,13.44,-1.21,0.12,272.29,84.43,98985.43,302,六级
