province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河北省,衡水市,2013-01-01,123.47,243.78,97.1,48.72,2.38,37.25,0.79,-5.21,264.94,49.78,102419.83,163,四级
河北省,衡水市,2013-01-02,49.8,78.07,58.8,30.17,1.47,50.15,-0.09,-1.9,260.9,38.68,103821.34,69,二级
河北省,衡水市,2013-01-03,118.58,179.78,104.11,50.53,2.06,33.23,-0.66,0.29,261.93,41.93,104187.51,156,四级
河北省,衡水市,2013-01-04,119.21,182.35,156.57,61.38,2.13,23.91,0.67,4.06,264.27,45.3,103252.07,157,四级
河北省,衡水市,2013-01-05,229.6,335.68,202.94,80.3,3.2,20.75,-0.83,0.98,265.26,45.42,102794.5,280,五级
河北省,衡水市,2013-01-06,365.52,501.1,201.48,83.59,4.68,19.98,-0.99,-0.18,265.09,52.25,102781.2,411,六级
河北省,衡水市,2013-01-07,405.88,558.31,239.6,101.11,4.64,19.35,-2.15,-0.62,266.45,65.96,102495.18,459,六级
河北省,衡水市,2013-01-08,368.02,479.21,162.21,95.42,5.25,15.97,-2.31,-5.59,264.77,58.94,103049.33,413,六级
河北省,衡水市,2013-01-09,174.18,245.68,114.04,63.24,2.85,22.35,-0.89,0.8,265.12,52.29,103100.36,225,五级
河北省,衡水市,2013-01-10,254.38,394.65,164.86,83.36,3.3,11.12,-0.93,4.99,269.2,73.64,102636.94,305,六级
河北省,衡水市,2013-01-11,465.01,706.2,195.14,98.51,5.15,11.61,1.49,0.62,270.87,74.58,102338.16,600,六级
河北省,衡水市,2013-01-12,398.18,648.49,164.26,115.8,5.49,18.18,-0.73,4.71,272.56,63.36,102221.12,600,六级
河北省,衡水市,2013-01-13,292.63,436.07,113.82,86.73,4.82,10.56,-0.08,-3.39,270.04,80.66,102169.52,343,六级
河北省,衡水市,2013-01-14,212.15,351.84,100.57,83.45,3.18,10.3,-2.59,-0.25,270.74,79.64,102562.19,263,五级
河北省,衡水市,2013-01-15,168.12,252.17,95.56,69.08,2.61,16.66,-1.36,-0.21,270.53,77.35,102459.03,219,五级
河北省,衡水市,2013-01-16,233.95,361.45,122.36,73.61,3.95,11.28,-2.5,-4.35,269.4,56.39,103172.03,284,五级
河北省,衡水市,2013-01-17,267.02,348.48,113.84,76.31,4.03,20.89,-1.15,-0.34,268.68,44.63,103756.44,318,六级
河北省,衡水市,2013-01-18,185.36,281.52,103.14,64.69,2.37,19.37,2.05,7.22,272.7,57.08,102791.96,236,五级
河北省,衡水市,2013-01-19,297.48,442.52,144.58,85.21,3.28,9.68,-2.81,-0.66,271.79,71.33,102671.68,348,六级
