province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河南省,济源市,2013-01-01,39.74,85.13,35.0,22.04,0.91,37.79,1.41,-2.59,271.4,35.68,95607.15,68,二级
河南省,济源市,2013-01-02,58.48,90.91,52.65,32.4,1.26,23.48,-1.99,-0.6,265.63,43.43,96797.39,80,二级
河南省,济源市,2013-01-03,46.08,69.63,49.53,33.39,1.14,26.11,-0.21,-1.24,263.92,33.16,97177.48,64,二级
河南省,济源市,2013-01-04,87.24,137.13,60.67,43.26,1.17,13.71,0.06,-0.08,265.05,34.39,96371.19,116,三级
河南省,济源市,2013-01-05,112.45,161.51,74.76,39.64,1.55,25.26,0.03,-1.21,268.82,29.76,95933.47,147,三级
河南省,济源市,2013-01-06,172.79,217.59,100.46,55.49,1.95,12.58,-0.19,0.17,269.32,32.69,95930.73,223,五级
河南省,济源市,2013-01-07,147.76,180.98,78.62,48.5,2.43,17.32,0.13,-1.52,272.82,26.16,95670.88,197,四级
河南省,济源市,2013-01-08,306.15,381.8,143.33,69.02,5.12,15.03,-1.18,-0.71,271.29,39.76,96090.87,357,六级
河南省,济源市,2013-01-09,223.66,275.19,80.37,61.5,4.13,12.24,-0.92,0.5,268.45,50.5,96263.63,274,五级
河南省,济源市,2013-01-10,332.34,440.79,81.3,57.31,5.03,11.8,0.36,0.36,271.67,52.13,95920.86,383,六级
河南省,济源市,2013-01-11,157.56,208.56,55.18,30.61,2.67,40.88,4.5,-3.89,275.38,32.38,95849.74,208,五级
河南省,济源市,2013-01-12,105.64,136.72,46.04,43.11,2.48,33.06,0.61,-0.69,275.28,25.68,95681.8,139,三级
河南省,济源市,2013-01-13,245.81,303.2,93.21,64.86,5.11,16.79,-1.5,-0.28,274.68,43.18,95439.73,296,五级
河南省,济源市,2013-01-14,271.4,349.8,68.62,61.55,5.32,27.68,-1.46,-0.98,274.98,37.89,95798.83,322,六级
河南省,济源市,2013-01-15,110.9,147.48,37.2,36.06,3.23,25.84,2.41,-2.71,275.52,38.44,95788.0,145,三级
河南省,济源市,2013-01-16,177.73,271.43,68.96,48.09,5.23,20.84,-0.94,-1.52,273.47,44.65,96254.11,228,五级
河南省,济源市,2013-01-17,199.89,249.47,114.59,59.83,5.05,13.28,-0.05,1.02,269.43,70.0,96960.52,250,五级
河南省,济源市,2013-01-18,178.79,230.45,86.44,53.31,3.96,40.61,0.93,0.64,272.66,57.38,96279.75,229,五级
河南省,济源市,2013-01-19,202.03,273.56,79.26,51.38,4.16,30.58,-5.13,-1.17,274.07,61.12,95694.59,253,五级
河南省,济源市,2013-01-20,200.21,227.96,88.42,56.23,4.05,20.14,-2.33,0.66,270.7,92.11,95873.76,251,五级
河南省,济源市,2013-01-21,197.26,225.55,110.21,48.06,3.91,15.1,-0.13,-0.32,272.53,77.63,96008.72,248,五级
河南省,济源市,2013-01-22,247.6,331.98,127.22,62.42,5.42,10.6,-0.69,0.33,270.31,91.2,96106.96,298,五级
河南省,济源市,2013-01-23,112.89,134.69,64.12,36.31,3.12,42.91,4.39,-3.26,276.16,47.18,95354.18,148,三级
河南省,济源市,2013-01-24,32.21,39.68,29.76,14.88,1.23,46.19,5.24,-7.39,273.46,35.25,95839.38,47,一级
河南省,济源市,2013-01-25,45.19,65.37,58.37,24.35,1.31,38.57,3.98,-3.5,275.36,32.87,95591.43,63,二级
河南省,济源市,2013-01-26,115.81,148.56,103.8,43.02,3.52,23.54,-0.88,-0.48,273.38,51.71,95866.84,152,四级
河南省,济源市,2013-01-27,117.77,169.06,63.9,42.03,2.97,18.62,0.33,0.22,275.83,45.7,96037.48,154,四级
河南省,济源市,2013-01-28,110.94,152.79,48.07,34.19,3.73,25.34,2.42,-0.76,280.01,31.55,95472.96,145,三级
河南省,济源市,2013-01-29,185.89,249.04,74.41,50.96,3.85,16.64,-1.44,-0.95,278.68,42.73,95592.55,236,五级
