province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河南省,漯河市,2013-01-01,90.34,233.97,53.25,42.43,2.95,25.97,0.54,-3.27,273.78,40.58,101766.3,142,三级
河南省,漯河市,2013-01-02,55.05,87.02,26.78,26.9,2.67,27.33,-5.27,-6.23,268.49,44.96,103087.72,76,二级
河南省,漯河市,2013-01-03,54.36,86.1,33.23,29.03,2.56,26.92,-2.44,-3.42,266.31,36.87,103630.32,75,二级
河南省,漯河市,2013-01-04,82.96,120.6,35.83,35.88,2.72,25.65,-1.75,-0.18,267.9,30.26,102765.4,110,三级
河南省,漯河市,2013-01-05,130.37,207.57,51.39,46.94,3.59,26.45,-0.37,1.21,270.37,30.21,102205.03,172,四级
河南省,漯河市,2013-01-06,235.27,334.89,82.04,55.64,5.11,53.58,-0.63,0.93,271.16,41.13,102184.68,286,五级
河南省,漯河市,2013-01-07,183.7,260.5,83.12,51.41,2.62,20.71,1.17,1.55,273.64,36.14,101840.68,234,五级
河南省,漯河市,2013-01-08,479.4,585.64,141.82,101.75,7.02,11.88,-2.1,-5.26,272.8,53.05,102196.33,487,六级
河南省,漯河市,2013-01-09,218.77,263.36,74.56,64.84,4.31,15.61,-2.42,-3.25,271.83,59.15,102507.71,269,五级
河南省,漯河市,2013-01-10,308.22,428.78,58.43,70.75,3.59,21.08,-1.42,4.08,274.4,58.16,102183.91,359,六级
河南省,漯河市,2013-01-11,276.12,386.43,76.07,59.99,3.38,19.56,4.48,0.55,277.63,45.17,101972.58,327,六级
河南省,漯河市,2013-01-12,362.26,470.08,55.54,70.51,4.43,24.54,-0.66,2.0,276.57,35.75,101864.7,409,六级
河南省,漯河市,2013-01-13,257.66,326.38,58.9,52.74,4.38,23.93,-0.77,0.03,276.65,52.38,101491.55,308,六级
河南省,漯河市,2013-01-14,420.77,552.03,60.55,73.35,6.41,21.62,-1.61,-1.46,275.21,58.49,101931.55,453,六级
河南省,漯河市,2013-01-15,371.8,516.05,82.24,69.53,5.39,20.52,0.27,-1.21,276.48,60.14,101874.3,417,六级
河南省,漯河市,2013-01-16,347.29,520.48,72.31,78.62,6.07,15.71,-1.89,-3.71,274.24,60.16,102351.22,421,六级
河南省,漯河市,2013-01-17,151.4,191.92,59.83,46.44,3.56,17.29,-2.5,-3.93,272.6,59.84,103197.17,202,五级
河南省,漯河市,2013-01-18,152.96,213.77,42.18,40.35,2.47,25.07,0.31,4.74,274.48,57.03,102586.68,203,五级
河南省,漯河市,2013-01-19,175.71,260.5,52.36,42.71,3.33,33.76,-2.55,3.99,277.7,56.54,101828.71,226,五级
河南省,漯河市,2013-01-20,206.14,243.91,60.87,54.95,3.39,19.54,-2.84,-5.41,274.64,80.07,101904.25,257,五级
河南省,漯河市,2013-01-21,209.42,261.29,90.61,53.79,5.09,12.4,-0.17,-4.65,274.19,74.51,102178.05,260,五级
河南省,漯河市,2013-01-22,217.46,305.12,80.37,52.97,4.12,14.77,-1.35,-3.15,273.34,78.17,102300.93,268,五级
河南省,漯河市,2013-01-23,245.88,320.43,58.3,34.9,2.97,33.88,3.93,3.89,277.32,67.68,101506.94,296,五级
河南省,漯河市,2013-01-24,106.19,140.45,54.2,40.73,2.84,21.32,2.55,-5.27,277.53,41.57,101909.25,139,三级
河南省,漯河市,2013-01-25,66.37,113.97,57.39,39.84,1.89,18.58,3.49,0.11,278.1,37.72,101690.4,90,二级
河南省,漯河市,2013-01-26,145.46,179.04,61.79,42.9,3.35,19.56,-2.13,-5.03,274.51,59.98,101956.63,194,四级
河南省,漯河市,2013-01-27,180.22,244.64,54.63,44.31,2.72,18.1,-0.45,0.36,275.99,60.76,102211.11,231,五级
河南省,漯河市,2013-01-28,191.01,248.88,50.42,33.76,2.2,26.41,2.67,5.36,280.74,53.16,101574.21,242,五级
