province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河南省,驻马店市,2013-01-01,82.92,122.83,37.4,34.19,1.12,21.99,1.31,-2.94,274.55,45.44,101392.87,110,三级
河南省,驻马店市,2013-01-02,61.07,75.08,21.82,26.31,1.01,25.24,-6.12,-6.89,269.1,45.38,102620.14,83,二级
河南省,驻马店市,2013-01-03,65.84,82.61,23.07,21.99,1.04,31.08,-3.08,-4.91,266.67,36.68,103211.49,89,二级
河南省,驻马店市,2013-01-04,106.45,128.14,25.1,26.7,1.38,28.25,-2.53,-1.44,267.82,34.34,102385.0,140,三级
河南省,驻马店市,2013-01-05,145.32,178.96,29.71,28.05,1.64,31.89,-0.85,0.12,270.39,33.45,101852.35,194,四级
河南省,驻马店市,2013-01-06,228.5,271.73,42.67,31.53,2.25,36.2,-1.23,-0.08,271.38,38.12,101827.0,279,五级
河南省,驻马店市,2013-01-07,242.07,280.74,58.72,29.66,1.84,30.93,0.49,1.47,273.89,35.8,101518.18,293,五级
河南省,驻马店市,2013-01-08,393.77,443.21,76.01,47.02,3.38,18.74,-1.28,-4.07,273.81,47.74,101781.88,430,六级
河南省,驻马店市,2013-01-09,155.61,176.4,33.98,36.42,2.04,17.25,-2.49,-3.96,272.35,57.79,102108.35,206,五级
河南省,驻马店市,2013-01-10,192.4,226.7,35.47,32.97,1.91,22.09,-2.07,2.96,274.75,57.29,101854.59,243,五级
河南省,驻马店市,2013-01-11,178.7,211.03,62.26,31.54,1.64,22.5,3.07,0.53,277.45,48.37,101665.28,229,五级
河南省,驻马店市,2013-01-12,210.26,246.74,40.91,36.99,2.22,24.71,-0.8,0.51,276.69,36.8,101540.77,261,五级
河南省,驻马店市,2013-01-13,213.42,242.95,49.67,30.02,2.04,29.75,-0.66,0.42,277.77,52.27,101122.11,264,五级
河南省,驻马店市,2013-01-14,361.62,418.36,48.44,40.72,3.64,27.73,-1.78,-2.2,275.76,66.15,101561.13,408,六级
河南省,驻马店市,2013-01-15,300.73,352.66,54.86,37.24,2.87,26.25,0.45,-1.75,277.13,60.93,101516.94,351,六级
河南省,驻马店市,2013-01-16,318.09,389.37,61.52,46.1,3.46,20.94,-1.26,-4.29,275.24,57.63,101944.81,369,六级
河南省,驻马店市,2013-01-17,140.23,163.27,34.05,33.6,1.96,16.26,-3.03,-4.44,272.88,64.09,102791.95,187,四级
河南省,驻马店市,2013-01-18,131.6,158.31,33.79,28.74,1.57,22.22,-0.59,3.92,274.53,56.29,102272.12,174,四级
河南省,驻马店市,2013-01-19,135.78,169.36,51.94,28.52,1.75,26.04,-2.62,4.39,277.92,52.63,101480.34,180,四级
河南省,驻马店市,2013-01-20,193.74,222.2,37.95,46.29,2.0,11.44,-2.54,-4.27,275.39,84.5,101464.08,244,五级
河南省,驻马店市,2013-01-21,228.86,267.77,60.54,43.07,2.78,13.31,0.43,-5.19,274.32,75.88,101801.87,279,五级
河南省,驻马店市,2013-01-22,221.61,265.88,46.52,38.66,2.5,14.17,-1.54,-3.41,274.0,75.26,101922.62,272,五级
河南省,驻马店市,2013-01-23,222.67,255.33,52.61,24.91,1.79,31.23,3.27,4.6,277.59,67.57,101229.7,273,五级
河南省,驻马店市,2013-01-24,93.07,108.55,35.25,28.15,1.28,24.68,2.18,-5.39,277.75,45.21,101549.89,123,三级
河南省,驻马店市,2013-01-25,76.03,95.78,36.62,27.09,0.96,25.87,3.5,1.57,278.82,38.7,101367.38,102,三级
