province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
浙江省,嘉兴市,2013-01-01,68.38,82.57,34.97,63.55,1.92,22.96,3.59,0.3,277.06,55.06,102378.75,92,二级
浙江省,嘉兴市,2013-01-02,77.31,109.54,34.02,51.01,2.18,25.57,-1.28,-7.94,276.54,70.92,103002.78,103,三级
浙江省,嘉兴市,2013-01-03,50.07,53.79,30.85,39.21,1.69,32.76,1.82,-7.58,273.19,75.63,103612.29,69,二级
浙江省,嘉兴市,2013-01-04,68.06,62.43,33.73,53.96,1.62,23.6,0.28,-6.13,273.7,81.51,103100.09,92,二级
浙江省,嘉兴市,2013-01-05,91.2,79.46,39.75,63.51,1.81,17.1,0.61,-5.36,274.57,80.62,102642.06,121,三级
浙江省,嘉兴市,2013-01-06,101.23,85.65,42.22,60.1,1.78,17.41,0.66,-4.67,274.63,77.72,102641.8,133,三级
浙江省,嘉兴市,2013-01-07,148.73,137.02,62.34,79.69,2.2,10.44,1.36,-3.27,274.6,81.8,102500.72,199,四级
浙江省,嘉兴市,2013-01-08,153.56,144.97,71.42,81.18,2.25,21.92,1.24,-5.12,276.22,68.6,102528.3,204,五级
浙江省,嘉兴市,2013-01-09,127.75,119.24,69.26,67.29,2.03,24.79,-0.22,-6.27,276.57,72.3,102791.66,169,四级
浙江省,嘉兴市,2013-01-10,84.72,89.77,38.6,70.19,1.9,25.43,-1.93,-4.63,275.74,63.05,103000.75,113,三级
浙江省,嘉兴市,2013-01-11,72.9,72.71,25.86,71.25,1.42,26.82,-2.21,-1.2,277.81,76.08,102769.17,98,二级
浙江省,嘉兴市,2013-01-12,159.58,173.61,77.05,112.71,2.43,23.83,0.04,-1.38,278.88,73.36,102558.97,210,五级
浙江省,嘉兴市,2013-01-13,100.56,84.72,24.04,97.61,1.78,20.92,-1.55,-3.8,279.39,91.51,102073.3,132,三级
浙江省,嘉兴市,2013-01-14,135.02,128.0,37.15,80.69,2.41,21.83,1.62,-4.28,277.19,84.32,102467.28,179,四级
浙江省,嘉兴市,2013-01-15,131.53,130.22,27.3,84.37,2.36,28.47,-2.44,-0.32,278.0,85.55,102525.37,174,四级
浙江省,嘉兴市,2013-01-16,177.95,182.72,52.44,78.74,2.56,21.18,0.81,-3.23,277.26,89.39,102675.13,228,五级
浙江省,嘉兴市,2013-01-17,81.67,86.22,29.42,46.88,1.66,36.93,0.65,-7.32,275.31,67.99,103407.59,109,三级
浙江省,嘉兴市,2013-01-18,95.7,96.78,37.83,70.31,1.49,32.09,0.08,-3.21,274.18,62.52,103422.39,126,三级
浙江省,嘉兴市,2013-01-19,99.23,103.21,30.39,74.32,1.45,29.69,-3.34,1.1,277.66,71.27,102891.02,131,三级
浙江省,嘉兴市,2013-01-20,68.12,81.25,25.75,74.25,1.56,25.01,-4.13,2.84,283.55,88.89,102442.36,93,二级
