province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
浙江省,舟山市,2013-01-01,34.95,60.05,25.71,38.63,0.64,36.71,4.82,-0.62,279.68,52.31,102168.05,56,二级
浙江省,舟山市,2013-01-02,24.47,41.82,13.28,19.18,0.6,40.6,-0.86,-8.6,280.87,67.78,102604.49,42,一级
浙江省,舟山市,2013-01-03,12.16,17.32,4.74,4.6,0.35,63.38,0.47,-10.87,278.64,73.9,103121.69,32,一级
浙江省,舟山市,2013-01-04,14.56,17.85,3.81,3.69,0.4,65.16,-1.64,-8.48,278.79,76.39,102682.16,33,一级
浙江省,舟山市,2013-01-05,12.76,15.78,4.19,5.58,0.34,68.97,0.24,-7.98,279.35,79.95,102259.88,35,一级
浙江省,舟山市,2013-01-06,31.52,39.37,11.45,11.48,0.67,42.43,-0.54,-7.83,279.37,83.1,102275.19,46,一级
浙江省,舟山市,2013-01-07,52.7,63.16,17.89,23.78,0.81,37.01,1.36,-6.5,279.28,85.54,102158.31,73,二级
浙江省,舟山市,2013-01-08,37.46,40.42,10.45,10.01,0.45,61.35,0.84,-7.83,279.87,79.66,102156.75,54,二级
浙江省,舟山市,2013-01-09,40.86,56.93,13.85,9.82,0.62,40.65,-0.17,-9.54,279.65,70.97,102412.15,58,二级
浙江省,舟山市,2013-01-10,24.1,30.12,5.69,5.69,0.4,53.8,-1.3,-7.99,278.61,65.28,102693.43,35,一级
浙江省,舟山市,2013-01-11,14.34,18.73,2.84,5.05,0.32,70.58,-3.89,-2.49,281.13,72.71,102522.06,36,一级
浙江省,舟山市,2013-01-12,59.55,64.44,29.05,60.21,0.72,59.33,-0.88,-4.19,281.59,81.41,102325.31,81,二级
浙江省,舟山市,2013-01-13,24.69,35.98,5.41,7.55,0.46,46.63,-2.37,-8.23,281.42,91.63,101737.83,36,一级
浙江省,舟山市,2013-01-14,46.14,49.71,8.41,14.0,0.57,53.52,2.62,-9.44,279.99,74.64,102125.79,64,二级
浙江省,舟山市,2013-01-15,63.45,84.05,11.27,15.82,0.86,44.55,-2.0,-1.99,280.62,79.12,102321.55,86,二级
浙江省,舟山市,2013-01-16,110.91,116.59,17.9,34.07,1.0,46.2,1.24,-4.8,280.01,84.29,102372.49,145,三级
浙江省,舟山市,2013-01-17,34.17,45.66,7.06,9.53,0.52,47.86,2.12,-11.46,277.47,70.9,103010.02,49,一级
浙江省,舟山市,2013-01-18,25.03,28.32,6.77,11.47,0.36,57.61,1.02,-7.3,276.67,76.38,103116.7,36,一级
浙江省,舟山市,2013-01-19,15.6,16.93,2.92,5.95,0.29,68.72,-3.09,-0.42,279.36,78.11,102752.51,35,一级
浙江省,舟山市,2013-01-20,6.68,10.68,1.5,4.37,0.26,80.42,-5.54,3.83,284.54,91.33,102346.35,41,一级
浙江省,舟山市,2013-01-21,84.2,97.24,28.4,60.25,1.2,33.37,5.29,-0.81,282.51,95.46,102084.34,112,三级
浙江省,舟山市,2013-01-22,62.19,81.44,27.7,47.09,1.36,25.9,4.25,-7.48,278.09,83.37,102332.03,84,二级
浙江省,舟山市,2013-01-23,90.97,110.77,37.34,51.2,1.21,31.46,4.89,-5.17,277.69,75.24,102156.13,120,三级
浙江省,舟山市,2013-01-24,133.51,164.54,43.88,70.88,1.53,35.06,2.91,-2.28,279.44,74.18,101958.52,177,四级
浙江省,舟山市,2013-01-25,76.14,86.32,17.78,38.56,0.87,42.16,1.88,-4.47,277.82,65.4,102266.07,102,三级
浙江省,舟山市,2013-01-26,87.53,117.92,34.75,59.89,1.11,38.95,1.98,-2.08,279.76,67.12,102083.83,116,三级
浙江省,舟山市,2013-01-27,26.1,33.62,6.36,10.47,0.42,58.8,-1.21,-5.62,279.09,66.81,102597.43,38,一级
浙江省,舟山市,2013-01-28,13.3,16.71,4.6,4.67,0.3,62.94,-2.82,1.37,280.0,60.38,102604.31,32,一级
浙江省,舟山市,2013-01-29,10.74,15.02,3.72,10.88,0.31,75.01,-1.51,4.26,283.16,76.39,102314.08,38,一级
浙江省,舟山市,2013-01-30,22.11,28.73,6.42,21.18,0.41,67.35,-2.55,0.72,283.34,84.51,102516.22,34,一级
浙江省,舟山市,2013-01-31,13.16,21.87,3.16,6.78,0.29,71.1,-3.83,4.91,285.04,94.12,102220.57,36,一级
浙江省,舟山市,2013-02-01,38.47,53.66,13.3,38.99,0.73,37.72,2.35,3.27,285.98,90.12,102014.0,55,二级
浙江省,舟山市,2013-02-02,34.4,48.42,8.86,15.02,0.86,36.41,-1.53,-7.57,279.92,89.3,102713.77,50,一级
浙江省,舟山市,2013-02-03,9.64,16.42,1.99,2.85,0.26,62.42,-4.55,2.55,283.48,85.51,102182.58,32,一级
浙江省,舟山市,2013-02-04,39.65,52.61,16.03,26.35,0.83,29.41,2.18,-2.25,283.76,91.08,101995.53,56,二级
浙江省,舟山市,2013-02-05,26.32,36.68,6.01,10.7,0.49,46.77,-1.27,-0.8,282.37,96.8,101770.7,38,一级
浙江省,舟山市,2013-02-06,29.79,39.44,9.13,11.7,0.52,46.04,1.93,-7.02,279.12,85.86,102065.27,43,一级
浙江省,舟山市,2013-02-07,26.25,33.63,8.9,7.35,0.46,56.52,-2.33,-11.16,278.25,82.06,102309.36,38,一级
浙江省,舟山市,2013-02-08,5.09,9.76,1.73,1.84,0.23,78.86,-0.65,-10.4,276.18,77.4,102824.48,40,一级
浙江省,舟山市,2013-02-09,10.56,12.42,2.59,2.22,0.26,72.64,-0.14,-7.07,276.93,76.7,102684.55,37,一级
浙江省,舟山市,2013-02-10,25.3,22.96,4.06,2.4,0.3,70.4,-1.96,-5.2,278.42,76.89,102483.8,37,一级
浙江省,舟山市,2013-02-11,28.96,39.69,5.29,2.01,0.44,51.83,-6.01,-5.3,281.17,79.06,102487.94,42,一级
浙江省,舟山市,2013-02-12,21.73,27.92,5.42,5.55,0.37,56.95,-1.0,-8.3,280.3,87.72,102352.57,32,一级
浙江省,舟山市,2013-02-13,53.9,58.85,10.71,6.84,0.64,43.42,-2.76,-4.63,279.08,74.01,102473.6,74,二级
浙江省,舟山市,2013-02-14,35.85,41.19,3.92,4.58,0.49,54.2,-3.52,-1.47,281.75,95.41,101966.05,52,二级
浙江省,舟山市,2013-02-15,27.56,38.68,7.38,5.56,0.49,49.29,0.66,-8.58,279.85,83.74,102243.8,40,一级
