province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
浙江省,衢州市,2013-01-01,56.74,77.03,40.34,24.62,1.02,38.68,0.78,-0.26,276.49,44.77,98514.99,78,二级
浙江省,衢州市,2013-01-02,73.04,98.87,30.86,34.24,1.06,28.55,-5.46,-5.11,276.77,68.8,98866.43,98,二级
浙江省,衢州市,2013-01-03,32.87,47.26,17.7,19.56,0.74,44.12,-5.31,-6.22,271.57,64.38,99504.0,48,一级
浙江省,衢州市,2013-01-04,55.75,55.61,26.75,31.66,1.03,24.18,-4.55,-3.56,270.71,89.35,99048.61,76,二级
浙江省,衢州市,2013-01-05,60.01,57.87,33.87,34.91,1.06,27.75,-3.54,-2.86,271.16,91.58,98655.83,82,二级
浙江省,衢州市,2013-01-06,50.49,55.35,37.42,46.29,1.22,25.58,-3.28,-2.6,271.82,95.06,98666.31,70,二级
浙江省,衢州市,2013-01-07,62.59,67.71,38.78,44.9,1.29,19.88,-1.96,-2.38,272.67,92.12,98556.17,85,二级
浙江省,衢州市,2013-01-08,107.79,113.26,48.31,48.09,1.38,23.84,-2.65,-3.28,272.67,81.99,98608.83,141,三级
浙江省,衢州市,2013-01-09,131.2,146.14,56.43,49.14,1.37,31.11,-4.45,-4.21,273.73,70.6,98809.12,174,四级
浙江省,衢州市,2013-01-10,121.71,146.99,45.95,45.0,1.22,28.45,-6.25,-3.25,274.48,76.11,98899.66,160,四级
浙江省,衢州市,2013-01-11,127.95,153.17,43.1,46.61,1.25,23.48,-3.3,-1.35,276.22,71.0,98787.42,169,四级
浙江省,衢州市,2013-01-12,115.34,139.88,36.09,39.53,1.25,26.22,-3.24,-2.04,277.66,76.41,98604.49,151,四级
浙江省,衢州市,2013-01-13,80.38,89.67,26.7,40.93,1.24,26.63,-1.96,-1.86,277.72,93.84,98170.96,107,三级
浙江省,衢州市,2013-01-14,56.8,72.95,24.48,25.01,1.08,46.81,-3.37,-2.52,277.12,83.24,98554.15,78,二级
浙江省,衢州市,2013-01-15,123.17,134.15,32.73,33.55,1.15,35.86,-0.87,-0.37,279.57,65.0,98585.45,162,四级
浙江省,衢州市,2013-01-16,125.78,137.31,33.24,32.85,1.31,40.67,-1.04,-2.18,279.52,67.07,98735.24,166,四级
浙江省,衢州市,2013-01-17,147.54,190.05,41.85,38.52,1.34,42.25,-4.99,-4.87,275.2,67.73,99371.85,197,四级
浙江省,衢州市,2013-01-18,69.98,93.56,26.98,33.42,0.94,41.43,-4.24,-2.53,273.66,51.59,99370.32,94,二级
浙江省,衢州市,2013-01-19,87.38,107.73,27.37,37.85,1.19,40.38,-3.11,0.29,278.79,50.92,98806.8,116,三级
浙江省,衢州市,2013-01-20,70.13,103.09,28.09,29.43,1.23,46.66,-1.01,3.03,285.53,69.14,98524.0,94,二级
浙江省,衢州市,2013-01-21,83.32,105.75,27.11,33.11,1.41,34.61,1.44,-0.08,283.3,89.96,98521.28,111,三级
浙江省,衢州市,2013-01-22,50.46,53.65,27.75,39.97,1.38,24.74,-1.32,-2.42,277.81,79.59,98721.7,70,二级
浙江省,衢州市,2013-01-23,84.0,86.25,26.58,26.46,1.25,41.65,-0.2,-0.39,277.98,76.15,98519.43,112,三级
浙江省,衢州市,2013-01-24,106.16,117.48,31.97,26.11,1.44,38.67,1.55,0.13,278.88,78.3,98385.11,139,三级
浙江省,衢州市,2013-01-25,122.41,144.98,31.23,31.98,1.25,51.87,-1.88,-1.73,277.8,64.3,98581.66,161,四级
浙江省,衢州市,2013-01-26,99.79,120.66,27.83,31.69,1.13,50.44,0.0,-1.34,280.25,49.85,98426.39,131,三级
浙江省,衢州市,2013-01-27,134.87,164.33,37.14,40.28,1.02,58.14,-3.51,-2.63,279.2,57.95,98849.96,179,四级
浙江省,衢州市,2013-01-28,149.69,176.36,25.02,42.55,1.05,50.54,-2.95,0.44,280.8,55.93,98730.33,200,四级
浙江省,衢州市,2013-01-29,90.96,103.82,23.68,32.19,0.95,55.8,0.28,1.29,283.97,57.33,98577.75,120,三级
浙江省,衢州市,2013-01-30,75.59,83.35,13.18,26.0,0.69,57.76,-3.61,0.84,285.15,55.19,98673.19,101,三级
浙江省,衢州市,2013-01-31,63.83,78.96,13.4,24.07,0.71,58.53,-0.27,4.35,287.32,66.67,98440.5,87,二级
浙江省,衢州市,2013-02-01,68.11,90.19,21.64,26.32,0.95,45.09,2.68,2.12,288.26,80.68,98408.38,92,二级
浙江省,衢州市,2013-02-02,74.19,85.98,18.89,44.23,1.55,25.78,-5.76,-3.26,283.07,88.47,98845.67,99,二级
浙江省,衢州市,2013-02-03,53.95,78.58,12.98,21.99,0.99,45.93,-2.35,1.5,286.37,80.75,98341.35,74,二级
浙江省,衢州市,2013-02-04,59.27,87.28,12.33,23.56,1.09,32.83,-0.87,0.54,287.38,89.99,98287.5,81,二级
浙江省,衢州市,2013-02-05,35.51,57.75,13.33,29.93,1.13,27.18,2.28,0.37,285.98,91.76,98119.52,54,二级
浙江省,衢州市,2013-02-06,37.96,51.87,16.05,22.59,0.97,26.61,-2.78,-2.89,281.32,78.48,98315.45,54,二级
浙江省,衢州市,2013-02-07,22.52,34.88,13.77,21.51,0.82,30.14,-7.8,-6.34,276.52,89.0,98410.14,35,一级
浙江省,衢州市,2013-02-08,21.32,26.55,11.14,12.69,0.45,53.33,-5.91,-5.4,269.99,86.61,99151.09,31,一级
浙江省,衢州市,2013-02-09,49.8,58.06,15.24,10.83,0.58,51.23,-3.3,-2.24,270.66,85.47,98989.25,69,二级
浙江省,衢州市,2013-02-10,124.93,119.55,16.03,9.35,0.69,45.62,-3.47,-1.96,275.05,80.14,98675.3,165,四级
浙江省,衢州市,2013-02-11,67.43,75.03,12.05,9.32,0.67,49.62,-5.38,-2.59,277.21,91.49,98644.11,91,二级
