province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
海南省,临高县,2013-01-01,34.48,46.93,12.58,16.67,0.33,58.19,-3.77,-2.8,289.64,74.32,101108.26,50,一级
海南省,临高县,2013-01-02,52.31,67.66,12.46,31.68,0.35,45.4,-4.78,-0.5,291.94,87.53,101011.01,72,二级
海南省,临高县,2013-01-03,46.95,61.69,11.36,18.86,0.42,51.98,-6.46,-5.2,290.7,87.0,101325.31,65,二级
海南省,临高县,2013-01-04,42.36,48.38,8.55,17.08,0.38,37.5,-5.58,-5.56,289.05,87.3,101237.99,60,二级
海南省,临高县,2013-01-05,41.82,50.22,7.88,19.48,0.37,34.95,-4.22,-4.08,289.29,88.16,100994.38,59,二级
海南省,临高县,2013-01-06,52.08,63.66,8.72,15.4,0.44,37.17,-3.18,-4.68,288.75,86.53,101096.12,72,二级
海南省,临高县,2013-01-07,50.96,58.13,8.28,14.98,0.46,45.6,-3.67,-3.26,289.5,86.27,101023.4,70,二级
海南省,临高县,2013-01-08,63.71,73.43,9.41,15.55,0.7,56.29,-3.07,-3.29,289.98,86.21,100979.33,86,二级
海南省,临高县,2013-01-09,58.57,71.41,10.93,14.01,0.8,41.8,-3.31,-5.35,289.19,80.71,101090.8,80,二级
海南省,临高县,2013-01-10,58.25,74.7,13.02,13.8,0.72,50.56,-5.02,-3.94,289.48,82.3,101109.09,80,二级
海南省,临高县,2013-01-11,112.26,124.48,15.54,20.87,1.1,52.03,-4.5,-4.46,290.29,86.07,101134.48,147,三级
海南省,临高县,2013-01-12,117.68,127.93,11.42,19.86,1.2,50.0,-3.24,-5.37,290.26,81.16,101085.23,154,四级
海南省,临高县,2013-01-13,65.02,78.31,9.55,9.81,0.92,65.17,-0.71,-3.17,289.96,76.31,100871.15,88,二级
海南省,临高县,2013-01-14,65.88,80.24,11.01,26.78,1.12,73.78,-4.1,-0.38,291.31,73.7,100943.31,89,二级
海南省,临高县,2013-01-15,32.37,44.41,5.06,17.81,0.32,77.35,-6.18,-0.7,292.01,77.88,101119.6,47,一级
海南省,临高县,2013-01-16,38.54,56.9,6.11,13.46,0.33,67.22,-5.47,-1.06,292.01,85.12,101241.97,55,二级
海南省,临高县,2013-01-17,41.65,59.56,11.3,12.06,0.47,83.72,-6.11,-3.37,291.83,80.74,101460.26,59,二级
海南省,临高县,2013-01-18,70.65,93.1,16.12,12.78,0.77,71.96,-6.43,-5.12,290.47,75.69,101656.55,95,二级
海南省,临高县,2013-01-19,48.95,69.55,8.61,13.78,0.43,73.81,-5.88,-0.17,290.91,80.77,101285.7,68,二级
海南省,临高县,2013-01-20,33.74,58.97,3.78,22.61,0.26,58.9,-4.12,0.45,292.32,88.9,101091.56,55,二级
海南省,临高县,2013-01-21,21.98,37.24,3.76,12.49,0.23,66.9,-3.29,-0.82,293.35,89.36,101096.18,38,一级
海南省,临高县,2013-01-22,26.22,40.62,7.52,18.99,0.38,60.13,-3.91,-1.74,292.64,91.86,101114.12,41,一级
海南省,临高县,2013-01-23,38.46,58.83,11.18,17.65,0.58,65.18,-5.08,-2.19,292.26,87.78,101079.01,55,二级
海南省,临高县,2013-01-24,43.33,66.74,8.45,30.46,0.72,55.12,-3.46,-0.76,292.51,89.87,101001.66,61,二级
海南省,临高县,2013-01-25,79.3,96.49,13.04,14.96,0.98,72.93,-5.05,-3.24,291.65,86.56,101083.02,106,三级
海南省,临高县,2013-01-26,61.36,83.83,8.92,19.61,0.82,69.28,-3.51,0.51,292.7,87.86,100952.26,83,二级
海南省,临高县,2013-01-27,51.21,62.05,10.4,16.55,1.08,61.28,-5.25,-3.2,292.01,89.29,101197.37,71,二级
海南省,临高县,2013-01-28,44.12,61.73,8.2,15.51,0.63,75.14,-6.46,-0.48,292.42,80.63,101189.65,62,二级
海南省,临高县,2013-01-29,33.4,62.66,4.28,14.71,0.48,61.74,-5.37,0.44,292.97,86.33,101149.91,57,二级
海南省,临高县,2013-01-30,18.03,32.64,3.03,14.2,0.34,61.03,-6.57,0.91,293.8,83.73,101183.55,33,一级
