province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
海南省,儋州市,2013-01-01,36.73,44.77,12.2,12.78,0.34,56.38,-3.93,-1.5,288.86,76.17,100809.28,53,二级
海南省,儋州市,2013-01-02,48.68,57.5,11.35,18.22,0.35,49.46,-4.67,0.15,291.77,87.43,100703.94,68,二级
海南省,儋州市,2013-01-03,46.24,57.12,11.29,14.35,0.42,52.51,-6.59,-4.38,290.56,87.98,101010.09,65,二级
海南省,儋州市,2013-01-04,43.94,49.05,8.52,12.63,0.4,40.6,-5.62,-4.83,288.93,87.97,100928.69,62,二级
海南省,儋州市,2013-01-05,42.83,49.73,7.69,13.81,0.38,38.34,-4.63,-3.07,289.17,88.15,100687.54,60,二级
海南省,儋州市,2013-01-06,52.12,61.78,8.17,10.9,0.44,43.06,-3.86,-3.56,288.55,87.75,100793.26,72,二级
海南省,儋州市,2013-01-07,54.01,61.0,8.25,10.78,0.47,47.07,-4.17,-2.43,289.11,86.74,100723.19,74,二级
海南省,儋州市,2013-01-08,65.98,73.68,9.06,11.45,0.59,54.32,-3.72,-2.01,289.45,88.0,100680.81,89,二级
海南省,儋州市,2013-01-09,60.34,72.26,10.29,9.51,0.75,46.5,-3.86,-4.25,288.91,83.14,100791.16,82,二级
海南省,儋州市,2013-01-10,62.55,78.78,12.94,10.65,0.68,51.37,-4.87,-3.29,289.08,83.91,100804.64,85,二级
海南省,儋州市,2013-01-11,113.74,119.92,14.62,15.34,0.92,52.16,-4.6,-3.67,289.64,88.0,100831.83,149,三级
海南省,儋州市,2013-01-12,107.71,106.84,10.72,12.49,0.96,54.51,-4.09,-4.8,290.04,82.69,100781.04,141,三级
海南省,儋州市,2013-01-13,64.78,76.47,9.3,7.04,0.72,68.61,-1.76,-2.38,289.67,80.72,100579.07,88,二级
海南省,儋州市,2013-01-14,65.29,74.72,9.96,15.41,0.84,74.04,-4.33,0.24,290.92,74.09,100637.56,88,二级
海南省,儋州市,2013-01-15,29.44,36.91,4.11,8.76,0.31,73.15,-6.03,-0.17,291.97,77.53,100802.56,43,一级
海南省,儋州市,2013-01-16,33.15,43.29,4.55,8.56,0.32,66.79,-5.49,-0.62,291.92,84.5,100931.51,48,一级
海南省,儋州市,2013-01-17,40.87,55.36,10.95,8.87,0.45,80.14,-6.1,-2.8,291.55,82.61,101147.46,58,二级
海南省,儋州市,2013-01-18,71.07,91.75,16.22,9.87,0.75,70.7,-6.39,-4.6,290.43,76.6,101342.12,96,二级
海南省,儋州市,2013-01-19,49.85,63.76,8.59,7.88,0.45,68.56,-6.04,0.06,290.69,81.29,100974.06,69,二级
海南省,儋州市,2013-01-20,22.43,34.94,2.36,9.08,0.25,62.89,-4.3,0.91,292.51,86.65,100783.37,35,一级
海南省,儋州市,2013-01-21,16.06,24.49,2.09,5.56,0.22,67.89,-3.45,-0.53,293.07,88.08,100796.03,34,一级
海南省,儋州市,2013-01-22,25.14,36.37,6.35,13.41,0.33,58.91,-3.95,-1.4,292.39,91.53,100811.13,37,一级
海南省,儋州市,2013-01-23,39.98,58.97,11.0,13.01,0.56,62.97,-4.76,-1.5,292.22,87.91,100772.71,57,二级
海南省,儋州市,2013-01-24,47.16,68.97,7.85,15.1,0.64,58.23,-3.46,-0.77,292.43,89.35,100697.6,66,二级
海南省,儋州市,2013-01-25,74.73,89.85,12.2,9.23,0.8,71.21,-4.94,-2.72,292.1,85.71,100765.07,100,二级
海南省,儋州市,2013-01-26,67.21,88.32,9.78,11.44,0.73,69.66,-2.57,-0.61,292.51,88.63,100653.75,91,二级
海南省,儋州市,2013-01-27,55.19,67.0,11.21,11.22,0.88,61.65,-5.36,-3.15,292.26,89.03,100876.12,76,二级
海南省,儋州市,2013-01-28,46.01,60.12,8.29,7.99,0.54,72.18,-6.78,-0.28,292.46,80.78,100865.87,64,二级
海南省,儋州市,2013-01-29,30.07,45.56,3.35,6.21,0.37,67.45,-5.31,0.68,293.2,83.68,100832.54,46,一级
海南省,儋州市,2013-01-30,14.02,23.13,1.81,5.82,0.26,68.78,-6.13,1.09,293.99,82.16,100861.74,35,一级
海南省,儋州市,2013-01-31,14.59,22.48,1.79,4.39,0.25,73.07,-5.17,1.69,294.55,78.66,100810.28,37,一级
海南省,儋州市,2013-02-01,14.91,23.04,1.87,5.44,0.25,70.3,-4.42,0.07,294.28,80.43,100807.71,36,一级
海南省,儋州市,2013-02-02,19.0,24.39,3.7,10.33,0.28,66.26,-4.62,-0.72,292.86,89.07,100843.48,34,一级
海南省,儋州市,2013-02-03,23.89,32.34,6.11,9.53,0.34,61.37,-2.28,-1.02,294.22,86.9,100648.4,35,一级
海南省,儋州市,2013-02-04,16.2,25.53,3.22,8.48,0.36,50.53,-3.98,-0.29,295.0,91.93,100707.18,26,一级
海南省,儋州市,2013-02-05,15.34,20.64,2.08,5.76,0.28,52.69,-1.34,-0.66,295.39,88.0,100707.9,27,一级
海南省,儋州市,2013-02-06,15.53,19.09,2.07,4.46,0.22,53.19,-1.61,1.06,295.23,88.35,100478.74,27,一级
海南省,儋州市,2013-02-07,10.01,13.89,1.46,4.0,0.19,48.78,-1.38,0.45,295.95,76.37,100096.5,25,一级
海南省,儋州市,2013-02-08,14.58,27.01,5.78,7.21,0.35,54.86,-5.5,-2.97,293.77,89.41,100526.64,28,一级
海南省,儋州市,2013-02-09,27.81,41.19,8.98,10.28,0.58,40.2,-5.63,-4.7,290.12,89.92,100968.02,42,一级
海南省,儋州市,2013-02-10,29.46,40.35,8.73,6.48,0.41,56.24,-6.06,-1.61,291.74,85.85,100821.77,43,一级
海南省,儋州市,2013-02-11,23.53,31.05,4.47,4.47,0.32,62.85,-5.35,1.1,293.27,83.99,100658.07,34,一级
海南省,儋州市,2013-02-12,22.11,32.15,5.03,5.96,0.33,65.53,-5.35,-1.96,293.24,87.01,100783.93,33,一级
海南省,儋州市,2013-02-13,30.68,47.91,9.51,7.01,0.51,58.51,-5.61,-2.5,291.77,85.66,100758.61,48,一级
海南省,儋州市,2013-02-14,30.85,44.85,5.12,6.03,0.41,57.33,-4.08,0.27,293.65,87.2,100525.86,45,一级
