province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
海南省,屯昌县,2013-01-01,42.57,55.39,13.91,19.45,0.34,52.05,-0.89,-2.76,288.31,80.91,99988.87,60,二级
海南省,屯昌县,2013-01-02,49.57,60.85,9.81,22.1,0.34,51.91,-2.8,-1.46,290.92,93.34,99914.8,69,二级
海南省,屯昌县,2013-01-03,43.19,56.34,11.12,17.47,0.4,55.94,-4.78,-4.85,290.9,89.66,100182.85,61,二级
海南省,屯昌县,2013-01-04,44.77,50.45,9.6,20.78,0.39,28.74,-3.49,-5.2,288.79,90.2,100093.67,63,二级
海南省,屯昌县,2013-01-05,45.66,54.42,9.24,25.24,0.39,19.56,-2.82,-3.48,289.02,90.7,99870.56,64,二级
海南省,屯昌县,2013-01-06,52.49,63.21,9.85,18.15,0.43,28.48,-1.49,-3.84,288.11,93.17,99961.25,72,二级
海南省,屯昌县,2013-01-07,52.61,59.49,9.33,17.62,0.46,35.28,-1.32,-3.18,288.78,91.05,99901.53,73,二级
海南省,屯昌县,2013-01-08,69.82,79.45,11.34,19.38,0.72,45.07,-0.67,-2.61,289.07,92.97,99864.38,94,二级
海南省,屯昌县,2013-01-09,56.74,68.65,11.22,16.05,0.82,33.1,-1.93,-3.93,288.71,90.19,99951.58,78,二级
海南省,屯昌县,2013-01-10,59.74,75.86,13.12,15.44,0.72,43.87,-2.64,-3.55,288.56,89.12,99983.47,81,二级
海南省,屯昌县,2013-01-11,101.17,111.52,14.28,21.51,1.03,49.69,-3.1,-4.16,289.96,91.08,99999.47,133,三级
海南省,屯昌县,2013-01-12,102.76,109.09,12.24,24.1,1.16,42.33,-2.1,-4.5,289.98,86.92,99949.95,135,三级
海南省,屯昌县,2013-01-13,61.92,74.0,10.48,13.72,0.9,56.33,1.28,-3.19,289.06,81.02,99753.38,84,二级
海南省,屯昌县,2013-01-14,66.93,80.15,10.59,29.32,1.18,68.19,-2.56,-0.75,290.25,77.51,99847.64,90,二级
海南省,屯昌县,2013-01-15,28.78,38.94,3.44,9.62,0.3,76.07,-4.5,-1.26,291.41,81.36,100012.98,42,一级
海南省,屯昌县,2013-01-16,32.46,45.91,3.39,8.74,0.3,69.51,-3.53,-2.06,291.15,88.82,100135.48,47,一级
海南省,屯昌县,2013-01-17,37.74,53.06,10.01,9.74,0.44,84.07,-4.39,-4.04,290.97,84.75,100334.26,54,二级
海南省,屯昌县,2013-01-18,68.24,90.08,15.89,12.59,0.75,66.94,-4.5,-5.08,289.63,82.62,100516.84,92,二级
海南省,屯昌县,2013-01-19,42.86,60.11,6.76,9.28,0.4,72.55,-4.08,-1.9,289.85,87.47,100181.05,60,二级
海南省,屯昌县,2013-01-20,23.82,41.47,1.86,12.79,0.24,58.88,-2.59,-0.01,292.03,90.92,99995.04,42,一级
海南省,屯昌县,2013-01-21,19.45,31.79,2.06,8.12,0.22,65.75,-1.83,-1.75,292.88,90.86,99995.38,33,一级
海南省,屯昌县,2013-01-22,22.31,34.12,5.26,16.79,0.34,60.34,-2.39,-2.08,292.38,91.64,100005.95,35,一级
海南省,屯昌县,2013-01-23,36.74,56.69,10.78,16.08,0.57,61.8,-3.25,-2.24,291.82,90.33,99969.08,54,二级
海南省,屯昌县,2013-01-24,39.16,60.7,6.14,20.75,0.68,54.27,-2.47,-1.22,292.14,92.08,99897.65,56,二级
海南省,屯昌县,2013-01-25,71.86,87.4,11.53,12.76,0.88,74.75,-3.26,-2.17,291.48,89.58,99967.69,97,二级
海南省,屯昌县,2013-01-26,55.59,75.74,7.68,10.84,0.75,75.12,-3.34,0.85,292.15,89.2,99862.02,76,二级
海南省,屯昌县,2013-01-27,48.21,57.41,8.74,13.25,1.01,69.69,-3.72,-2.58,291.69,92.84,100077.47,67,二级
海南省,屯昌县,2013-01-28,44.72,61.59,6.69,9.45,0.6,75.54,-4.66,-0.95,291.31,87.66,100092.87,63,二级
海南省,屯昌县,2013-01-29,26.01,46.79,2.46,7.79,0.39,65.44,-4.36,0.02,292.4,89.01,100056.93,47,一级
海南省,屯昌县,2013-01-30,13.71,24.6,1.5,6.93,0.28,64.89,-5.47,0.52,293.11,87.1,100098.48,33,一级
海南省,屯昌县,2013-01-31,14.18,24.0,1.56,5.33,0.26,68.51,-4.93,1.98,293.58,84.59,100051.86,35,一级
海南省,屯昌县,2013-02-01,16.49,27.15,1.48,7.06,0.29,69.71,-3.57,-0.02,293.43,87.01,100025.54,35,一级
海南省,屯昌县,2013-02-02,19.82,25.53,3.28,13.42,0.33,68.13,-2.87,-1.75,292.64,90.98,100049.39,35,一级
海南省,屯昌县,2013-02-03,20.47,29.25,4.93,12.23,0.4,60.69,-1.78,-0.62,294.03,92.46,99854.15,31,一级
海南省,屯昌县,2013-02-04,14.13,22.35,2.17,9.03,0.4,53.66,-2.44,-0.34,294.53,95.46,99935.86,27,一级
海南省,屯昌县,2013-02-05,10.82,15.7,1.46,6.96,0.3,48.97,-2.11,0.49,294.91,90.52,99920.59,25,一级
海南省,屯昌县,2013-02-06,9.87,13.02,1.43,4.44,0.21,49.35,-2.14,1.62,294.02,92.0,99720.37,25,一级
海南省,屯昌县,2013-02-07,6.65,10.06,1.16,3.2,0.17,47.25,-2.94,4.06,294.83,88.01,99353.03,24,一级
海南省,屯昌县,2013-02-08,9.12,18.61,4.54,6.54,0.33,57.14,-4.03,-1.85,293.38,92.43,99732.5,29,一级
海南省,屯昌县,2013-02-09,19.75,30.96,8.95,11.56,0.76,37.42,-3.98,-4.77,290.24,92.1,100135.72,31,一级
海南省,屯昌县,2013-02-10,25.94,37.0,7.44,6.16,0.47,57.27,-4.22,-2.31,291.25,89.9,100030.78,38,一级
海南省,屯昌县,2013-02-11,20.81,29.07,3.76,4.92,0.32,57.82,-3.82,0.05,292.36,89.59,99886.28,30,一级
海南省,屯昌县,2013-02-12,19.04,29.83,4.22,6.21,0.32,61.85,-4.06,-2.72,292.66,90.79,99982.52,31,一级
海南省,屯昌县,2013-02-13,24.04,41.76,8.85,7.54,0.55,53.25,-4.04,-3.52,291.53,87.65,99949.85,42,一级
海南省,屯昌县,2013-02-14,24.9,40.98,4.14,8.07,0.43,49.2,-2.64,-0.98,293.15,93.03,99739.94,41,一级
海南省,屯昌县,2013-02-15,28.52,44.25,4.2,8.73,0.47,54.98,-2.38,-2.18,293.56,94.38,99772.94,45,一级
海南省,屯昌县,2013-02-16,28.64,42.78,7.92,8.7,0.65,49.14,-4.11,-1.54,293.14,88.51,99781.3,43,一级
海南省,屯昌县,2013-02-17,19.25,33.14,1.88,5.61,0.34,49.77,-3.37,1.53,293.92,90.36,99535.47,34,一级
海南省,屯昌县,2013-02-18,15.68,24.09,1.41,4.08,0.28,59.82,-2.74,3.25,294.47,90.04,99368.55,30,一级
海南省,屯昌县,2013-02-19,11.68,17.42,1.58,4.46,0.23,53.54,-2.97,0.71,293.82,87.67,99483.63,27,一级
海南省,屯昌县,2013-02-20,21.92,38.67,8.23,9.64,0.51,53.12,-4.5,-3.22,292.36,90.25,99860.76,39,一级
海南省,屯昌县,2013-02-21,18.85,35.16,5.09,5.75,0.34,73.66,-4.87,-3.2,292.72,90.33,99949.6,37,一级
海南省,屯昌县,2013-02-22,37.98,46.91,8.7,8.85,0.64,79.7,-3.8,-5.24,291.76,84.47,100154.15,54,二级
海南省,屯昌县,2013-02-23,40.89,53.5,10.0,13.1,0.65,55.63,-3.08,-4.68,290.91,86.12,100166.02,58,二级
海南省,屯昌县,2013-02-24,25.76,39.99,3.46,7.37,0.39,77.26,-3.94,-2.75,292.54,93.41,99943.1,40,一级
海南省,屯昌县,2013-02-25,29.83,67.11,1.67,6.91,0.37,71.31,-4.68,0.08,294.94,93.19,99798.82,59,二级
