province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
海南省,昌江黎族自治县,2013-01-01,28.32,32.25,11.15,6.47,0.32,60.74,-5.84,-2.56,288.31,76.86,98856.97,41,一级
海南省,昌江黎族自治县,2013-01-02,34.32,38.82,10.1,5.92,0.32,57.03,-5.33,-0.63,291.71,83.84,98778.59,50,一级
海南省,昌江黎族自治县,2013-01-03,40.89,47.66,10.55,7.67,0.39,57.38,-7.57,-4.76,290.29,89.06,99042.67,58,二级
海南省,昌江黎族自治县,2013-01-04,41.39,46.0,8.61,7.67,0.4,46.0,-7.42,-5.39,288.31,88.48,98952.98,58,二级
海南省,昌江黎族自治县,2013-01-05,37.28,41.99,7.63,7.34,0.37,47.54,-6.74,-3.8,288.32,88.37,98727.95,53,二级
海南省,昌江黎族自治县,2013-01-06,45.93,51.99,7.91,6.55,0.41,52.29,-6.55,-4.16,287.6,89.15,98833.23,64,二级
海南省,昌江黎族自治县,2013-01-07,49.43,54.97,8.24,5.74,0.44,57.82,-6.43,-3.45,288.45,87.21,98767.28,69,二级
海南省,昌江黎族自治县,2013-01-08,55.36,60.2,8.56,5.45,0.45,61.25,-5.97,-3.02,289.35,87.01,98727.56,76,二级
海南省,昌江黎族自治县,2013-01-09,57.31,66.1,9.8,5.47,0.58,59.8,-6.59,-4.97,287.96,86.92,98830.22,78,二级
海南省,昌江黎族自治县,2013-01-10,64.84,79.13,13.12,6.47,0.63,58.92,-6.75,-4.39,288.04,86.01,98845.85,88,二级
海南省,昌江黎族自治县,2013-01-11,94.17,97.24,13.86,7.72,0.66,58.86,-6.8,-4.37,289.1,88.53,98879.48,124,三级
海南省,昌江黎族自治县,2013-01-12,75.9,75.89,10.27,5.59,0.56,61.24,-6.27,-5.18,289.06,86.85,98830.38,102,三级
海南省,昌江黎族自治县,2013-01-13,58.98,68.13,8.95,4.24,0.54,70.88,-3.74,-3.58,288.95,85.04,98659.36,80,二级
海南省,昌江黎族自治县,2013-01-14,54.35,60.34,8.6,4.11,0.51,75.49,-5.15,-1.44,290.72,70.96,98709.88,75,二级
海南省,昌江黎族自治县,2013-01-15,23.01,27.21,3.48,2.79,0.29,76.55,-6.06,-0.73,291.88,72.92,98866.79,39,一级
海南省,昌江黎族自治县,2013-01-16,20.93,26.11,2.83,3.01,0.28,72.19,-5.8,-1.34,291.55,81.32,98998.33,37,一级
海南省,昌江黎族自治县,2013-01-17,34.23,43.01,9.98,4.91,0.39,82.93,-6.96,-3.98,290.85,81.78,99194.08,49,一级
海南省,昌江黎族自治县,2013-01-18,71.25,88.47,16.35,6.54,0.71,71.56,-7.1,-5.49,289.42,80.58,99370.85,96,二级
海南省,昌江黎族自治县,2013-01-19,47.43,55.58,9.2,4.12,0.45,69.2,-6.31,-1.12,290.21,80.29,99026.65,66,二级
海南省,昌江黎族自治县,2013-01-20,13.44,19.05,1.93,3.0,0.24,69.3,-3.5,-0.16,292.82,78.1,98869.12,35,一级
海南省,昌江黎族自治县,2013-01-21,10.28,14.96,1.54,2.99,0.21,70.67,-3.25,-1.51,293.22,77.46,98886.87,36,一级
海南省,昌江黎族自治县,2013-01-22,14.86,21.36,4.06,4.44,0.26,67.02,-5.18,-2.6,292.26,85.64,98889.23,34,一级
海南省,昌江黎族自治县,2013-01-23,35.73,50.62,10.41,6.5,0.48,67.36,-5.41,-2.36,291.97,85.15,98846.05,51,二级
海南省,昌江黎族自治县,2013-01-24,45.38,62.54,7.32,4.88,0.55,67.25,-2.93,-2.06,292.54,84.09,98783.68,63,二级
海南省,昌江黎族自治县,2013-01-25,65.63,77.52,10.77,4.7,0.61,73.82,-5.25,-3.5,291.82,85.38,98832.51,89,二级
