province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
海南省,琼中黎族苗族自治县,2013-01-01,38.82,46.11,11.88,10.8,0.32,54.94,-1.24,-2.62,286.76,85.64,97420.39,55,二级
海南省,琼中黎族苗族自治县,2013-01-02,46.77,54.04,8.98,12.22,0.32,51.45,-2.28,-1.14,289.63,96.92,97372.18,65,二级
海南省,琼中黎族苗族自治县,2013-01-03,42.44,52.32,10.39,11.86,0.38,57.93,-4.14,-4.55,289.65,95.8,97607.05,60,二级
海南省,琼中黎族苗族自治县,2013-01-04,46.24,51.17,9.22,13.31,0.39,34.67,-2.65,-4.87,287.27,96.32,97511.26,65,二级
海南省,琼中黎族苗族自治县,2013-01-05,45.22,52.09,8.53,13.86,0.38,30.08,-2.19,-3.65,287.39,96.04,97297.8,63,二级
海南省,琼中黎族苗族自治县,2013-01-06,53.49,62.36,8.83,11.02,0.42,37.24,-1.06,-4.02,286.53,97.08,97383.55,74,二级
海南省,琼中黎族苗族自治县,2013-01-07,53.4,60.09,8.46,9.22,0.44,44.81,-1.37,-3.36,287.33,95.12,97331.78,74,二级
海南省,琼中黎族苗族自治县,2013-01-08,67.54,74.71,9.63,9.66,0.53,48.8,-0.89,-2.82,287.8,96.85,97304.26,91,二级
海南省,琼中黎族苗族自治县,2013-01-09,58.15,69.2,10.22,9.16,0.73,42.13,-1.64,-4.37,287.18,95.87,97376.42,79,二级
海南省,琼中黎族苗族自治县,2013-01-10,62.98,78.93,12.59,9.96,0.65,47.8,-2.12,-3.88,286.88,95.53,97406.47,85,二级
海南省,琼中黎族苗族自治县,2013-01-11,98.05,102.89,12.96,13.39,0.78,51.38,-2.49,-3.8,288.52,96.45,97436.15,129,三级
海南省,琼中黎族苗族自治县,2013-01-12,86.03,83.62,11.02,11.77,0.79,50.6,-1.77,-4.78,288.47,92.62,97381.9,114,三级
海南省,琼中黎族苗族自治县,2013-01-13,58.36,67.81,8.84,6.04,0.62,63.81,0.86,-3.56,287.85,87.69,97195.77,80,二级
海南省,琼中黎族苗族自治县,2013-01-14,61.17,69.0,8.76,10.89,0.73,71.93,-2.76,-1.19,288.82,81.53,97297.32,83,二级
海南省,琼中黎族苗族自治县,2013-01-15,26.61,33.36,3.08,4.5,0.29,76.43,-4.34,-0.86,289.89,86.14,97460.43,39,一级
海南省,琼中黎族苗族自治县,2013-01-16,26.06,33.59,2.49,4.77,0.28,69.38,-3.36,-2.1,289.74,92.15,97580.51,38,一级
海南省,琼中黎族苗族自治县,2013-01-17,36.4,48.37,9.22,6.2,0.4,82.42,-4.09,-4.21,289.34,89.86,97760.59,52,二级
海南省,琼中黎族苗族自治县,2013-01-18,70.03,90.77,15.8,9.26,0.72,66.09,-3.99,-5.33,287.8,90.71,97925.1,94,二级
海南省,琼中黎族苗族自治县,2013-01-19,45.08,56.92,7.01,5.43,0.41,68.82,-3.68,-2.0,288.19,93.98,97615.26,63,二级
海南省,琼中黎族苗族自治县,2013-01-20,15.98,24.05,1.53,4.96,0.23,65.46,-3.27,0.02,290.99,92.56,97457.7,33,一级
海南省,琼中黎族苗族自治县,2013-01-21,12.59,19.09,1.36,3.63,0.2,68.08,-1.95,-1.51,291.42,91.4,97464.77,35,一级
海南省,琼中黎族苗族自治县,2013-01-22,17.51,25.55,3.49,8.11,0.27,62.06,-2.53,-2.05,290.92,94.16,97466.57,32,一级
海南省,琼中黎族苗族自治县,2013-01-23,37.25,55.7,10.09,10.48,0.52,62.35,-3.23,-2.13,290.49,93.64,97423.52,53,二级
海南省,琼中黎族苗族自治县,2013-01-24,43.13,63.52,5.83,9.62,0.59,56.72,-2.53,-1.03,290.86,95.02,97361.49,61,二级
海南省,琼中黎族苗族自治县,2013-01-25,66.05,79.5,10.14,6.41,0.66,75.29,-3.37,-2.04,290.12,92.81,97417.97,89,二级
海南省,琼中黎族苗族自治县,2013-01-26,58.69,77.08,7.61,5.55,0.63,73.35,-2.95,0.87,290.86,92.95,97329.3,80,二级
海南省,琼中黎族苗族自治县,2013-01-27,51.6,61.58,8.27,7.3,0.74,71.18,-3.51,-2.2,290.46,96.43,97520.37,71,二级
海南省,琼中黎族苗族自治县,2013-01-28,47.62,61.64,6.93,4.92,0.52,72.75,-4.9,-1.21,290.01,92.16,97532.72,66,二级
海南省,琼中黎族苗族自治县,2013-01-29,24.11,34.82,2.38,3.41,0.31,70.31,-4.35,-0.21,291.08,91.66,97516.48,36,一级
海南省,琼中黎族苗族自治县,2013-01-30,11.31,19.17,1.31,3.2,0.23,71.82,-5.39,0.59,291.63,90.46,97556.96,36,一级
海南省,琼中黎族苗族自治县,2013-01-31,12.24,18.27,1.44,2.74,0.22,75.23,-4.92,2.04,292.18,87.73,97518.68,38,一级
海南省,琼中黎族苗族自治县,2013-02-01,10.71,15.98,1.21,3.24,0.21,72.79,-3.7,-0.07,292.17,87.74,97491.85,37,一级
海南省,琼中黎族苗族自治县,2013-02-02,13.96,18.65,2.23,5.51,0.22,68.16,-3.34,-1.94,291.16,93.93,97508.35,35,一级
海南省,琼中黎族苗族自治县,2013-02-03,20.4,27.96,3.97,5.52,0.29,63.57,-2.23,-0.7,292.81,94.69,97339.66,32,一级
海南省,琼中黎族苗族自治县,2013-02-04,14.18,22.08,1.65,4.35,0.29,53.94,-2.53,0.48,293.94,94.06,97418.43,27,一级
海南省,琼中黎族苗族自治县,2013-02-05,10.64,14.32,1.19,3.61,0.2,50.82,-2.0,-0.02,294.23,89.74,97407.28,26,一级
海南省,琼中黎族苗族自治县,2013-02-06,9.24,11.47,1.09,2.92,0.17,52.0,-1.96,1.35,293.48,91.05,97211.29,26,一级
海南省,琼中黎族苗族自治县,2013-02-07,6.62,8.91,0.78,2.68,0.15,52.22,-0.67,4.11,294.49,81.65,96854.74,27,一级
海南省,琼中黎族苗族自治县,2013-02-08,13.03,23.39,3.9,5.47,0.29,58.19,-3.54,-1.35,292.48,94.57,97193.47,30,一级
海南省,琼中黎族苗族自治县,2013-02-09,28.77,43.42,8.85,11.02,0.56,35.56,-2.74,-3.89,289.01,98.12,97571.94,44,一级
海南省,琼中黎族苗族自治县,2013-02-10,27.52,37.09,6.1,4.49,0.36,61.01,-4.1,-1.82,290.07,94.71,97475.32,40,一级
海南省,琼中黎族苗族自治县,2013-02-11,22.67,29.65,3.26,3.04,0.29,67.22,-4.03,0.06,291.2,92.19,97351.5,34,一级
海南省,琼中黎族苗族自治县,2013-02-12,20.92,30.03,3.57,4.09,0.3,69.12,-3.87,-2.37,291.34,94.42,97438.2,35,一级
海南省,琼中黎族苗族自治县,2013-02-13,29.5,46.41,8.75,5.33,0.48,61.96,-3.7,-3.27,290.27,93.32,97395.39,47,一级
海南省,琼中黎族苗族自治县,2013-02-14,31.31,44.39,3.96,4.27,0.39,56.57,-2.88,-0.76,292.1,94.96,97219.24,45,一级
海南省,琼中黎族苗族自治县,2013-02-15,26.22,36.16,3.48,5.11,0.35,59.58,-2.51,-1.93,292.56,95.96,97245.1,38,一级
海南省,琼中黎族苗族自治县,2013-02-16,31.12,43.58,7.86,5.41,0.47,55.87,-4.37,-1.83,291.95,92.0,97247.41,45,一级
海南省,琼中黎族苗族自治县,2013-02-17,21.66,33.25,1.69,3.02,0.31,62.41,-3.43,1.65,292.74,92.43,97025.71,34,一级
海南省,琼中黎族苗族自治县,2013-02-18,15.1,21.45,0.95,2.84,0.24,64.39,-1.21,3.86,294.38,82.69,96864.27,33,一级
海南省,琼中黎族苗族自治县,2013-02-19,11.99,16.19,1.32,3.26,0.2,61.15,-1.54,0.76,294.28,75.89,96962.91,31,一级
海南省,琼中黎族苗族自治县,2013-02-20,26.93,43.11,8.36,6.79,0.44,56.88,-4.37,-3.23,291.13,95.51,97312.47,44,一级
海南省,琼中黎族苗族自治县,2013-02-21,19.43,33.12,4.21,3.78,0.3,74.45,-4.92,-3.14,291.43,94.94,97401.42,38,一级
海南省,琼中黎族苗族自治县,2013-02-22,37.96,45.58,8.17,5.51,0.45,79.73,-3.57,-5.59,290.13,92.02,97587.95,54,二级
海南省,琼中黎族苗族自治县,2013-02-23,45.69,56.92,9.78,7.93,0.51,59.62,-2.54,-4.86,288.9,94.04,97601.7,64,二级
海南省,琼中黎族苗族自治县,2013-02-24,27.2,38.81,3.09,4.17,0.33,75.61,-3.61,-2.63,291.08,98.43,97405.96,39,一级
海南省,琼中黎族苗族自治县,2013-02-25,25.25,45.69,1.4,3.32,0.3,71.56,-4.66,0.08,293.8,95.77,97286.62,46,一级
海南省,琼中黎族苗族自治县,2013-02-26,16.87,26.89,1.1,3.61,0.23,62.14,-2.67,1.47,294.63,92.45,97177.56,32,一级
海南省,琼中黎族苗族自治县,2013-02-27,11.4,15.15,0.9,3.12,0.18,55.82,-1.29,2.66,295.45,83.75,97003.28,28,一级
海南省,琼中黎族苗族自治县,2013-02-28,9.44,11.99,0.84,2.94,0.16,50.5,-0.55,6.26,295.45,80.94,96824.34,26,一级
海南省,琼中黎族苗族自治县,2013-03-01,7.83,10.02,1.08,2.61,0.15,53.3,1.96,6.88,297.51,73.55,96848.2,27,一级
海南省,琼中黎族苗族自治县,2013-03-02,16.51,24.74,4.91,7.79,0.31,51.22,-1.66,-1.06,293.79,89.66,97351.81,26,一级
海南省,琼中黎族苗族自治县,2013-03-03,42.39,52.83,11.59,12.03,0.63,41.78,-2.41,-5.24,288.11,95.96,97741.52,60,二级
海南省,琼中黎族苗族自治县,2013-03-04,42.84,50.31,10.72,6.13,0.42,73.02,-2.38,-4.21,288.29,84.92,97739.06,60,二级
海南省,琼中黎族苗族自治县,2013-03-05,33.02,41.97,6.26,4.96,0.34,83.73,-3.6,-2.96,289.64,86.33,97667.06,48,一级
海南省,琼中黎族苗族自治县,2013-03-06,19.98,34.1,2.07,6.42,0.27,76.73,-3.77,-0.94,291.05,92.5,97540.61,39,一级
海南省,琼中黎族苗族自治县,2013-03-07,21.01,31.12,1.83,3.28,0.24,75.76,-2.93,-1.17,291.72,88.25,97517.28,38,一级
海南省,琼中黎族苗族自治县,2013-03-08,21.33,25.74,2.24,3.94,0.24,78.69,-2.73,0.89,292.58,69.51,97321.67,40,一级
海南省,琼中黎族苗族自治县,2013-03-09,22.07,27.25,2.34,3.64,0.24,84.71,-1.53,3.45,293.08,69.13,97081.35,43,一级
海南省,琼中黎族苗族自治县,2013-03-10,21.39,25.48,1.65,3.13,0.23,84.6,-1.11,2.93,294.51,69.53,97019.05,43,一级
海南省,琼中黎族苗族自治县,2013-03-11,14.71,17.87,1.48,2.54,0.19,78.18,-3.52,2.39,293.92,78.57,97129.67,40,一级
海南省,琼中黎族苗族自治县,2013-03-12,14.17,19.45,1.14,2.55,0.19,64.99,-3.06,3.79,293.55,79.88,96994.84,33,一级
海南省,琼中黎族苗族自治县,2013-03-13,18.76,24.15,1.22,3.54,0.22,62.05,-0.41,2.45,295.84,72.93,97009.91,32,一级
海南省,琼中黎族苗族自治县,2013-03-14,24.74,31.25,3.42,3.48,0.26,67.22,-3.42,-0.67,293.33,93.3,97328.83,36,一级
海南省,琼中黎族苗族自治县,2013-03-15,31.45,45.9,2.66,2.79,0.36,70.88,-4.75,0.48,292.86,94.4,97475.38,46,一级
海南省,琼中黎族苗族自治县,2013-03-16,17.51,27.79,1.38,2.24,0.24,74.8,-3.99,2.99,293.87,90.97,97375.59,38,一级
海南省,琼中黎族苗族自治县,2013-03-17,19.09,26.25,1.19,2.06,0.24,72.09,-0.48,5.81,295.22,84.28,96919.95,37,一级
海南省,琼中黎族苗族自治县,2013-03-18,17.47,23.51,1.33,2.47,0.22,62.18,1.78,6.3,297.31,72.5,96645.0,32,一级
海南省,琼中黎族苗族自治县,2013-03-19,10.11,14.28,0.79,1.97,0.18,56.62,0.71,7.96,297.23,77.83,96652.41,29,一级
海南省,琼中黎族苗族自治县,2013-03-20,7.23,9.93,0.72,2.13,0.16,54.31,1.36,6.56,297.81,70.82,96766.35,28,一级
海南省,琼中黎族苗族自治县,2013-03-21,8.33,10.78,0.76,2.42,0.15,45.97,-0.58,4.69,296.56,83.51,96808.04,23,一级
海南省,琼中黎族苗族自治县,2013-03-22,9.89,12.64,0.84,2.22,0.14,46.61,-0.48,5.18,296.48,82.24,96768.92,24,一级
海南省,琼中黎族苗族自治县,2013-03-23,11.62,14.36,0.98,3.09,0.16,44.94,0.79,4.44,297.69,69.93,96747.52,23,一级
海南省,琼中黎族苗族自治县,2013-03-24,12.73,15.96,1.26,3.16,0.17,54.82,2.09,4.12,298.6,63.02,96665.8,28,一级
海南省,琼中黎族苗族自治县,2013-03-25,12.19,15.6,1.12,2.82,0.16,47.5,-0.79,5.61,297.18,78.14,96608.42,24,一级
海南省,琼中黎族苗族自治县,2013-03-26,5.96,8.49,0.76,2.39,0.12,42.57,0.23,7.27,297.7,77.42,96616.79,22,一级
海南省,琼中黎族苗族自治县,2013-03-27,11.53,16.51,2.33,3.1,0.17,51.77,-0.63,1.26,296.46,88.25,96812.44,26,一级
海南省,琼中黎族苗族自治县,2013-03-28,6.34,8.77,0.72,2.31,0.12,42.13,-0.26,5.58,297.11,85.41,96769.87,22,一级
海南省,琼中黎族苗族自治县,2013-03-29,8.71,10.84,1.08,2.82,0.14,44.43,0.68,4.5,297.04,80.57,96757.05,23,一级
海南省,琼中黎族苗族自治县,2013-03-30,10.11,13.14,0.91,2.78,0.13,43.43,-0.43,6.36,296.88,83.67,96726.45,22,一级
海南省,琼中黎族苗族自治县,2013-03-31,11.07,13.09,1.63,3.39,0.15,47.73,-0.55,2.47,296.7,83.95,96833.57,24,一级
海南省,琼中黎族苗族自治县,2013-04-01,13.05,18.54,1.8,2.88,0.17,50.11,-2.74,2.58,295.79,91.88,96979.27,26,一级
海南省,琼中黎族苗族自治县,2013-04-02,10.2,13.06,0.86,2.64,0.14,45.62,-1.92,4.01,296.42,87.1,96915.53,23,一级
海南省,琼中黎族苗族自治县,2013-04-03,11.21,14.33,0.8,2.5,0.16,48.0,-1.14,5.79,296.97,80.94,96643.48,24,一级
海南省,琼中黎族苗族自治县,2013-04-04,8.18,10.98,0.93,2.41,0.14,43.99,2.28,8.61,298.79,71.48,96279.98,22,一级
海南省,琼中黎族苗族自治县,2013-04-05,7.8,11.99,1.1,3.64,0.21,56.28,5.48,7.81,300.99,66.81,96158.26,29,一级
海南省,琼中黎族苗族自治县,2013-04-06,35.68,46.13,11.25,6.63,0.47,51.62,1.07,-5.56,292.72,82.3,96651.27,51,二级
海南省,琼中黎族苗族自治县,2013-04-07,43.41,54.14,9.45,4.83,0.38,72.03,-3.2,-2.76,291.41,87.51,96768.52,61,二级
海南省,琼中黎族苗族自治县,2013-04-08,32.98,44.08,4.07,3.83,0.36,71.63,-2.86,1.56,294.69,92.58,96753.79,48,一级
海南省,琼中黎族苗族自治县,2013-04-09,32.47,41.29,1.78,5.23,0.37,62.44,-3.24,0.17,295.88,92.97,96900.09,47,一级
海南省,琼中黎族苗族自治县,2013-04-10,23.74,32.82,3.46,3.56,0.3,78.84,-4.35,-2.2,295.03,95.1,97063.55,40,一级
海南省,琼中黎族苗族自治县,2013-04-11,36.94,48.65,3.56,3.58,0.36,84.54,-4.6,-3.2,294.08,93.24,97118.82,53,二级
海南省,琼中黎族苗族自治县,2013-04-12,34.44,44.6,6.4,5.28,0.35,67.34,-3.53,-4.08,292.58,95.62,97311.36,50,一级
海南省,琼中黎族苗族自治县,2013-04-13,40.77,51.88,4.61,5.07,0.32,62.16,-2.82,-2.14,293.05,93.51,97199.87,58,二级
海南省,琼中黎族苗族自治县,2013-04-14,33.25,40.12,2.86,3.36,0.27,80.47,-1.64,-0.27,294.55,90.14,97043.5,48,一级
海南省,琼中黎族苗族自治县,2013-04-15,31.34,39.45,2.49,5.28,0.28,76.0,-0.32,2.61,295.63,90.29,96736.99,45,一级
海南省,琼中黎族苗族自治县,2013-04-16,22.44,27.08,1.45,3.55,0.23,68.38,1.01,5.24,297.22,81.71,96487.54,35,一级
海南省,琼中黎族苗族自治县,2013-04-17,14.21,17.29,1.04,5.61,0.2,53.41,0.41,5.7,297.69,81.75,96439.98,27,一级
海南省,琼中黎族苗族自治县,2013-04-18,5.39,6.81,0.68,2.76,0.12,37.85,0.36,6.42,298.28,81.35,96450.88,19,一级
海南省,琼中黎族苗族自治县,2013-04-19,3.49,5.26,0.62,3.37,0.12,33.36,0.93,6.33,298.55,81.91,96437.87,17,一级
海南省,琼中黎族苗族自治县,2013-04-20,3.2,5.02,0.59,2.49,0.12,36.73,1.05,6.45,298.89,81.45,96607.55,19,一级
海南省,琼中黎族苗族自治县,2013-04-21,5.78,8.91,1.11,3.16,0.13,38.13,-1.42,2.95,297.57,85.35,96855.74,20,一级
海南省,琼中黎族苗族自治县,2013-04-22,13.25,18.39,1.43,2.88,0.14,37.69,-4.33,2.59,296.39,88.67,96965.76,19,一级
海南省,琼中黎族苗族自治县,2013-04-23,10.74,16.03,0.75,2.4,0.14,44.74,-2.32,4.52,297.41,85.53,96946.06,23,一级
