province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
海南省,白沙黎族自治县,2013-01-01,34.37,39.95,11.63,8.09,0.32,58.48,-3.94,-0.98,287.07,82.6,97786.87,50,一级
海南省,白沙黎族自治县,2013-01-02,41.92,47.94,9.96,8.51,0.32,53.2,-4.06,0.37,290.19,92.4,97726.42,59,二级
海南省,白沙黎族自治县,2013-01-03,43.7,51.75,11.05,10.04,0.39,57.27,-5.24,-3.34,289.36,94.42,97983.26,61,二级
海南省,白沙黎族自治县,2013-01-04,46.31,50.48,9.15,10.17,0.4,40.7,-4.44,-3.62,287.27,95.21,97888.69,65,二级
海南省,白沙黎族自治县,2013-01-05,42.73,48.44,8.21,10.1,0.37,39.23,-4.16,-2.25,287.33,94.21,97665.19,60,二级
海南省,白沙黎族自治县,2013-01-06,52.45,60.35,8.52,8.79,0.43,44.25,-3.71,-2.54,286.44,95.02,97765.44,72,二级
海南省,白沙黎族自治县,2013-01-07,54.26,60.62,8.6,7.57,0.45,50.34,-3.87,-1.98,287.29,93.62,97704.39,75,二级
海南省,白沙黎族自治县,2013-01-08,64.54,70.64,9.12,7.19,0.48,54.32,-3.52,-1.22,287.86,94.95,97671.91,87,二级
海南省,白沙黎族自治县,2013-01-09,59.43,70.12,10.19,7.44,0.69,49.76,-3.52,-3.27,286.88,93.24,97761.81,81,二级
海南省,白沙黎族自治县,2013-01-10,64.06,80.3,13.28,8.55,0.65,52.01,-4.03,-2.66,286.94,93.21,97779.25,87,二级
海南省,白沙黎族自治县,2013-01-11,106.01,108.2,14.38,10.83,0.73,53.35,-4.19,-2.6,288.26,95.09,97812.45,139,三级
海南省,白沙黎族自治县,2013-01-12,89.03,84.92,10.85,8.29,0.67,55.01,-3.51,-3.52,288.2,91.99,97763.72,118,三级
海南省,白沙黎族自治县,2013-01-13,58.9,68.34,8.83,4.79,0.57,68.28,-1.81,-2.25,287.85,88.68,97577.94,80,二级
海南省,白沙黎族自治县,2013-01-14,58.68,65.25,8.7,6.35,0.6,75.56,-4.36,0.33,289.4,77.15,97645.66,80,二级
海南省,白沙黎族自治县,2013-01-15,24.83,29.96,3.26,3.2,0.29,77.43,-5.52,0.19,290.63,80.25,97808.89,39,一级
海南省,白沙黎族自治县,2013-01-16,24.93,31.23,2.74,3.7,0.28,70.97,-4.51,-0.52,290.2,89.04,97939.56,36,一级
海南省,白沙黎族自治县,2013-01-17,36.28,46.85,10.01,5.77,0.4,83.78,-5.51,-2.66,289.72,87.81,98128.94,52,二级
海南省,白沙黎族自治县,2013-01-18,70.07,89.78,16.77,8.25,0.73,70.25,-5.42,-4.09,288.26,86.89,98299.65,94,二级
海南省,白沙黎族自治县,2013-01-19,48.65,59.16,8.44,4.56,0.44,70.71,-5.31,-0.39,288.83,88.17,97965.79,68,二级
海南省,白沙黎族自治县,2013-01-20,13.77,19.72,1.54,2.96,0.23,69.93,-4.21,1.26,291.73,85.23,97804.23,35,一级
海南省,白沙黎族自治县,2013-01-21,10.44,15.22,1.31,2.66,0.2,71.74,-3.31,-0.22,292.14,83.75,97821.63,36,一级
海南省,白沙黎族自治县,2013-01-22,15.78,22.69,3.84,5.7,0.26,65.31,-3.8,-0.87,291.11,92.07,97827.63,33,一级
海南省,白沙黎族自治县,2013-01-23,34.82,51.97,10.74,8.62,0.5,65.62,-4.34,-1.05,291.06,89.64,97781.66,51,二级
海南省,白沙黎族自治县,2013-01-24,39.09,58.04,6.5,5.99,0.55,63.55,-3.17,-0.36,291.63,88.58,97714.51,56,二级
海南省,白沙黎族自治县,2013-01-25,63.5,75.73,10.56,5.29,0.62,75.81,-4.41,-1.32,290.87,89.42,97768.74,86,二级
海南省,白沙黎族自治县,2013-01-26,59.67,78.01,9.08,5.23,0.62,75.58,-1.9,-0.02,291.58,88.91,97680.72,81,二级
海南省,白沙黎族自治县,2013-01-27,54.52,65.15,9.9,7.03,0.69,68.2,-4.1,-1.97,290.95,93.92,97874.01,75,二级
海南省,白沙黎族自治县,2013-01-28,47.21,59.14,8.19,4.13,0.51,73.86,-5.86,-0.21,290.82,86.91,97870.12,66,二级
海南省,白沙黎族自治县,2013-01-29,26.5,34.98,2.97,2.55,0.33,72.61,-4.9,0.82,291.82,85.2,97856.06,38,一级
海南省,白沙黎族自治县,2013-01-30,10.02,16.25,1.27,2.24,0.22,74.09,-5.89,1.44,292.65,82.64,97885.54,38,一级
海南省,白沙黎族自治县,2013-01-31,11.68,16.58,1.43,2.08,0.22,77.12,-4.27,1.98,293.41,78.52,97842.52,39,一级
海南省,白沙黎族自治县,2013-02-01,9.88,14.08,1.22,2.59,0.2,73.94,-3.79,0.36,293.3,76.94,97835.46,37,一级
海南省,白沙黎族自治县,2013-02-02,12.34,16.14,2.0,3.62,0.21,69.38,-4.71,-0.43,291.47,89.72,97863.6,35,一级
海南省,白沙黎族自治县,2013-02-03,20.52,26.61,5.07,4.82,0.27,65.39,-2.23,-0.32,292.79,89.82,97695.17,33,一级
海南省,白沙黎族自治县,2013-02-04,13.49,20.3,1.91,4.38,0.27,53.16,-2.69,0.59,294.58,88.49,97757.88,27,一级
海南省,白沙黎族自治县,2013-02-05,13.38,17.0,1.48,3.31,0.22,54.09,-1.33,-0.43,294.6,86.97,97763.83,28,一级
海南省,白沙黎族自治县,2013-02-06,13.17,15.59,1.48,2.96,0.18,55.33,-1.01,0.97,294.55,86.69,97547.86,28,一级
海南省,白沙黎族自治县,2013-02-07,8.23,10.56,1.11,3.16,0.16,53.2,0.33,2.82,296.04,68.83,97179.09,27,一级
海南省,白沙黎族自治县,2013-02-08,16.24,27.4,4.74,5.96,0.31,58.87,-3.91,-1.63,292.89,91.16,97542.99,30,一级
海南省,白沙黎族自治县,2013-02-09,32.75,47.66,9.67,10.51,0.51,37.33,-4.64,-3.17,288.92,96.26,97943.1,48,一级
海南省,白沙黎族自治县,2013-02-10,29.5,38.43,7.24,4.58,0.36,61.25,-5.02,-0.88,290.46,91.44,97822.34,43,一级
海南省,白沙黎族自治县,2013-02-11,21.32,26.92,3.32,2.44,0.28,73.18,-4.68,1.26,292.05,84.92,97689.95,37,一级
海南省,白沙黎族自治县,2013-02-12,21.5,29.43,3.87,3.7,0.29,72.72,-4.64,-1.31,291.69,90.47,97798.35,37,一级
海南省,白沙黎族自治县,2013-02-13,31.59,47.9,9.71,5.19,0.47,64.86,-4.78,-2.25,290.37,91.33,97759.18,48,一级
海南省,白沙黎族自治县,2013-02-14,30.11,41.06,4.17,3.25,0.36,65.36,-3.95,0.42,292.67,89.37,97564.96,44,一级
海南省,白沙黎族自治县,2013-02-15,27.66,35.95,3.7,4.33,0.33,63.83,-3.22,-1.17,292.55,93.14,97610.0,40,一级
海南省,白沙黎族自治县,2013-02-16,31.85,43.48,9.39,5.05,0.42,59.08,-5.01,-0.81,292.63,87.71,97590.33,46,一级
海南省,白沙黎族自治县,2013-02-17,20.39,29.53,1.65,2.47,0.29,67.73,-2.5,1.54,293.93,82.63,97359.82,34,一级
海南省,白沙黎族自治县,2013-02-18,15.23,20.81,1.2,2.95,0.23,65.8,0.12,2.44,295.75,69.57,97195.08,33,一级
海南省,白沙黎族自治县,2013-02-19,13.71,18.37,1.88,3.48,0.21,61.4,-1.04,-0.26,294.97,73.78,97312.28,31,一级
海南省,白沙黎族自治县,2013-02-20,30.04,46.1,10.47,7.63,0.46,55.03,-5.54,-2.56,291.44,92.13,97666.62,47,一级
海南省,白沙黎族自治县,2013-02-21,23.17,36.53,6.13,4.63,0.33,72.72,-5.3,-2.37,291.78,91.71,97760.22,37,一级
海南省,白沙黎族自治县,2013-02-22,39.63,46.41,8.97,4.94,0.42,80.56,-4.9,-4.36,290.21,89.9,97965.11,56,二级
海南省,白沙黎族自治县,2013-02-23,46.53,56.23,10.15,6.57,0.48,65.9,-4.75,-3.54,289.1,91.22,97975.0,65,二级
海南省,白沙黎族自治县,2013-02-24,27.73,38.01,3.94,3.67,0.33,78.4,-5.07,-1.74,291.41,94.76,97759.31,40,一级
海南省,白沙黎族自治县,2013-02-25,24.14,38.87,1.42,2.57,0.29,72.08,-4.73,0.86,294.67,89.98,97623.95,39,一级
海南省,白沙黎族自治县,2013-02-26,15.19,22.37,1.0,2.98,0.21,62.39,-1.66,1.18,295.63,84.28,97515.4,32,一级
海南省,白沙黎族自治县,2013-02-27,12.95,16.68,1.37,3.23,0.19,57.87,0.63,1.1,296.5,78.37,97342.7,29,一级
海南省,白沙黎族自治县,2013-02-28,9.6,11.99,1.1,3.05,0.16,49.78,0.2,5.1,297.21,71.07,97134.55,25,一级
海南省,白沙黎族自治县,2013-03-01,7.82,10.13,1.22,2.32,0.15,56.41,1.11,5.58,298.47,68.24,97168.01,29,一级
海南省,白沙黎族自治县,2013-03-02,18.28,27.83,5.9,7.46,0.32,53.41,-1.93,-2.1,294.23,86.24,97712.67,28,一级
海南省,白沙黎族自治县,2013-03-03,42.25,51.73,11.71,9.5,0.52,48.39,-4.78,-4.22,288.1,93.82,98118.1,60,二级
海南省,白沙黎族自治县,2013-03-04,41.11,47.17,10.81,5.24,0.4,75.74,-4.43,-2.83,288.71,81.7,98105.95,58,二级
海南省,白沙黎族自治县,2013-03-05,32.86,39.68,7.32,4.3,0.33,85.3,-4.9,-1.77,290.09,82.24,98026.52,47,一级
海南省,白沙黎族自治县,2013-03-06,19.21,28.49,2.21,3.87,0.25,79.1,-4.49,0.09,291.71,87.28,97892.65,40,一级
海南省,白沙黎族自治县,2013-03-07,19.05,25.56,1.88,2.58,0.22,77.26,-3.74,-0.54,292.49,83.32,97869.67,39,一级
海南省,白沙黎族自治县,2013-03-08,21.0,24.72,2.38,3.32,0.23,81.17,-2.25,0.42,293.64,63.28,97668.83,41,一级
海南省,白沙黎族自治县,2013-03-09,22.71,27.15,2.4,3.55,0.24,85.54,-0.4,1.8,294.33,60.42,97420.39,43,一级
海南省,白沙黎族自治县,2013-03-10,24.6,29.11,2.31,3.46,0.25,85.1,-0.35,0.72,295.63,57.16,97357.69,43,一级
海南省,白沙黎族自治县,2013-03-11,18.54,22.03,1.67,2.64,0.22,84.12,-2.47,1.11,295.92,66.86,97448.15,43,一级
海南省,白沙黎族自治县,2013-03-12,16.12,20.55,1.46,3.04,0.2,75.09,-1.16,1.94,296.23,58.04,97306.92,38,一级
海南省,白沙黎族自治县,2013-03-13,20.13,25.31,1.77,3.64,0.23,66.92,0.14,1.09,296.76,61.92,97355.2,34,一级
海南省,白沙黎族自治县,2013-03-14,27.78,33.75,4.34,3.72,0.28,72.56,-4.16,-0.75,294.12,88.53,97668.78,40,一级
海南省,白沙黎族自治县,2013-03-15,31.45,43.35,3.09,2.27,0.35,74.5,-4.99,1.28,294.07,86.64,97804.4,45,一级
海南省,白沙黎族自治县,2013-03-16,18.66,27.13,1.5,2.0,0.25,79.7,-2.52,2.19,295.33,81.16,97694.72,40,一级
海南省,白沙黎族自治县,2013-03-17,21.37,28.31,1.47,2.31,0.26,78.15,0.44,4.92,297.07,70.86,97226.12,40,一级
海南省,白沙黎族自治县,2013-03-18,21.13,27.68,1.64,2.52,0.25,74.89,1.29,4.72,298.18,67.84,96969.64,38,一级
海南省,白沙黎族自治县,2013-03-19,13.8,17.93,1.18,2.17,0.2,65.0,0.93,7.61,298.83,67.85,96948.5,33,一级
海南省,白沙黎族自治县,2013-03-20,8.99,11.64,0.87,1.95,0.18,62.65,0.74,6.05,299.19,63.32,97076.9,32,一级
海南省,白沙黎族自治县,2013-03-21,10.52,13.48,1.25,2.83,0.18,52.87,0.19,2.6,297.63,76.73,97137.66,27,一级
海南省,白沙黎族自治县,2013-03-22,10.4,13.14,1.21,2.6,0.15,51.13,0.04,3.78,297.8,70.55,97087.94,26,一级
海南省,白沙黎族自治县,2013-03-23,12.43,15.43,1.42,3.29,0.17,50.53,0.64,3.22,298.8,61.84,97077.34,26,一级
海南省,白沙黎族自治县,2013-03-24,13.72,17.14,1.55,3.17,0.17,59.18,1.19,3.24,299.11,59.07,97003.47,30,一级
海南省,白沙黎族自治县,2013-03-25,13.88,17.37,1.48,3.01,0.19,55.78,-0.29,4.53,298.94,65.25,96912.38,28,一级
海南省,白沙黎族自治县,2013-03-26,5.79,8.04,0.9,2.1,0.13,45.84,0.21,6.75,299.2,65.3,96916.44,23,一级
海南省,白沙黎族自治县,2013-03-27,16.3,23.15,3.68,3.2,0.23,61.43,-0.38,0.72,297.1,84.28,97153.57,31,一级
海南省,白沙黎族自治县,2013-03-28,6.2,8.15,0.84,2.48,0.13,41.79,0.07,5.03,298.32,75.77,97086.35,21,一级
海南省,白沙黎族自治县,2013-03-29,10.45,13.11,1.62,3.01,0.16,49.16,0.57,2.67,297.7,76.91,97098.36,25,一级
海南省,白沙黎族自治县,2013-03-30,9.61,11.91,1.1,2.87,0.13,42.06,0.32,5.45,298.21,74.45,97044.45,22,一级
海南省,白沙黎族自治县,2013-03-31,13.29,16.0,2.69,3.69,0.17,53.0,-1.18,0.11,296.87,83.41,97184.21,27,一级
