province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
海南省,陵水黎族自治县,2013-01-01,28.37,32.42,11.08,7.11,0.31,59.94,-1.68,-6.78,289.74,76.4,99721.77,41,一级
海南省,陵水黎族自治县,2013-01-02,32.26,36.83,7.68,5.46,0.3,60.36,-2.95,-4.81,292.11,88.55,99680.24,47,一级
海南省,陵水黎族自治县,2013-01-03,32.19,39.93,8.45,6.45,0.35,67.35,-5.25,-7.33,292.58,86.03,99877.56,46,一级
海南省,陵水黎族自治县,2013-01-04,36.32,41.6,8.97,8.52,0.38,42.57,-3.34,-9.69,290.06,83.87,99769.69,52,二级
海南省,陵水黎族自治县,2013-01-05,34.23,39.55,8.31,8.55,0.36,43.3,-2.78,-8.03,290.19,83.48,99583.81,49,一级
海南省,陵水黎族自治县,2013-01-06,39.66,45.15,8.57,6.52,0.39,53.56,-2.44,-8.65,289.77,83.14,99653.8,56,二级
海南省,陵水黎族自治县,2013-01-07,40.2,45.81,8.28,5.3,0.4,60.24,-2.5,-7.8,290.31,82.43,99613.58,57,二级
海南省,陵水黎族自治县,2013-01-08,49.7,54.37,9.11,5.68,0.43,60.32,-1.9,-7.24,291.18,82.39,99581.61,69,二级
海南省,陵水黎族自治县,2013-01-09,49.37,57.65,10.17,5.62,0.6,59.69,-2.97,-8.78,290.16,82.01,99647.51,68,二级
海南省,陵水黎族自治县,2013-01-10,56.12,69.38,12.26,6.18,0.58,61.62,-3.47,-8.08,289.95,81.62,99690.42,77,二级
海南省,陵水黎族自治县,2013-01-11,63.99,68.96,10.2,6.72,0.53,62.1,-3.69,-7.31,291.32,85.03,99717.48,87,二级
海南省,陵水黎族自治县,2013-01-12,52.67,53.1,10.01,5.83,0.46,60.76,-2.91,-8.2,291.39,79.79,99648.86,73,二级
海南省,陵水黎族自治县,2013-01-13,45.14,51.48,8.31,4.03,0.48,69.08,-0.94,-5.86,291.35,73.21,99486.8,63,二级
海南省,陵水黎族自治县,2013-01-14,51.08,56.25,8.14,4.34,0.49,74.73,-3.55,-4.89,291.05,73.23,99629.11,71,二级
海南省,陵水黎族自治县,2013-01-15,20.83,26.53,2.62,2.12,0.28,82.48,-5.02,-3.81,292.18,79.71,99790.35,42,一级
海南省,陵水黎族自治县,2013-01-16,17.28,23.29,1.83,2.34,0.26,76.38,-4.14,-5.08,291.98,84.45,99901.23,39,一级
海南省,陵水黎族自治县,2013-01-17,29.05,36.83,7.75,3.42,0.36,85.93,-5.06,-6.9,291.89,78.35,100055.81,43,一级
海南省,陵水黎族自治县,2013-01-18,65.84,82.89,14.79,6.17,0.67,66.49,-4.69,-8.88,290.46,80.03,100211.4,89,二级
海南省,陵水黎族自治县,2013-01-19,32.83,41.25,6.12,3.02,0.37,72.55,-4.54,-5.59,290.73,85.39,99942.19,47,一级
海南省,陵水黎族自治县,2013-01-20,9.78,16.81,1.19,2.23,0.22,75.96,-3.88,-3.28,292.93,88.15,99782.67,38,一级
海南省,陵水黎族自治县,2013-01-21,8.73,14.5,1.11,2.57,0.2,72.28,-2.51,-4.17,293.48,84.88,99770.24,37,一级
海南省,陵水黎族自治县,2013-01-22,11.29,17.77,2.41,3.44,0.23,69.09,-3.39,-4.91,292.91,86.4,99774.85,35,一级
海南省,陵水黎族自治县,2013-01-23,31.89,48.2,9.09,5.98,0.46,66.3,-3.92,-5.08,292.65,85.12,99734.84,49,一级
海南省,陵水黎族自治县,2013-01-24,42.15,60.27,4.88,4.19,0.53,64.02,-3.33,-3.87,292.6,89.38,99679.26,59,二级
海南省,陵水黎族自治县,2013-01-25,57.55,68.22,9.53,4.09,0.55,79.49,-4.16,-5.29,292.19,83.39,99732.58,79,二级
海南省,陵水黎族自治县,2013-01-26,58.51,73.87,6.83,2.99,0.57,78.24,-3.64,-2.32,292.3,89.17,99674.81,80,二级
海南省,陵水黎族自治县,2013-01-27,47.53,58.23,6.8,3.97,0.55,79.58,-4.22,-4.61,292.43,88.66,99837.81,66,二级
海南省,陵水黎族自治县,2013-01-28,40.88,51.86,6.17,2.42,0.45,80.52,-5.67,-4.14,292.13,85.07,99861.81,58,二级
海南省,陵水黎族自治县,2013-01-29,17.47,25.77,1.91,1.93,0.27,77.79,-4.99,-3.35,293.01,86.64,99847.05,39,一级
海南省,陵水黎族自治县,2013-01-30,8.6,15.95,1.07,1.77,0.21,79.59,-5.62,-2.89,293.43,86.22,99892.65,40,一级
海南省,陵水黎族自治县,2013-01-31,9.57,14.83,1.12,1.54,0.2,83.2,-5.04,-1.21,293.62,85.86,99871.1,42,一级
海南省,陵水黎族自治县,2013-02-01,7.56,12.14,0.99,2.05,0.19,78.61,-4.27,-3.29,293.73,84.91,99815.05,40,一级
海南省,陵水黎族自治县,2013-02-02,10.02,14.88,1.82,2.66,0.19,74.24,-3.81,-5.14,293.09,87.56,99811.46,38,一级
海南省,陵水黎族自治县,2013-02-03,15.22,23.67,2.55,2.96,0.23,68.43,-3.75,-2.98,295.09,88.36,99644.47,35,一级
海南省,陵水黎族自治县,2013-02-04,15.47,24.12,1.2,2.82,0.26,57.27,-3.19,-1.74,295.08,93.43,99741.49,29,一级
海南省,陵水黎族自治县,2013-02-05,8.99,13.19,1.02,2.42,0.18,55.88,-2.91,-1.6,294.99,91.02,99730.12,28,一级
海南省,陵水黎族自治县,2013-02-06,8.12,10.76,1.0,2.69,0.16,56.99,-2.42,-1.31,294.21,91.71,99549.47,29,一级
海南省,陵水黎族自治县,2013-02-07,5.66,7.91,0.64,1.91,0.14,64.29,-1.01,1.26,293.92,92.89,99235.0,33,一级
海南省,陵水黎族自治县,2013-02-08,12.62,21.26,2.63,3.94,0.24,64.19,-4.31,-2.97,294.27,89.95,99491.62,33,一级
海南省,陵水黎族自治县,2013-02-09,26.55,41.47,7.49,8.04,0.42,46.17,-4.45,-7.93,292.05,88.56,99840.15,42,一级
