province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖北省,十堰市,2013-01-01,37.46,45.46,19.84,9.8,0.47,52.31,1.03,0.23,275.25,34.95,93683.86,54,二级
湖北省,十堰市,2013-01-02,62.77,73.03,30.21,21.45,0.64,27.18,-6.63,-0.42,268.62,56.98,94552.86,85,二级
湖北省,十堰市,2013-01-03,62.61,72.74,31.86,19.2,0.61,28.6,-2.97,-0.46,266.97,47.29,95097.4,85,二级
湖北省,十堰市,2013-01-04,86.01,99.54,36.41,18.23,0.75,30.53,-3.46,-0.0,267.03,42.56,94318.33,114,三级
湖北省,十堰市,2013-01-05,105.05,120.99,42.51,15.33,0.89,37.52,-1.15,-0.48,269.52,40.68,93977.79,138,三级
湖北省,十堰市,2013-01-06,128.17,145.49,50.57,15.2,1.01,40.74,-1.11,-0.25,270.99,41.8,93995.22,169,四级
湖北省,十堰市,2013-01-07,134.34,152.83,53.69,15.56,1.17,44.57,0.77,-0.56,273.05,41.14,93800.1,178,四级
湖北省,十堰市,2013-01-08,114.82,129.43,51.72,19.26,0.94,34.27,-0.5,-1.89,273.25,37.39,94088.55,150,三级
湖北省,十堰市,2013-01-09,179.24,203.04,55.79,23.24,1.3,30.09,-2.7,0.79,272.13,44.17,94255.6,230,五级
湖北省,十堰市,2013-01-10,150.32,171.35,49.17,20.6,1.19,35.35,-1.41,0.39,273.61,51.25,94023.87,201,五级
湖北省,十堰市,2013-01-11,106.06,121.19,38.4,11.76,0.92,49.16,2.15,-1.54,276.24,41.34,94099.01,139,三级
湖北省,十堰市,2013-01-12,69.92,83.96,34.15,12.64,0.74,49.09,-0.95,0.77,276.57,33.68,93840.95,94,二级
湖北省,十堰市,2013-01-13,128.76,146.15,46.05,12.8,1.09,49.55,-0.07,-0.26,277.71,46.06,93491.81,170,四级
湖北省,十堰市,2013-01-14,212.86,240.25,60.45,24.52,1.59,37.59,-3.26,0.31,276.57,50.47,93810.1,263,五级
湖北省,十堰市,2013-01-15,136.91,161.11,42.75,13.82,1.08,44.17,1.46,-1.83,276.95,44.78,93970.4,182,四级
湖北省,十堰市,2013-01-16,66.32,80.3,35.29,14.67,0.68,41.87,-1.29,-1.14,276.8,43.12,94242.87,90,二级
湖北省,十堰市,2013-01-17,155.08,180.74,48.39,26.84,1.27,27.29,-3.62,0.41,272.58,61.8,94910.65,206,五级
湖北省,十堰市,2013-01-18,129.78,151.41,45.17,22.78,1.17,29.98,-2.08,0.3,273.83,60.51,94410.81,172,四级
湖北省,十堰市,2013-01-19,150.92,169.51,52.98,19.56,1.31,36.65,-2.97,-0.23,275.74,64.4,93550.29,201,五级
湖北省,十堰市,2013-01-20,134.57,149.6,42.47,20.84,1.14,30.3,-2.3,-1.04,273.15,91.19,93763.71,178,四级
湖北省,十堰市,2013-01-21,94.31,107.29,37.04,13.73,0.85,42.35,0.74,-0.71,274.43,65.48,94116.17,125,三级
湖北省,十堰市,2013-01-22,175.58,195.05,55.28,22.51,1.23,34.48,-2.14,0.11,274.22,72.17,94160.97,226,五级
湖北省,十堰市,2013-01-23,100.19,111.57,34.14,11.22,0.86,50.53,2.72,0.05,278.52,55.37,93677.89,132,三级
湖北省,十堰市,2013-01-24,21.67,27.14,16.94,8.48,0.38,51.03,2.67,-3.47,276.84,32.01,94129.99,31,一级
湖北省,十堰市,2013-01-25,33.61,41.17,19.71,9.07,0.51,54.53,2.17,-0.26,278.69,31.12,93814.11,49,一级
湖北省,十堰市,2013-01-26,56.6,67.51,27.64,15.21,0.68,44.32,-0.17,-1.44,279.47,26.73,93919.14,78,二级
湖北省,十堰市,2013-01-27,118.52,135.08,46.07,21.58,1.02,36.1,-1.49,0.39,277.96,42.13,94179.58,156,四级
湖北省,十堰市,2013-01-28,133.81,150.74,51.56,16.53,1.13,43.67,0.67,0.39,279.45,53.08,93719.97,177,四级
湖北省,十堰市,2013-01-29,100.79,111.01,36.18,8.16,0.91,59.42,-0.16,0.58,281.42,52.56,93670.49,133,三级
湖北省,十堰市,2013-01-30,168.6,186.87,57.74,18.73,1.33,40.92,-3.01,-0.1,279.92,75.34,93610.87,219,五级
湖北省,十堰市,2013-01-31,179.48,201.35,56.48,19.69,1.56,33.96,-1.03,-0.18,278.78,87.95,93450.86,230,五级
湖北省,十堰市,2013-02-01,143.08,155.74,45.41,15.11,1.21,47.48,-2.22,-0.51,280.23,69.32,93855.25,191,四级
湖北省,十堰市,2013-02-02,181.61,197.96,44.41,26.62,1.49,29.54,-4.29,0.32,275.67,69.96,94263.07,232,五级
湖北省,十堰市,2013-02-03,136.24,146.19,33.36,19.94,1.17,33.61,-1.97,-0.29,277.8,84.77,93293.76,181,四级
湖北省,十堰市,2013-02-04,126.31,135.73,40.22,21.53,1.14,34.65,-3.96,-0.37,277.11,80.04,93601.3,167,四级
湖北省,十堰市,2013-02-05,108.56,118.4,35.24,21.95,0.98,37.24,-0.53,-0.28,275.92,77.45,93750.15,142,三级
湖北省,十堰市,2013-02-06,110.38,119.18,35.3,14.83,0.88,44.54,-3.35,-0.22,279.16,60.84,93611.03,145,三级
湖北省,十堰市,2013-02-07,92.32,98.46,30.16,21.39,0.95,35.94,-8.04,-0.57,269.78,78.82,94296.98,122,三级
湖北省,十堰市,2013-02-08,46.87,52.08,21.22,12.5,0.5,48.8,-2.28,0.33,266.45,78.12,94695.88,65,二级
湖北省,十堰市,2013-02-09,67.84,74.04,26.89,10.66,0.59,53.47,1.21,0.45,273.04,67.48,94046.13,92,二级
湖北省,十堰市,2013-02-10,110.25,120.19,36.48,13.36,0.79,54.79,-1.94,0.56,274.09,73.23,93709.74,145,三级
湖北省,十堰市,2013-02-11,153.18,163.08,40.88,24.95,1.2,36.79,-4.34,-0.88,271.63,87.58,94103.37,204,五级
湖北省,十堰市,2013-02-12,108.72,119.56,35.81,15.47,0.92,42.61,0.45,-0.62,274.5,59.6,94358.33,143,三级
湖北省,十堰市,2013-02-13,97.24,107.88,38.5,13.31,0.78,43.44,-2.16,-0.26,276.17,56.82,93737.97,128,三级
湖北省,十堰市,2013-02-14,108.73,120.9,45.01,13.73,0.83,43.79,-1.11,-2.21,276.56,56.65,93712.56,143,三级
湖北省,十堰市,2013-02-15,94.77,106.9,43.02,18.06,0.82,38.31,-2.7,0.7,277.14,43.54,94012.81,125,三级
湖北省,十堰市,2013-02-16,142.05,152.28,41.62,15.66,1.18,46.17,-2.96,-0.05,279.02,48.54,93238.9,189,四级
湖北省,十堰市,2013-02-17,136.78,148.62,41.85,12.2,0.98,54.64,-2.49,-1.36,279.15,50.38,93139.74,182,四级
湖北省,十堰市,2013-02-18,125.75,139.07,39.46,24.53,0.97,30.8,-5.78,-1.37,273.06,81.14,93658.35,166,四级
湖北省,十堰市,2013-02-19,60.64,67.36,24.55,12.87,0.52,48.34,-1.83,0.79,271.77,79.71,94159.12,83,二级
湖北省,十堰市,2013-02-20,63.81,71.15,27.62,10.77,0.53,58.42,-1.27,-0.08,275.01,71.72,94111.9,87,二级
湖北省,十堰市,2013-02-21,81.66,91.39,34.41,11.8,0.63,55.75,0.33,-0.11,275.03,79.87,94259.0,109,三级
湖北省,十堰市,2013-02-22,66.86,75.88,26.98,9.84,0.62,59.16,-0.09,0.73,278.83,53.53,94350.57,90,二级
湖北省,十堰市,2013-02-23,118.32,131.13,39.07,16.62,0.89,50.17,-3.02,0.19,280.85,48.24,94107.82,155,四级
湖北省,十堰市,2013-02-24,117.92,132.17,40.97,12.52,0.88,58.99,-2.81,0.34,281.81,59.1,93620.06,155,四级
湖北省,十堰市,2013-02-25,140.78,155.17,44.79,15.87,0.96,47.42,-3.3,-1.06,280.84,82.19,93656.82,187,四级
湖北省,十堰市,2013-02-26,169.15,188.94,47.65,14.33,1.13,53.65,-1.88,-0.25,281.78,74.32,93616.49,220,五级
湖北省,十堰市,2013-02-27,204.43,230.11,47.4,14.12,1.29,58.67,-2.99,0.29,282.69,63.45,93387.39,255,五级
湖北省,十堰市,2013-02-28,149.57,170.52,37.35,12.66,1.0,55.13,-1.08,-2.46,283.75,63.45,92872.57,200,四级
湖北省,十堰市,2013-03-01,39.33,46.53,19.64,11.49,0.41,53.71,-6.27,-0.64,276.33,34.51,94166.72,56,二级
湖北省,十堰市,2013-03-02,34.08,42.53,21.42,11.36,0.39,56.23,-1.99,0.19,275.45,27.8,94678.91,49,一级
湖北省,十堰市,2013-03-03,27.11,33.62,11.64,6.33,0.31,56.64,5.21,-1.08,282.7,21.76,94281.77,39,一级
湖北省,十堰市,2013-03-04,33.49,41.63,16.33,9.59,0.36,50.89,1.2,0.34,285.49,22.59,94090.15,48,一级
湖北省,十堰市,2013-03-05,44.74,53.92,24.13,11.43,0.44,56.88,1.21,1.43,286.71,31.88,93722.83,63,二级
湖北省,十堰市,2013-03-06,47.52,55.59,16.12,6.42,0.34,59.22,5.03,-0.07,287.59,34.56,93663.68,66,二级
湖北省,十堰市,2013-03-07,36.24,43.7,9.31,6.22,0.28,60.47,6.16,0.48,289.52,21.41,93594.42,52,二级
湖北省,十堰市,2013-03-08,29.81,35.31,15.43,5.44,0.31,73.52,5.91,1.02,293.45,21.75,93093.66,43,一级
湖北省,十堰市,2013-03-09,52.84,59.2,16.6,6.53,0.35,72.34,3.07,-2.75,292.89,24.13,92805.05,73,二级
湖北省,十堰市,2013-03-10,27.67,35.6,14.43,9.9,0.31,61.22,-8.41,-0.57,280.01,26.18,93950.34,40,一级
湖北省,十堰市,2013-03-11,45.19,54.4,23.31,13.38,0.47,48.4,-5.49,0.05,280.31,44.09,93419.98,63,二级
湖北省,十堰市,2013-03-12,72.06,82.57,33.61,13.96,0.57,42.89,1.84,0.1,281.84,72.13,93020.21,97,二级
湖北省,十堰市,2013-03-13,70.58,78.9,24.84,13.99,0.52,43.01,-4.43,-0.27,281.03,49.94,93892.03,95,二级
湖北省,十堰市,2013-03-14,48.95,56.28,22.37,12.67,0.48,49.01,-5.77,0.16,279.18,54.54,94085.28,68,二级
湖北省,十堰市,2013-03-15,67.29,77.3,35.69,14.42,0.57,51.09,-3.08,-0.2,282.19,52.22,93618.03,91,二级
湖北省,十堰市,2013-03-16,104.28,119.94,49.13,20.25,0.8,41.32,-3.35,-1.01,282.01,78.13,93469.88,137,三级
湖北省,十堰市,2013-03-17,87.27,101.08,38.81,15.1,0.66,50.12,2.06,-1.58,284.19,67.83,93153.54,116,三级
湖北省,十堰市,2013-03-18,38.96,45.87,10.46,5.72,0.31,63.14,6.31,-0.29,289.59,26.23,92909.16,55,二级
湖北省,十堰市,2013-03-19,38.12,45.92,15.38,6.29,0.37,65.76,3.04,-0.36,286.46,61.83,92591.37,54,二级
湖北省,十堰市,2013-03-20,56.23,66.75,22.71,13.16,0.45,50.23,-2.14,-0.21,282.87,50.14,93538.08,77,二级
湖北省,十堰市,2013-03-21,69.06,79.77,29.82,14.65,0.54,49.48,-2.75,0.36,283.35,51.34,92892.4,93,二级
湖北省,十堰市,2013-03-22,73.89,84.21,35.95,16.01,0.6,50.94,-2.32,-0.68,284.61,60.36,93058.88,99,二级
湖北省,十堰市,2013-03-23,59.54,68.51,29.5,10.98,0.5,58.19,0.1,0.03,283.41,63.71,93089.6,81,二级
湖北省,十堰市,2013-03-24,39.31,47.51,20.92,11.43,0.42,58.34,-5.68,-0.52,282.59,45.62,93356.59,56,二级
湖北省,十堰市,2013-03-25,68.42,78.0,28.99,19.56,0.59,32.71,-4.95,-0.88,277.82,76.18,93364.53,92,二级
湖北省,十堰市,2013-03-26,61.46,68.4,23.09,11.0,0.49,57.33,1.27,0.09,280.17,71.58,93449.57,84,二级
湖北省,十堰市,2013-03-27,29.98,35.7,13.76,6.03,0.35,84.87,2.24,1.34,288.12,32.06,93008.14,43,一级
湖北省,十堰市,2013-03-28,46.88,55.47,22.69,12.09,0.5,72.35,-1.3,-0.27,288.15,43.25,93142.5,65,二级
湖北省,十堰市,2013-03-29,92.65,108.56,36.66,19.03,0.72,46.4,-3.81,0.34,284.11,71.31,93349.89,123,三级
湖北省,十堰市,2013-03-30,97.87,110.91,37.84,13.9,0.69,64.58,-2.36,-0.43,287.02,65.58,93279.64,129,三级
湖北省,十堰市,2013-03-31,125.41,142.06,42.19,20.3,0.97,53.53,-3.52,0.8,284.82,72.39,93505.04,165,四级
湖北省,十堰市,2013-04-01,62.43,69.7,21.37,8.79,0.51,64.4,0.7,-3.18,288.64,44.82,93399.65,85,二级
湖北省,十堰市,2013-04-02,41.96,48.13,21.91,14.59,0.43,49.02,-5.92,0.83,285.35,33.67,93640.5,59,二级
湖北省,十堰市,2013-04-03,51.47,58.99,30.0,11.32,0.48,66.0,-3.46,1.21,287.73,51.15,92891.42,71,二级
湖北省,十堰市,2013-04-04,84.79,94.84,39.6,15.09,0.67,62.29,-4.29,-0.45,287.67,76.94,92490.81,113,三级
湖北省,十堰市,2013-04-05,54.5,57.39,12.79,6.56,0.24,60.14,1.24,-6.56,281.78,65.42,93251.68,75,二级
湖北省,十堰市,2013-04-06,39.06,41.91,10.15,6.45,0.23,65.67,2.17,-0.82,280.91,31.45,93526.49,56,二级
湖北省,十堰市,2013-04-07,37.22,40.77,13.19,6.21,0.26,73.92,3.25,1.89,285.64,34.17,92827.71,53,二级
