province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖北省,天门市,2013-01-01,54.47,72.53,55.26,36.04,0.89,37.74,0.59,0.68,276.72,56.12,102054.56,75,二级
湖北省,天门市,2013-01-02,68.19,78.02,19.99,28.03,0.82,33.85,-7.36,-9.17,273.68,55.56,102868.59,92,二级
湖北省,天门市,2013-01-03,35.98,42.98,15.5,12.6,0.72,46.93,-4.58,-7.83,270.53,36.73,103717.09,52,二级
湖北省,天门市,2013-01-04,59.46,61.81,17.22,13.6,0.78,43.73,-3.28,-4.43,270.76,36.83,102983.25,81,二级
湖北省,天门市,2013-01-05,103.76,92.64,21.24,18.68,0.95,41.08,-2.29,-3.14,272.6,38.15,102510.65,136,三级
湖北省,天门市,2013-01-06,145.55,119.6,26.76,12.63,0.97,52.7,-1.86,-2.86,274.09,41.0,102483.57,194,四级
湖北省,天门市,2013-01-07,173.65,136.57,44.06,23.87,1.09,86.64,-1.24,-0.74,275.26,34.25,102258.08,224,五级
湖北省,天门市,2013-01-08,223.85,170.08,63.43,24.44,1.11,55.99,-1.0,-3.16,276.51,37.26,102396.92,274,五级
湖北省,天门市,2013-01-09,181.01,160.25,42.53,24.71,1.21,43.86,-3.42,-5.39,275.88,45.43,102680.74,232,五级
湖北省,天门市,2013-01-10,233.2,215.99,40.86,68.71,1.42,22.7,-3.21,-0.42,276.65,56.05,102538.8,284,五级
湖北省,天门市,2013-01-11,210.3,205.92,46.04,70.58,1.42,23.69,-1.41,-0.91,279.02,55.51,102396.27,261,五级
湖北省,天门市,2013-01-12,116.12,92.51,38.8,58.84,1.09,21.76,-2.97,-2.17,279.23,42.58,102223.64,152,四级
湖北省,天门市,2013-01-13,165.7,155.67,53.39,62.84,1.39,57.67,-1.85,-0.18,279.89,53.13,101774.93,216,五级
湖北省,天门市,2013-01-14,201.87,178.43,40.66,44.07,1.28,49.06,-3.17,-2.98,279.71,51.83,102148.75,252,五级
湖北省,天门市,2013-01-15,242.92,224.39,47.51,48.44,1.69,39.41,-2.24,-2.47,280.4,59.3,102174.46,293,五级
湖北省,天门市,2013-01-16,206.05,209.02,44.15,37.26,1.58,32.34,-3.03,-4.25,279.91,46.17,102501.08,257,五级
湖北省,天门市,2013-01-17,188.44,174.52,30.29,18.39,1.27,62.94,-4.13,-6.85,276.58,58.23,103309.55,239,五级
湖北省,天门市,2013-01-18,170.06,182.92,27.82,46.65,1.28,24.18,-2.57,-0.0,276.56,56.87,102998.37,221,五级
湖北省,天门市,2013-01-19,162.68,172.39,38.96,60.0,1.49,23.9,-2.14,2.65,279.14,59.34,102105.7,213,五级
湖北省,天门市,2013-01-20,131.47,118.18,30.07,41.3,1.15,20.78,-2.44,-3.77,279.58,82.1,101942.87,174,四级
湖北省,天门市,2013-01-21,163.27,124.66,46.36,37.73,1.57,25.01,-1.56,-5.42,277.36,66.38,102464.15,214,五级
湖北省,天门市,2013-01-22,226.11,187.33,46.25,36.77,1.84,33.3,-2.53,-2.88,277.38,63.06,102577.35,277,五级
湖北省,天门市,2013-01-23,157.91,131.15,57.14,30.57,1.84,42.28,-0.29,2.77,278.6,66.29,102082.79,208,五级
湖北省,天门市,2013-01-24,123.23,100.78,35.46,22.28,0.92,37.65,-0.88,-5.79,280.0,51.3,102233.52,162,四级
湖北省,天门市,2013-01-25,92.5,101.89,36.97,44.28,0.87,42.54,-0.74,1.36,279.5,44.31,102165.77,122,三级
湖北省,天门市,2013-01-26,115.83,129.8,44.22,29.01,0.81,54.48,-2.66,-2.69,280.78,47.6,102097.63,152,四级
湖北省,天门市,2013-01-27,242.54,219.69,32.6,34.14,1.3,73.3,-2.4,-2.88,279.75,51.38,102531.76,293,五级
湖北省,天门市,2013-01-28,204.14,193.37,49.53,59.84,1.46,38.91,0.0,2.98,282.35,55.31,102077.72,255,五级
湖北省,天门市,2013-01-29,130.6,114.38,48.08,29.68,0.94,55.84,-0.63,1.11,283.84,62.16,101966.8,173,四级
湖北省,天门市,2013-01-30,116.63,117.38,40.35,55.72,1.21,16.74,-4.72,0.51,282.27,82.05,101901.83,153,四级
湖北省,天门市,2013-01-31,121.79,99.54,31.48,31.73,1.73,10.67,-1.22,-3.08,282.16,95.97,101570.1,160,四级
湖北省,天门市,2013-02-01,90.55,68.28,34.46,31.63,1.81,31.95,-2.14,-4.36,282.58,74.88,102024.26,120,三级
湖北省,天门市,2013-02-02,144.3,126.94,33.05,38.86,1.86,17.09,-2.75,-6.21,279.42,81.55,102521.64,192,四级
湖北省,天门市,2013-02-03,135.17,126.48,33.51,41.43,2.32,6.37,-1.5,-0.62,281.83,89.48,101577.97,179,四级
湖北省,天门市,2013-02-04,75.24,63.39,28.02,17.2,0.77,24.58,-2.91,-6.22,280.4,81.88,101779.76,101,三级
湖北省,天门市,2013-02-05,57.0,54.84,27.57,19.27,0.75,30.15,-1.02,-5.61,280.44,75.96,101897.02,78,二级
湖北省,天门市,2013-02-06,82.16,80.62,27.14,28.5,1.05,32.61,-2.89,-2.17,277.72,82.43,101955.96,109,三级
湖北省,天门市,2013-02-07,50.84,41.94,19.44,11.67,0.71,58.45,-7.08,-10.51,275.52,72.51,102485.63,70,二级
湖北省,天门市,2013-02-08,37.58,36.48,12.43,9.66,0.43,58.05,-3.89,-7.22,270.9,42.77,103261.12,54,二级
湖北省,天门市,2013-02-09,62.2,62.16,19.71,12.91,0.45,56.47,-0.82,0.84,272.9,59.68,102698.7,84,二级
湖北省,天门市,2013-02-10,127.29,128.72,31.32,21.75,0.66,42.5,-2.72,1.41,276.72,76.54,102202.6,168,四级
湖北省,天门市,2013-02-11,129.57,117.09,23.38,15.19,0.79,51.64,-3.53,-4.72,277.96,73.16,102346.34,171,四级
湖北省,天门市,2013-02-12,145.62,126.31,32.02,11.28,0.82,73.37,-1.58,-5.35,278.71,55.83,102668.62,194,四级
湖北省,天门市,2013-02-13,132.82,114.94,33.9,24.97,0.96,40.86,-3.18,0.5,279.13,55.57,102166.14,176,四级
湖北省,天门市,2013-02-14,119.98,103.78,33.11,24.79,0.88,35.33,-2.37,-1.3,280.07,65.52,101912.92,158,四级
湖北省,天门市,2013-02-15,144.66,125.73,33.04,21.09,0.92,56.94,-3.52,-4.34,280.69,48.06,102359.57,193,四级
湖北省,天门市,2013-02-16,100.88,87.42,31.03,20.57,0.89,56.25,-3.51,3.2,281.48,61.39,101689.88,133,三级
湖北省,天门市,2013-02-17,88.46,86.15,28.58,34.09,0.78,26.7,-2.54,-0.39,283.01,74.44,101223.84,117,三级
湖北省,天门市,2013-02-18,102.71,80.99,27.96,13.95,0.78,70.3,-4.53,-8.12,279.32,79.83,101658.2,135,三级
湖北省,天门市,2013-02-19,43.36,33.01,12.7,13.59,0.58,50.81,-3.35,-6.17,274.58,84.05,102571.61,61,二级
湖北省,天门市,2013-02-20,56.26,56.24,19.71,27.4,0.6,31.18,-2.68,-1.47,276.83,74.94,102546.29,77,二级
湖北省,天门市,2013-02-21,77.7,79.59,25.14,17.72,0.52,41.85,-1.38,-2.71,279.11,71.36,102533.71,104,三级
湖北省,天门市,2013-02-22,104.82,104.35,40.59,16.41,0.64,57.49,-0.61,-1.81,280.85,64.32,102648.1,138,三级
湖北省,天门市,2013-02-23,118.95,125.32,43.83,45.43,1.01,59.13,-3.03,0.65,282.94,57.64,102491.21,156,四级
湖北省,天门市,2013-02-24,94.03,94.23,31.96,32.36,0.79,38.57,-2.92,1.74,284.88,61.42,101887.38,124,三级
湖北省,天门市,2013-02-25,149.77,146.36,36.1,45.83,0.98,21.23,-3.36,-2.63,284.01,80.56,101758.24,200,四级
湖北省,天门市,2013-02-26,238.25,180.7,21.89,13.58,1.15,55.87,-2.63,-4.6,285.64,74.86,101666.08,289,五级
湖北省,天门市,2013-02-27,238.1,229.91,28.55,28.88,1.35,43.66,-2.34,-1.88,283.75,77.82,101569.64,289,五级
湖北省,天门市,2013-02-28,124.43,127.33,48.19,35.46,1.6,22.07,-1.83,0.99,284.4,89.46,100909.08,164,四级
湖北省,天门市,2013-03-01,39.46,55.37,13.78,10.01,0.58,55.47,-5.39,-11.04,280.92,37.38,102126.11,56,二级
湖北省,天门市,2013-03-02,27.54,42.51,14.56,9.67,0.44,54.21,-3.57,-5.5,278.86,25.7,102998.41,43,一级
