province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖北省,宜昌市,2013-01-01,47.49,54.53,35.27,13.37,0.47,57.37,1.73,-1.91,274.74,37.81,94643.07,66,二级
湖北省,宜昌市,2013-01-02,69.18,75.86,34.5,19.75,0.62,31.64,-4.68,-5.42,270.4,62.85,95339.57,93,二级
湖北省,宜昌市,2013-01-03,59.28,66.88,35.47,18.11,0.55,31.15,-3.6,-2.84,267.87,44.52,96018.57,81,二级
湖北省,宜昌市,2013-01-04,72.73,83.02,42.61,17.68,0.65,35.31,-2.29,-0.43,267.9,38.41,95302.58,98,二级
湖北省,宜昌市,2013-01-05,94.14,107.15,57.95,18.3,0.79,38.91,-1.29,-0.5,270.11,41.13,94917.81,124,三级
湖北省,宜昌市,2013-01-06,125.67,141.92,72.36,19.28,0.94,38.6,-0.1,-0.95,270.39,47.54,94955.71,166,四级
湖北省,宜昌市,2013-01-07,132.98,149.0,73.63,17.25,0.94,47.1,0.52,-0.64,272.15,53.57,94748.0,176,四级
湖北省,宜昌市,2013-01-08,161.6,180.0,84.12,19.79,1.09,39.03,-0.91,-2.25,273.27,46.67,94953.52,212,五级
湖北省,宜昌市,2013-01-09,187.79,206.3,67.33,23.49,1.24,31.48,-1.94,-1.81,272.75,42.92,95201.04,238,五级
湖北省,宜昌市,2013-01-10,161.34,181.52,88.9,25.05,1.21,33.46,-0.25,0.87,273.74,47.14,95042.32,212,五级
湖北省,宜昌市,2013-01-11,152.03,171.22,95.1,18.97,1.15,45.95,0.36,-0.98,276.88,42.27,94995.68,203,五级
湖北省,宜昌市,2013-01-12,103.1,116.13,64.12,16.49,0.82,43.75,-0.74,0.42,277.18,42.99,94835.3,136,三级
湖北省,宜昌市,2013-01-13,132.09,149.16,83.67,18.87,1.03,44.77,0.04,-0.25,278.41,48.07,94428.77,175,四级
湖北省,宜昌市,2013-01-14,165.53,185.91,86.6,19.66,1.22,43.73,-1.79,0.09,277.73,50.71,94775.53,216,五级
湖北省,宜昌市,2013-01-15,178.37,199.6,87.53,17.84,1.3,47.18,-0.36,-0.66,278.43,53.33,94848.16,229,五级
湖北省,宜昌市,2013-01-16,159.29,177.7,80.98,19.15,1.15,37.9,-1.3,-0.95,277.73,57.98,95128.86,210,五级
