province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖北省,神农架林区,2013-01-01,25.15,27.9,11.1,4.17,0.29,71.25,2.17,0.21,270.19,40.72,82978.11,36,一级
湖北省,神农架林区,2013-01-02,55.3,60.57,22.9,12.76,0.49,41.84,-2.85,0.76,265.15,72.58,83400.37,76,二级
湖北省,神农架林区,2013-01-03,48.37,54.02,21.69,11.63,0.44,38.05,-1.67,-0.67,262.5,70.39,83835.94,67,二级
湖北省,神农架林区,2013-01-04,60.37,67.62,27.04,10.62,0.53,40.67,-0.21,2.16,264.99,65.07,83205.03,82,二级
湖北省,神农架林区,2013-01-05,60.86,67.58,23.69,6.33,0.52,52.38,-0.17,-0.28,266.84,62.24,83006.42,83,二级
湖北省,神农架林区,2013-01-06,74.81,82.59,26.37,5.33,0.58,57.83,0.07,0.11,266.9,67.32,83066.53,100,二级
湖北省,神农架林区,2013-01-07,75.34,82.9,27.85,3.97,0.55,64.52,0.69,-1.49,268.33,60.38,82971.0,101,三级
湖北省,神农架林区,2013-01-08,81.67,89.83,33.1,5.95,0.59,52.96,-0.73,-3.51,267.61,51.51,83192.05,109,三级
湖北省,神农架林区,2013-01-09,103.8,114.64,37.09,11.14,0.73,46.23,-0.94,0.83,267.44,49.71,83343.42,136,三级
湖北省,神农架林区,2013-01-10,102.26,112.96,35.89,8.41,0.75,54.52,1.02,3.07,269.9,51.12,83241.77,135,三级
湖北省,神农架林区,2013-01-11,77.76,85.07,26.19,4.01,0.58,62.56,1.89,-2.68,271.03,47.79,83358.97,104,三级
湖北省,神农架林区,2013-01-12,48.48,53.2,18.95,3.71,0.44,68.02,1.18,2.94,272.3,37.94,83182.79,67,二级
湖北省,神农架林区,2013-01-13,83.76,92.25,32.65,4.66,0.65,63.56,1.03,0.94,273.74,49.61,82904.96,111,三级
湖北省,神农架林区,2013-01-14,86.6,96.25,38.66,5.74,0.68,59.27,-0.65,5.29,273.81,46.37,83159.1,115,三级
湖北省,神农架林区,2013-01-15,96.65,106.52,34.8,4.81,0.71,60.98,1.87,-1.11,272.35,67.92,83272.59,128,三级
湖北省,神农架林区,2013-01-16,74.14,81.38,28.25,4.79,0.58,59.39,-0.55,-0.68,271.98,71.65,83494.62,99,二级
湖北省,神农架林区,2013-01-17,75.83,83.99,28.06,10.76,0.59,45.16,-1.21,-0.9,269.69,59.05,83944.2,102,三级
湖北省,神农架林区,2013-01-18,76.79,84.84,27.9,9.52,0.64,46.37,2.15,3.22,272.64,54.06,83631.79,103,三级
湖北省,神农架林区,2013-01-19,74.46,81.67,25.99,5.85,0.6,54.84,1.74,6.45,274.5,70.41,82928.42,100,二级
湖北省,神农架林区,2013-01-20,90.96,99.79,26.86,8.93,0.69,47.59,0.79,2.08,272.16,92.92,82963.43,120,三级
湖北省,神农架林区,2013-01-21,91.91,100.6,28.13,7.2,0.69,54.71,1.42,-1.05,270.58,84.44,83307.31,122,三级
湖北省,神农架林区,2013-01-22,131.72,144.92,44.8,10.56,0.94,49.9,1.69,1.63,270.71,90.72,83351.9,174,四级
湖北省,神农架林区,2013-01-23,42.97,46.73,13.31,2.86,0.39,65.78,3.62,-0.76,274.93,48.67,83125.79,60,二级
湖北省,神农架林区,2013-01-24,15.41,16.84,8.68,3.57,0.24,57.35,3.61,-5.62,271.24,43.31,83364.02,29,一级
湖北省,神农架林区,2013-01-25,22.23,24.8,11.99,4.17,0.3,61.71,3.2,-0.66,274.33,41.32,83242.46,32,一级
湖北省,神农架林区,2013-01-26,19.93,22.07,8.79,3.24,0.26,65.42,1.84,-3.39,274.75,31.73,83306.09,33,一级
湖北省,神农架林区,2013-01-27,34.87,38.85,15.8,5.21,0.36,64.38,1.77,0.31,275.39,35.4,83548.71,50,一级
湖北省,神农架林区,2013-01-28,72.58,80.48,27.63,5.37,0.6,60.97,1.57,2.95,275.17,64.77,83201.39,97,二级
湖北省,神农架林区,2013-01-29,54.21,60.04,22.56,3.5,0.48,70.05,-0.17,2.35,276.61,57.14,83203.67,75,二级
湖北省,神农架林区,2013-01-30,72.94,80.31,25.94,4.67,0.58,58.33,1.64,5.2,277.21,89.45,83123.76,98,二级
湖北省,神农架林区,2013-01-31,80.28,88.25,27.39,5.65,0.65,55.66,2.14,2.91,278.87,91.08,82968.64,107,三级
湖北省,神农架林区,2013-02-01,80.27,88.24,29.32,5.28,0.63,60.38,0.72,2.34,278.01,86.02,83321.44,107,三级
湖北省,神农架林区,2013-02-02,137.77,149.68,37.18,10.22,0.88,44.41,-0.94,3.53,275.28,93.58,83540.45,183,四级
湖北省,神农架林区,2013-02-03,72.31,77.86,18.26,5.25,0.54,61.25,4.13,7.36,279.06,86.2,82823.0,97,二级
