province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖南省,常德市,2013-01-01,39.49,48.6,27.31,17.33,0.48,53.55,1.42,-1.01,276.59,47.28,100057.58,56,二级
湖南省,常德市,2013-01-02,87.99,101.9,40.42,28.73,1.02,25.41,-3.7,-9.18,274.56,64.8,100664.09,117,三级
湖南省,常德市,2013-01-03,49.49,59.72,26.4,17.19,0.78,33.2,-4.56,-7.85,271.33,39.19,101563.94,69,二级
湖南省,常德市,2013-01-04,60.95,67.17,29.25,17.15,0.94,34.43,-2.6,-4.1,271.16,38.27,100879.63,83,二级
湖南省,常德市,2013-01-05,96.63,102.49,41.64,22.22,1.17,29.24,-1.76,-3.15,272.58,42.6,100450.26,128,三级
湖南省,常德市,2013-01-06,114.92,121.32,54.79,24.39,1.26,31.92,0.34,-3.18,272.11,48.36,100481.71,150,三级
湖南省,常德市,2013-01-07,123.23,129.32,59.34,22.94,1.25,36.24,0.99,-1.58,272.62,53.02,100259.98,162,四级
湖南省,常德市,2013-01-08,170.04,169.3,78.74,27.02,1.52,31.29,0.34,-3.72,274.0,56.28,100398.88,221,五级
湖南省,常德市,2013-01-09,221.0,201.99,66.52,37.85,1.81,24.93,-2.24,-5.79,275.31,48.4,100638.58,272,五级
湖南省,常德市,2013-01-10,214.42,190.03,60.89,35.87,1.8,35.23,-1.49,-2.69,276.2,52.89,100500.01,265,五级
湖南省,常德市,2013-01-11,169.24,161.13,49.96,23.07,1.46,44.81,0.17,-1.73,278.71,48.56,100407.23,220,五级
湖南省,常德市,2013-01-12,179.8,168.17,68.71,28.28,1.77,37.28,-0.94,-2.26,279.43,49.01,100221.85,230,五级
湖南省,常德市,2013-01-13,145.55,145.09,53.79,20.48,1.41,43.61,0.06,-0.48,280.71,49.76,99777.88,194,四级
湖南省,常德市,2013-01-14,220.46,209.98,82.93,32.4,2.2,39.9,-2.03,-3.04,280.1,55.68,100120.31,271,五级
湖南省,常德市,2013-01-15,216.13,205.11,63.72,23.61,1.86,44.27,-0.75,-2.8,281.01,54.96,100200.34,267,五级
湖南省,常德市,2013-01-16,204.13,203.96,57.98,24.39,1.87,34.67,-1.55,-3.67,280.29,53.93,100475.69,255,五级
